id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
OIC-005-01-A,Quelle est la principale différence entre la responsabilité sanction et l'indemnisation dans le contexte médical ?,"La responsabilité sanction vise à punir les professionnels de santé, tandis que l'indemnisation a pour but d'assurer une compensation financière aux victimes.","La responsabilité sanction est réservée aux cas de faute grave, tandis que l'indemnisation s'applique à tous les dommages causés par un acte médical.","La responsabilité sanction est gérée par la justice pénale, tandis que l'indemnisation relève de la procédure civile.","La responsabilité sanction vise à couvrir les dommages causés aux patients, tandis que l'indemnisation a pour but de réparer les préjudices subis par les professionnels de santé.",A,4
OIC-005-02-A,Quelle est la fonction principale de la responsabilité pénale ?,Sanctionner les individus pour leurs erreurs médicales,Protéger les patients contre les mauvais soins,Réprimer les comportements répréhensibles dans la société,Favoriser l'innovation en médecine,c,4
OIC-005-03-A,Quels sont les professionnels qui engagent leur responsabilité civile personnelle en cas de dommage causé à un patient ?,"Les médecins salariés d’établissements, services ou organismes privés",Les praticiens hospitaliers au sein d’un établissement public de santé,"Tous les professionnels de la santé, quels que soient leur statut et leur lieu d’exercice",Seuls les médecins libéraux,d,4
OIC-005-04-A,Quelle est la responsabilité engagée devant les juridictions de l'ordre administratif en cas d'actes réalisés par des médecins hospitaliers ?,Responsabilité personnelle du médecin,Responsabilité civile personnelle du médecin,Responsabilité de l'établissement public de santé,Aucune responsabilité,c,4
OIC-005-05-A,Quel est le but principal du Code de déontologie médicale ?,Énoncer des principes fondamentaux pour les médecins,Lister des comportements prohibés par la société,Définir les sanctions disciplinaires encourues,Réglementer l'exercice de la médecine,option_a,4
OIC-005-06-A,Quelle est la définition de la responsabilité sans faute ?,C'est une responsabilité engagée suite à un manquement aux règles professionnelles ou scientifiques.,C'est une responsabilité qui peut être engagée même si il n'y a pas d'erreur ou de faute prouvée.,C'est une indemnisation pour les dommages liés à la survenue d'une infection nosocomiale.,C'est une responsabilité pénale qui peut entraîner des poursuites judiciaires.,b,4
OIC-005-07-A,Quelle est la condition pour rechercher la responsabilité d'un médecin ou d'un établissement de santé ?,La faute doit être prouvée.,L'atteinte à l'un des droits du patient suffit.,Le médecin ou l'établissement de santé doivent reconnaître leur erreur.,Il faut attendre que la loi change.,a,4
OIC-005-08-A,Quel est le type d'erreur qui se produit lorsqu'une action nécessaire n'a pas été faite ?,Erreur de commission,Erreur d'exécution,Erreur par omission,Violation,option_c,3
OIC-005-09-A,"Quel est le terme qui désigne un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic ?",Affection iatrogène,Accident médical,Erreur médicale,Aléa thérapeutique,b,4
OIC-005-10-A,Quelle est la définition des infections nosocomiales ?,Infections contractées à l'extérieur d'un établissement de santé,Infections présentes au moment de l'admission du patient dans un établissement de santé,"Infections contractées au cours d'un séjour dans un établissement de santé, absentes au moment de l'admission",Infections liées à la profession médicale,option_c,3
OIC-005-11-A,Quel est le caractère principal qui distingue l'aléa thérapeutique des erreurs médicales ?,L'inévitabilité,La responsabilité du professionnel de santé,Le lien de causalité avec l'acte médical,La gravité du dommage causé au patient,A,4
OIC-005-12-B,Quels sont les principaux facteurs conduisant à l'ouverture d'un contentieux à la suite d'un accident médical ?,Seulement le patient,Seulement l'équipe de soins,"Tous les facteurs mentionnés (patient, tâches, équipe, environnement de travail, organisation et management, contexte institutionnel)",Aucun des facteurs mentionnés,c,4
OIC-005-13-A,Quels sont les facteurs humains individuels qui peuvent conduire à des erreurs ?,"Le manque de connaissances, de compétences, d'expérience.",La production de soins est un travail individuel.,Les facteurs linguistiques ou culturels perturbent la bonne compréhension d'une situation.,"Le stress, le manque de temps, la fatigue, la maladie sont des circonstances qui augmentent la performance de l'individu.",option_a,4
OIC-005-14-B,Quel est le but de l'analyse approfondie des causes d'erreur dans les soins médicaux ?,Identifier les responsables de l'erreur,Prévenir les erreurs futures en mettant en place des actions d'amélioration,Réduire les coûts liés aux erreurs médicales,Améliorer la communication entre les soignants,b,4
OIC-005-15-B,Quelle est la principale caractéristique d'une démarche de culture positive de l'erreur ?,La culpabilisation des professionnels de santé,L'objectivité dans le signalement et l'analyse des erreurs,Le volontariat des patients pour signaler les dysfonctionnements,La recherche d'un dédommagement du préjudice subi,b,4
OIC-006-01-A,Quel est le rôle principal d'une équipe pluriprofessionnelle dans la prise en charge du patient ?,Une barrière de sécurité contre les événements indésirables.,Un facteur de qualité de la prise en charge du patient.,Un moyen de répondre de manière collaborative aux besoins du patient.,Un facteur de santé et de bien-être au travail pour les professionnels.,option_c,4
