id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
OIC-005-01-A,"Selon le texte, quelle est la principale difficulté rencontrée par le patient pour prouver l'engagement de la responsabilité d'un professionnel de santé ?",Prouver l'existence d'un dommage.,Prouver l'existence d'un fait générateur de responsabilité (souvent une faute).,Prouver le lien de causalité entre le fait générateur et le dommage.,Prouver que le dommage est actuel et certain.,c,4
OIC-005-02-A,"Selon le texte, quelle est la principale distinction entre une faute délibérée et une faute caractérisée dans le contexte de l'homicide ou des blessures involontaires imputables à un médecin ?","La faute délibérée implique une violation consciente d'une règle de prudence, tandis que la faute caractérisée est une imprudence ou négligence créant un risque grave que le médecin ne peut ignorer.","La faute délibérée est toujours intentionnelle, tandis que la faute caractérisée est toujours involontaire.","La faute délibérée concerne uniquement les violations du secret professionnel, tandis que la faute caractérisée concerne les erreurs de diagnostic ou de traitement.","La faute délibérée est jugée par le tribunal de police, tandis que la faute caractérisée est jugée par la cour d'assises.",a,4
OIC-005-03-A,"Selon le texte, qui engage sa responsabilité civile personnelle pour les dommages causés à un patient ?","Les médecins salariés d'établissements privés, tant qu'ils agissent dans le cadre de leur mission.",Les professionnels exerçant à titre libéral et les établissements de santé privés.,Les praticiens hospitaliers pour les dommages survenus dans le cadre de leur activité salariée.,Les médecins salariés d'établissements privés lorsqu'ils outrepassent leur mission confiée par l'employeur.,b,4
OIC-005-04-A,"Selon le texte, dans quel cas la responsabilité du médecin hospitalier est-elle engagée devant les juridictions administratives ?",Lorsqu'il commet une faute personnelle intentionnelle en dehors du service.,Lorsqu'il commet une faute personnelle intentionnelle pendant le service.,"Lorsqu'il commet une faute dans l'exercice de ses fonctions, avec les moyens du service et en dehors de tout intérêt personnel.",Lorsqu'il commet une faute personnelle détachée du service en raison de son exceptionnelle gravité.,c,4
OIC-005-05-A,"Selon le texte, quelle est la nature principale de la responsabilité disciplinaire pour un médecin ?",Une sanction pénale infligée par les tribunaux.,Une sanction civile résultant d'un préjudice causé à un patient.,Une sanction administrative imposée par l'État.,Une sanction prononcée par les instances de l'Ordre des médecins pour manquement aux règles de déontologie.,d,4
OIC-005-06-A,Quelle est la définition de la responsabilité sans faute en médecine ?,Responsabilité engagée en cas de faute professionnelle prouvée.,"Responsabilité engagée malgré l'absence de faute, d'erreur ou de manquement aux règles professionnelles.",Responsabilité engagée uniquement en cas d'erreur médicale intentionnelle.,Responsabilité engagée uniquement en cas de dommage non lié aux soins.,b,4
OIC-005-07-A,"Selon le texte, quel est l'élément essentiel pour qu'un patient puisse engager la responsabilité d'un médecin ou d'un établissement de santé ?",La simple insatisfaction du patient concernant le résultat du soin.,La preuve d'une atteinte à l'un des droits du patient.,"La preuve d'une faute du professionnel de santé, définie comme une violation des connaissances médicales avérées ou un devoir d'humanisme.","La démonstration que le produit de santé utilisé était défectueux, indépendamment d'une faute du professionnel.",c,4
OIC-005-08-A,"Selon le texte, quelle est la définition d'une 'violation' dans le contexte des erreurs médicales ?",Une action nécessaire qui n'a pas été effectuée.,Une action effectuée mais inutile.,Un non-respect d'une recommandation ou d'une règle professionnelle.,Une action mal réalisée.,c,3
OIC-005-09-A,"Quelle est la principale différence entre un accident médical et une affection iatrogène, selon le texte ?","Un accident médical est toujours dû à une erreur médicale, tandis qu'une affection iatrogène peut survenir même sans faute.","Une affection iatrogène est un dommage anormal lié à l'évolution prévisible de l'état de santé, tandis qu'un accident médical est un événement indésirable survenu lors d'un acte de soin.","Un accident médical est un événement indésirable survenu lors d'un acte de soin, pouvant résulter de soins conformes aux bonnes pratiques (aléa thérapeutique), tandis qu'une affection iatrogène est un effet néfaste provoqué par un traitement, même utilisé correctement.",Les deux termes sont synonymes et désignent un dommage résultant d'un acte médical.,c,4
OIC-005-10-A,"Selon la définition donnée, une infection contractée en milieu hospitalier est considérée comme nosocomiale si :",Elle est présente dès l'admission du patient.,Elle apparaît plus de 48 heures après l'admission.,Elle est contractée par le personnel soignant.,Elle est toujours liée à une erreur médicale.,b,4
