Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
0,OIC-005-01-A,Quelle est la principale raison pour laquelle un professionnel de santé ou un établissement de santé peut être tenu responsable ?,Pour obtenir une sanction pénale.,Pour indemniser l'usager victime des conséquences d'un événement indésirable.,Pour obtenir une indemnisation administrative.,Pour obtenir une sanction disciplinaire.,b,4
1,OIC-005-01-A-,Quelle est la fonction principale de la responsabilité pénale ?,Sanctionner les individus dont le comportement est réprouvé dans notre société.,Garantir la sécurité des patients.,Assurer la confidentialité des informations médicales.,Réduire les coûts des soins de santé.,a,1
2,OIC-005-02-A,"Selon le texte, quel type de juridiction est compétente pour la responsabilité civile des professionnels exerçant à titre libéral ?",Tribunal de proximité,Tribunal de grande instance,Cour d'appel,Cour de cassation,b,1
3,OIC-005-02-A-,"Selon le texte, quel type de responsabilité est engagée devant les juridictions de l'ordre administratif en cas d'actes réalisés par les médecins hospitaliers ?",Responsabilité civile personnelle,Responsabilité pénale,Responsabilité administrative,Responsabilité disciplinaire,c,4
4,OIC-005-04-A,"Selon le texte, quel est le principal élément à prouver pour qu'une faute médicale soit établie ?

(A) Que le patient a subi un préjudice.
(B) Que le médecin a commis une erreur.
(C) Que le médecin a violé un devoir d'humanisme.
(D) Que le médecin a violé les connaissances médicales avérées.",Que le patient a subi un préjudice.,Que le médecin a commis une erreur.,Que le médecin a violé un devoir d'humanisme.,Que le médecin a violé les connaissances médicales avérées.,D,4
5,OIC-005-04-A-,"Selon le texte, quelle est la principale conséquence de la reconnaissance d'une erreur ?",L'incitation à la culpabilité et à la punition.,L'opportunité d'apprendre et de progresser.,L'isolement social et la stigmatisation.,La justification de la faute et l'absence de remède.,b,4
6,OIC-005-07-A,Qu'est-ce qui est essentiel pour adopter un comportement de prévention des erreurs ?,Ignorer les erreurs passées.,Reconnaître qu'on peut faire des erreurs.,Blâmer toujours les autres pour les erreurs.,Se croire infaillible et ne jamais faire d'erreurs.,b,4
7,OIC-005-07-A-,Quelle est la principale fonction des barrières de sécurité dans les soins médicaux ?,Réduire les risques de complications pour les patients.,Minimiser les coûts des soins.,Prévenir les erreurs et les accidents.,Faciliter la communication entre les professionnels de santé.,c,4
8,OIC-005-08-A-,"Selon le texte, quel est le principal avantage du travail en équipe pluriprofessionnelle ?",Réduire les coûts de santé.,Améliorer la communication entre les professionnels de santé.,Créer une barrière de sécurité contre les événements indésirables.,Augmenter la satisfaction des patients.,c,4
9,OIC-005-09-A,Quel est l'objectif principal d'une réunion de concertation pluridisciplinaire (RCP) ?,Déterminer le diagnostic final du patient.,Identifier les ressources nécessaires pour le traitement du patient.,Établir un plan de traitement personnalisé et coordonné.,Documenter les observations cliniques du patient.,c,4
10,OIC-005-09-A-,"Selon le contenu éducatif, quel est le principal objectif de l'organisation du parcours de soins ?",Assurer la sécurité du patient.,Minimiser les coûts des soins.,Organiser et coordonner le juste enchaînement des compétences professionnelles tout au long de la prise en charge d'un patient.,Simplifier les procédures administratives pour le personnel médical.,c,4
11,OIC-005-10-A,Qu'est-ce qu'un protocole pluriprofessionnel ?,Un document qui détaille les tâches spécifiques à effectuer par chaque professionnel de santé.,"Un ensemble de recommandations et de procédures standardisées pour la prise en charge d'une maladie, élaboré par plusieurs professionnels de santé.",Un outil de gestion des patients qui permet de suivre l'évolution de leur état de santé.,Un système de notation qui évalue la qualité des soins prodigués.,b,4
12,OIC-005-11-A-,Quelle est la principale fonction d'une Réunion de Morbi-Mortalité (RMM) ?,Identifier les causes directes des décès.,Analyser collectivement les événements indésirables associés aux soins pour améliorer la sécurité du patient.,Attribuer des responsabilités individuelles aux membres de l'équipe soignante.,Documenter les procédures de soins standardisées.,b,4
13,OIC-005-12-B,Quel est le rôle principal du Samu-Centre 15 ?,Assurer le transport du patient vers l'hôpital.,Organiser les plans de secours et la formation des acteurs en santé.,Assurer une écoute médicale permanente et déterminer la réponse la plus adaptée à l'appel.,Gérer les appels en urgence et diriger le patient vers la bonne filière de soins.,c,4
14,OIC-005-13-A-,"Selon le contenu éducatif, quel facteur structurel contribue aux discriminations en santé ?",Le manque de représentation des minorités dans les équipes soignantes.,Le rapport de pouvoir asymétrique entre le soignant et le patient.,L'augmentation du nombre de patients dans les hôpitaux.,L'amélioration de la communication entre les soignants et les patients.,b,4
15,OIC-005-14-B,Quelle est la principale différence entre l'éthique et la morale ?,"L'éthique est un ensemble de règles strictes et immuables, tandis que la morale est flexible et adaptable.","L'éthique est une compétence réflexive qui permet de questionner la moralité de ses actes, tandis que la morale est un jugement de valeur.","L'éthique est une science qui étudie les faits et les comportements, tandis que la morale est un dogme.","L'éthique est un code de bonnes pratiques professionnelles, tandis que la morale est un jugement de valeur.",b,4
