id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
OIC-008-01-A,Quel est le critère sur lequel il est interdit de s'appuyer pour traiter différemment des personnes en France ?,L'appartenance ethnique,La nationalité,Le patronyme,Tous les critères ci-dessus,D,0
OIC-009-03-A,Quel est l'objectif principal du Code de déontologie médicale ?,Il s'agit d'un guide pour les médecins dans leur pratique quotidienne,Il sert de référence aux instances juridictionnelles de l'Ordre des médecins,Il est établi uniquement par la profession médicale,Il remplace la Constitution et les lois en matière médicale,b,0
OIC-009-04-A,Quels sont les quatre grands principes de l'éthique médicale selon l'approche par principes ?,"La bienfaisance, la non-malfaisance et le respect de l'autonomie.","La justice, la solidarité et l'universalité.","Le principe de proportionnalité, le principe de compétence et le principe de responsabilité.",Tous les principes ci-dessus sont corrects.,d,0
OIC-009-08-A,Quel est le rôle principal de la personne de confiance dans l'information et le recueil du consentement ?,"Accompagner le patient dans ses démarches de soins, physiquement et/ou psychologiquement.",Témoigner des désirs du patient en cas de situations de crises majeures.,Faire le lien avec les équipes médicales pour aider à la prise de décision.,Protéger les secrets du patient et ne pas communiquer avec l'équipe soignante.,A,0
OIC-009-11-A,Quelle est la principale différence entre la curatelle et la tutelle ?,La curatelle est une mesure plus protectrice que la tutelle.,La tutelle est une mesure plus protectrice que la curatelle.,Les deux mesures sont identiques dans leurs implications principales.,La curatelle ne nécessite pas d'autorisation du juge des tutelles.,b,0
OIC-009-14-B,Quelle est la différence principale entre IVG et IMG en ce qui concerne le délai ?,"L'IVG peut avoir lieu à tout moment de la grossesse, tandis que l'IMG a une limite de délai.","L'IVG n'a pas de limitation de délai, tandis que l'IMG peut être pratiquée à tout moment de la grossesse.","L'IVG est limité à 12 semaines de grossesse, tandis que l'IMG peut avoir lieu à tout moment de la grossesse.","L'IVG ne peut pas être pratiquée après 20 semaines de grossesse, tandis que l'IMG peut avoir lieu à tout moment de la grossesse.",b,0
OIC-009-22-B,Quelle loi a supprimé les termes « recherche biomédicale » et a donné un cadre unique aux recherches médicales en France ?,Loi Huriet-Sérusclat,Loi du 9 août 2004,Loi Jardé (2012),Loi relative aux essais cliniques de 2001,c,0
OIC-009-27-B,L'identification d'une personne par ses empreintes génétiques est possible uniquement :,Dans le cadre de mesures d'enquête ou d'instruction diligentées lors d'une procédure judiciaire.,À des fins médicales ou de recherche scientifique.,"Aux fins d'établir, lorsqu'elle est inconnue, l'identité de personnes décédées.",Dans les conditions prévues à l'article L.2381-1 du Code de la défense.,D,0
OIC-019-05-A,Quel est le nombre approximatif de personnes assujetties au régime général ?,10 millions,20 millions,près de 30 millions,40 millions,c,0
OIC-019-08-A,Quel est le pourcentage de la population française couverte par le régime agricole ?,10%,5%,88%,20%,b,0
OIC-019-09-A,Quelle est la mission principale de la Caisse nationale d'assurance maladie (CNAM) ?,"Gérer les risques maladie, maternité, invalidité et décès ainsi que accidents du travail et maladies professionnelles.",Prise en charge des soins dispensés aux assurés sociaux.,Améliorer la santé de la population,Maîtriser les dépenses de santé,option_b,0
OIC-020-05-B,Quel est le rôle des hypothèses de recherche dans la définition de l'objectif d'une étude ?,Les hypothèses de recherche définissent uniquement les objectifs secondaires d'une étude.,Les hypothèses de recherche sont directement liées à l'estimation de la puissance d'une étude et au calcul du nombre de sujets nécessaires.,Les hypothèses de recherche ne jouent aucun rôle dans la définition de l'objectif principal d'une étude.,Les hypothèses de recherche définissent uniquement les objectifs principaux d'une étude.,B,0
OIC-020-07-B,"Quelle modalité d'échantillonnage consiste à s'assurer de la représentativité d'un échantillon en lui affectant une structure similaire à celle de la population source, selon certaines caractéristiques ?",Recrutement exhaustif,Sondage stratifié,Méthode des quotas,Échantillon de convenance,option_c,0
OIC-020-10-B,Quelle est la définition des variables aléatoires ?,Une fonction qui attribue un nom à toutes les issues possibles.,Une fonction qui attribue un nombre à toutes les issues possibles.,Une fonction qui attribue une date à toutes les issues possibles.,Une fonction qui attribue un texte à toutes les issues possibles.,option_b,0
OIC-020-11-B,Quel est le paramètre statistique qui mesure la dispersion d'un ensemble de valeurs autour de leur moyenne ?,Moyenne,Variance,Écart-type,Distance interquartile,B,0
OIC-020-13-B,Quel est le terme générique utilisé pour décrire le délai jusqu'à la survenue d'un événement quel qu'il soit ?,Données de survie,Variables censurées,Durée de suivi,Temps de suivi,A,0
OIC-020-22-A,Quelle est la formule du Risque Relatif (RR) ? ,p1/(1-p1)p0/(1-p0),p1p0,p0-p1,1-RR,b,0
OIC-020-24-A,Quels sont les paramètres qui influencent la puissance d'une étude ?,"La taille de l'échantillon, la différence à détecter et la variabilité des observations.","Le risque alpha, le test unilatéral ou bilatéral et la taille de l'échantillon.","La construction d'un test uni ou bilatéral, la taille de l'échantillon et la différence à détecter.","La variabilité des observations, le risque alpha et la taille de l'échantillon.",b,0
OIC-020-32-B,Quel est le but principal des revues prédatrices ?,Publier les articles scientifiques rapidement et gratuitement.,Proposer des articles scientifiques à des chercheurs moyennant des frais de publication.,Valider la qualité des articles avant leur publication.,Favoriser l'accès libre aux publications scientifiques.,option_b,0
OIC-022-02-B,Quel est l'objectif du Plan National Maladies Rares (PNMR3) ?,Favoriser les parcours de santé lisibles pour les patients atteints de maladies rares.,Réduire le temps nécessaire pour obtenir un diagnostic précis en moins d'un an.,Augmenter le nombre de centres de référence maladies rares (CRMR) en France.,Améliorer la prise en charge des patients atteints de maladies rares au plus proche de leur domicile.,b,0
OIC-022-05-A,Quelle est la différence entre l'errance diagnostique et l'impasse diagnostique ?,"L'errance diagnostique se produit lorsque le diagnostic est posé trop rapidement, tandis que l'impasse diagnostique se produit lorsque les investigations disponibles ne permettent pas de définir la cause précise d'une maladie.","L'errance diagnostique concerne les maladies dont la cause génétique n'a pas encore été reconnue, tandis que l'impasse diagnostique concerne les malades atteints d'une forme atypique d'une maladie connue.","L'errance diagnostique se produit lorsque le diagnostic est posé trop rapidement, tandis que l'impasse diagnostique se produit lorsque les investigations disponibles ne permettent pas de définir la cause précise d'une maladie.","L'errance diagnostique concerne les maladies dont la cause génétique n'a pas encore été reconnue, tandis que l'impasse diagnostique se produit lorsque le diagnostic est posé trop rapidement.",b,0
OIC-024-04-A,Quels sont les signes cliniques en faveur d’un hématome rétroplacentaire (HRP) ?,"Hémorragie abondante, sang rouge et souvent récidivante","Contexte vasculaire (>35ans, HTA, tabac, cocaïne, primipare, prééclampsie)",Douleurs utérines permanentes et contracture utérine permanente,Activité cardiaque fœtale bien perçue,b,0
OIC-024-11-A,Quelles sont les complications maternelles de la prééclampsie ?,"Crise d'éclampsie, HELLP syndrome et hématome rétroplacentaire",Coagulation intravasculaire disséminée et insuffisance rénale aiguë,Hémorragie cérébroméningée et rétinopathie hypertensive,Toutes les options ci-dessus sont correctes,A,0
OIC-024-20-A,Quels sont les examens à réaliser pour confirmer une menace d'accouchement prématuré ?,Tocométrie externe,Enregistrement du RCF,"Bilan bactériologique : ECBU, prélèvement cervicovaginal",Fibronectine fœtale,c,0
OIC-024-23-A,Quels sont les deux objectifs de l'examen clinique en cas de fièvre au cours de la grossesse ?,Rechercher des signes d'appel évocateurs d'une étiologie spécifique,Évaluer le retentissement obstétrical,Diagnostiquer une infection urinaire haute,Déterminer la gravité de la fièvre,b,0
OIC-026-02-A,Quelle est la cause gynécologique qui peut être à l'origine d'une douleur pelvienne aiguë chez une femme enceinte ?,Nécrobiose aseptique de fibrome,Torsion de kyste,Rupture hémorragique ou non de kyste,Hémorragie intrakystique,option_a,0
OIC-027-07-A,Quel est le risque d'anomalies fœtales majeures si l'infection maternelle a lieu avant 11 SA ?,Faible,Moyen,Très important (de l'ordre de 90 %),Nul,c,0
OIC-027-10-A,Quelles sont les conséquences de la rougeole pendant la grossesse ?,Augmentation du risque de malformations congénitales et de prématurité.,"Risque accru de fausse couche, de mort fœtale in utero et de prématurité.",Pas d’augmentation du risque de malformations congénitales.,Augmentation du risque de décès maternel et de complications cardiaques.,B,0
OIC-027-12-A,Quel est le taux de transmission global du CMV durant la grossesse ?,15%,36%,40%,65%,c,0
OIC-027-24-B,Quel est le lien entre la vaginose bactérienne et l'accouchement prématuré ?,La vaginose bactérienne favorise l'accouchement prématuré.,La vaginose bactérienne n'a aucun impact sur l'accouchement prématuré.,La vaginose bactérienne est une cause d'accouchement prématuré.,L'impact de la vaginose bactérienne sur l'accouchement prématuré n'est pas clair.,option_b,0
OIC-027-30-A,Quelle est la bonne conduite à tenir en cas de découverte d'une malformation à la naissance chez un enfant ?,"Consigner les circonstances de la prise médicamenteuse : durée, quantité et indication.",Adapter le traitement lors d'une consultation préconceptionnelle avec le traitement le mieux connu pour une grossesse.,"Reprendre de façon rétrospective sa chronologie d'administration avec si possible la posologie, et déclarer dans un centre de pharmacovigilance.",Poursuite ou non de la grossesse suivant les éléments évalués en Centre Pluridisciplinaire de Diagnostic Prénatal.,option_c,0
OIC-027-32-B,Quel est le risque associé à la prise de valproate de sodium pendant la grossesse ?,Malformations cardiaques et cérébrales,"Spina-bifida, CIV, CIA, atrésie de l'artère pulmonaire, hypoplasie du ventricule gauche, fente palatine, atrésie anorectale, hypospadias, polydactylie pré-axiale",Syndrome de Moebius et anomalies distales des membres,"Malformations faciales, dysmorphies, cardiopathies congénitales",b,0
OIC-027-34-B,Quel est le principal effet du tabagisme sur la santé fœtale ?,Augmentation de poids à la naissance,Risque accru d'infections fœtales,Effet-dose entre le tabagisme maternel et l'atteinte fœtale,Réduction du risque de malformations congénitales,option_c,0
