Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
0,OIC-005-02-A,Quelle est la responsabilité civile des médecins salariés d’établissements privés?,a,b,c,d,c,1
1,OIC-005-03-A-,Quelle est la définition de la responsabilité sans faute?,a,b,c,d,a,1
2,OIC-005-04-A,Quelle option correspond à une faute technique qui entraîne une responsabilité médicale?,droit à la protection de la santé,droit au respect de la dignité,droit à un produit de santé,droit à la vie privée et au secret des informations,c,2
3,OIC-005-04-A-,Quelle est la définition de l’erreur médicale selon le contenu éducatif?,a,b,c,d,a,1
4,OIC-005-05-A-,Quelle est la définition de l’infection nosocomiale selon le contenu éducatif?,L’infection est absente au moment de l’admission.,L’infection est généralement considérée comme nosocomiale si elle apparaît avant 48 heures d’hospitalisation.,L’infection est considérée comme nosocomiale si elle apparaît après 48 heures d’hospitalisation.,L’infection est absente au moment de l’admission et est considérée comme nosocomiale.,c,4
5,OIC-005-06-A,Quel est le principal différence entre les erreurs et l’aléa thérapeutique?,L’aléa thérapeutique est inévitable,L’aléa thérapeutique est causé par une action médicale,L’aléa thérapeutique est lié à un risque inhérent à l’acte médical,L’aléa thérapeutique est survenu sans cause malveillante,c,4
6,OIC-005-06-A-,Quelle est une des principales causes liées au patient?,état de santé,gravité des maladies associées,communication au sein de l’équipe,environnement de travail,a,3
7,OIC-005-07-A-,Quel est l'objectif principal de la gestion des erreurs et des plaintes selon le contenu?,Évaluer les risques à l'avance,Identifier les causes des erreurs,Prendre des mesures pour réduire les risques,Analyser les erreurs à l'avenir,c,3
8,OIC-005-08-A,Quelle est la fonction principale des systèmes passifs de repérage des erreurs dans les hôpitaux?,L’analyse rétrospective des dossiers,La gestion des erreurs et des plaintes,Le signalement des erreurs,La recherche de mots clés,c,4
9,OIC-005-10-A-,Quelle est la structure principale des RCPs?,une réunion collégiale,une réunion de plusieurs médecins,une réunion de trois médecins,une réunion de quatre médecins,a,3
10,OIC-005-12-B,Quelle est la mission principale du Samu-Centre 15?,assurer une écoute médicale permanente,organiser le transport du patient,déterminer le besoin de soins,organiser le suivi du patient,a,4
11,OIC-005-12-B-,Quelle est la définition de la discrimination selon le contenu éducatif?,"Une discrimination consiste à faire une différence de traitement, selon des critères prohibés, et entraînant un préjudice pour la personne.",Une discrimination est une situation de refus de soin.,Une discrimination est un phénomène de stéréotype.,Une discrimination est un acte de refus de soin.,a,4
12,OIC-005-13-A,Quelle est l'impact de la discrimination sur la santé des personnes vulnérables?,Elles ont un statut de santé plus élevé,Elles ont un statut de santé plus faible,Elles ont un stress plus élevé,Elles ont un accès aux services plus facile,b,4
13,OIC-005-13-A-,Quelle est une cause principale des discriminations en santé selon la description?,a,b,c,d,a,1
14,OIC-005-14-B,Quelle est la nature de la démarche éthique en médecine?,Un jugement de valeur,Un code de bonnes pratiques,Une réflexion pluridisciplinaire,Un jugement strict,c,4
15,OIC-005-14-B-,Quelle est la personne qui inventa le terme 'bioéthique' au début des années 70?,V.R. Potter,R. Fox,Kennedy Institute,Aucune,a,4
16,OIC-005-15-B,Quelle est la date première mention du mot 'déontologie' en langue française?,a,b,c,d,a,1
17,OIC-006-02-A,Quelle est la principale question éthique liée au refus de soin par le patient?,La continuité des soins,La conscience personnelle,Le principe de bienfaisance,Le principe de proportionnalité,c,4
18,OIC-006-02-A-,Quel est le rôle principal de la personne de confiance selon le contenu?,Assister le patient dans ses démarches de soins,Rappeler le patient à son médecin,Témoigner des désirs du patient,Rappeler le patient à son proche,c,4
19,OIC-006-03-A,Quelle est la définition principale de la vulnérabilité selon le texte?,a,b,c,d,a,1
20,OIC-006-04-B,La sauvegarde de justice :,a,b,c,d,a,1
21,OIC-006-04-B-,Quelle personne peut être déclarée comme demandeur d’un dossier d’ouverture d’une mesure de protection?,Le majeur concerné lui-même,"Son conjoint (époux, concubin…)",La personne qui exerce déjà à l’égard du majeur concerné une mesure de protection juridique,Le procureur de la République,a,4
22,OIC-006-06-A,Quelle est la principale attestation par le CPDPN lorsqu'une anomalie fœtale est détectée?,La femme décide d'interrompre la grossesse,Le médecin décide d'interrompre la grossesse,Le CPDPN atteste qu'il existe une forte probabilité d'une maladie grave,Le médecin décide d'interrompre la grossesse,c,4
23,OIC-006-07-A,Quelle est la question éthique principale liée à la fin de vie selon le contenu?,Autonomie,Dignité,Information,Euthanasie,a,4
24,OIC-006-08-A,Quelle est la décision principale du médecin lorsqu'une personne ne peut plus s'exprimer?,a,b,c,d,a,1
25,OIC-006-08-A-,Quelle est la définition principale de la personne de confiance en fin de vie?,Une personne qui prend soin du patient,Une personne qui s’exprime seul dans les décisions,Une personne qui est consultée lors de la décision,Une personne qui est responsable des soins,c,4
26,OIC-008-01-A,Quel principe éthique est mis en avant lors de la définition de la RIPH?,a,b,c,d,a,1
27,OIC-008-02-B,Quel principe éthique est inscrit dans les lois françaises concernant le don d'organes?,a,b,c,d,a,1
28,OIC-009-01-A-,Quelle est la fonction principale du corps selon les sociologues comme Pierre Bourdieu?,a,b,c,d,c,1
29,OIC-009-02-A,Quelle est la description correcte de l'expérience corporelle selon le contenu?,La douleur est un phénomène physique.,La douleur est un phénomène physique nécessitant une intervention médicale.,La douleur est un fait d'existence qui modifie l'identité.,La douleur est une fonction physique.,c,4
30,OIC-009-03-A,Quelle est la définition de la protection sociale selon le contenu éducatif?,L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières.,Les risques sociaux sont des situations susceptibles de compromettre la sécurité financière d'un individu ou de sa famille en provoquant une baisse de ses ressources ou une hausse des dépenses.,La logique d'assurance sociale vise à prémunir les assurés contre une perte de revenus liée aux risques sociaux.,La logique de protection universelle couvre certaines catégories de dépenses pour tous les individus.,a,4
31,OIC-009-03-A-,La protection sociale repose sur :,le versement de prestations sociales directement aux individus,le versement de prestations sociales en espèces avec des revenus de remplacement,l'accès à des prestations de services sociaux fournis gratuitement ou à des prix réduits,le remboursement des soins de santé ou le financement direct de services,a,4
32,OIC-009-05-A-,Quelle est la nature de la loi de financement de la Sécurité Sociale (LFSS)?,Une loi de finances,Une loi de santé,Une loi de financement et non de finances,Une loi de protection sociale,c,4
33,OIC-009-07-A,Quelle est la mission principale de la Caisse nationale d'assurance maladie (CNAM)?,La prise en charge des soins dispensés aux assurés sociaux,La formation des professionnels de santé,La maîtrise médicalisée des dépenses,La réduction des coûts de santé,a,4
34,OIC-009-07-A-,Quel est le nom de la participation forfaitaire?,a,b,c,d,a,1
35,OIC-009-08-A,Quelle est la fonction principale du médecin traitant en ce qui concernait la coordination des soins?,Assure les soins régulièrement,Oriente le patient dans le parcours de soins coordonnés,Assure une prévention personnalisée,Gère le dossier médical,b,4
36,OIC-009-08-A-,Quelle condition spéciale permet d'exonérer le ticket modérateur pour les soins ALD?,30 affections de longue durée,Hors liste des 30 ALD,Une maladie non présente sur la liste des 30 ALD,Une maladie polypathologie à l'origine,a,4
37,OIC-009-09-B,Les prestations en espèces sont un revenu de remplacement. Elles sont par exemple servies sous la forme d'indemnités journalières (IJ) et constituent un revenu de remplacement pour les personnes salariées placées en arrêt de travail.,a,b,c,d,a,1
38,OIC-009-11-A-,Quel est l'objectif principal d'une recherche en santé?,a,b,c,d,a,1
39,OIC-009-12-B-,Quelle méthode permet de sélectionner un échantillon représentatif de la population source en cas d'existence d'une base de sondage?,Recrutement exhaustif,Tirage au sort,Sondage stratifié,Échantillon de convenance,c,4
40,OIC-009-13-A,Quelle est la nature des données recueillies à partir des systèmes de surveillance épidémiologiques?,d'une étude ad hoc,d'une base de données de santé,d'une source de données d'enregistrement continu,d'une base médico-administrative,c,4
41,OIC-009-14-B,Quel est le rôle des probabilités dans les phénomènes aléatoires?,Modélisent des phénomènes aléatoires dont les issues sont connues,Modélisent des phénomènes aléatoires dont les issues sont connues et on peut prédire la valeur,Modélisent des phénomènes aléatoires dont les issues sont incertaines,Modélisent des phénomènes aléatoires dont les issues sont incertaines et on peut prédire la valeur,c,2
42,OIC-009-14-B-,Quelle est la méthode de calcul pour déterminer la moyenne d'une population?,Moyenne,Mode,Quantile,Écart-type,a,1
43,OIC-009-15-B,Quelle est la nature de l'inférence en recherche en santé?,Une extrapolation des résultats observés sur échantillon à la population dont il est issu,Une estimation des risques de se tromper en concluant que ce résultat n'est pas lié au hasard,Une hypothèse nulle et alternative,Une analyse des données indépendantes,a,4
44,OIC-009-16-B,Quelle est la méthode d'analyse multivariée utilisée pour identifier les facteurs d'exposition étudiés indépendamment liés au phénomène?,a,b,c,d,c,1
45,OIC-009-16-B-,Quelle est une des principales motivations pour protéger les données personnelles de santé?,Pour garantir la vie privée des personnes,Pour faciliter la collecte de données,Pour améliorer les services de santé,Pour élargir les données disponibles,a,4
46,OIC-009-17-A-,Quelle est la meilleure description de la population cible?,Population cible,Population source,Échantillon,Population source,a,1
47,OIC-009-18-A,Quelle caractéristique d'une enquête de cohorte permet de suivre un échantillon de sujets pendant un temps?,critère de jugement binaire : non atteints du phénomène de santé étudié et de relever le nombre de nouveaux cas qui apparaissent au cours du temps.,"critère de jugement quantitatif : de suivre l'évolution du critère de jugement (ex. charge virale, niveau de dépression, etc.) dont on connaît le niveau à l’inclusion.",le suivi postérieur à l’inclusion : ce qui caractérise une cohorte c’est ce suivi des sujets (= étude longitudinale),le suivi des sujets depuis leur inclusion pendant une durée en général déterminée pour l’étude pour collecter des données postérieures à l’inclusion.,c,4
48,OIC-009-22-B,Quelle est la source d'erreur qui est liée à la fluctuation d'échantillonnage et à la taille de l'échantillon?,Erreur aléatoire,Erreur systématique,Biais de sélection,Biais de confusion,a,4
