,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-02-A,Quelle affirmation définit correctement la responsabilité pénale?,"Cette question évalue la compréhension de la définition de la responsabilité pénale, en distinguant clairement son fonctionnement par rapport aux autres formes de responsabilité (civile, administrative, disciplinaire). Le piège courant est de confondre la responsabilité pénale avec la responsabilité civile ou administrative.","La responsabilité pénale est une sanction répressive applicable à tous les médecins, y compris les internes, et peut également concerner les établissements de santé en tant que personnes morales.","Correcte. Elle résume l'essence de la responsabilité pénale : fonction répressive, application universelle aux médecins et possibilité de concerner les établissements de santé.",La responsabilité pénale implique une indemnisation du patient pour les dommages causés par une faute médicale.,"Incorrecte. C'est la responsabilité civile qui implique l'indemnisation, pas la pénale. La pénale vise la sanction répressive, non l'indemnisation.",La responsabilité pénale est une sanction administrative imposée par les autorités sanitaires pour des infractions professionnelles.,Incorrecte. La responsabilité pénale est un domaine juridique distinct de l'administration. Les sanctions administratives relèvent d'une autre compétence.,L'aléa thérapeutique est une forme de responsabilité pénale liée aux risques inévitables des traitements médicaux.,"Incorrecte. L'aléa thérapeutique est un concept distinct, lié à la gestion des risques médicaux, et ne constitue pas une forme de responsabilité pénale.",a
1,OIC-005-07-A,Quelle est la définition correcte de la faute dans le contexte de la responsabilité médicale?,"La question évalue la connaissance de la définition de la faute, un objectif de Rang A. Elle met en évidence la distinction entre les types de faute (technique ou humaine) et évite les confusions avec d'autres concepts comme les droits du patient ou les produits défectueux.",Une violation des connaissances médicales avérées ou d’un devoir d’humanisme (comme le secret professionnel ou l’information du patient),Correcte. Cela correspond aux deux formes de faute décrites dans le contenu : technique et violation des devoirs humains.,"L’atteinte d’un droit du patient, comme le droit à la santé ou à la confidentialité","Incorrecte. Les droits du patient sont le fondement de la réclamation, mais non la définition de la faute elle-même.",Le défaut d’un produit de santé considéré comme défectueux,"Incorrecte. Ce cas relève d’une responsabilité externe au médecin, non de la faute professionnelle.",L’absence de consentement du patient à un traitement,"Incorrecte. Le consentement est un élément de la faute humaine, mais ne constitue pas une définition exhaustive de la faute.",a
2,OIC-006-06-A,Quelle est la principale fonction des listes de vérification (check-lists) en sécurité des soins?,"La question évalue la compréhension des objectifs des check-lists en sécurité des soins, un élément clé de la démarche qualité. Un piège courant est de confondre leur rôle avec d'autres objectifs comme la réduction des coûts ou la conformité légale.",Assurer la sécurité du patient en vérifiant les étapes critiques d'une intervention,"Correcte. Les check-lists visent à sécuriser les interventions en vérifiant les étapes clés, comme l'identité du patient ou le matériel.",Réduire les coûts des soins en optimisant les ressources,"Incorrecte. La réduction des coûts n'est pas leur objectif principal, mais une conséquence indirecte.",Faciliter la communication entre les professionnels via des rapports écrits,"Incorrecte. Bien que la communication soit un aspect, la vérification croisée est leur fonction centrale, non la rédaction de rapports.",Assurer la conformité légale des établissements de santé,"Incorrecte. La conformité légale est un objectif secondaire, pas la principale fonction des check-lists.",a
3,OIC-009-06-A,"Selon la loi du 4 mars 2002, quel est le cadre légal concernant l'obligation d'information du patient sur les risques associés aux soins médicaux?","Cette question évalue la connaissance du droit et du devoir d'information, en mettant en évidence l'obligation légale de communiquer tous les risques normalement prévisibles, y compris les rares mais graves.",Le patient doit être informé uniquement des risques fréquents et graves.,"Incorrect. La loi du 4 mars 2002 exige l'information sur tous les risques normalement prévisibles, y compris les rares mais graves.","Le patient doit être informé de tous les risques, y compris les rares mais graves.","Correct. La loi du 4 mars 2002 impose l'obligation d'informer le patient sur tous les risques normalement prévisibles, indépendamment de leur fréquence.",Le patient peut refuser d'être informé des risques graves s'il le souhaite.,"Incorrect. L'exception de refus de savoir ne s'applique pas aux risques graves pouvant affecter autrui (ex. contagieux), mais ne dispense pas l'obligation d'information.",L'information sur les risques n'est obligatoire que pour les traitements à risque élevé.,"Incorrect. L'obligation d'information s'applique à tous les actes médicaux, même les plus courants, dès lors qu'ils comportent des risques normalement prévisibles.",b
4,OIC-009-08-A,Quelle est la principale fonction de la personne de confiance dans le cadre de la prise en charge médicale?,"Cette question évalue la compréhension du rôle central de la personne de confiance dans l'accompagnement du patient, un objectif clé de l'item. Un piège courant est de confondre ce rôle avec celui de la déontologie ou des mesures de protection.",Assister le patient dans les démarches de soins et faciliter la communication avec les équipes médicales,Correcte. Cette option résume précisément le rôle principal de la personne de confiance selon le texte.,Rédiger un contrat de don d'organes en cas de décès,"Incorrecte. Cette fonction relève spécifiquement des mesures de protection des organes, non du rôle de la personne de confiance.",Privilégier le secret médical sans exception,"Incorrecte. La personne de confiance peut être informée du secret du patient selon les souhaits du patient, contrairement à une obligation absolue.",Rédiger les directives anticipées en cas de crise médicale,"Incorrecte. Les directives anticipées relèvent d'une procédure distincte, bien que liée à la personne de confiance dans certaines situations.",a
5,OIC-009-10-B,Quelle est la liste des trois principales mesures de protection des personnes?,"Cette question évalue la connaissance des trois principales mesures de protection des personnes, un objectif de Rang A. Le piège courant est de confondre ces mesures avec d'autres concepts éthiques ou juridiques.","Tutelle, curatelle, mandat de protection future",Correcte. Ces trois mesures sont explicitement mentionnées dans le contenu comme les principales formes de protection juridique des personnes.,"Tutelle, curatelle, interruption volontaire de grossesse","Incorrecte. L'interruption volontaire de grossesse est un sujet distinct lié à l'éthique reproductive, non à la protection juridique des personnes.","Tutelle, curatelle, diagnostic prénatal",Incorrecte. Le diagnostic prénatal relève du domaine du diagnostic médical et non des mesures de protection juridique.,"Tutelle, curatelle, don d'organes","Incorrecte. Le don d'organes est une pratique éthique et médicale spécifique, non une mesure de protection juridique.",a
6,OIC-009-12-B,Quelle est la liste des trois principales mesures de protection en droit de la personne majeure?,"Cette question évalue la connaissance des trois principales mesures de protection, un objectif de Rang A. Un piège courant est de confondre ces mesures avec des outils comme le mandat de protection future ou l'habilitation familiale.","Tutelle, curatelle, sauvegarde de justice",Correcte. Ces trois mesures constituent les principales formes de protection juridique pour les personnes majeures vulnérables.,"Mandat de protection future, habilitation familiale, curatelle","Incorrecte. Le mandat de protection future et l'habilitation familiale sont des outils complémentaires, non les trois mesures principales.","Tuteur, curateur, médecin traitant","Incorrecte. Ces termes désignent des acteurs intervenant dans les procédures, non les mesures elles-mêmes.","Diagnostic prénatal, interruption volontaire de grossesse, don d'organes",Incorrecte. Ces sujets relèvent de l'éthique médicale mais ne sont pas des mesures de protection.,a
7,OIC-009-13-A,Quelle est la principale dimension éthique liée à l'interruption volontaire de grossesse selon le texte?,"La question évalue la compréhension de l'équilibre éthique entre différentes conceptions morales de la procréation, un objectif clé de l'item. Le piège réside dans la confusion entre les aspects juridiques et les enjeux éthiques.",Le respect de la dignité de la femme en tant que personne,"Correcte. Le texte souligne que l'IVG est un droit fondé sur la primauté de la personne, illustrant le respect de l'autonomie et de la dignité.",La garantie d'accès égal à la procédure médicale,"Incorrecte. Bien que mentionné, cet aspect relève plus du cadre juridique que de la dimension éthique centrale.",La protection du fœtus comme être humain,"Incorrecte. Le texte critique cette vision comme trop rigide, soulignant l'ambiguïté des frontières de la vie humaine.",La suppression des délais de réflexion pour les femmes,Incorrecte. Ce point relève de l'organisation du droit et non de l'éthique médicale fondamentale.,a
8,OIC-009-16-B,Quelle est une question éthique posée par le diagnostic préimplantatoire?,"La question évalue la compréhension des enjeux éthiques liés au diagnostic préimplantatoire, notamment la sélection génétique et l'instrumentalisation de la procréation.",La sélection des embryons pour leur compatibilité immunologique avec un frère ou une sœur malade,Correcte. Cela illustre l'éthique du « bébé médicament » et le débat sur l'instrumentalisation de la procréation.,L'interdiction de pratiquer le diagnostic prénatal en cas de maladie génétique,"Incorrecte. L'interdiction concerne spécifiquement le typage HLA sans risque de maladie, non le diagnostic prénatal.",La légalisation de l'interruption volontaire de grossesse en cas de maladie fœtale,"Incorrecte. Cela relève du droit à l'avortement, non des enjeux spécifiques du diagnostic préimplantatoire.",La garantie d'égalité des sexes dans les familles,"Incorrecte. Cela correspond à un débat éthique secondaire, non au cœur des enjeux du DPI.",a
9,OIC-009-18-A,Quelle est la définition légale et éthique de l'obstination déraisonnable selon les lois Leonetti et Claeys-Leonetti?,"Cette question évalue la compréhension du cadre juridique et des fondements éthiques de l'obstination déraisonnable, un objectif clé de l'item. Elle met en lumière un piège courant : confondre l'obstination déraisonnable avec l'euthanasie ou la sédation.","L'obstination déraisonnable correspond à l'application de traitements inutiles, disproportionnés ou ne servant qu'à maintenir artificiellement la vie, conformément à la volonté du patient ou à une procédure collégiale.","Correcte. Cette réponse capture précisément la définition légale et éthique évoquée dans le contenu, en soulignant la dimension respectueuse de la volonté du patient.","L'obstination déraisonnable désigne la poursuite de traitements palliatifs jusqu'au décès, même en cas de souffrance réfractaire.","Incorrecte. La sédation profonde et continue est une mesure distincte, liée à la souffrance réfractaire, et ne définit pas l'obstination déraisonnable.","L'obstination déraisonnable correspond à l'obligation légale du médecin de prolonger la vie du patient, même en cas de pronostic vital engagé.","Incorrecte. Elle inverse le sens des lois, qui visent à limiter les traitements disproportionnés et à respecter la volonté du patient.","L'obstination déraisonnable est synonyme d'euthanasie active, autorisée par la loi Claeys-Leonetti.","Incorrecte. L'euthanasie active est explicitement condamnée, tandis que l'obstination déraisonnable concerne la limitation des soins.",a
