Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
0,OIC-005-01-A,Quelle est la principale difficulté pour prouver la responsabilité d'un professionnel de santé?,La preuve de la faute,La preuve du dommage,La preuve du lien de causalité,La preuve de l'indemnisation,c,4
1,OIC-005-01-A-,Quelle est la principale fonction de la responsabilité pénale dans le contexte médical?,Sanctionner les erreurs médicales,Protéger les droits des patients,Réprimer les comportements répréhensibles,Indemniser les victimes,c,4
2,OIC-005-02-A,Quelle est la responsabilité civile des médecins salariés d'établissements privés?,Ils engagent leur responsabilité civile personnelle.,Ils ne peuvent pas être poursuivis.,Ils ne sont responsables que si ils outrepassent leur mission.,Ils sont toujours responsables.,c,3
3,OIC-005-02-A-,Quelle est la responsabilité principale des médecins hospitaliers devant les juridictions administratives?,La responsabilité personnelle des médecins,La responsabilité de l’établissement public de santé,La responsabilité civile des patients,La responsabilité pénale des médecins,b,4
4,OIC-005-03-A,Quelle est la principale différence entre la responsabilité disciplinaire et la responsabilité pénale?,"La responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins, tandis que la responsabilité pénale est encourue devant les tribunaux.","La responsabilité disciplinaire est indépendante des autres actions, tandis que la responsabilité pénale peut être liée à des fautes disciplinaires.","La responsabilité disciplinaire est encourue devant les tribunaux, tandis que la responsabilité pénale est encourue devant les instances de l’Ordre des médecins.","La responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins, tandis que la responsabilité pénale est encourue devant les instances de l’Ordre des médecins.",a,3
5,OIC-005-03-A-,Quelle est la définition de la responsabilité sans faute dans le contexte médical?,La responsabilité engagée uniquement en cas de faute professionnelle,"La responsabilité engagée sans preuve de faute, par exemple en cas d'infection nosocomiale",La responsabilité engagée uniquement en cas de dommage intentionnel,La responsabilité engagée uniquement en cas de dommage prouvé par des témoins,b,4
6,OIC-005-04-A,Quel est le droit du patient qui peut être invoqué pour rechercher la responsabilité d’un médecin ou d’un établissement de santé?,Droit à la protection de la santé,Droit au respect de la dignité,Droit à ne pas subir de discrimination dans l’accès à la prévention ou aux soins,Droit à l’information sur les frais des soins,a,3
7,OIC-005-05-A,Quelle est la définition de l'accident médical?,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal",Un effet secondaire d'un médicament pris conformément aux instructions,Une maladie contractée dans un établissement de santé,Une erreur de diagnostic,a,3
8,OIC-005-05-A-,Quelle est la définition d'une infection nosocomiale?,Infection contractée avant l'admission dans un établissement de santé,Infection contractée après 48 heures d'hospitalisation,Infection contractée au cours d'un séjour dans un établissement de santé,Infection contractée par un patient en bonne santé,c,4
9,OIC-005-06-A,Quelle est la définition de l'aléa thérapeutique?,Un événement indésirable causé par une action de soins conforme et sans erreur,Une erreur médicale due à une faute professionnelle,Un accident médical causé par une action de soins non conforme,Une infection nosocomiale due à une faute de l'établissement de santé,a,4
