,id,question,option_a,option_b,option_c,option_d,correct_option
0,OIC-040-06-A-,"Dans certaines situations de grossesse extra-utérine asymptomatique, un traitement médical peut être envisagé avec quel médicament?",Méthotrexate,Cétotrophine,Antibiothérapie,Chirurgie par coelioscopie,a
1,OIC-040-07-A,Quelle est la caractéristique principale de la douleur pelvienne aiguë?,Douleur subite et récente,Douleur chronique et intermittente,Douleur cyclique et non spécifique,Douleur permanente et intense,a
2,OIC-040-07-A-,Quelle est la différence principale entre la douleur pelvienne aiguë et chronique?,Date d'apparition et évolution de la douleur,Type de douleurs et signes associés,Présence de signes infectieux et antécédents gynécologiques,Présence de conduite à risque et contraception,a
3,OIC-040-08-A,Quelles sont les principales étiologies des douleurs pelviennes chroniques non cycliques organiques?,"Les infections génitales chroniques ou subaiguës, les troubles de la statique pelvienne et le syndrome de congestion pelvienne","Les infections génitales aiguës, les troubles de la statique pelvienne et le syndrome de congestion pelvienne","Les infections génitales chroniques ou subaiguës, les sténoses cervicales et les anomalies utéro-vaginales","Les infections génitales chroniques ou subaiguës, les troubles de la statique pelvienne et les sténoses cervicales",a
4,OIC-040-09-A,Quel est l'examen de premier choix pour les explorations des douleurs pelviennes aiguës?,L'échographie pelvienne par voie abdominale,La TDM abdomino pelvienne avec injection,L'échographie pelvienne par voie endovaginale,L'IRM pelvienne,c
5,OIC-041-01-A,Quelle est la définition de l'endométriose?,"Une pathologie gynécologique bénigne, fréquente, hétérogène, caractérisée par la présence de glandes ou de stroma endométrial en position ectopique",Une maladie infectieuse qui affecte les glandes génitales,Une condition qui provoque des douleurs abdominales chroniques,Une maladie qui affecte les muscles du ventre,a
6,OIC-041-01-A-,Quelle est la différence entre les dysménorrhées primaires et secondaires?,Les dysménorrhées primaires sont plus sévères que les dysménorrhées secondaires,"Les dysménorrhées primaires apparaissent après les règles, tandis que les dysménorrhées secondaires apparaissent pendant les règles","Les dysménorrhées primaires sont caractérisées par des douleurs isolées, tandis que les dysménorrhées secondaires sont accompagnées d'autres symptômes douloureux","Les dysménorrhées primaires sont causées par l'endométriose, tandis que les dysménorrhées secondaires sont causées par l'adénomyose",c
7,OIC-041-02-A-,Quelle est la prévalence de l'endométriose chez les femmes en âge de procréer?,1 à 2%,5 à 10%,6 à 10%,20 à 30%,c
8,OIC-041-03-B,Quels sont les facteurs qui contribuent à l'endométriose?,Seuls les facteurs génétiques,Seuls les facteurs environnementaux,"L'action combinée de facteurs génétiques, environnementaux et liés aux menstruations",Aucun facteur,c
9,OIC-041-03-B-,Quelle est la théorie la plus solide pour expliquer la répartition asymétrique des lésions en endométriose?,La théorie de la métaplasie müllérienne,La théorie des emboles lymphatiques et vasculaires,La théorie du reflux menstruel,La théorie sur le rôle des cellules souches endométriales ou de progéniteurs issus de la moëlle osseuse,c
10,OIC-041-04-A,Quels sont les symptômes douloureux évocateurs d'endométriose selon l'interrogatoire?,Les douleurs pelviennes chroniques et les dysménorrhées,Les dyspareunies profondes et les signes fonctionnels urinaires cataméniaux,Les signes fonctionnels digestifs cataméniaux et les douleurs vésicales,Les métrorragies et les troubles du transit,a
11,OIC-041-05-A,Quelles sont les deux principales conséquences de l'endométriose?,La symptomatologie douloureuse et la stérilité,La stérilité et la maladie de Crohn,La symptomatologie douloureuse et l'infertilité,La maladie de Crohn et la stérilité,c
12,OIC-041-06-B,Quels sont les examens para-cliniques de première intention pour le diagnostic d'endométriose?,Echographie pelvienne par voie endo-vaginale et IRM pelvienne,Echographie pelvienne par voie endo-vaginale et scanner pelvien,IRM pelvienne et scanner pelvien,Echographie pelvienne par voie endo-vaginale et IRM pelvienne avec scanner pelvien,a
13,OIC-041-06-B-,"Quel examen est plus sensible mais moins spécifique que l'échographie endovaginale pour le diagnostic des ligaments utéro-sacrés, du vagin et de la cloison recto-vaginale?",IRM pelvienne,Echographie pelvienne,Scanner pelvien,IRM pelvienne et scanner pelvien,a
14,OIC-041-07-B-,Quel est le but de la mise en place d'un traitement antalgique pour l'endométriose?,Réduire les effets secondaires des traitements hormonaux,Réduire les douleurs associées à l'endométriose,Augmenter la sensibilité à la progestérone,Réduire la prolifération cellulaire,b
15,OIC-042-01-A,Quel est le type d'aménorrhée qui se définit comme une absence de règles après l'âge de 15 ans malgré un développement normal des caractères sexuels secondaires?,Aménorrhée primaire,Aménorrhée secondaire,Spanioménorrhée,Aménorrhée primo-secondaire,a
16,OIC-042-01-A-,Quelle est la durée d'un cycle menstruel normal selon l'OMS?,20 à 30 jours,25 à 35 jours,40 à 50 jours,60 à 70 jours,b
17,OIC-042-02-B,Quel est le premier élément de l'axe hypothalamo-hypophyso-ovarien?,Les neurones à GnRH de l'hypothalamus,Les cellules gonadotropes de l'antéhypophyse,Les gonades (ovaires chez la femme),Les stéroïdes sexuels (œstrogènes et progestérone),a
18,OIC-042-02-B-,Quel est le résultat de la chute de la progestérone lors du cycle ovarien précédent?,Une augmentation de la FSH,Une chute de l'œstradiol,Les menstruations,La grossesse,c
19,OIC-042-03-A-,Quels sont les signes cliniques d'hypométabolisme retrouvés dans le contexte des anorexies mentales?,"Sécheresse vaginale et cutanée, atrophie vulvo-vaginale, dyspareunies","Troubles du sommeil et psychiques, bouffées de chaleur",L'érythrocyanose des extrémités et le lanugo,Arthralgies,c
20,OIC-042-04-B,Quel est le principal diagnostic en cas d'absence d'utérus à l'échographie?,Syndrome d'insensibilité complète aux androgènes,Syndrome de Mayer-Rokitansky-Küster-Hauser (MRKH),Anomalie sévère de la biosynthèse ou de la réceptivité aux androgènes,Maladie de Turner,b
21,OIC-042-04-B-,Quel est le caryotype le plus commun chez les femmes atteintes du syndrome de Mayer-Rokitansky-Küster-Hauser (MRKH)?,"46,XX","46,XY","47,XXY","45,X",a
22,OIC-042-06-B,Quel est le critère pour définir l'insuffisance ovarienne prématurée?,Une aménorrhée de plus de 4 mois associée à une FSH inférieure à 25 UI/L,Une aménorrhée de plus de 4 mois associée à une FSH supérieure à 25 UI/L,Une aménorrhée de moins de 4 mois associée à une FSH inférieure à 25 UI/L,Une aménorrhée de moins de 4 mois associée à une FSH supérieure à 25 UI/L,b
23,OIC-042-06-B-,Quel est le pourcentage d'IOP idiopathiques par rapport aux autres étiologies?,20%,50%,80%,90%,c
24,OIC-042-07-B,Quelles sont les principales causes d'insuffisance gonadotrope?,Les causes hypophysaires et les causes hypothalamiques et suprahypothalamiques,Les causes hypothalamiques et suprahypothalamiques et les causes génétiques,Les causes hypophysaires et les causes génétiques,Les causes hypothalamiques et suprahypothalamiques et les causes lésionnelles,a
25,OIC-042-07-B-,Quel type d'aménorrhée est associé à un impubérisme si la pathologie est présente avant la puberté?,Aménorrhée secondaire,Aménorrhée primaire,Aménorrhée isolée,Aménorrhée associée à des signes de souffrance neuro-hypothalamo-hypophysaire,b
26,OIC-042-08-B,Quelle est la cause la plus fréquente d'aménorrhée avec hyperandrogénie?,Le surpoids et l'hyperinsulinisme,La polycystose ovarienne,"La cause la plus fréquente d'anovulation, d'infécondité",La cause tumorale d'hyperandrogénie d'origine ovarienne ou surrénalienne,b
27,OIC-042-08-B-,Quels sont les critères retenus pour le diagnostic de SOPK?,Oligo- et/ou anovulation ; hyperandrogénie clinique et/ou biologique ; aspect échographique d'ovaires polymicrokystiques,Oligo- et/ou anovulation ; hyperandrogénie clinique et/ou biologique ; surpoids et hyperinsulinisme,Hyperandrogénie clinique et/ou biologique ; aspect échographique d'ovaires polymicrokystiques ; augmentation du volume ovarien > 10 ml,Oligo- et/ou anovulation ; hyperandrogénie clinique et/ou biologique ; testostéronémie totale,a
28,OIC-042-09-B,Quel est le contexte dans lequel l'aménorrhée hypothalamique fonctionnelle est diagnostiquée?,Après un accident vasculaire cérébral,"Dans un contexte d'amaigrissement (anorexie mentale), de malnutrition, d'affections générales",Chez les femmes enceintes,Chez les personnes âgées,b
29,OIC-042-09-B-,Quel est le rôle de la leptine dans l'aménorrhée hypothalamique fonctionnelle?,Elle provoque une augmentation de la sécrétion de GnRH,Elle n'a aucun rôle dans ce syndrome,Elle pourrait jouer un rôle critique dans la dysrégulation hypothalamique de ce syndrome,Elle provoque une diminution de la sécrétion de LH,c
30,OIC-043-01-A,Quel est l'outil utilisé pour déterminer l'origine du saignement génital anormal?,L'interrogatoire,L'examen sous spéculum,Le score de Higham,L'évaluation de la spoliation sanguine,b
31,OIC-043-01-A-,Quel est le terme qui décrit les menstruations trop abondantes en volume ou en durée?,Métrorragie,Ménométrorragie,Ménorragie,Saignement génital anormal,c
32,OIC-043-02-A,Quel est le premier traitement à envisager pour une femme en âge de procréer présentant une hémorragie génitale?,Recherche d'une cause organique,Recherche d'une cause fonctionnelle,Recherche d'une grossesse,Recherche d'une cause iatrogène,c
33,OIC-043-02-A-,Quel est l'outil de classification mnémotechnique utilisé pour évaluer les principales étiologies d'hémorragie génitale?,PALM COEIN,CLASSIFICATION DE PARIS,CLASSIFICATION DE LONDRES,CLASSIFICATION DE NEW YORK,a
