Unnamed: 0,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option,content_raw,distractor_quality
0,OIC-005-03-A,Quel type de responsabilité civile est engagée par un médecin salarié d'un établissement privé lorsqu'il cause des dommages à un patient ?,Cette question évalue la compréhension de la responsabilité civile des médecins salariés d'établissements privés.,Responsabilité civile personnelle,Cette option est incorrecte car les médecins salariés d'établissements privés ne sont pas responsables civilement personnels lorsqu'ils ne dépassent pas leur mission confiée par leur employeur.,Responsabilité du commettant,Cette option est correcte car les médecins salariés d'établissements privés sont responsables civilement du fait de leur employeur (le commettant) lorsqu'ils ne dépassent pas leur mission confiée.,Responsabilité civile professionnelle,Cette option est incorrecte car les médecins salariés d'établissements privés ne sont responsables civilement professionnellement que lorsqu'ils exercent à titre libéral au sein d'un établissement public de santé.,Responsabilité civile collective,Cette option est incorrecte car il n'y a pas de responsabilité civile collective pour les médecins salariés d'établissements privés.,b,"{{objectif de connaissance
|Identifiant=OIC-005-03-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité civile
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=3}}

Les professionnels exerçant à titre libéral et les établissements de santé privés engagent leur responsabilité civile devant les juridictions de l’ordre judiciaire : tribunal de grande instance, cour d’appel, cour de cassation.

S’agissant des médecins salariés d’établissements, services ou organismes privés, ils n’engagent pas leur responsabilité civile personnelle du fait des dommages causés à un patient dès lors qu’ils n’outrepassent pas la mission qui leur a été confiée par leur employeur. C’est l’application du régime de responsabilité du commettant (l’employeur) du fait de son proposé (le médecin), lequel n’est pas incompatible avec le principe d’indépendance professionnelle du médecin dans l’exercice de son art.

Les praticiens hospitaliers engagent leur responsabilité civile professionnelle à raison des dommages survenus dans le cadre de leur secteur d’activité libérale au sein d’un établissement public de santé.",False
1,OIC-005-07-A,Un patient a subi une atteinte à son droit à la protection de la santé. Quel type de faute peut constituer un fait générateur de responsabilité médicale pour faute ?,La question évalue la compréhension de la définition de la faute en lien avec les droits du patient.,Faute technique,Correcte. La faute technique consiste en une violation des connaissances médicales avérées ou des données acquises de la science.,Violation d’un devoir d’humanisme,"Correcte. La violation d’un devoir d’humanisme renvoie à la dimension « humaine » de la pratique médicale, et peut notamment résulter de l’atteinte au secret professionnel ou d’un défaut d’information ne permettant pas un consentement libre et éclairé.",Défaut d’un produit de santé,"Correcte. Dans certains cas, le fait générateur peut prendre d’autres formes, notamment le défaut d’un produit de santé, le produit étant considéré comme défectueux lorsqu’il n’offre pas la sécurité à laquelle on peut légitimement s’attendre.",Faute administrative,Incorrecte. La faute administrative n’est pas un type de faute qui peut constituer un fait générateur de responsabilité médicale pour faute.,a,"{{objectif de connaissance
|Identifiant=OIC-005-07-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la faute
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=7}}

Depuis la loi du 4 mars 2002 ont été substitués aux obligations professionnelles du médecin les droits du patient légalement consacrés. Un patient peut se prévaloir d’une atteinte à l’un de ses droits pour rechercher la responsabilité d’un médecin ou d’un établissement de santé. Il lui incombe cependant de prouver la faute. L’article L.1142-1 du Code de la santé publique stipule que les professionnels et établissements de santé ne sont responsables des conséquences dommageables d’actes de prévention, de prévention ou de soins qu’en cas de faute.

'''Droits du patient'''

L’atteinte de l’un de ces droits peut constituer un fait générateur de responsabilité médicale pour faute :

- droit à la protection de la santé ;

- droit au respect de la dignité ;

- droit à ne pas subir de discrimination dans l’accès à la prévention ou aux soins ;

- droit au respect de la vie privée et au secret des informations ;

- droit de recevoir les traitements et les soins les plus appropriés et de bénéficier des thérapeutiques dont l’efficacité est reconnue et qui garantissent la meilleure sécurité sanitaire et le meilleur apaisement possible de la souffrance au regard des connaissances médicales avérées ;

- droit de ne pas subir des actes témoignant d’une obstination déraisonnable ;

- droit à une sédation profonde et continue provoquant une altération de la conscience maintenue jusqu’au décès ;

- droit de recevoir des traitements et des soins visant à soulager la souffrance ;

- droit d’accéder à des soins palliatifs et à un accompagnement ;

- droit d’être informé sur son état de santé ;

-droit à une information sur les frais auxquels l’usager pourrait être exposé à l’occasion d’activités de prévention, de diagnostic et de soins ;

- droit de refuser ou de ne pas recevoir un traitement


Le fait générateur de responsabilité doit donc être une faute prouvée. Cette faute peut revêtir différentes formes et l’on distingue habituellement :

- la faute technique, qui consiste en une violation des connaissances médicales avérées ou des données acquises de la science. Ces connaissances médicales avérées constituent un standard technique auquel le juge se réfère, et peuvent être définies en référence à la littérature scientifique médicale ainsi qu’aux recommandations de bonnes pratiques. Le juge devra se référer aux connaissances médicales avérées au moment de l’acte médical litigieux ;

- la violation d’un devoir d’humanisme, qui renvoie à la dimension « humaine » de la pratique médicale, et peut notamment résulter de l’atteinte au secret professionnel ou d’un défaut d’information ne permettant pas un consentement libre et éclairé.

Dans certains cas, le fait générateur peut prendre d’autres formes : il peut s’agir du défaut d’un produit de santé, le produit étant considéré comme défectueux lorsqu’il n’offre pas la sécurité à laquelle on peut légitimement s’attendre.",False
2,OIC-005-08-A,Un médecin a omis de prescrire un traitement nécessaire à un patient. Quel type d'erreur a-t-il commis?,La question évalue la compréhension de la définition d'erreur par omission.,Erreur par commission,Une action qui a été faite mais qui n’était pas utile.,Erreur d'exécution,Une action mal réalisée.,Erreur par violation,Un non-respect d’une recommandation ou d’une règle professionnelle.,Erreur par omission,Une action nécessaire n’a pas été faite.,d,"{{objectif de connaissance
|Identifiant=OIC-005-08-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’erreur médicale
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=8}}

<br />L’être humain est faillible et il est dans sa nature de faire des erreurs. Reconnaitre qu’on peut faire des erreurs est un préalable à l’adoption de comportement de prévention des erreurs. Reconnaître qu’on a fait une erreur est une occasion d’apprendre et de progresser. C’est vrai au niveau des individus mais c’est vrai aussi au niveau des organisations. Quand une organisation met en place des dispositifs d’identification, d’analyse et de prévention des erreurs on parle « d’organisation apprenante ».

On parle d’erreur par omission quand une action nécessaire n’a pas été faite. L’erreur par commission désigne une action qui a été faite mais qui n’était pas utile. L’erreur d’exécution désigne une action mal réalisée.

On parle de violation (ou de non-conformité) en cas de non-respect d’une recommandation ou d’une règle professionnelle. Ce non-respect peut être routinier (mauvaise habitude), issu d’une priorisation personnelle (pour gagner du temps par exemple) ou induite par le contexte (suractivité, urgence, etc.).

Les erreurs dans le domaine des soins peuvent concerner les actions de prévention, de diagnostic ou de traitement. Elles peuvent ou non avoir entraîné un dommage pour le patient. Elles sont involontaires et évitables. On parle d’événement indésirable grave (EIG) lorsque le dommage est un décès, ou une complication grave ou, au minimum, une prolongation d’hospitalisation d’un jour.

L’être humain est faillible et il est dans sa nature de faire des erreurs. Reconnaitre qu’on peut faire des erreurs est un préalable à l’adoption de comportement de prévention des erreurs. Reconnaître qu’on a fait une erreur est une occasion d’apprendre et de progresser. C’est vrai au niveau des individus mais c’est vrai aussi au niveau des organisations. Quand une organisation met en place des dispositifs d’identification, d’analyse et de prévention des erreurs on parle « d’organisation apprenante ».

'''Les types d’erreur : omission, commission, exécution, violation''' 

On parle d’erreur par omission quand une action nécessaire n’a pas été faite. L’erreur par commission désigne une action qui a été faite mais qui n’était pas utile. L’erreur d’exécution désigne une action mal réalisée.

On parle de violation (ou de non-conformité) en cas de non-respect d’une recommandation ou d’une règle professionnelle. Ce non-respect peut être routinier (mauvaise habitude), issu d’une priorisation personnelle (pour gagner du temps par exemple) ou induite par le contexte (suractivité, urgence, etc.).",False
3,OIC-005-09-A,"Un patient de 65 ans, hospitalisé pour une pneumonie, présente une fièvre persistante malgré antibiotiques efficaces et une augmentation de la fréquence respiratoire. Le médecin décide de commencer une thérapie de corticostéroïdes. Quel type d'événement est-ce?",Cette question évalue la compréhension de l'aléa thérapeutique.,Accident médical,Cette option est incorrecte car l'événement n'est pas indésirable et n'entraîne pas un dommage anormal.,Affection iatrogène,Cette option est correcte car l'événement est provoqué par un traitement médical.,Erreur médicale,Cette option est incorrecte car l'événement n'est pas causé par une erreur du professionnel de santé.,Aléa thérapeutique,"Cette option est incorrecte car l'aléa thérapeutique désigne l'ensemble des effets indésirables potentiels d'un traitement, qui peuvent être liés à l'utilisation correcte du médicament.",b,"{{objectif de connaissance
|Identifiant=OIC-005-09-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’accident médical et de l’affection iatrogène
|Description=None
|Rubrique=Définition
|Contributeurs=Patrice François
|Ordre=9}}

L’accident médical désigne un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic. Cet accident entraîne un dommage anormal au regard de l’évolution prévisible de l'état de santé. Il peut s’être produit dans n’importe quel lieu de soins : un établissement de santé, public ou privé, un cabinet d’un professionnel de santé exerçant en libéral, un laboratoire d’analyses médicales, de radiologie, une pharmacie, etc. Un accident médical peut être causé par une erreur d’un professionnel de santé ou découler de soins conformes aux bonnes pratiques et s'appelle alors « l’aléa thérapeutique ».

Les affections iatrogènes désignent l’ensemble des effets néfastes qui peuvent être provoqués par un traitement ou un acte médical. On parle d’effets iatrogènes lorsque le traitement déclenche de nouveaux symptômes, distincts de ceux qu’il est censé soigner. L’effet iatrogène peut intervenir avec ou sans mauvais usage du médicament, que ce mauvais usage soit le fait d’un professionnel de santé ou du malade lui-même. Il ne faut donc pas confondre affection iatrogène et erreur médicale. L’affection iatrogène est une conséquence de la prise d’un médicament même si l’indication était correcte et la posologie bonne. Il est donc possible d’être victime d’une affection iatrogène en dehors de toute erreur ou faute du professionnel de santé.",False
4,OIC-005-10-A,Qu'est-ce qu'une infection nosocomiale ?,La question évalue la compréhension de la définition de l'infection nosocomiale.,Infection contractée avant l'admission dans un établissement de santé.,Incorrecte. Une infection nosocomiale est contractée au cours d'un séjour dans un établissement de santé.,Infection contractée après 48 heures d'hospitalisation.,Correcte. Une infection nosocomiale est généralement considérée comme telle si elle apparaît après 48 heures d'hospitalisation.,Infection contractée avant 48 heures d'hospitalisation mais en incubation lors de l'entrée dans l'établissement.,"Correcte. Si une infection apparaît avant un tel délai, on considère généralement qu'elle était en incubation lors de l'entrée dans l'établissement.",Infection contractée avant l'admission dans un établissement de santé et en incubation lors de l'entrée dans l'établissement.,Incorrecte. Une infection nosocomiale est contractée au cours d'un séjour dans un établissement de santé.,b,"{{objectif de connaissance
|Identifiant=OIC-005-10-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’infection nosocomiale
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=10}}

Les infections nosocomiales sont les infections contractées au cours d’un séjour dans un établissement de santé (hôpital, clinique…). Elle est aussi appelée infection associée aux soins. Ceci veut dire que ces infections sont absentes au moment de l’admission du patient dans l’établissement. Cependant, si l’état infectieux du patient à l’admission est inconnu, l’infection est généralement considérée comme nosocomiale si elle apparaît après 48 heures d’hospitalisation. Si elle apparaît avant un tel délai, on considère en général qu’elle était en incubation lors de l’entrée dans l’établissement.",False
5,OIC-005-15-B,Un patient de 65 ans est hospitalisé pour une infection nosocomiale. Le service hospitalier a organisé une revue de morbidité et de mortalité (RMM). Quelle attitude doit être partagée par le chef du service clinique et la direction de l'hôpital pour favoriser le signalement des erreurs et leur analyse ?,Cette question évalue la compréhension de l'attitude de non-culpabilisation pour la culture positive de l'erreur.,Le chef du service clinique et la direction de l'hôpital doivent considérer que le responsable est le dernier de la chaîne de personnes engagées dans un processus de soins.,Cette option est incorrecte car elle est contraire à l'attitude de non-culpabilisation qui doit être partagée pour favoriser le signalement des erreurs.,"Le chef du service clinique et la direction de l'hôpital doivent considérer que les causes des erreurs sont multiples et souvent latentes, non détectables au premier abord.",Cette option est correcte car elle est en accord avec l'attitude de non-culpabilisation qui doit être partagée pour favoriser le signalement des erreurs.,Le chef du service clinique et la direction de l'hôpital doivent considérer que les erreurs sont cachées et leur absence d’analyse en profondeur conduit à créer des secondes victimes.,Cette option est incorrecte car elle est contraire à l'attitude de non-culpabilisation qui doit être partagée pour favoriser le signalement des erreurs.,Le chef du service clinique et la direction de l'hôpital doivent considérer que les erreurs sont le fait du dernier maillon de la chaîne.,Cette option est incorrecte car elle est contraire à l'attitude de non-culpabilisation qui doit être partagée pour favoriser le signalement des erreurs.,b,"{{objectif de connaissance
|Identifiant=OIC-005-15-B
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=B
|Intitulé=Approche systémique : connaître la démarche de culture positive de l’erreur
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=15}}

Ces informations sont transmises à une cellule de gestion des risques et au coordinateur de la gestion des risques associés aux soins, fonction obligatoire dans chaque établissement de santé.

La troisième grande classe de repérage des erreurs rassemble des systèmes actifs fondés sur l’analyse de dossiers ou de traces électroniques. L’analyse rétrospective de dossiers est un système coûteux en temps et en main-d’œuvre sauf si une fouille informatique utilisant un programme prédéfini recherchant des mots clés est organisée.

Les événements indésirables graves repérés sont analysés soit avec :

- un point de vue extérieur neutre, par la cellule de gestion des risques ;
- un point de vue intérieur au service hospitalier, qui doit aussi être le plus neutre possible, à l’occasion de revues de morbidité et de mortalité (RMM).Une démarche de culture positive de l’erreur relève de la culture de sécurité du patient. Son fondement est la non-culpabilisation de la personne qui a commis l’erreur. En effet, la tendance naturelle porte à considérer que le responsable est le dernier de la chaîne de personnes engagées dans un processus de soins. Or, la plupart du temps, les causes sont multiples et souvent latentes, non détectables au premier abord.

L’attitude de non-culpabilisation qui doit être partagée par le chef du service clinique et la direction de l’hôpital favorise le signalement des erreurs, leur analyse et la mise en place d’actions d’amélioration prévenant la répétition de telles erreurs. L’attitude inverse fait que les erreurs sont cachées. Leur absence d’analyse en profondeur conduit à créer des secondes victimes. Une seconde victime peut être définie comme : « un soignant impliqué et traumatisé par un événement imprévu et défavorable pour un patient et/ou une erreur médicale dont il se sent souvent personnellement responsable et qui occasionne un sentiment d’échec et remet en question son expérience clinique et ses compétences fondamentales ». Les conséquences peuvent être graves, allant jusqu’au suicide lorsque le soignant, dernier maillon de la chaîne, est personnellement mis en cause.

Élaborer et respecter des règles de fonctionnement constituent l’une des conditions de la confiance dans le système de gestion des risques associés aux soins. Ces règles peuvent être colligées dans une charte qui précise que le signalement d’une erreur ne sera pas sanctionné. Parmi les éléments importants de cette charte figurent les précisions suivantes :

- l’objectivité est de règle. Le signalement repose sur des faits non interprétés ;

- l’anonymat et la confidentialité seront respectés dans l’analyse qui suivra le signalement de l’erreur ou événement indésirable ;

- pour être efficace, le signalement doit être exhaustif pour l’identification de l’ensemble des risques liés à l’activité hospitalière et en évitant que ces risques se reproduisent.

Le repérage des événements indésirables graves survenant dans les hôpitaux qui permet d’exercer une veille sanitaire se fait le plus souvent à partir de systèmes passifs reposant sur :

- le volontariat des médecins et autres professionnels de santé bien que leur déclaration soit selon la loi « Hôpital, patient, santé, territoire » de 2009, obligatoire ;

- la volonté des patients ou de leur famille ou proches d’expliquer les dysfonctionnements qu’ils ont rencontrés ou d’obtenir un dédommagement du préjudice qu’ils estiment avoir subi.

Ces informations sont transmises à une cellule de gestion des risques et au coordinateur de la gestion des risques associés aux soins, fonction obligatoire dans chaque établissement de santé.

La troisième grande classe de repérage des erreurs rassemble des systèmes actifs fondés sur l’analyse de dossiers ou de traces électroniques. L’analyse rétrospective de dossiers est un système coûteux en temps et en main-d’œuvre sauf si une fouille informatique utilisant un programme prédéfini recherchant des mots clés est organisée.

Les événements indésirables graves repérés sont analysés soit avec :

- un point de vue extérieur neutre, par la cellule de gestion des risques ;

- un point de vue intérieur au service hospitalier, qui doit aussi être le plus neutre possible, à l’occasion de revues de morbidité et de mortalité (RMM).<br />",False
6,OIC-006-01-A,"Un patient de 65 ans, présentant une insuffisance rénale chronique, est hospitalisé pour une infection urinaire. Le médecin généraliste a formé une équipe pluriprofessionnelle pour la prise en charge du patient. Quel rôle doit-il adopter pour assurer une prise en charge de qualité ?",La question évalue la compréhension de la définition du travail en équipe pluriprofessionnelle et de son importance pour la prise en charge de qualité du patient.,"Le médecin généraliste doit adopter le rôle de chef d'orchestre, coordonnant les actions des autres professionnels.",Ce rôle est correct car il permet de coordonner les actions des professionnels et de garantir une prise en charge de qualité.,"Le médecin généraliste doit adopter le rôle de décideur unique, prenant toutes les décisions pour le patient.",Ce rôle est incorrect car il ne permet pas de répondre de manière collaborative aux besoins du patient.,"Le médecin généraliste doit adopter le rôle de simple observateur, ne prenant aucune décision.",Ce rôle est incorrect car il ne permet pas de répondre de manière collaborative aux besoins du patient.,"Le médecin généraliste doit adopter le rôle de simple assistant, ne prenant aucune décision.",Ce rôle est incorrect car il ne permet pas de répondre de manière collaborative aux besoins du patient.,a,"{{objectif de connaissance
|Identifiant=OIC-006-01-A
|Item_parent=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Item_parent_short=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Rang=A
|Intitulé=Connaître la définition du travail en équipe pluriprofessionnelle
|Description=Connaitre les objectifs du travail en équipe et les principaux
|Rubrique=Définition
|Contributeurs=Virginie Migeot
|Ordre=1}}

Une '''''équipe pluriprofessionnelle''''' est composée de professionnels ayant des qualifications différentes et complémentaires (par exemple médecins, pharmaciens, infirmiers, kinésithérapeutes, sage-femmes, assistant sociale, ergothérapeutes, diététiciens, …)  Le travail en équipe pluriprofessionnelle signifie que ces professionnels travaillant ensemble et unissent leurs efforts dans un même but.

Ce travail en équipe pluriprofessionnelle est considéré comme

–      une barrière de sécurité contre les événements indésirables ;

–       un facteur de qualité de la prise en charge du patient ;

–       un facteur de santé et de bien-être au travail pour les professionnels ;

–      un moyen de répondre de manière collaborative aux besoins du patient.",False
7,OIC-006-04-B,"Un patient de 65 ans, atteint d'une insuffisance rénale chronique, est hospitalisé pour une infection urinaire. Quel protocole pluriprofessionnel devrait être appliqué pour sa prise en charge ?","La question évalue la compréhension de la définition et des objectifs des protocoles pluriprofessionnels, ainsi que leur utilisation dans le contexte d'une prise en charge de maladie.",Protocole de soins pluriprofessionnel pour la prise en charge de la maladie de Parkinson,Ce protocole n'est pas pertinent pour la prise en charge de l'insuffisance rénale chronique.,Protocole de soins pluriprofessionnel pour la prise en charge de la maladie de Crohn,Ce protocole n'est pas pertinent pour la prise en charge de l'insuffisance rénale chronique.,Protocole de soins pluriprofessionnel pour la prise en charge de la maladie de Charcot,Ce protocole n'est pas pertinent pour la prise en charge de l'insuffisance rénale chronique.,Protocole de soins pluriprofessionnel pour la prise en charge de l'insuffisance rénale chronique,Ce protocole est pertinent pour la prise en charge de l'insuffisance rénale chronique.,d,"{{objectif de connaissance
|Identifiant=OIC-006-04-B
|Item_parent=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Item_parent_short=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Rang=B
|Intitulé=Protocoles pluriprofessionnels : connaître la définition, les objectifs et les enjeux des protocoles pluriprofessionnels
|Description=Transfert de tache
|Rubrique=Définition
|Contributeurs=Virginie Migeot
|Ordre=4}}

Un '''protocole pluriprofessionnel''' est l'expression d'un consensus concernant la prise en charge d’une maladie aigue ou chronique, par plusieurs professionnels, au sein d’une structure de soins ou sur un territoire, et en fonction de l'état de la science du moment. Il comporte des '''aide-mémoires''', des '''checklists''', des '''aides à la prescription''' et facilite le '''travail en équipe'''. Il permet de valider l'obligation de développement professionnel continu (DPC).

Figure 2 : Exemple de protocole de soins pluriprofessionnel - Maison médicale de la Plaine, Val-de-Reuil – source : Faculté de Rouen – Les ateliers de l’exercice coordonné - mars 2018
[[Fichier:Item 6 Fig 2.png|vignette]]
<br />",False
8,OIC-006-06-A,Un patient de 65 ans est prévu pour une intervention chirurgicale au bloc opératoire. Quelle check-list doit être utilisée pour sécuriser la réalisation de l'intervention ?,La question évalue la compréhension de la check-list de sécurité du patient au bloc opératoire.,Check-list de sécurité pour les activités interventionnelles radiologiques,"Incorrecte, car cette check-list n'est pas utilisée pour les interventions chirurgicales.",Check-list de sécurité pour les activités interventionnelles endoscopiques,"Incorrecte, car cette check-list n'est pas utilisée pour les interventions chirurgicales.",Check-list de sécurité pour les activités interventionnelles de chimiothérapie,"Incorrecte, car cette check-list n'est pas utilisée pour les interventions chirurgicales.",Check-list de sécurité du patient au bloc opératoire,"Correcte, car cette check-list est utilisée pour sécuriser la réalisation des interventions chirurgicales.",d,"{{objectif de connaissance
|Identifiant=OIC-006-06-A
|Item_parent=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Item_parent_short=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Rang=A
|Intitulé=Listes de vérification ou check-lists : connaître les principes et les objectifs des listes de vérification
|Description=None
|Rubrique=Définition
|Contributeurs=Virginie Migeot
|Ordre=6}}

La '''''check-list'' sécurité du patient au bloc opératoire''' contribuer à '''sécuriser''' la réalisation d’une intervention chirurgicale, en faisant un point entre professionnels, aux '''moments clés''' de cette intervention. Elle favorise comme dans le domaine de l’aviation, le '''partage des informations''' par la '''vérification croisée''', notamment de l'identité du patient, du type d'intervention et du site opératoire, du matériel et des risques envisagés. D’autres ''check-lists'' dans le monde médical existent pour les '''activités dites « interventionnelles''' » (endoscopie, radiologie interventionnelle, cathéters veineux centraux, chimiothérapie...).                              

Figure 3 : Check list sécurité du patient au bloc opératoire - version 2018 Source HAS
[[Fichier:Item6 Fig3.png|centré|vignette|812x812px]]
<br />",False
9,OIC-006-07-A,Un patient de 65 ans est décédé après une chirurgie de l'appendicite. Une réunion de morbi-mortalité (RMM) est organisée pour analyser l'événement. Quelle action de prévention peut être mise en place à la suite de cette RMM?,La question évalue la compréhension des principes et objectifs d'une réunion de morbi-mortalité (RMM).,Rédiger un rapport de la RMM et le distribuer aux membres de l'équipe de soins.,Cette action permet de documenter les résultats de la RMM et de les partager avec l'équipe de soins.,Organiser une formation sur la prévention des complications liées à la chirurgie de l'appendicite.,Cette action permet de sensibiliser l'équipe de soins à la prévention des complications liées à la chirurgie de l'appendicite.,Rédiger un plan d'action pour réduire le risque de décès lié à la chirurgie de l'appendicite.,Cette action permet de mettre en place des mesures concrètes pour réduire le risque de décès lié à la chirurgie de l'appendicite.,Ignorer la RMM et ne pas prendre aucune mesure de prévention.,Cette action est incorrecte car la RMM est organisée pour analyser les événements indésirables associés aux soins et mettre en place des actions de prévention.,c,"{{objectif de connaissance
|Identifiant=OIC-006-07-A
|Item_parent=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Item_parent_short=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Rang=A
|Intitulé=Réunions de morbi-mortalité (RMM) : connaître les principes et les objectifs d’une RMM
|Description=None
|Rubrique=Définition
|Contributeurs=Virginie Migeot
|Ordre=7}}

La réunion de morbi-mortalité (RMM) est une '''réunion d'analyse collective, rétrospective et systémique''' (c'est-à-dire prenant en compte les composantes organisationnelles, techniques et humaines) de situations cliniques marquées par la survenue d'un événement indésirable associé aux soins (décès, complication…), afin de mettre en œuvre '''des actions de prévention, de récupération ou d'atténuation'''. Les RMM entrent dans le cadre de la '''culture du retour d’expérience''' ou comment apprendre collectivement de ses erreurs. Les RMM permettent de valider l'obligation de développement professionnel continu (DPC).

'''Lien avec l’item 4''' Qualité et sécurité des soins. La sécurité du patient. La gestion des risques. Les événements indésirables associés aux soins (EIAS). Démarche qualité et évaluation des pratiques professionnelles",False
