,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-01-A,Quel est l'objectif de l'assurance de responsabilité civile professionnelle pour les médecins et les établissements de santé?,Cette question évalue la compréhension de l'utilité de l'assurance de responsabilité civile professionnelle dans le contexte de la responsabilité sanction/indemnisation des professionnels et des établissements de santé.,Assurer l'indemnisation des victimes et couvrir les médecins salariés lorsque la faute est détachable du service.,Correct. L'assurance permet d'indemniser les victimes et de protéger les médecins salariés dans certaines situations.,Sanctionner les professionnels ou les établissements de santé responsables d'un événement indésirable associé aux soins.,"Incorrect. L'assurance n'a pas pour objectif de sanctionner, mais d'indemniser.",Assurer la formation continue des professionnels de santé.,"Incorrect. Bien que la formation continue soit importante, ce n'est pas l'objectif de l'assurance de responsabilité civile professionnelle.",Décider des poursuites judiciaires à engager contre les professionnels ou les établissements de santé.,"Incorrect. Le rôle de l'assurance n'est pas de décider des poursuites, mais d'indemniser les victimes.",a
1,OIC-005-03-A,Qui est responsable civilement en cas de dommages causés à un patient dans un contexte médical?,"Cette question évalue la compréhension de la responsabilité civile dans le domaine médical, en distinguant les différents statuts professionnels.",Les médecins salariés sont toujours responsables civilement des dommages causés à un patient.,Incorrect. Les médecins salariés ne sont pas responsables civilement s'ils n'ont pas outrepassé la mission confiée par leur employeur.,Les établissements de santé privés sont responsables civilement des dommages causés par les médecins salariés dans l'exercice de leur mission.,"Correct. Les établissements de santé privés sont responsables civilement des dommages causés par les médecins salariés dans l'exercice de leur mission, en vertu du régime de responsabilité du commettant.",Les praticiens hospitaliers ne sont jamais responsables civilement des dommages causés dans le cadre de leur activité au sein d'un établissement public de santé.,Incorrect. Les praticiens hospitaliers engagent leur responsabilité civile professionnelle pour les dommages survenus dans le cadre de leur secteur d'activité libérale au sein d'un établissement public de santé.,Les professionnels exerçant à titre libéral sont responsables civilement devant les juridictions administratives.,Incorrect. Les professionnels exerçant à titre libéral et les établissements de santé privés engagent leur responsabilité civile devant les juridictions de l'ordre judiciaire.,b
2,OIC-005-04-A,Quelle est la responsabilité administrative engagée dans le cas d'une faute commise par un médecin hospitalier?,Cette question évalue la compréhension de la responsabilité administrative dans le contexte des actes commis par des médecins hospitaliers.,La responsabilité civile personnelle du médecin est engagée.,Incorrect. La responsabilité civile personnelle du médecin n'est pas engagée en cas de faute de service ou de faute dans l'organisation et le fonctionnement du service.,La responsabilité de l'établissement public de santé est engagée devant les juridictions de l'ordre administratif.,Correct. La responsabilité de l'établissement public de santé est engagée devant les juridictions de l'ordre administratif en cas de faute de service ou de faute dans l'organisation et le fonctionnement du service.,La responsabilité pénale du médecin est engagée.,Incorrect. La responsabilité pénale du médecin n'est pas directement engagée en cas de faute de service ou de faute dans l'organisation et le fonctionnement du service.,La responsabilité de l'assurance maladie est engagée.,Incorrect. L'assurance maladie n'est pas responsable de la responsabilité administrative des établissements publics de santé.,b
3,OIC-005-05-A,Quelle est la juridiction compétente pour engager une action disciplinaire contre un médecin libéral?,Cette question évalue la compréhension de la responsabilité disciplinaire et des instances compétentes pour engager une telle action.,Le conseil départemental de l’Ordre,"Incorrect. Le conseil départemental de l’Ordre peut saisir la chambre disciplinaire du conseil régional de l’Ordre, mais n’est pas une juridiction compétente pour engager une action disciplinaire.",La chambre disciplinaire du conseil régional de l’Ordre,Correct. La chambre disciplinaire du conseil régional de l’Ordre est la juridiction compétente pour engager une action disciplinaire contre un médecin libéral.,Le conseil national de l’Ordre,"Incorrect. Le conseil national de l’Ordre peut saisir la chambre disciplinaire du conseil régional de l’Ordre, mais n’est pas une juridiction compétente pour engager une action disciplinaire.",Le Conseil d’Etat,"Incorrect. Le Conseil d’Etat a un pouvoir en cassation, mais n’est pas une juridiction compétente pour engager une action disciplinaire.",b
4,OIC-005-06-A,Quand parle-t-on de responsabilité sans faute dans le cadre des soins médicaux?,Cette question évalue la capacité à comprendre et à appliquer la définition de la responsabilité sans faute dans le contexte médical.,Lorsqu'un dommage survient à la suite d'une erreur médicale,"Incorrect, car la responsabilité sans faute intervient en l'absence d'erreur.",Lorsqu'un dommage survient sans manquement aux règles professionnelles ou scientifiques,"Correct, car la responsabilité sans faute engage la responsabilité du professionnel de santé même en l'absence de faute prouvée.",Lorsqu'un dommage survient à cause d'une infection nosocomiale,"Incorrect, car l'infection nosocomiale est un exemple de fait générateur de responsabilité sans faute, mais ne définit pas à elle seule cette responsabilité.",Lorsqu'un dommage survient en dépit du respect des procédures standard,"Incorrect, car la responsabilité sans faute peut survenir même en l'absence de manquement aux règles professionnelles ou scientifiques.",b
5,OIC-005-08-A,Quels sont les différents types d'erreurs selon la définition donnée?,Cette question évalue la compréhension des différents types d'erreurs dans le contexte médical.,Erreur d'addition,Cette option est incorrecte car elle ne correspond à aucun des types d'erreurs mentionnés dans le contenu éducatif.,"Erreur par omission, commission, exécution et violation",Cette option est correcte car elle regroupe tous les types d'erreurs mentionnés dans le contenu éducatif.,Erreur de diagnostic,Cette option est incorrecte car elle spécifie un type d'erreur (erreur de diagnostic) qui n'a pas été mentionné dans le contenu éducatif.,Erreur de prévention,Cette option est incorrecte car elle ne correspond à aucun des types d'erreurs mentionnés dans le contenu éducatif.,b
6,OIC-005-09-A,Quelle est la différence entre un accident médical et une affection iatrogène?,Cette question évalue la capacité à distinguer deux termes médico-légaux clés et à comprendre leurs différences.,"Un accident médical est un événement indésirable survenant dans un lieu de soins, tandis qu'une affection iatrogène est un effet néfaste d'un traitement.",Correct. Cette option décrit avec précision la différence entre les deux termes.,"Un accident médical est une erreur d'un professionnel de santé, tandis qu'une affection iatrogène est un effet indésirable d'un médicament.","Incorrect. Même si une partie de la définition est correcte, une erreur médicale n'est pas nécessaire pour qu'il y ait une affection iatrogène.","Un accident médical est un effet indésirable d'un traitement, tandis qu'une affection iatrogène est une erreur d'un professionnel de santé.",Incorrect. Cette option inverse les définitions d'un accident médical et d'une affection iatrogène.,"Un accident médical est un événement indésirable dans un lieu de soins, tandis qu'une affection iatrogène est une erreur de diagnostic.","Incorrect. Une affection iatrogène est une conséquence d'un traitement, pas d'un diagnostic.",a
7,OIC-005-10-A,Quand une infection est-elle considérée comme nosocomiale selon la durée d'hospitalisation?,Cette question évalue la compréhension de la définition d'une infection nosocomiale basée sur la durée d'hospitalisation.,Si elle apparaît dans les 48 heures suivant l'admission.,"Incorrecte, car une infection qui se manifeste dans ce délai est généralement considérée comme en incubation avant l'admission.",Si elle apparaît après 48 heures d'hospitalisation.,"Correcte, car une infection qui se déclare après ce délai est généralement considérée comme nosocomiale.",Si elle apparaît avant 48 heures d'hospitalisation.,"Incorrecte, car une infection qui se manifeste dans ce délai est généralement considérée comme en incubation avant l'admission.",Si elle apparaît entre 24 et 48 heures d'hospitalisation.,"Incorrecte, car le délai est de 48 heures ou plus pour considérer une infection comme nosocomiale.",b
8,OIC-005-11-A,Qu'est-ce qui distingue l'aléa thérapeutique des erreurs médicales?,Cette question évalue la compréhension de la définition et des caractéristiques uniques de l'aléa thérapeutique.,"L'aléa thérapeutique est évitable, tandis que les erreurs médicales sont inévitables.","Incorrect. C'est l'inverse qui est vrai. L'aléa thérapeutique est inévitable, tandis que les erreurs médicales sont évitables.","L'aléa thérapeutique est lié à une action de soins non conforme, tandis que les erreurs médicales sont liées à une action de soins conforme.","Incorrect. C'est l'inverse qui est vrai. L'aléa thérapeutique est lié à une action de soins conforme, tandis que les erreurs médicales sont liées à une action de soins non conforme.","L'aléa thérapeutique est un risque inhérent à l'action de soins, tandis que les erreurs médicales sont dues à une faute du professionnel de santé.","Correct. C'est la bonne réponse. L'aléa thérapeutique est un risque inhérent à l'action de soins, tandis que les erreurs médicales sont dues à une faute du professionnel de santé.","L'aléa thérapeutique est un événement imprévu causant un dommage sans lien de causalité avec l'acte médical, tandis que les erreurs médicales sont des événements imprévus causant un dommage avec lien de causalité certain avec l'acte médical.","Incorrect. C'est l'inverse qui est vrai. L'aléa thérapeutique est un événement imprévu causant un dommage avec lien de causalité certain avec l'acte médical, tandis que les erreurs médicales sont des événements imprévus causant un dommage sans lien de causalité avec l'acte médical.",c
9,OIC-005-12-B,"Quels sont les principaux facteurs conduisant à l'ouverture d'un contentieux à la suite d'un accident médical, regroupés par domaine d'influence?",Cette question évalue la capacité à identifier et catégoriser les facteurs de risque de contentieux médical.,"Facteurs liés au patient : état de santé, maladies associées, communication, etc.","Correct. Les facteurs liés au patient incluent son état de santé, les maladies associées, les difficultés de communication et la vulnérabilité de certains groupes.","Facteurs liés aux tâches : charge de travail, priorisation, etc.","Incorrect. Les facteurs liés aux tâches ne sont pas spécifiquement mentionnés dans le contenu éducatif, mais ils peuvent influencer le risque de contentieux.","Facteurs liés à l'équipe : communication, traçabilité, encadrement, etc.","Correct. Les facteurs liés à l'équipe incluent la communication, la traçabilité de l'information et l'encadrement des juniors.","Facteurs liés au contexte institutionnel : politiques de santé publique, systèmes de signalement, etc.",Correct. Les facteurs liés au contexte institutionnel incluent les politiques de santé publique et les systèmes de signalement.,a
