,id,question,option_a,option_b,option_c,option_d,correct_option
0,OIC-005-01-A,"La responsabilité d’un professionnel de santé ou d’un établissement de santé peut être recherchée à deux fins : soit la sanction du professionnel ou de l’établissement, soit l’indemnisation de l’usager victime des conséquences d’un événement indésirable associé aux soins. La sanction peut être de nature pénale ou disciplinaire. L’indemnisation incombe au responsable (exercice libéral) ou à son employeur s’il est salarié (public ou privé). Elle peut également être obtenue via la procédure amiable devant les commissions de conciliation et d’indemnisation.",La responsabilité du professionnel ou de l’établissement peut être recherchée pour des raisons pénales ou disciplinaires.,Le responsable est le professionnel libéral ou son employeur salarié (public ou privé).,L’indemnisation peut être obtenue par voie amiable devant les commissions de conciliation et d’indemnisation.,La responsabilité du professionnel ou de l’établissement peut être recherchée pour des raisons civiles.,a
1,OIC-005-02-A,Quelle juridiction est-elle responsable en cas d'engagement de responsabilité civile pour les professionnels exerçant à titre libéral et les établissements de santé privés?,Tribunal de grande instance,Cour d'appel,Cour de cassation,Aucune des trois,a
2,OIC-005-03-A,Quelle est la définition de la responsabilité disciplinaire en médecine?,La responsabilité disciplinaire est celle qui est encourue devant les instances pénales.,La responsabilité disciplinaire est celle qui est encourue devant les instances civiles.,La responsabilité disciplinaire est celle qui est encourue devant les instances administratives.,La responsabilité disciplinaire est celle qui est encourue devant les instances de l’Ordre des médecins.,d
3,OIC-005-03-A-,Quelle est la définition de la responsabilité sans faute dans le contexte médical?,"La responsabilité sans faute s'applique lorsque des dommages sont liés aux soins, mais qui surviennent sans manquement aux règles professionnelles ou scientifiques.","La responsabilité sans faute est engagée lorsqu'il y a un autre fait générateur que la faute prouvée, par exemple une infection nosocomiale.",La responsabilité sans faute ne peut être invoquée que dans le cadre d'une erreur médicale.,La responsabilité sans faute n'existe pas en droit français.,a
4,OIC-005-04-A,Quelle est la définition de la faute en droit médical?,Violations des connaissances médicales avérées,Violation du devoir d'humanisme,Défauts de produits de santé,Toutes les réponses sont correctes,a
5,OIC-005-04-A-,Qu'est-ce qu'une erreur médicale?,Une action nécessaire qui n'a pas été faite,Une action inutile qui a été effectuée,Une action mal réalisée,Le non-respect d'une recommandation ou d'une règle professionnelle,a
6,OIC-005-05-A-,Qu'est-ce que les infections nosocomiales?,Infections contractées à l'extérieur du milieu hospitalier.,Infections transmises par le personnel soignant.,Infections acquises au cours d'un séjour dans un établissement de santé.,Infections causées par des agents pathogènes résistant aux antibiotiques.,c
7,OIC-005-06-A,Qu'est-ce que l'aléa thérapeutique?,Un événement indésirable lié à une action de soins conforme et ne comportant pas d'erreur.,Une erreur médicale qui n'est pas la faute du professionnel de santé.,Un effet secondaire d'un médicament correctement prescrit et administré.,"Tout risque inhérent à l'acte de soin, de diagnostic ou de prévention.",a
8,OIC-005-06-A-,Quels sont les principaux facteurs qui peuvent conduire à l’ouverture d’un contentieux à la suite d’un accident médical?,"Les facteurs peuvent être liés au patient, aux tâches à accomplir, à l'équipe, à l'environnement de travail, à l'organisation et au management, ainsi que au contexte institutionnel.",Le contexte institutionnel est le principal facteur qui peut conduire à l’ouverture d’un contentieux à la suite d’un accident médical.,Les facteurs peuvent être liés aux tâches à accomplir et au contexte institutionnel.,Seul le contexte institutionnel est un facteur qui peut conduire à l’ouverture d’un contentieux à la suite d’un accident médical.,a
9,OIC-005-07-A,Quels sont les facteurs humains qui peuvent favoriser une erreur médicale?,Manque de connaissances,Stress,Maladie du personnel,Comportement du patient,a
10,OIC-005-08-A,Quelle est la troisième grande classe de repérage des erreurs dans les hôpitaux?,Un système actif fondé sur l’analyse de dossiers ou de traces électroniques.,Une cellule de gestion des risques et un coordinateur de la gestion des risques associés aux soins.,Le volontariat des médecins et autres professionnels de santé.,La volonté des patients ou de leur famille ou proches d’expliquer les dysfonctionnements qu’ils ont rencontrés.,a
11,OIC-005-08-A-,Quelle est la définition d'une équipe pluriprofessionnelle dans le contexte clinique?,Un groupe de professionnels de santé travaillant ensemble pour fournir des soins au patient.,"Une équipe composée de médecins, infirmiers et kinésithérapeutes qui s'entraide dans le but d'améliorer la qualité des soins.",Un groupe de professionnels travaillant ensemble pour sécuriser les soins au patient.,Une équipe composée de professionnels ayant des qualifications différentes et complémentaires qui travaillent ensemble et unissent leurs efforts dans un même but.,d
12,OIC-005-09-A-,Qu'est-ce que le parcours de soins ?,Le parcours de soins est une évaluation clinique du patient.,Le parcours de soins est un suivi médical des patients.,Le parcours de soins est l'organisation et la coordination des compétences professionnelles dans le traitement des patients.,Le parcours de soins est une stratégie thérapeutique pour les patients.,c
13,OIC-005-10-A-,Les réunions de concertation pluridisciplinaire  (RCP) sont organisées dans le domaine de la cancérologie.,Vrai,Faux,"Non, elles ne sont pas uniquement dans la cancérologie, elles peuvent être organisées dans d'autres domaines.","Elles sont organisées systématiquement en cancérologie pour définir la stratégie diagnostique, thérapeutique et de suivi des patients atteints de cancer.",c
14,OIC-005-11-A-,Les réunions de morbi-mortalité  (RMM) sont :,"Des réunions d'analyse collective, rétrospectives et systémiques.",Des réunions d'étude clinique pour les événements indésirables associés aux soins.,Des réunions de travail sur la sécurité du patient.,Des réunions d'analyse des erreurs médicales.,a
15,OIC-005-14-B,Quelle est l'éthique en santé?,Une réflexion collective sur les valeurs humaines,Un code de conduite pour les professionnels de la santé,Une démarche pour guider les choix et décisions,Une science qui étudie les comportements des personnes,c
16,OIC-005-14-B-,Quelle était la vision de V.R. Potter sur la bioéthique ?,Une éthique globale pour la survie de l’être humain et de la planète.,Un sous-ensemble de l’éthique en santé.,La reconnaissance de principes fondamentaux dans les débats bioéthiques.,Une alliance entre sciences biologiques et éthique.,a
17,OIC-006-01-A,Le respect de l'autonomie du patient est désormais central à travers la participation du patient aux décisions qui le concernent.,Le patient doit être informé et son consentement recueilli avant toute démarche diagnostique ou thérapeutique.,Le patient peut refuser les soins même en cas d'urgence vitale immédiate s'il est capable de formuler son refus.,Le patient a besoin et a le droit d’être éclairé sur les choix d’examens ou de soins qui le concernent au premier chef.,Le patient peut refuser les soins en cas de fin de vie s'il l'a expressément indiqué dans un testament de vie.,a
18,OIC-006-02-A,Un médecin peut-il refuser de pratiquer un acte médical pour des raisons personnelles ou professionnelles?,"Oui, il peut le faire.","Non, il doit effectuer tous les actes médicaux demandés par le patient.",Seulement dans certaines conditions strictement définies par la loi.,Toujours et sans exception.,C
19,OIC-006-02-A-,Quelle est la définition de 'personne de confiance' selon l'article L.1111-6 du CSP ?,La personne de confiance est un proche majeur désigné par le patient pour assister ce dernier dans ses démarches de soins et faire le lien avec les équipes médicales.,La personne de confiance est un membre de l'équipe soignante qui accompagne le patient dans ses démarches administratives et médicales.,La personne de confiance est un proche majeur désigné par le patient pour garder le secret médical.,"La personne de confiance est un membre de l'équipe soignante qui accompagne le patient dans ses démarches administratives et médicales, ainsi que dans les décisions médicales.",a
20,OIC-006-03-A,Quelle est la définition de la vulnérabilité?,La vulnérabilité est une notion historiquement et culturellement située.,La vulnérabilité est un état pathologique.,La vulnérabilité est le fonds commun de notre humanité repensée à l'aune de la faiblesse et de la dépendance.,La vulnérabilité est une condition négative en ce qu'elle empêche ou entrave l'autonomie.,c
21,OIC-006-05-A,Le droit à l'interruption volontaire de grossesse (IVG) est-il un exemple d'éthique de responsabilité de la profession médicale ?,"Oui, car il garantit un accès égal et sécurisé à une pratique qui était auparavant fréquente et risquée.","Non, car le droit à l'IVG est un compromis entre différentes conceptions morales plutôt qu'une question de santé publique.","Oui, mais il reste fragile et n'est pas reconnu partout.","Non, car la loi Veil a instauré des garde-fous qui ont fini par apparaître comme une complication inutile.",a
22,OIC-006-05-A-,Quel est le délai maximum avant lequel une interruption médicale de grossesse peut être pratiquée sans limitation ?,Jusqu'à 12 semaines d'aménorrhée,Jusqu'à 20 semaines d'aménorrhée,Jusqu'à 28 semaines d'aménorrhée,Il n'y a pas de limitation de délai pour l'IMG,d
23,OIC-006-07-A,Quelles sont les questions éthiques liées à la fin de vie?,La définition de la notion de fin de vie,L'enjeu éthique concernant l'information du patient,Le respect de la dignité de la personne en tant qu'elle est humaine,Le soulagement des douleurs et souffrances de la personne,a
24,OIC-006-07-A-,Quelle est la définition de l'obstination déraisonnable?,L'obstination déraisonnable consiste en le refus d'entendre les directives anticipées du patient.,"L'obstination déraisonnable implique une volonté de prolonger la vie à tout prix, même si cela entraîne des souffrances inutiles pour le patient.",L'obstination déraisonnable est synonyme d'euthanasie active.,L'obstination déraisonnable ne concerne que les traitements médicaux et non la nutrition ou l'hydratation artificielle.,B
25,OIC-008-01-A,Quels sont les principes éthiques fondamentaux dans le domaine de la recherche impliquant la personne humaine?,Bienfaisance,Non-malfaisance,Autonomie,Justice,a
26,OIC-008-01-A-,Quelle était la loi qui a posé les bases de la protection des personnes dans la recherche biomédicale en France ?,Loi Huriet-Sérusclat 1988,Loi Jardé 2012,Ordonnance du 16 juin 2016,Loi Lenglen-Debré 2004,a
27,OIC-008-02-B,Quelle est la principale raison d'être du don d'organes ?,La vie du donneur,Le profit financier des médecins,L'altruisme,Les recherches médicales,c
28,OIC-008-02-B-,Quelle est la définition légale de la mort encéphalique?,La mort encéphalique est définie par l'absence de ventilation spontanée en épreuve d’hypercapnie.,La mort encéphalique est définie par deux EEG sans activité décelable à 4H00 d’intervalle avec une durée d’enregistrement chacun d’au moins 30 minutes et/ou angiographie cérébrale montrant l’absence de circulation efficace.,La mort encéphalique est définie par la présence d’un arrêt cardio circulatoire irréversible au cours de la prise en charge en réanimation.,La mort encéphalique est définie par l'absence de conscience et d’activité motrice spontanée avec absence de réaction à la stimulation.,b
29,OIC-009-01-A,Quelles sont les conditions d'identification par empreintes génétiques en France?,"Dans le cadre de mesures d'investigation ou d'instruction diligentées lors d'une procédure judiciaire, à des fins médicales ou de recherche scientifique et aux fins d'établir, lorsqu'elle est inconnue, l'identité de personnes décédées.",Dans le cadre de mesures d'investigation ou d'instruction diligentées lors d'une procédure judiciaire uniquement.,Seulement dans les cas où il s'agit d'identifier des personnes décédées.,Aucune condition d'identification par empreintes génétiques n'existe en France.,a
30,OIC-009-01-A-,Le corps est un objet d’étude multidimensionnel.,Vrai,Faux,Incorrection possible,Correction nécessaire,a
31,OIC-009-02-A,Quelle est la définition de l'expérience corporelle chez le patient?,La conscience immédiate et intime que nous avons de notre propre corps.,Le sentiment subjectif ressenti par un individu à propos de son corps.,L'identité physique perçue par une personne.,La perception du corps par les autres.,a
32,OIC-009-03-A,Quelle est la définition de la protection sociale?,L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux.,Un ensemble de prestations sociales financées par l’État et destinées à aider les personnes en situation de précarité ou de pauvreté.,Une solidarité entre les individus pour lutter contre la pauvreté et l’exclusion sociale.,Un ensemble de prestations sociales financées par des cotisations sociales prélevées sur les revenus et réservées à ceux qui cotisent ou à leurs ayants droit.,a
33,OIC-009-04-A,Quel est le poids des prestations vieillesse et santé dans le Produit Intérieur Brut de la France en 2020 ?,30%,35%,40%,45%,b
34,OIC-009-06-A,Quel est le rôle du Comité d’alerte sur l’évolution des dépenses d’assurance maladie ?,Il alerte les caisses nationales d’assurance maladie en cas d’augmentation des dépenses.,Il n’a pas de rôle dans la gestion des dépenses d’assurance maladie.,Il évalue l’impact des dépenses sur le budget de l’État.,Il fixe chaque année les objectifs nationaux des dépenses d’assurance maladie.,a
35,OIC-009-06-A-,Quels sont les différents régimes de sécurité sociale en France?,Le régime général et le régime agricole,"Le régime général, le régime spécial des fonctionnaires et le régime social security","Le régime général, le régime spécial des fonctionnaires et le régime spéciale de la sécurité sociale","Le régime général, le régime agricole et le régime social security",a
36,OIC-009-08-A,Le médecin traitant est-il le généraliste ou le spécialiste?,Le médecin traitant peut être généraliste ou spécialiste.,Le médecin traitant n'est pas obligatoirement un généraliste.,Le médecin traitant doit être un généraliste.,Le médecin traitant est uniquement le généraliste.,a
37,OIC-009-09-B,Quelles sont les prestations en espèces de l’assurance maladie?,Indemnités journalières,Prise en charge des frais médicaux,Pension d'invalidité,Capital décès,a
38,OIC-009-09-B-,Quelle est la définition de la recherche en santé selon l'OpenBioLLM ?,Toutes les études visant le développement des connaissances biologiques ou médicales.,Les actions susceptibles d'améliorer la santé.,L'étude de l'humain pour développer des actions susceptibles d'améliorer la santé.,"Toutes les études visant le développement des connaissances biologiques ou médicales, pour étendre la connaissance scientifique de l’humain et développer des actions susceptibles d’améliorer la santé.",d
39,OIC-009-11-A,Quels sont les éléments qui permettent de justifier une problématique de recherche ?,Les facteurs épidémiologiques du problème de santé étudié.,L'état actuel des connaissances sur le sujet.,La faible niveau de preuve des études précédemment menées.,Les résultats contradictoires des études disponibles dans la littérature.,a
40,OIC-009-12-B,Quelle est la principale méthode utilisée dans les études expérimentales ?,La méthode expérimentale.,La méthode observationnelle.,La méthode analytique.,La méthode diagnostique.,a
41,OIC-009-14-B-,Quelle est la méthode utilisée pour calculer l'écart-type ?,Somme des carrés des écarts à la moyenne,Racine carrée de la variance,Différence entre le troisième et premier quartile,Différence entre la valeur maximale et minimale,B
42,OIC-009-15-B,Quelle est la définition d'un test statistique ?,Un test statistique est une procédure de décision entre deux hypothèses.,Un test statistique est une méthode pour évaluer si un résultat observé peut s'expliquer par le hasard.,Un test statistique est une analyse qui compare deux variables.,Un test statistique est une procédure de calcul pour déterminer la probabilité d'une variable aléatoire.,a
43,OIC-009-16-B,Quelle est la méthode d'analyse statistique utilisée pour ajuster les mesures d'association ?,Analyse de variance,Régression logistique,Étude cas-témoins,Étude transversale,b
44,OIC-009-17-A,Quel est le rôle du facteur d'exposition dans une étude expérimentale ?,C'est l'élément sur lequel porte l'intervention.,C'est un facteur de risque associé à la probabilité plus élevée de survenue du phénomène de santé étudié.,C'est un facteur qui influence l'état de santé des populations sans être une cause directe de problèmes particuliers ou de maladies.,C'est le facteur dont on cherche à évaluer l'effet sur la variable dépendante dans une étude analytique.,a
45,OIC-009-17-A-,Quelle est la population cible de l'étude ?,Les patients atteints d'une maladie rare.,Tous les habitants du village.,Seuls les adultes âgés de plus de 65 ans.,Les enfants scolarisés dans une école maternelle.,a
46,OIC-009-19-B,Quelle est la définition du risque en santé publique?,La probabilité qu'un événement survienne dans une population pendant une période donnée.,"Le nombre de nouveaux cas d'une maladie au cours d'une période donnée, rapporté à la somme des personnes-temps susceptibles de tomber malades.",La proportion du nombre de cas d’une maladie dans une population à un instant donné ou sur une période donnée.,Le pourcentage de personnes atteintes par une maladie au cours d'une année.,a
47,OIC-009-19-B-,Quelle est la mesure de fréquence la plus souvent rapportée de manière standardisée ?,Taux d'incidence,Taux de prévalence,Ratio de mortalité,Espérance de vie,a
48,OIC-009-21-A,Quels sont les facteurs qui influencent la puissance d'une étude ?,La taille de l'échantillon analysé N,La différence à détecter d,La variabilité des observations (variance),Le risque alpha,a
49,OIC-009-21-A-,"Quand on fait une étude, il faut toujours calculer le nombre de sujets à inclure avanthande.","Oui, c'est indispensable pour éviter les erreurs.","Non, on peut faire l'étude sans savoir combien de gens il faudra avoir.",Seulement si c'est une étude descriptive.,Seulement si c'est une étude expérimentale.,a
50,OIC-009-23-A,Quel est le rôle du facteur d'interaction dans une étude épidémiologique ?,Il s'agit d'un facteur qui modifie l'association entre une exposition et un phénomène de santé.,Il s'agit d'un facteur qui ne modifie pas l'association entre une exposition et un phénomène de santé.,Il s'agit d'un facteur qui amplifie l'association entre une exposition et un phénomène de santé.,Il s'agit d'un facteur qui réduit l'association entre une exposition et un phénomène de santé.,a
51,OIC-009-23-A-,Le jugement de signification statistique concerne l'erreur aléatoire.,Vrai,Faux,"Non, il ne concerne pas l'erreur aléatoire.",Il n'est pas lié à l'erreur aléatoire.,a
52,OIC-009-24-B-,Quels sont les nouveaux ensembles de données qui soutiennent la recherche médicale avancée ?,Génome humain,Exposome,Phénome,Données -omics issues de la biologie moléculaire,b
53,OIC-009-25-B,Quelles sont les étapes du processus de publication d'un article scientifique?,Révision par les pairs,Validation par un comité de lecture,Publication directe sur internet sans validation,Toutes les étapes précédentes,a
54,OIC-009-26-B,Quelle est la définition d'une maladie rare ?,Une maladie qui touche moins de 2000 personnes par an.,Une maladie dont le nombre de cas est inférieur à celui des autres maladies.,Une maladie qui affecte moins d'une personne sur deux mille dans la population générale.,Une maladie rare est une maladie génétique.,c
55,OIC-009-27-B-,Quel est le nombre total de maladies rares recensées en France?,7000,350 millions,80%,50%,a
56,OIC-010-01-A,Qu'est-ce que l'errance diagnostique en médecine?,La période allant de l'apparition des premiers symptômes à la date à laquelle un diagnostic précis est posé.,Le moment où le patient commence à chercher un traitement pour sa maladie.,Une situation où les médecins ne savent pas ce qui est responsable de la maladie du patient.,La période pendant laquelle les médecins essaient de trouver une cause plausible pour la maladie du patient.,a
57,OIC-010-01-A-,Quels sont les principaux dispositifs administratifs pour la prise en charge des maladies rares?,Centres de référence et de compétence maladies rares,Filières de santé,Orphanet,Maladies rares Info Services,a
58,OIC-010-02-B-,Quelle est la prise en charge recommandée pour une fausse couche du premier trimestre?,Prise en charge psychologique proposée,Expulsion de la grossesse arrêtée par traitement médical,Expulsion de la grossesse arrêtée par traitement chirurgical,Importance de l’information délivrée à la patiente pour réassurance,a
59,OIC-019-01-A,Quelle est la définition de l'hémorragie du post partum?,Hémorragie du post partum est un saignement de plus de 500 mL dans les 24 heures suivant l'accouchement.,Hémorragie du post partum est un saignement de plus de 1000 mL dans les 24 heures suivant l'accouchement.,Hémorragie du post partum est un saignement de plus de 1500 mL dans les 24 heures suivant l'accouchement.,Hémorragie du post partum est un saignement de plus de 2000 mL dans les 24 heures suivant l'accouchement.,a
60,OIC-019-01-A-,Quelle est l'importance de la temporalité dans la prise en charge d'une HPP?,La temporalité n'est pas importante.,La temporalité est très importante.,La temporalité est moyennement importante.,La temporalité est négligeable.,b
61,OIC-019-02-A,Quelles sont les modalités de prévention de l'HPP?,"La délivrance dirigée, systématique.",Une surveillance de la délivrance normale pendant 2 heures en salle de travail.,Une délivrance artificielle en cas de non-décollement placentaire 30 minutes après l'accouchement.,Vérification macroscopique du placenta et des membranes après la délivrance.,a
62,OIC-019-02-A-,Quelle est la définition de l'HTA gravidique?,L'HTA gravidique est définie par une PA systolique (PAS) ≥ à 140 mmHg et/ou une PA diastolique (PAD) ≥ à 90 mmHg à au moins deux reprises.,L'HTA gravidique est la présence d'une HTA chronique pendant la grossesse.,L'HTA gravidique est caractérisée par une PA systolique (PAS) ≥ à 160 mmHg et/ou une PA diastolique (PAD) ≥ à 110 mmHg à au moins deux reprises.,L'HTA gravidique est la même chose que la prééclampsie.,a
63,OIC-019-03-B,Quelle est la fréquence de l’HTA pendant la grossesse?,5 à 10 %,10 à 15 %,15 à 20 %,20 à 25 %,a
64,OIC-019-04-B,Quelles sont les complications maternelles de l'HTA gravidique?,Insuffisance rénale aiguë,Hématome sous-capsulaire du foie,Rétinopathie hypertensive,Hémorragie cérébroméningée,a
65,OIC-019-05-A,Quel est l'objectif du traitement antihypertenseur chez une femme enceinte ?,Eviter les à-coups hypertensifs,Limiter les complications maternelles,Les deux,Aucun des deux,c
66,OIC-019-06-B,Quelle est la conduite à tenir après l'accouchement en cas d'hypertension artérielle gestationnelle (HTAg) ?,Surveillance étroite et arrêt progressif du traitement antihypertenseur,Traitement continu de l'HTA sans surveillance particulière,Arrêt immédiat du traitement antihypertenseur,Attente de la fin de la grossesse pour commencer le traitement de l'HTA,a
67,OIC-019-06-B-,"Quelle est la prévalence de la récurrence des complications liées à l'hypertension artérielle gravidique chez une patiente ayant déjà eu un antécédent de prééclampsie, RCIU ou HRP ? ",1 patiente sur 5,1 patiente sur 10,1 patiente sur 20,1 patiente sur 50,a
68,OIC-019-07-B,Quelles sont les complications à long terme liées à une antécendance d'HTA gravidique?,Insuffisance rénale chronique,Hypertension artérielle persistante,Anémie fœtale,Malformations congénitales,a
69,OIC-019-07-B-,Quelle est la définition d'une menace d'accouchement prématuré (MAP) ?,Association de modifications cervicales et de contractions utérines régulières et douloureuses avant 37 SA.,Modification du col utérin avant 25 mm,Accouchement avant 22 SA,Toutes les réponses sont correctes,a
70,OIC-019-08-A,Quels sont les facteurs de risque de la menace d’accouchement prématuré?,Aucune étiologie n'est retrouvée dans près de 60 % des cas.,"Facteurs de risques maternels : âge, tabac et toxiques, précarité, grossesses rapprochées, nombreux enfants à charge, troubles psychologiques, traumatisme abdominal, métrorragies au 2ème ou 3ème trimestre.","Causes infectieuses : infections urinaires, chorioamniotite et/ou rupture des membranes.","Causes obstétricales : antécédents d’AP ou de FCT, causes utérines ou ovulaires par diminution de la compétence du col, par diminution de la taille de la cavité utérine, par augmentation de la distension utérine au cours de la grossesse.",b
71,OIC-019-09-A,Quelle est la prise en charge thérapeutique d'une menace d'accouchement prématuré?,Antibiothérapie uniquement si infection diagnostiquée,En cas de rupture des membranes : antibioprophylaxie courte systématique,Tocolyse pendant 48 heures par inhibiteurs calciques (nifédipine) ou antagonistes de l'oxytocine (atosiban),"Antipyrétique, antispasmodique, du repos sans alitement strict++",c
72,OIC-019-09-A-,Quelles mesures peuvent être prises pour prévenir la menace d’accouchement prématuré?,Supprimer les facteurs de risque,Effectuer un bilan morphologique de la cavité utérine et rechercher bactériologiquement et traiter une vaginose bactérienne,Réaliser un cerclage en cas d’antécédent d’accouchement prématuré,"Ne pas réaliser de cerclage préventif uniquement en raison d'antécédents isolés d'accouchement prématuré, conisation, malformation utérine ou grossesse gémellaire",a
73,OIC-019-10-A,Quelle est la principale cause de fièvre au cours de la grossesse ?,Listériose,Chorioamnionitis,Infection ORL,Angine des nouveau-nés,B
74,OIC-019-10-A-,Quels sont les examens complémentaires à réaliser en cas de fièvre au cours de la grossesse?,ECBU,NFS - CRP,hémocultures,sérologies selon le contexte,a
75,OIC-019-11-A,"Le traitement de la fièvre pendant la grossesse comprend l'antibiothérapie préventive active sur Listeria, amoxicilline 3 g/j (ou érythromycine si allergie).",L'antibiothérapie préventive active sur Listeria est le traitement de la fièvre pendant la grossesse.,Le traitement de la fièvre pendant la grossesse ne comprend pas l'antibiothérapie préventive active sur Listeria.,L'antibiothérapie préventive active sur Listeria est le traitement spécifique de la fièvre pendant la grossesse.,"Le traitement de la fièvre pendant la grossesse comprend l'antibiothérapie préventive active sur Listeria, mais uniquement en cas d'allergie à l'érythromycine.",a
76,OIC-019-11-A-,"La douleur abdominale aiguë chez une femme enceinte peut être due à plusieurs affections, dont le hématome rétroplacentaire, le HELLP syndrome, la rupture utérine et la chorioamniotite. Quelle est l'affection qui présente les signes suivants ?",Hématome rétroplacentaire,HELLP syndrome,Rupture utérine,Chorioamniotite,a
77,OIC-019-12-A-,Orientation de l'examene clinique en contexte de douleur abdominale aigu chez la femme encinee,Rechercher les etiologies mettant en jeu le pronostic vital (urgence extrême),Urgence extrême eeliminee,Prise de temperature,"Palpation abdominale, fosse lombaire",a
78,OIC-019-13-B,Quelle est l'orientation générale à donner pour une douleur abdominale aiguë chez une femme enceinte?,Restreindre les activités,Reposer et prendre des analgésiques,Effectuer un examen clinique complet,Rester inactif et ne pas bouger,c
79,OIC-020-01-A,Quelle est la définition de l'infection materno-fœtale?,Infection du fœtus par des germes d'origine maternelle,Contamination du fœtus au cours de la grossesse ou à l'accouchement par des germes d'origine maternelle,Infection néonatale bactérienne précoce si bactérienne,None of the above,b
80,OIC-020-01-A-,Quelles sont les principales étiologies microbiennes des infections materno-fœtales?,Bactéries,Parasites,Virus,Autres,a
81,OIC-020-02-A-,Quelle est la transmission materno-fœtale de la toxoplasmose en fonction du terme de grossesse?,La transmission materno-fœtale augmente au fur et à mesure de la grossesse.,La transmission materno-fœtale est maximale au 2e trimestre.,La transmission materno-fœtale est minimale au 3e trimestre.,La transmission materno-fœtale ne dépend pas de l'âge gestationnel à la contamination.,a
82,OIC-020-04-B,La contamination du fœtus est transplacentaire et le virus de la rubéole est tératogène.,Le risque d’infection fœtale varie avec l’âge gestationnel.,"Avant 11 SA, la fréquence de l’infection fœtale est d’environ 90 %.","Après 18 SA, les risques sont quasi nuls.",On distingue deux situations : le syndrome polymalformatif et la rubéole congénitale évolutive.,a
83,OIC-020-06-B,"La femme enceinte, non vaccinée, et qui n’a jamais contracté la rougeole, fait partie des sujets à risque de complications. La prévention et la surveillance de la survenue de l’infection chez la femme enceinte est fondamentale.",Vérifier le statut vaccinal de la patiente (carnet de santé),Pratiquer une sérologie en urgence (vérification de la présence d’IgG),"Chez une femme enceinte séronégative, possibilité d’administration d’immunoglobulines IV dans les 6 jours suivants le contage (protection d’un mois)","En suites de couches, une vaccination par vaccin trivalent (ROR) est indiquée",a
84,OIC-020-07-B,Le principal mode de contamination de l'herpès néonatal est le passage par la filière génitale infectée lors de l'accouchement.,True,False,Both A and B are correct,Neither A nor B is correct,a
85,OIC-020-08-B,Quelle est la définition de l'infection à VHB materno-fœtale?,Transmission verticale de l'hépatite B du mère au fœtus,Infection hépatique transmise par voie aérienne,Hépatite B transmissible par voie sanguine,Transmission verticale de l'hépatite B du fœtus à la mère,a
86,OIC-020-10-B-,Quels sont les aliments à éviter pour prévenir la listériose materno-fœtale ?,"Fromages à pâte molle au lait cru, fromages vendus râpés",Poissons fumés,Graines germées crues,Produits de charcuterie cuite consommés en l'état,a
87,OIC-020-13-B-,Quelle est la physiopathologie de l'allo-immunisation antiérythrocytaire ?,L'allo-immunisation antiérythrocytaire correspond à une sensibilisation aux aliments riches en fer.,L'allo-immunisation antiérythrocytaire est due à la présence d'un anticorps irrégulier dirigé contre un antigène de groupe sanguin.,L'allo-immunisation antiérythrocytaire se manifeste par une anémie fœtale.,L'allo-immunisation antiérythrocytaire est la première cause d'hématies fœtales incompatibles avec la circulation maternelle.,b
88,OIC-020-14-B-,Quelles sont les situations à risque d'allo-immunisation anti-D pendant la grossesse?,Accouchement,Interruption volontaire de grossesse,Version par manœuvre externe,"Prélèvements ovulaires (amniocentèse, biopsie de trophoblaste, ponction de sang fœtal)",a
