,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-03-A,Quels professionnels engagent leur responsabilité civile devant les juridictions de l'ordre judiciaire?,Cette question évalue la compréhension des idées principales concernant la responsabilité civile des professionnels de la santé.,"Les médecins salariés d'établissements, services ou organismes privés",Cette option est incorrecte car les médecins salariés ne sont pas responsables civilement pour les dommages causés à un patient.,Les professionnels exerçant à titre libéral et les établissements de santé privés,Cette option est correcte car ils engagent leur responsabilité civile devant les juridictions de l'ordre judiciaire.,Les praticiens hospitaliers uniquement,Cette option est incorrecte car les praticiens hospitaliers engagent leur responsabilité civile professionnelle mais pas civile.,Les médecins libéraux uniquement,Cette option est incorrecte car les établissements de santé privés engagent également leur responsabilité civile.,b
1,OIC-005-04-A,Quelle est la responsabilité engagée devant les juridictions de l'ordre administratif en cas d'actes réalisés par les médecins hospitaliers?,Cette question évalue la compréhension de la responsabilité administrative en matière médicale.,La responsabilité personnelle du médecin,Cette option est incorrecte car la responsabilité personnelle du médecin n'est pas engagée devant les juridictions de l'ordre administratif.,La responsabilité de l'établissement public de santé,Cette option est correcte car la jurisprudence administrative a défini que c'est la responsabilité de l'établissement public de santé qui est engagée devant les juridictions de l'ordre administratif.,La responsabilité du patient,Cette option est incorrecte car le patient n'est pas responsable de l'acte médical.,La responsabilité de l'État,Cette option est incorrecte car la responsabilité de l'État n'est pas directement engagée en cas d'actes réalisés par les médecins hospitaliers.,b
2,OIC-005-05-A,Quelle est la définition de la responsabilité disciplinaire en matière médicale?,Cette question évalue la compréhension des idées principales sur la responsabilité disciplinaire en matière médicale.,La responsabilité disciplinaire est celle qui est encourue devant les tribunaux pénaux.,"Cette option est incorrecte car la responsabilité disciplinaire est encourue devant les instances de l'Ordre des médecins, et non devant les tribunaux pénaux.",La responsabilité disciplinaire est celle qui est encourue devant les instances de l'Ordre des médecins.,Cette option est correcte car la responsabilité disciplinaire est bien encourue devant les instances de l'Ordre des médecins.,La responsabilité disciplinaire est celle qui est encourue devant les tribunaux civils.,"Cette option est incorrecte car la responsabilité disciplinaire est encourue devant les instances de l'Ordre des médecins, et non devant les tribunaux civils.",La responsabilité disciplinaire est celle qui est encourue devant les instances de la santé publique.,"Cette option est incorrecte car la responsabilité disciplinaire est encourue devant les instances de l'Ordre des médecins, et non devant les instances de la santé publique.",b
3,OIC-005-06-A,"Quel type de responsabilité médicale est engagée lorsque un dommage lié aux soins survient sans manquement aux règles professionnelles ou scientifiques, ni erreur?",Cette question évalue la compréhension de la définition de la responsabilité sans faute.,Responsabilité par faute,Cette option est incorrecte car la responsabilité sans faute est engagée sans faute prouvée.,Responsabilité sans faute,"Cette option est correcte car la responsabilité sans faute est engagée sans manquement aux règles professionnelles ou scientifiques, ni erreur.",Responsabilité civile,Cette option est incorrecte car la responsabilité civile peut être engagée pour des raisons autres que la faute.,Responsabilité pénale,"Cette option est incorrecte car la responsabilité pénale est engagée pour des infractions pénales, pas pour des dommages liés aux soins.",b
4,OIC-005-08-A,Quel type d'erreur médicale se produit lorsque une action nécessaire n'a pas été faite?,Cette question évalue la compréhension des différents types d'erreurs médicales.,Erreur par commission,Cette option est incorrecte car une erreur par commission désigne une action qui a été faite mais qui n'était pas utile.,Erreur par omission,Cette option est correcte car une erreur par omission se produit lorsque une action nécessaire n'a pas été faite.,Erreur d'exécution,Cette option est incorrecte car une erreur d'exécution désigne une action mal réalisée.,Violation,Cette option est incorrecte car une violation désigne un non-respect d'une recommandation ou d'une règle professionnelle.,b
5,OIC-005-09-A,Qu'est-ce qu'un accident médical?,Cette question évalue la compréhension de la définition d'un accident médical.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic.",Cette option est correcte car elle correspond à la définition d'un accident médical.,Un effet néfaste provoqué par un traitement ou un acte médical.,Cette option est incorrecte car elle correspond à la définition d'une affection iatrogène.,Un dommage anormal au regard de l'évolution prévisible de l'état de santé.,Cette option est correcte car elle décrit les conséquences d'un accident médical.,Un événement indésirable survenu en dehors d'un acte de soin.,Cette option est incorrecte car elle ne correspond pas à la définition d'un accident médical.,a
6,OIC-005-11-A,Qu'est-ce qui distingue l'aléa thérapeutique des erreurs médicales?,Cette question évalue la compréhension de la définition de l'aléa thérapeutique.,L'aléa thérapeutique est lié à une action de soins non conforme.,Cette option est incorrecte car l'aléa thérapeutique est lié à une action de soins conforme.,L'aléa thérapeutique est inévitabilité.,Cette option est correcte car l'aléa thérapeutique se distingue des erreurs par son inévitabilité.,L'aléa thérapeutique est lié à une faute du praticien.,Cette option est incorrecte car l'aléa thérapeutique est survenu sans responsabilité des professionnels de santé.,L'aléa thérapeutique est lié à une infection nosocomiale.,"Cette option est incorrecte car l'aléa thérapeutique peut être lié à un accident médical, une affection iatrogène ou une infection nosocomiale.",b
7,OIC-005-12-B,Quels sont les principaux facteurs conduisant à l'ouverture d'un contentieux à la suite d'un accident médical?,Cette question évalue la compréhension des facteurs qui peuvent conduire à un contentieux médical. Les options doivent être plausibles mais incorrectes.,Seulement les facteurs liés au patient,"Cette option est incorrecte car les facteurs liés à l'équipe, à l'environnement de travail, à l'organisation et au contexte institutionnel peuvent également contribuer à l'ouverture d'un contentieux.",Seulement les facteurs liés à l'équipe,"Cette option est incorrecte car les facteurs liés au patient, à l'environnement de travail, à l'organisation et au contexte institutionnel peuvent également contribuer à l'ouverture d'un contentieux.","Tous les facteurs mentionnés (patient, tâches à accomplir, équipe, environnement de travail, organisation et contexte institutionnel)",Cette option est correcte car elle prend en compte tous les facteurs qui peuvent contribuer à l'ouverture d'un contentieux médical.,Seulement les facteurs liés à l'environnement de travail,"Cette option est incorrecte car les facteurs liés au patient, à l'équipe, à l'organisation et au contexte institutionnel peuvent également contribuer à l'ouverture d'un contentieux.",c
8,OIC-005-13-A,Quels sont les facteurs humains individuels qui peuvent conduire à des erreurs?,Cette question évalue la compréhension des facteurs humains individuels qui peuvent conduire à des erreurs.,"Le manque de connaissances, de compétences, d'expérience, le stress, le manque de temps, la fatigue, la maladie, les facteurs linguistiques ou culturels, les facteurs liés au patient.",Ces facteurs sont mentionnés dans le texte comme des circonstances qui réduisent la performance de l'individu ou perturbent la bonne compréhension d'une situation.,"Seulement le manque de connaissances, de compétences, d'expérience.","Même si ces facteurs sont importants, ils ne sont pas les seuls facteurs humains individuels qui peuvent conduire à des erreurs.",Tous les facteurs mentionnés sont des facteurs collectifs.,"Les facteurs mentionnés sont des facteurs humains individuels, pas collectifs.",Aucun des facteurs mentionnés n'est un facteur humain individuel.,Les facteurs mentionnés sont bien des facteurs humains individuels qui peuvent conduire à des erreurs.,a
9,OIC-005-14-B,Quel est le but principal de l'analyse approfondie des causes d'erreur en médecine?,Cette question évalue la compréhension des idées principales de la prévention des erreurs et des événements indésirables en médecine.,Identifier les causes racines d'une erreur médicale,Cette option est correcte car l'analyse approfondie des causes d'erreur vise à comprendre les facteurs contributifs à une erreur médicale.,Développer des stratégies de prévention des erreurs,Cette option est incorrecte car elle est trop large et ne correspond pas spécifiquement au but de l'analyse approfondie des causes d'erreur.,Rédiger un rapport d'analyse,"Cette option est incorrecte car elle est une étape de l'analyse, mais pas son but principal.",Faire la liste des événements indésirables,"Cette option est incorrecte car elle est une étape de l'analyse, mais pas son but principal.",a
