id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quel est le but de la responsabilité d'un professionnel de santé ou d'un établissement de santé ?,Sanctionner le professionnel ou l'établissement,Indemniser l'usager victime des conséquences d'un événement indésirable,Faire valoir les droits du patient,Gérer les erreurs et les plaintes,b
OIC-005-01-A-,Quelle est la fonction répressive de la responsabilité pénale ?,Sanctionner les médecins pour des erreurs professionnelles,Punir les patients pour non-respect des conditions spécifiques à certaines actions de soins,Réparer le dommage causé aux patients,Éduquer les citoyens sur les droits et les devoirs en matière de santé,a
OIC-005-02-A,Quels sont les professionnels qui engagent leur responsabilité civile personnelle du fait des dommages causés à un patient ?,Les médecins salariés,Les médecins libéraux,Les praticiens hospitaliers,Tous les professionnels de santé,a
OIC-005-02-A-,Quelle est la responsabilité engagée en cas d'actes réalisés par les médecins hospitaliers ?,Responsabilité personnelle du médecin,Responsabilité administrative de l'établissement public de santé,Responsabilité civile collective de l'hôpital,Aucune responsabilité engagée,b
OIC-005-03-A-,Quelle est la définition de la responsabilité sans faute dans le contexte médical?,La responsabilité du médecin en cas d'erreur professionnelle.,La responsabilité du patient pour ses propres actes.,La responsabilité du soignant en cas de dommage lié au soins sans manquement aux règles professionnelles ou scientifiques.,La responsabilité du législateur pour les décisions médicales.,c
OIC-005-04-A-,Quels sont les types d'erreurs médicales?,Omission et commission,Exécution et violation,Commission et violation,Omission et exécution,b
OIC-005-05-A,"Quel est le terme utilisé pour désigner un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé?",Accident médical,Affection iatrogène,Erreur médicale,Aléa thérapeutique,a
OIC-005-05-A-,Quelle est la définition des infections nosocomiales?,Infections contractées à l'extérieur d'un établissement de santé,Infections contractées au cours d'un séjour dans un établissement de santé,Infections causées par les soins médicaux,Infections liées à la nourriture servie aux patients,b
OIC-005-06-A,Qu'est-ce que l'aléa thérapeutique ?,Une erreur médicale involontaire,Un événement indésirable lié à une action de soins conforme et sans erreur,Un dommage causé par la responsabilité des professionnels de santé,Tout risque inhérent à l'acte médical qui peut être maîtrisé,b
OIC-005-06-A-,Quels sont les principaux facteurs qui peuvent conduire à l'ouverture d'un contentieux à la suite d'un accident médical ?,Seulement le patient,Seulement l'équipe de soins,Tous les facteurs ci-dessus,Aucun des facteurs ci-dessus,c
OIC-005-07-A,Quels sont les facteurs humains individuels qui peuvent conduire à des erreurs?,"Manque de connaissances, de compétences, d'expérience","Stress, manque de temps, fatigue, maladie",Facteurs linguistiques ou culturels,Facteurs liés au patient,a
