Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
0,OIC-005-01-A,Quel est le but de la responsabilité d'un professionnel de santé ou d'un établissement de santé ?,Sanctionner le professionnel ou l'établissement,Indemniser l'usager victime des conséquences d'un événement indésirable,Faire valoir les droits du patient,Gérer les erreurs et les plaintes,b,4
1,OIC-005-01-A-,Quelle est la fonction répressive de la responsabilité pénale ?,Sanctionner les médecins pour des erreurs professionnelles,Punir les patients pour non-respect des conditions spécifiques à certaines actions de soins,Réparer le dommage causé aux patients,Éduquer les citoyens sur les droits et les devoirs en matière de santé,a,3
2,OIC-005-02-A-,Quelle est la responsabilité engagée en cas d'actes réalisés par les médecins hospitaliers ?,Responsabilité personnelle du médecin,Responsabilité administrative de l'établissement public de santé,Responsabilité civile collective de l'hôpital,Aucune responsabilité engagée,b,4
3,OIC-005-03-A-,Quelle est la définition de la responsabilité sans faute dans le contexte médical?,La responsabilité du médecin en cas d'erreur professionnelle.,La responsabilité du patient pour ses propres actes.,La responsabilité du soignant en cas de dommage lié au soins sans manquement aux règles professionnelles ou scientifiques.,La responsabilité du législateur pour les décisions médicales.,c,4
4,OIC-005-05-A-,Quelle est la définition des infections nosocomiales?,Infections contractées à l'extérieur d'un établissement de santé,Infections contractées au cours d'un séjour dans un établissement de santé,Infections causées par les soins médicaux,Infections liées à la nourriture servie aux patients,b,4
5,OIC-005-06-A,Qu'est-ce que l'aléa thérapeutique ?,Une erreur médicale involontaire,Un événement indésirable lié à une action de soins conforme et sans erreur,Un dommage causé par la responsabilité des professionnels de santé,Tout risque inhérent à l'acte médical qui peut être maîtrisé,b,4
6,OIC-005-06-A-,Quels sont les principaux facteurs qui peuvent conduire à l'ouverture d'un contentieux à la suite d'un accident médical ?,Seulement le patient,Seulement l'équipe de soins,Tous les facteurs ci-dessus,Aucun des facteurs ci-dessus,c,3
7,OIC-005-07-A-,Quel est le modèle de Reason qui permet d'attirer l'attention sur les causes latentes d'un accident et distingue des erreurs actives et des erreurs latentes?,Modèle de Reason,Modèle du fromage Suisse,Modèle Orion,Modèle ALARM,b,4
8,OIC-005-08-A,Quel est le fondement de la démarche de culture positive de l'erreur en matière de gestion des risques associés aux soins ?,La culpabilisation du professionnel de santé,La non-culpabilisation du professionnel de santé,L'anonymat et la confidentialité du signalement d'erreur,Le dédommagement du préjudice subi par le patient,b,4
9,OIC-005-09-A-,Quel est le but du parcours de soins ?,Organiser les soins pour le médecin,Coordonner les soins pour le patient,Améliorer la communication entre les professionnels de santé,Réduire les coûts des soins,b,4
10,OIC-005-10-A,Qu'est-ce qu'un protocole pluriprofessionnel ?,Un document unique créé par un seul professionnel.,Un ensemble de règles à suivre pour chaque professionnelle.,Une expression de consensus entre plusieurs professionnels sur la prise en charge d'une maladie.,Un outil destiné uniquement aux médecins.,c,4
11,OIC-005-10-A-,Quel est le caractère essentiel des réunions de concertation pluridisciplinaire (RCP) ?,Elles sont réservées aux médecins généralistes.,Elles regroupent au moins trois médecins de spécialités différentes.,Elles ne nécessitent pas la présence d'un médecin de spécialité différente.,Elles sont exclusivement destinées aux patients atteints de cancer.,b,4
12,OIC-005-11-A,Quel est le principal objectif des listes de vérification dans le domaine médical ?,Vérifier les compétences des professionnels,Sécuriser la réalisation d'une intervention chirurgicale,Améliorer la communication entre les équipes,Réduire les coûts médicaux,b,4
13,OIC-005-11-A-,Quel est le but principal d'une réunion de morbi-mortalité (RMM) ?,Évaluer les compétences des professionnels de santé,Mettre en place des actions pour prévenir les erreurs,Analyser les situations cliniques pour améliorer la prise en charge du patient,Faire une critique personnelle des soins apportés au patient,c,4
14,OIC-005-12-B,Quel est le service qui assure une écoute médicale permanente et détermine la réponse la plus adaptée à l'appel d'urgence ?,Samu-Centre 15,Services mobiles d'urgence et de réanimation (SMUR),Services des urgences ou structures des urgences (SU),Tous les services précédents,a,4
