,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-01-A,Quelle est la définition de la responsabilité en matière de soins médicaux?,Cette question évalue la compréhension de la définition de la responsabilité en matière de soins médicaux.,La responsabilité est uniquement de nature pénale,Cette option est incorrecte car la responsabilité peut être de nature pénale ou disciplinaire.,La responsabilité est uniquement de nature civile,Cette option est incorrecte car la responsabilité peut être de nature pénale ou disciplinaire.,"La responsabilité est de nature pénale, disciplinaire et civile","Cette option est correcte car la responsabilité peut être de nature pénale, disciplinaire et civile.",La responsabilité est uniquement de nature administrative,"Cette option est incorrecte car la responsabilité peut être de nature pénale, disciplinaire et civile.",c
1,OIC-005-09-A,Qu'est-ce que l'accident médical?,Cette question évalue la compréhension de la définition de l'accident médical.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé.",Cette option est correcte car elle correspond à la définition de l'accident médical donnée dans le contenu éducatif.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui n'entraîne pas de dommage anormal au regard de l'évolution prévisible de l'état de santé.",Cette option est incorrecte car elle contredit la définition de l'accident médical donnée dans le contenu éducatif.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui est toujours causé par une erreur d'un professionnel de santé.",Cette option est incorrecte car elle simplifie à l'excès la définition de l'accident médical.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui est toujours causé par un mauvais usage d'un médicament.",Cette option est incorrecte car elle confond l'accident médical avec l'affection iatrogène.,a
2,OIC-005-10-A,Qu'est-ce qu'une infection nosocomiale?,Cette question évalue la compréhension de la définition d'une infection nosocomiale.,Une infection contractée lors d'un séjour dans un établissement de santé.,Cette option est correcte car elle correspond à la définition donnée dans le contenu éducatif.,Une infection contractée avant l'admission dans un établissement de santé.,Cette option est incorrecte car elle contredit la définition donnée dans le contenu éducatif.,"Une infection contractée lors d'un séjour dans un établissement de santé, mais qui était déjà présente avant l'admission.",Cette option est incorrecte car elle contredit la définition donnée dans le contenu éducatif.,"Une infection contractée lors d'un séjour dans un établissement de santé, mais qui était en incubation lors de l'entrée dans l'établissement.",Cette option est incorrecte car elle contredit la définition donnée dans le contenu éducatif.,a
3,OIC-005-15-B,Quelle est la troisième grande classe de repérage des erreurs dans les établissements de santé?,Cette question évalue la compréhension de la classification des systèmes de repérage des erreurs dans les établissements de santé.,Systèmes passifs reposant sur le volontariat des professionnels de santé,Cette option est incorrecte car la troisième grande classe de repérage des erreurs est en réalité des systèmes actifs fondés sur l'analyse de dossiers ou de traces électroniques.,Systèmes passifs reposant sur la déclaration obligatoire des professionnels de santé,"Cette option est partiellement correcte car la loi Hôpital, patient, santé, territoire de 2009 rend la déclaration obligatoire, mais elle ne correspond pas à la troisième grande classe de repérage des erreurs.",Systèmes actifs fondés sur l'analyse de dossiers ou de traces électroniques,Cette option est correcte car elle correspond à la troisième grande classe de repérage des erreurs.,Systèmes passifs reposant sur la volonté des patients ou de leur famille,Cette option est incorrecte car elle ne correspond pas à la troisième grande classe de repérage des erreurs.,c
4,OIC-006-02-A,Quelles sont les méthodes de travail en équipe pluriprofessionnelle qui existent en ambulatoire et en milieu hospitalier?,Cette question évalue la compréhension des idées principales sur les méthodes de travail en équipe pluriprofessionnelle en ambulatoire et en milieu hospitalier.,Un protocole pluriprofessionnel,Cette option est correcte car elle fait référence à un protocole pluriprofessionnel qui est une méthode de travail en équipe pluriprofessionnelle.,Les réunions de concertation pluridisciplinaire (RCP),Cette option est correcte car elle fait référence à une réunion de concertation pluridisciplinaire (RCP) qui est une méthode de travail en équipe pluriprofessionnelle.,"La ''check-list'' au bloc opératoire ou pour les activités dites « interventionnelles » (endoscopie, radiologie interventionnelle, cathéters veineux centraux, chimiothérapie...)",Cette option est correcte car elle fait référence à une ''check-list'' qui est une méthode de travail en équipe pluriprofessionnelle.,La réunion de morbi-mortalité (RMM),Cette option est correcte car elle fait référence à une réunion de morbi-mortalité (RMM) qui est une méthode de travail en équipe pluriprofessionnelle.,b
5,OIC-006-03-A,Qu'est-ce que le parcours de soins?,Cette question évalue la compréhension de la définition du parcours de soins.,Un ensemble de compétences professionnelles utilisées pour prendre en charge un patient.,Cette option est incorrecte car elle ne définit pas le parcours de soins.,L'organisation et la coordination du juste enchaînement et au bon moment des compétences professionnelles tout au long de la prise en charge d'un patient.,Cette option est correcte car elle définit correctement le parcours de soins.,Un ensemble de compétences professionnelles utilisées pour organiser et coordonner la prise en charge d'un patient.,Cette option est incorrecte car elle ne définit pas le parcours de soins.,L'organisation et la coordination du juste enchaînement et au bon moment des compétences professionnelles tout au long de la prise en charge d'un patient.,"Cette option est incorrecte car elle est identique à l'option b, mais avec une formulation légèrement différente.",b
6,OIC-006-04-B,Qu'est-ce qu'un protocole pluriprofessionnel?,Cette question évalue la compréhension de la définition d'un protocole pluriprofessionnel.,Un protocole pluriprofessionnel est un document qui définit les étapes à suivre pour la prise en charge d'une maladie aigue ou chronique.,Cette option est correcte car elle décrit correctement la définition d'un protocole pluriprofessionnel.,Un protocole pluriprofessionnel est un document qui définit les étapes à suivre pour la prise en charge d'une maladie chronique uniquement.,Cette option est incorrecte car elle ne prend pas en compte la prise en charge des maladies aiguës.,Un protocole pluriprofessionnel est un document qui définit les étapes à suivre pour la prise en charge d'une maladie aigue uniquement.,Cette option est incorrecte car elle ne prend pas en compte la prise en charge des maladies chroniques.,"Un protocole pluriprofessionnel est un document qui définit les étapes à suivre pour la prise en charge d'une maladie aigue ou chronique, mais qui ne prend pas en compte le travail en équipe.","Cette option est incorrecte car elle ne prend pas en compte l'un des éléments clés d'un protocole pluriprofessionnel, qui est le travail en équipe.",a
7,OIC-006-05-A,Quelles sont les caractéristiques d'une Réunion de Concertation Pluridisciplinaire (RCP)?,Cette question évalue la compréhension des idées principales sur les RCP.,Les RCP sont des réunions collégiales qui regroupent au moins trois médecins de spécialités différentes pour prendre une décision sur la meilleure prise en charge d’un patient et en fonction de l'état de la science du moment.,Cette option est correcte car elle résume les caractéristiques principales des RCP.,Les RCP sont des réunions individuelles qui regroupent un seul médecin pour prendre une décision sur la meilleure prise en charge d’un patient et en fonction de l'état de la science du moment.,Cette option est incorrecte car elle contredit la définition des RCP.,Les RCP sont des réunions collégiales qui regroupent au moins trois médecins de spécialités différentes pour prendre une décision sur la meilleure prise en charge d’un patient et en fonction de l'état de la science du moment.,Cette option est incorrecte car elle répète la même information que l'option a.,Les RCP sont des réunions collégiales qui regroupent au moins trois médecins de spécialités différentes pour prendre une décision sur la meilleure prise en charge d’un patient et en fonction de l'état de la science du moment.,Cette option est incorrecte car elle répète la même information que l'option a.,a
8,OIC-006-06-A,Quelle est la fonction principale d'une check-list sécurité du patient au bloc opératoire?,Cette question évalue la compréhension des idées principales sur les listes de vérification en milieu hospitalier.,Elle permet de sécuriser la réalisation d'une intervention chirurgicale en faisant un point entre professionnels aux moments clés de cette intervention.,"Cette option est correcte car elle résume l'objectif principal de la check-list, qui est de sécuriser la réalisation d'une intervention chirurgicale en favorisant le partage des informations par la vérification croisée.","Elle est utilisée uniquement pour les activités dites « interventionnelles » (endoscopie, radiologie interventionnelle, cathéters veineux centraux, chimiothérapie...).","Cette option est incorrecte car elle ne reflète pas l'objectif principal de la check-list, qui est de sécuriser la réalisation d'une intervention chirurgicale en général, et non seulement les activités interventionnelles.","Elle permet de vérifier l'identité du patient, le type d'intervention et le site opératoire, le matériel et les risques envisagés.","Cette option est partiellement correcte car elle mentionne certains éléments qui peuvent être vérifiés dans une check-list, mais elle ne résume pas l'objectif principal de la check-list.","Elle est utilisée uniquement pour les activités dites « interventionnelles » (endoscopie, radiologie interventionnelle, cathéters veineux centraux, chimiothérapie...).","Cette option est incorrecte car elle ne reflète pas l'objectif principal de la check-list, qui est de sécuriser la réalisation d'une intervention chirurgicale en général, et non seulement les activités interventionnelles.",a
9,OIC-006-07-A,Quelle est la définition d'une réunion de morbi-mortalité (RMM)?,Cette question évalue la compréhension des idées principales sur les réunions de morbi-mortalité.,"Une réunion d'analyse collective, rétrospective et systémique de situations cliniques marquées par la survenue d'un événement indésirable associé aux soins, afin de mettre en œuvre des actions de prévention, de récupération ou d'atténuation.",Cette option est correcte car elle décrit précisément la définition d'une RMM.,"Une réunion d'analyse collective, rétrospective et systémique de situations cliniques marquées par la survenue d'un événement indésirable associé aux soins, afin de mettre en œuvre des actions de prévention, de récupération ou d'atténuation, mais sans lien avec la culture du retour d’expérience.",Cette option est incorrecte car elle omet le lien avec la culture du retour d’expérience.,"Une réunion d'analyse collective, rétrospective et systémique de situations cliniques marquées par la survenue d'un événement indésirable associé aux soins, afin de mettre en œuvre des actions de prévention, de récupération ou d'atténuation, mais sans lien avec la culture du retour d’expérience ou la validation de l'obligation de développement professionnel continu (DPC).",Cette option est incorrecte car elle omet le lien avec la culture du retour d’expérience ou la validation de l'obligation de développement professionnel continu (DPC).,"Une réunion d'analyse collective, rétrospective et systémique de situations cliniques marquées par la survenue d'un événement indésirable associé aux soins, afin de mettre en œuvre des actions de prévention, de récupération ou d'atténuation, mais sans lien avec la qualité et la sécurité des soins.",Cette option est incorrecte car elle omet le lien avec la qualité et la sécurité des soins.,a
