,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-02-A,Quelle est la catégorie de peine la plus courante pour les infractions reprochées aux médecins?,La question évalue la compréhension de la gravité des infractions reprochées aux médecins.,Contraventions,Les contraventions sont les infractions les moins graves et ne sont pas passibles de peines d'emprisonnement.,Délits,Les délits sont les infractions intermédiaires et sont passibles de peines d'emprisonnement.,Crimes,Les crimes sont les infractions les plus graves et sont passibles de peines de réclusion criminelle.,Peines de réclusion criminelle avec sursis,"Les peines de réclusion criminelle avec sursis sont une forme de peine qui permet au condamné de sortir de prison après un certain temps, sous certaines conditions.",b
1,OIC-005-03-A,Quels professionnels engagent leur responsabilité civile personnelle devant les juridictions de l’ordre judiciaire?,La question évalue la compréhension de la responsabilité civile des professionnels de santé.,"Les médecins salariés d’établissements, services ou organismes privés",Cette option est incorrecte car les médecins salariés ne sont pas responsables civilement personnelle dès qu'ils ne dépassent pas leur mission confiée par leur employeur.,Les professionnels exerçant à titre libéral et les établissements de santé privés,Cette option est correcte car les professionnels exerçant à titre libéral et les établissements de santé privés engagent leur responsabilité civile personnelle devant les juridictions de l’ordre judiciaire.,Les praticiens hospitaliers engagent leur responsabilité civile professionnelle à raison des dommages survenus dans le cadre de leur secteur d’activité libérale au sein d’un établissement public de santé,Cette option est incorrecte car elle est une confusion entre la responsabilité civile professionnelle et la responsabilité civile personnelle.,Les médecins salariés d’établissements publics de santé,Cette option est incorrecte car les médecins salariés d’établissements publics de santé ne sont pas responsables civilement personnelle dès qu'ils ne dépassent pas leur mission confiée par leur employeur.,b
2,OIC-005-04-A,Quelle est la responsabilité juridique du médecin hospitalier envers l'établissement public de santé pour les actes qu'il réalise?,La question évalue la compréhension de la responsabilité administrative du médecin hospitalier envers l'établissement public de santé.,La responsabilité civile personnelle du médecin hospitalier est engagée devant les juridictions civiles.,Cette option est incorrecte car la responsabilité de l'établissement public de santé est engagée devant les juridictions de l'ordre administratif.,La responsabilité pénale du médecin hospitalier est engagée devant les juridictions pénales.,"Cette option est incorrecte car il n'y a pas de relation juridique directe entre le médecin et le patient, la responsabilité administrative de l'établissement public de santé est engagée devant les juridictions de l'ordre administratif.",La responsabilité administrative du médecin hospitalier est engagée devant les juridictions administratives.,Cette option est correcte car la responsabilité de l'établissement public de santé est engagée devant les juridictions de l'ordre administratif.,La responsabilité civile personnelle du médecin hospitalier est engagée devant les juridictions administratives.,Cette option est incorrecte car la responsabilité de l'établissement public de santé est engagée devant les juridictions de l'ordre administratif.,c
3,OIC-005-05-A,Quelle est la définition de la responsabilité disciplinaire pour les médecins?,La question évalue la compréhension de la définition de la responsabilité disciplinaire pour les médecins.,La responsabilité disciplinaire est celle qui est encourue devant les instances de l’Ordre des médecins pour des infractions pénales.,"Cette option est incorrecte car la responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins pour des manquements aux règles de déontologie médicale, pas pour des infractions pénales.","La responsabilité disciplinaire est celle qui est encourue devant les instances de l’Ordre des médecins pour des manquements aux règles de déontologie médicale, mais uniquement pour des actes de la vie professionnelle.",Cette option est incorrecte car une action de la vie privée peut porter atteinte à l’honneur ou à la moralité de la profession et peut donc être sujet à une responsabilité disciplinaire.,"La responsabilité disciplinaire est celle qui est encourue devant les instances de l’Ordre des médecins pour des manquements aux règles de déontologie médicale, mais uniquement pour des actes qui sont inscrits dans un texte.","Cette option est incorrecte car les manquements aux règles de déontologie médicale peuvent être des violations d’une règle morale plus qu’une règle proprement juridique, qu’elle soit inscrite dans un texte ou non.",La responsabilité disciplinaire est celle qui est encourue devant les instances de l’Ordre des médecins pour des manquements aux règles de déontologie médicale.,Cette option est correcte car la responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins pour des manquements aux règles de déontologie médicale.,d
4,OIC-005-06-A,Quelle est la définition de la responsabilité sans faute dans le contexte des soins médicaux?,La question évalue la compréhension de la définition de la responsabilité sans faute dans le contexte des soins médicaux.,La responsabilité sans faute est une responsabilité engagée lorsqu'il y a une erreur dans les soins médicaux.,Cette option est incorrecte car la responsabilité sans faute se produit lorsque le dommage est lié aux soins mais sans manquement aux règles professionnelles ou scientifiques.,"La responsabilité sans faute est une responsabilité engagée lorsqu'il y a un manquement aux règles professionnelles ou scientifiques, mais pas d'erreur.",Cette option est incorrecte car la responsabilité sans faute se produit lorsque le dommage est lié aux soins mais sans manquement aux règles professionnelles ou scientifiques.,"La responsabilité sans faute est une responsabilité engagée lorsqu'il y a un dommage lié aux soins, mais pas de manquement aux règles professionnelles ou scientifiques, ni d'erreur.",Cette option est correcte.,"La responsabilité sans faute est une responsabilité engagée lorsqu'il y a un manquement aux règles professionnelles ou scientifiques, et une erreur.",Cette option est incorrecte car la responsabilité sans faute se produit lorsque le dommage est lié aux soins mais sans manquement aux règles professionnelles ou scientifiques.,c
5,OIC-005-07-A,Quel est le type de faute qui consiste en une violation des connaissances médicales avérées ou des données acquises de la science?,La question évalue la compréhension de la définition de la faute technique.,Faute administrative,"Incorrecte, la faute administrative n'est pas liée à la violation des connaissances médicales.",Faute technique,"Correcte, la faute technique consiste en une violation des connaissances médicales avérées ou des données acquises de la science.",Faute de produit de santé,"Incorrecte, la faute de produit de santé n'est pas liée à la violation des connaissances médicales.",Faute de respect de la vie privée,"Incorrecte, la faute de respect de la vie privée n'est pas liée à la violation des connaissances médicales.",b
6,OIC-005-08-A,Quel type d'erreur désigne une action mal réalisée?,La question évalue la compréhension des différents types d'erreurs médicales.,erreur par omission,"Incorrecte, car une erreur par omission désigne une action nécessaire qui n'a pas été faite.",erreur par commission,"Incorrecte, car une erreur par commission désigne une action qui a été faite mais qui n'était pas utile.",erreur d'exécution,"Correcte, car une erreur d'exécution désigne une action mal réalisée.",violation,"Incorrecte, car une violation désigne un non-respect d'une recommandation ou d'une règle professionnelle.",c
7,OIC-005-09-A,Qu'est-ce qu'un accident médical?,La question évalue la compréhension de la définition d'un accident médical.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé et qui peut se produire dans n'importe quel lieu de soins.",Correcte.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé et qui ne peut se produire que dans un établissement de santé.",Incorrecte. Un accident médical peut se produire dans n'importe quel lieu de soins.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé et qui est toujours causé par une erreur d'un professionnel de santé.",Incorrecte. Un accident médical peut être causé par une erreur d'un professionnel de santé ou découler de soins conformes aux bonnes pratiques et s'appelle alors « l’aléa thérapeutique ».,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé et qui est toujours une affection iatrogène.",Incorrecte. Un accident médical peut être une affection iatrogène mais il n'est pas toujours le cas.,a
8,OIC-005-10-A,Quelle est la définition de l'infection nosocomiale?,La question évalue la compréhension de la définition de l'infection nosocomiale.,Les infections contractées avant l'admission dans un établissement de santé.,Cette option est incorrecte car les infections nosocomiales sont celles contractées au cours d'un séjour dans un établissement de santé.,Les infections contractées au cours d'un séjour dans un établissement de santé qui étaient présentes à l'admission.,Cette option est incorrecte car les infections nosocomiales sont celles qui sont absentes au moment de l'admission du patient dans l'établissement.,Les infections contractées au cours d'un séjour dans un établissement de santé qui apparaissent avant 48 heures d'hospitalisation.,Cette option est incorrecte car les infections nosocomiales qui apparaissent avant 48 heures d'hospitalisation sont généralement considérées comme en incubation lors de l'entrée dans l'établissement.,Les infections contractées au cours d'un séjour dans un établissement de santé qui apparaissent après 48 heures d'hospitalisation.,Cette option est correcte car les infections nosocomiales sont celles qui apparaissent après 48 heures d'hospitalisation.,d
9,OIC-005-11-A,Qu'est-ce que l'aléa thérapeutique?,La question évalue la compréhension de la définition de l'aléa thérapeutique.,Un événement indésirable dont la cause est une action de soins incorrecte.,Incorrecte car l'aléa thérapeutique se produit lorsque l'action de soins est conforme et ne comporte pas d'erreur.,Un accident médical qui est survenu en raison de la faute du praticien.,Incorrecte car l'aléa thérapeutique se produit sans responsabilité des professionnels de santé.,Un risque inhérent à l'acte médical qui peut être maîtrisé.,Incorrecte car l'aléa thérapeutique est un risque inhérent à l'acte médical qui ne peut être maîtrisé.,"Un événement imprévu causant un dommage ayant un lien de causalité certain avec l'acte médical, une affection iatrogène ou une infection nosocomiale qui est survenue sans responsabilité des professionnels de santé ou de l'établissement de santé.",Correcte.,d
