mcq,cop,llm_cop
"-----
Question:
IV administration of which anesthetic drug is most painful among the following?
Options:
a) Methohexital
b) Ketamine
c) Propofol
d) Etomidate
-----
",2,1
"-----
Question:
Which of the following can replace N2O as O2 carrier
Options:
a) Argon
b) Xenon
c) Helium
d) None
-----
",1,3
"-----
Question:
An infant with respiratory distress was intubated. The fastest and accurate method to confirm intubation
Options:
a) Capnography
b) Clinically by auscultation
c) Chest radiography
d) Airway pressure measurement
-----
",0,1
"-----
Question:
Treatment in post operative shivering?
Options:
a) Pethidine
b) Piritramide
c) Methadone
d) Pentazocine
-----
",0,0
"-----
Question:
Upper Lid Retractors include
Options:
a) Muller muscle and superior rectus
b) Levator palpabrae superioris and superior oblique
c) Superior oblique and superior rectus
d) Levator palpabrae superioris & muller muscle
-----
",3,0
"-----
Question:
All of the following are true about atracurium, EXCEPT:
Options:
a) Should be avoided in asthmatic patients
b) Metabolism is by Hofmann degradation
c) Laudanosine toxicity is present
d) Histamine release is rare
-----
",3,1
"-----
Question:
Atracurium is metabolized by -
Options:
a) Conjugation
b) Hoffman degradation
c) Pseudocholineaterase
d) Methylation
-----
",1,2
"-----
Question:
Which of the following should be the ventilator settings for tidal volume in a patient with ARDS?
Options:
a) Tidal volume 10-12 ml/kg
b) Tidal volume 8-10 ml/kg
c) Tidal volume 5-7 ml/kg
d) Tidal volume 4 ml/kg
-----
",2,1
"-----
Question:
Commonest complication of celiac plexus block is
Options:
a) Bradycardia
b) Hypotension
c) Seizures
d) Retroperitoneal hematoma
-----
",1,0
"-----
Question:
Smooth induction is seen by -
Options:
a) Ether
b) Halothane
c) Isoflurane
d) Enflurane
-----
",2,2
"-----
Question:
All of the following are pharmacological effects of ketamine, EXCEPT
Options:
a) It causes profound analgesia
b) It causes severe fall in blood pressure
c) It causes amnesia
d) It increases cerebral blood flow
-----
",1,1
"-----
Question:
Vasoconstriction is seen with
Options:
a) Lignocaine
b) Cocaine
c) Idiotocaine
d) Bupivacaine
-----
",1,1
"-----
Question:
Which of the following is not a definitive airway device-
Options:
a) Orotracheal Intubation
b) Nasotracheal intubation
c) LMA
d) Tracheostomy
-----
",2,2
"-----
Question:
All of the local anaesthetics given below are amides, EXCEPT:
Options:
a) Lignocaine
b) Procaine
c) Prilocaine
d) Etidocaine
-----
",1,3
"-----
Question:
PIN number of nitrous oxide is:
Options:
a) 2, 5
b) 3, 5
c) 2, 6
d) 3, 6
-----
",1,0
"-----
Question:
% of thiopentone used in induction
Options:
a) 0.50%
b) 1.50%
c) 2.50%
d) 4.50%
-----
",2,0
"-----
Question:
What is the most reliable site to measure core temperature during general anesthesia?
Options:
a) Pulmonary aery
b) Distal esophagus
c) Rectum
d) Tympanic membrane
-----
",3,2
"-----
Question:
The children hospital eastern ontario pain scale (cheops) for rating postoperative pain in children under one year eludes all, EXCEPT:
Options:
a) Cry
b) Verbal response
c) Torso
d) Oxygen saturation
-----
",3,3
