,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-02-A,Quelle est la nature juridique du défaut d'information du patient par un médecin?,Cette question évalue la distinction entre responsabilité pénale et civile. Un piège courant est de confondre le défaut d'information avec une infraction pénale.,"Une infraction pénale (contravention, délit ou crime)","Incorrect. Le défaut d'information n'est pas une infraction pénale, mais une cause de responsabilité civile.",Une cause de responsabilité civile,"Correct. Le texte précise que le défaut d'information n'est pas une infraction pénale, mais peut engager la responsabilité civile.",Une violation du secret professionnel,"Incorrect. La violation du secret professionnel est une infraction pénale (article 226-13), mais le défaut d'information n'en est pas une.",Une faute professionnelle administrative,"Incorrect. La faute administrative relève d'autres cadres juridiques, pas de la responsabilité pénale.",b
1,OIC-005-03-A,Quelle affirmation décrit correctement la responsabilité civile d'un médecin salarié d'un établissement privé en cas de dommage causé à un patient?,La question évalue la compréhension de la distinction entre la responsabilité personnelle et la responsabilité du commettant (employeur) dans le cadre des activités médicales. Un piège courant est de confondre les régimes de responsabilité selon le statut professionnel.,Les médecins salariés engagent leur responsabilité civile personnelle pour les dommages causés dans le cadre de leur mission.,Incorrect. Les médecins salariés ne sont pas personnellement responsables si leurs actions restent dans la mission confiée par l'employeur.,Les médecins exerçant en libéral ne sont jamais responsables civilement des dommages causés à leurs patients.,Incorrect. Les professionnels libéraux engagent leur responsabilité civile personnelle devant les juridictions judiciaires.,Les praticiens hospitaliers ne sont pas responsables civilement des dommages survenus dans leur secteur d'activité libérale.,Incorrect. Les praticiens hospitaliers engagent leur responsabilité civile professionnelle pour les dommages liés à leur activité libérale.,Les médecins salariés d'établissements privés ne sont pas personnellement responsables des dommages causés à un patient s'ils n'outrepassent pas leur mission.,Correct. C'est l'application du régime de responsabilité du commettant (l'employeur) du fait du médecin salarié.,d
2,OIC-005-04-A,Quelle est la responsabilité administrative liée aux actes des médecins hospitaliers?,Cette question évalue la compréhension de la distinction entre la responsabilité administrative et civile. Un piège courant est de confondre la responsabilité administrative (établissement) avec la responsabilité civile personnelle.,Le médecin est personnellement responsable de ses actes.,"Incorrect. La responsabilité administrative ne concerne pas la personne du médecin, mais l'établissement public de santé.",L'établissement public de santé est responsable des fautes de service.,Correct. La responsabilité administrative est engagée pour les fautes commises dans l'exercice des fonctions par les agents publics.,Le médecin est responsable des fautes personnelles en dehors du service.,"Incorrect. Les fautes personnelles relèvent de la responsabilité civile, non administrative.",L'établissement est responsable de toutes les fautes des médecins.,"Incorrect. La responsabilité administrative s'applique uniquement aux fautes de service, pas aux fautes personnelles.",b
3,OIC-005-05-A,Quelle instance est compétente pour sanctionner les fautes disciplinaires des médecins?,Cette question évalue la compréhension de la compétence des instances disciplinaires. Un piège courant est de confondre le Conseil d'État avec les juridictions de l'Ordre des médecins.,L'Ordre des médecins,"Correcte. La responsabilité disciplinaire est encourue devant les instances de l'Ordre des médecins, comme indiqué dans le contenu.",Le Code pénal,"Incorrecte. Le Code pénal traite des infractions criminelles, non des fautes disciplinaires médicales.",Le Code civil,"Incorrecte. Le Code civil régule les relations entre particuliers, pas les sanctions disciplinaires professionnelles.",Le Conseil d'État,"Incorrecte. Le Conseil d'État est compétent pour les recours en cassation, pas pour les sanctions disciplinaires directes.",a
4,OIC-005-06-A,Quelle situation illustre une responsabilité sans faute dans le domaine médical?,"Cette question évalue la compréhension de la notion de responsabilité sans faute, qui englobe des risques imprévisibles liés aux soins, même en l'absence de faute professionnelle. Le piège réside dans la confusion avec les cas de faute ou d'erreur.",Infection nosocomiale,"Correcte. L'infection nosocomiale est un exemple classique de responsabilité sans faute, car elle résulte d'un aléa thérapeutique non lié à une faute professionnelle.",Erreur de dosage d'un médicament,"Incorrecte. Une erreur de dosage constitue une faute professionnelle, donc elle relève d'une responsabilité avec faute, non sans faute.",Présence d'une maladie chronique chez le patient,"Incorrecte. Une maladie préexistante n'est pas liée à un manquement professionnel, mais elle n'engage pas la responsabilité sans faute car elle ne relève pas d'un risque lié aux soins.",Défaillance d'un système hospitalier,"Incorrecte. Une défaillance systémique peut impliquer une faute administrative ou organisationnelle, ce qui la classe dans le cadre d'une responsabilité avec faute.",a
5,OIC-005-08-A,Quelle est la définition correcte de l'erreur par omission?,Cette question évalue la compréhension des types d'erreurs médicales. Le piège courant est de confondre l'erreur d'omission avec l'erreur de commission ou la violation.,Une action nécessaire n’a pas été faite,Correcte. C’est la définition exacte d’une erreur par omission selon le contenu.,Une action inutile a été faite,"Incorrecte. C’est la définition d’une erreur par commission, non d’omission.",Une action mal réalisée,"Incorrecte. C’est la définition d’une erreur d’exécution, non d’omission.",Un non-respect d’une règle professionnelle,"Incorrecte. C’est la définition d’une violation, non d’omission.",a
6,OIC-005-09-A,Quelle affirmation correctement distingue une affection iatrogène d'un accident médical?,La question évalue la capacité à distinguer les concepts de « accident médical » et « affection iatrogène ». Un piège courant est de confondre les deux termes en ne tenant pas compte de la nature de la cause (erreur vs. aléa thérapeutique).,L’affection iatrogène est toujours causée par une erreur du professionnel de santé.,"Incorrect. L’affection iatrogène peut survenir même avec une utilisation correcte du médicament, sans erreur.",Un accident médical ne peut jamais être lié à l’aléa thérapeutique.,Incorrect. L’aléa thérapeutique est un type d’accident médical survenant sans erreur.,Un accident médical est toujours lié à une faute professionnelle.,"Incorrect. Certains accidents médicaux résultent de l’aléa thérapeutique, sans faute.",L’affection iatrogène peut survenir sans erreur du professionnel de santé.,"Correct. L’affection iatrogène peut résulter d’un traitement correctement utilisé, même sans erreur.",d
7,OIC-005-11-A,Quelle définition correspond à l'aléa thérapeutique?,Cette question évalue la compréhension de la distinction entre l'aléa thérapeutique et les erreurs médicales. Un piège courant est de confondre l'aléa (inévitable) avec les erreurs (évitable).,"Un événement indésirable lié à un acte médical correct, sans faute des professionnels","Correcte. Cela correspond à la définition : risque inhérent à l'acte de soin, sans responsabilité des soignants.",Une erreur de diagnostic évitable due à une négligence professionnelle,"Incorrecte. Cela décrit une erreur médicale, non un aléa thérapeutique (risque inévitable).",Un risque lié à une mauvaise prescription de médicament,"Incorrecte. Une mauvaise prescription implique une faute, contrairement à l'aléa thérapeutique.",Une infection hospitalière causée par un manque d'hygiène,"Incorrecte. Cela relève d'une négligence, non d'un aléa thérapeutique (risque inévitable).",a
8,OIC-005-13-A,Quelle est la principale idée développée dans le contenu sur les facteurs humains contribuant aux erreurs?,Cette question évalue la capacité à identifier les deux dimensions clés (individuelle et collective) des facteurs humains. Le piège courant est de négliger l'aspect collectif.,"Les erreurs sont causées à la fois par des facteurs individuels (manque de compétences, stress) et collectifs (mauvaise communication, organisation défaillante).",Correcte. Elle synthétise les deux dimensions expliquées dans le texte.,Les erreurs proviennent principalement d'une mauvaise organisation des équipes médicales.,"Incorrecte. Bien que les facteurs collectifs soient mentionnés, le texte souligne que les erreurs sont aussi liées aux facteurs individuels.",Les erreurs sont uniquement liées à des facteurs individuels comme la fatigue ou le manque de connaissances.,Incorrecte. Le texte insiste sur l'importance des facteurs collectifs dans la prévention des erreurs.,Les erreurs sont causées par des facteurs externes comme l'équipement médical défectueux.,Incorrecte. Le contenu ne mentionne pas les facteurs techniques comme cause principale des erreurs.,a
9,OIC-005-14-B,Quelle est la liste complète des trois types de barrières de sécurité en santé?,Cette question évalue la compréhension des trois types de barrières de sécurité. Un piège courant est de confondre les barrières de récupération avec le modèle de Reason.,Barrières de prévention et barrières de récupération,"Incorrect : Manque la barrière d’atténuation, essentielle pour limiter les conséquences d’une erreur non récupérée.",Barrières de prévention et barrières d’atténuation,"Incorrect : Manque la barrière de récupération, cruciale pour corriger une erreur avant qu’elle ne cause un dommage.","Barrières de prévention, barrières de récupération et barrières d’atténuation",Correct : Couvre les trois types de barrières nécessaires pour une sécurité complète.,"Barrières de prévention, barrières de récupération et modèle de Reason","Incorrect : Le modèle de Reason est une méthode d’analyse, pas une barrière de sécurité.",c
