,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-02-A,Quelle est la fonction principale de la responsabilité pénale en matière médicale?,La question teste la compréhension de la fonction répressive de la responsabilité pénale.,Sanctionner les patients pour leurs actes de négligence.,"L'option est incorrecte car la responsabilité pénale vise à sanctionner les médecins, pas les patients.",Prévenir les erreurs médicales en imposant des sanctions sévères.,"L'option est incorrecte car la prévention des erreurs est une fonction de la responsabilité civile et administrative, pas uniquement pénale.",Sanctionner les individus dont le comportement est réprouvé dans notre société.,L'option est correcte car elle décrit la fonction répressive de la responsabilité pénale.,Assurer la sécurité des patients en imposant des règles strictes.,"L'option est incorrecte car la sécurité des patients est une fonction de la responsabilité civile et administrative, pas uniquement pénale.",c
1,OIC-005-04-A,"Selon le texte, quelle est la conséquence principale de la responsabilité administrative d'un médecin hospitalier?","La question évalue la compréhension de la responsabilité administrative des médecins hospitaliers, en particulier de son lien avec les juridictions administratives.",Engager la responsabilité pénale.,La responsabilité pénale est distincte de la responsabilité administrative. Le texte indique que la responsabilité administrative est engagée devant les juridictions de l'ordre administratif.,Engager la responsabilité civile personnelle.,La responsabilité civile personnelle est distincte de la responsabilité administrative. Le texte précise que la faute personnelle est détachable du service.,Engager la responsabilité disciplinaire.,La responsabilité disciplinaire est distincte de la responsabilité administrative. Le texte se concentre sur la responsabilité administrative.,Engager la responsabilité de l'établissement public de santé devant les juridictions de l'ordre administratif.,Le texte indique clairement que la responsabilité de l'établissement public de santé est engagée devant les juridictions de l'ordre administratif en cas d'acte commis par un médecin hospitalier.,d
2,OIC-005-05-A,Quelle est la principale caractéristique de la responsabilité disciplinaire?,La question teste la compréhension de la définition de la responsabilité disciplinaire.,Elle est toujours liée à des infractions pénales.,L'option est incorrecte car la responsabilité disciplinaire est indépendante des actions pénales.,Elle est encourue devant les tribunaux ordinaires.,L'option est incorrecte car la responsabilité disciplinaire est encourue devant les instances de l'Ordre des médecins.,"Elle est une violation d'une règle morale, plus qu'une règle juridique.","L'option est correcte car la responsabilité disciplinaire est une violation d'une règle morale, plus qu'une règle proprement juridique.",Elle est uniquement liée à des actes de la vie privée.,"L'option est incorrecte car la responsabilité disciplinaire est liée à l'activité professionnelle, mais pas exclusivement.",c
3,OIC-005-06-A,Quelle est la définition de la responsabilité sans faute?,"Cette question évalue la compréhension de la définition de la responsabilité sans faute, un concept clé en droit médical.",Responsabilité engagée uniquement en cas de faute prouvée.,"Incorrect. La responsabilité sans faute est engagée même en l'absence de faute, comme dans le cas d'une infection nosocomiale.",Responsabilité engagée uniquement en cas de manquement aux règles professionnelles ou scientifiques.,Incorrect. La responsabilité sans faute peut être engagée même en l'absence de manquement.,"Responsabilité engagée uniquement en cas de faute prouvée, ou de manquement aux règles professionnelles ou scientifiques.","Incorrect. La responsabilité sans faute peut être engagée même en l'absence de faute, comme dans le cas d'une infection nosocomiale.",Responsabilité engagée à partir d'un autre fait générateur que la faute prouvée.,Correct. La responsabilité sans faute est engagée à partir d'un autre fait générateur que la faute prouvée.,d
4,OIC-005-07-A,"Selon le Code de la santé publique, quel est le critère principal pour établir la responsabilité d'un médecin en cas d'atteinte aux droits du patient?","La question teste la compréhension de l'article L.1142-1 du Code de la santé publique, qui stipule que la responsabilité des professionnels de santé ne s'applique qu'en cas de faute.",La preuve de l'atteinte aux droits du patient.,"Incorrect. La preuve de l'atteinte aux droits du patient est nécessaire, mais ce n'est pas le critère principal. Le critère principal est la faute.",La violation d'un devoir d'humanisme.,"Incorrect. Bien que la violation d'un devoir d'humanisme puisse être une forme de faute, ce n'est pas le critère principal.",La preuve de la faute.,Correct. L'article L.1142-1 du Code de la santé publique stipule que la responsabilité des professionnels de santé ne s'applique qu'en cas de faute.,La violation des connaissances médicales avérées.,"Incorrect. La violation des connaissances médicales avérées est une forme de faute technique, mais ce n'est pas le critère principal.",c
5,OIC-005-10-A,Qu'est-ce qu'une infection nosocomiale?,Cette question évalue la compréhension de la définition d'une infection nosocomiale.,Une infection contractée en dehors de l'établissement de santé.,Incorrect. Une infection nosocomiale est contractée à l'intérieur de l'établissement de santé.,Une infection qui apparaît avant 48 heures d'hospitalisation.,Incorrect. Une infection nosocomiale est généralement considérée comme telle si elle apparaît après 48 heures d'hospitalisation.,Une infection contractée au cours d'un séjour dans un établissement de santé.,Correct. Une infection nosocomiale est une infection contractée pendant un séjour dans un établissement de santé.,Une infection qui est absente au moment de l'admission du patient.,"Incorrect. Une infection nosocomiale est présente au moment de l'admission du patient, mais elle apparaît après l'entrée dans l'établissement.",c
6,OIC-005-11-A,"Selon le contenu éducatif, quelle est la principale caractéristique qui distingue l'aléa thérapeutique des erreurs?",La question teste la compréhension de la définition de l'aléa thérapeutique et de sa distinction par rapport aux erreurs.,L'aléa thérapeutique est toujours causé par une faute du praticien.,"L'aléa thérapeutique n'est pas causé par une faute, contrairement aux erreurs.",L'aléa thérapeutique est un événement imprévu causant un dommage ayant un lien de causalité certain avec l'acte médical.,"L'aléa thérapeutique est défini comme un accident médical, une affection iatrogène ou une infection nosocomiale qui survient sans responsabilité des professionnels de santé.",L'aléa thérapeutique est un événement imprévu causant un dommage ayant un lien de causalité certain avec l'acte médical.,"L'aléa thérapeutique est défini comme un accident médical, une affection iatrogène ou une infection nosocomiale qui survient sans responsabilité des professionnels de santé.",L'aléa thérapeutique est un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d’erreur.,L'aléa thérapeutique est un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d’erreur.,d
7,OIC-005-13-A,"Selon le texte, quel facteur humain peut conduire à des erreurs?",La question évalue la compréhension des facteurs humains qui peuvent contribuer aux erreurs.,La capacité de mémorisation limitée,La capacité de mémorisation limitée est un facteur humain qui peut conduire à des erreurs.,Un leadership identifié dans l'équipe,"Un leadership identifié est un facteur positif pour une équipe efficace, pas un facteur qui conduit à des erreurs.",La production de soins à l'hôpital,"La production de soins à l'hôpital est un travail d'équipe, pas un facteur qui conduit à des erreurs.",Une bonne organisation de l'équipe,"Une bonne organisation de l'équipe est un facteur positif pour une équipe efficace, pas un facteur qui conduit à des erreurs.",a
8,OIC-005-14-B,Quelle est la principale fonction des barrières de sécurité dans les soins de santé?,"La question teste la compréhension de la fonction des barrières de sécurité, qui est de prévenir les erreurs et les accidents.",Réduire les coûts des soins.,"Réduire les coûts est un objectif important, mais pas la fonction principale des barrières de sécurité.",Améliorer la satisfaction des patients.,"La satisfaction des patients est importante, mais les barrières de sécurité visent avant tout à prévenir les erreurs.",Faciliter la communication entre les professionnels de santé.,"La communication est essentielle, mais les barrières de sécurité se concentrent sur la prévention des erreurs.",Réduire le nombre d'erreurs médicales et de plaintes.,"C'est la fonction principale des barrières de sécurité, qui vise à prévenir les erreurs et les accidents.",d
9,OIC-006-02-A,Quelle est la principale fonction d'une réunion de concertation pluridisciplinaire (RCP)?,Cette question évalue la compréhension de la fonction des RCP dans le travail en équipe pluridisciplinaire.,Mettre en place un protocole pluriprofessionnel.,"Les RCP sont des réunions pour discuter et coordonner les soins, pas pour créer des protocoles.",Identifier les causes de la mortalité.,"Les réunions de morbi-mortalité (RMM) se concentrent sur l'analyse des décès, pas sur la concertation.",Assurer la sécurité des patients lors des interventions.,Les checklists et les protocoles sont plus directement liés à la sécurité des patients lors des interventions.,Permettre une communication et une coordination entre les professionnels de santé.,C'est la fonction principale des RCP : discuter des cas complexes et coordonner les soins.,d
