,id,question,option_a,option_b,option_c,option_d,correct_option
0,OIC-005-01-A,Quelles sont les deux fins de la responsabilité d'un professionnel de santé?,Sanction et indemnisation,Sanction et responsabilité,Sanction et compensation,Sanction et responsabilité civile,a
1,OIC-005-01-A-,Quelle est la caractéristique principale de la responsabilité pénale en matière médicale?,Elle est toujours individuelle et appliquée uniquement aux médecins professionnels,Elle est applicable aux établissements de santé en tant que personnes morales,Elle est limitée aux actes de soins dans les cas de non-respect des conditions spécifiques,"Elle est toujours personnelle et appliquée à tous les médecins, y compris les internes",d
2,OIC-005-02-A-,Quelle est la responsabilité engagée devant les juridictions administratives en cas d'acte réalisé par un médecin hospitalier?,La responsabilité du médecin seul,La responsabilité du service public de santé,La responsabilité du patient,La responsabilité du médecin privé,b
3,OIC-005-03-A,Quelle est la définition d'une faute disciplinaire selon le contenu du texte?,Un manquement à une règle de déontologie médicale,Une violation d'une règle juridique inscrite dans le Code pénal,Un acte de la vie privée pouvant porter atteinte à l'honneur de la profession,Une erreur médicale non liée à l'activité professionnelle,a
4,OIC-005-03-A-,Quel est le cas où la responsabilité sans faute peut être engagée même si il n'y a pas d'erreur professionnelle?,Un dommage causé par un accident de la route,Un dommage lié à une mauvaise technique chirurgicale,Une infection nosocomiale,Un dommage due à un manque de précaution,c
5,OIC-005-04-A,Quelle est la définition de la faute selon le texte?,L'atteinte à un droit du patient,La violation d'un devoir d'humanisme,Le défaut d'un produit de santé,L'absence de soins appropriés,b
6,OIC-005-04-A-,Quel type d'erreur correspond à une action nécessaire non faite?,Omission,Commission,Exécution,Violation,a
7,OIC-005-05-A,Quel est le définition d'un accident médical?,"Un événement indésirable survenu au cours d'un acte de soin, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé",Un effet secondaire d'un traitement médical,Un malaise causé par une erreur d'un professionnel de santé,Un événement normal dans un établissement de santé,a
8,OIC-005-05-A-,Quand est-ce qu'une infection est considérée comme nosocomiale selon le texte?,Après 48 heures d'hospitalisation si le patient est malade à l'admission,Après 48 heures d'hospitalisation si le patient est en incubation lors de l'admission,Avant 48 heures d'hospitalisation si le patient est malade à l'admission,Avant 48 heures d'hospitalisation si le patient est en incubation lors de l'admission,b
9,OIC-005-07-A-,Quel est le type de barrière de sécurité destinée à empêcher l'erreur?,Les barrières de prévention,Les barrières de récupération,Les barrières d’atténuation,Toutes les trois,a
10,OIC-005-09-A-,Quelle est la définition du parcours de soins?,Le parcours de soins est la suite de soins administrés à un patient sans coordination.,Le parcours de soins est la coordination des compétences professionnelles tout au long de la prise en charge d'un patient.,Le parcours de soins est la liste des médicaments prescrits à un patient.,Le parcours de soins est la durée de traitement d'un patient.,b
11,OIC-005-11-A,Quel est l'objectif principal des check-lists de sécurité du patient au bloc opératoire?,Sécuriser la réalisation d'une intervention chirurgicale,Améliorer la communication entre les professionnels,Réduire le temps d'opération,Prévenir les complications post-opératoires,a
12,OIC-005-12-B,Quelle est la mission principale du Samu-Centre 15?,Assurer une écoute médicale permanente 24/7,Gérer les transports des patients vers les établissements de soins,Organiser les formations des acteurs en santé,Préparer les plans de secours pour les urgences,a
