mcq,cop,llm_cop
"-----
Question:
The following are contraindicated in renal failure except:
Options:
a) Pancuronium
b) Pethidine
c) Enflurane
d) Midazolam
-----
",3,0
"-----
Question:
Anesthetic agent of choice in asthma patient is?
Options:
a) Thiopentone
b) Methexitone
c) Ketamine
d) Propofol
-----
",2,3
"-----
Question:
Use of Intraaerial cannula in major surgery :
Options:
a) Measurement of direct intra aerial BP
b) Sample for ABG
c) Drug injection
d) All
-----
",3,3
"-----
Question:
Which of the following type of receptor is involved in malignant hypehermia ?
Options:
a) Nicotinic receptor
b) Ryanodine receptor
c) Muscarinic receptor
d) None
-----
",1,1
"-----
Question:
Best site for going spinal anaesthesia is interveebral space between.
Options:
a) L2 - L3
b) L3 - L4
c) L1 - L2
d) L5 - S1
-----
",0,0
"-----
Question:
Which of the following inhalational agent can cause coronary steal phenomenon-
Options:
a) Isoflurane
b) Sevoflurane
c) Desflurane
d) Halothane
-----
",0,0
"-----
Question:
Percentage of Halothane metabolized ?
Options:
a) 1%
b) 5%
c) 10%
d) 20%
-----
",3,0
"-----
Question:
Anaesthesia of choice for manual removal of placenta
Options:
a) GA
b) Spinal
c) Epidural
d) Para Cervical
-----
",0,1
"-----
Question:
Arrange Mapelson circuit for spontaneous ventilation in an adult from best to worst
Options:
a) D>B>C>A
b) A>C>B>D
c) A>D>C>B
d) B>C>D>A
-----
",2,2
"-----
Question:
Which among the following is a depolarising muscle relaxant-
Options:
a) Decamethonium
b) D tubocurarine
c) Doxacurium
d) Atracurium
-----
",0,1
"-----
Question:
Epidural anaesthesia can cause all of the following, EXCEPT:
Options:
a) Hypotension
b) Nausea
c) Bladder distension
d) Hyperpnoea
-----
",3,0
"-----
Question:
Which of the following agent is epileptogenic?
Options:
a) Propofol
b) Thiopentone
c) Dexmedetomidine
d) Pethidine
-----
",3,0
"-----
Question:
Ketamine contraindicated in all Except
Options:
a) Head injury
b) Hypeension
c) Asthma
d) Glaucoma
-----
",2,0
"-----
Question:
All are amides EXCEPT:
Options:
a) Lignocaine
b) Procaine
c) Prilocaine
d) Etidocaine
-----
",1,1
"-----
Question:
Which of the following is predictor of difficult airway
Options:
a) Systemic lupus
b) Systemic sclerosis
c) Sarcoidosis
d) Cystic fibrosis
-----
",1,3
"-----
Question:
Volatile agent which causes most renal toxicity is
Options:
a) Ether
b) Isoflurane
c) Methoxyflurane
d) Sevoflurane
-----
",2,2
"-----
Question:
Spontaneous breathing circuit used in children is -
Options:
a) Jackson Rees modification of Ayre's T piece
b) Mapleson A or Magill's circuit
c) Mapleson C or water's to & fro canister
d) Bain's circuit
-----
",0,0
"-----
Question:
EMLA for newborns is:
Options:
a) Contraindicated
b) Safe
c) Does not cause methemoglobinemia
d) Should be given in reduced doses
-----
",1,1
"-----
Question:
Ketamine is preferred anaesthetic agent in the following cases except
Options:
a) Cyanotic congenital heart disease
b) Hypertension
c) Shock
d) Asthmatic patients
-----
",1,0
"-----
Question:
Mouth to mouth respiration provides what percentage of oxygen ?
Options:
a) 10%
b) 16%
c) 21%
d) 100%
-----
",-1,2
"-----
Question:
SAFE strategy is recommended for?
Options:
a) Glaucoma
b) Cataract
c) Trachoma
d) Diabetic retinopathy
-----
",2,2
"-----
Question:
Index of potency of general anaesthesia -
Options:
a) Minimum alveolar concentration
b) Diffusion coefficient
c) Dead space concentration
d) Alveolar blood concentration
-----
",0,0
"-----
Question:
Commonest complication of celiac plexus block is
Options:
a) Bradycardia
b) Hypotension
c) Seizures
d) Retroperitoneal hematoma
-----
",1,1
"-----
Question:
Train of four fade is a characteristic feature of:
Options:
a) Depolarizing block
b) Non depolarizing block
c) Both depolarizing and non-depolarizing block
d) Malignant hypehermia
-----
",1,1
"-----
Question:
Which of the following drug does not trigger malignant hypehermia
Options:
a) Ether
b) Succinylcholine
c) Rocuronium
d) Halothane
-----
",2,0
"-----
Question:
Most sensitive method of non invasive monitoring of cardio-vascular ischemia in perioperative period is -
Options:
a) NIBP
b) BOG
c) Pulse oximeter
d) TEE
-----
",3,3
"-----
Question:
Post operative jaundice is because of use of –
Options:
a) Isoflurane
b) N2O
c) Methoxyflurane
d) Halothane
-----
",3,3
"-----
Question:
The duration of spinal anaesthesia is based directly on:
Options:
a) Dose
b) Height
c) Age
d) Total body fat
-----
",0,0
"-----
Question:
Which is not an obvious advantage of high pressure oxygen through cannula:
Options:
a) Bypassing nasopharyngeal dead space
b) Decreases need for intubation
c) PEEP
d) Hot and Humidification of air
-----
",0,1
"-----
Question:
Treatment of bupivacaine toxicity includes: (PGI May 2011)
Options:
a) Isoprenaline
b) Calcium channel blockers
c) Bretylium
d) Metoprolol
-----
",2,1
"-----
Question:
Percentage of lidocaine in Eutectic mixture -
Options:
a) 1%
b) 2.50%
c) 5%
d) 10%
-----
",1,1
"-----
Question:
The volatility of an anesthetic agent is directly proportional to lowering the flow in the portal vein. Portal flow is maximally reduced by –
Options:
a) Ether
b) Halothane
c) Isoflurane
d) Enflurane
-----
",1,1
"-----
Question:
Water is used for hardening in
Options:
a) Sodalime
b) Baralime
c) Both
d) None
-----
",1,2
"-----
Question:
A 4-year-old child was intubated while posted for craniotomy. Suddenly anesthetic machine staed showing bellowing. Next management is:
Options:
a) Sta manual ventilation
b) Do nothing
c) Larger size of endotracheal tube
d) Increase flow rate
-----
",2,0
"-----
Question:
Ketamine NOT used in:
Options:
a) Full stomach
b) Increased ICT
c) Pediatric patient
d) Asthma patient
-----
",1,2
"-----
Question:
All of the following drugs are commercially marketed as racemic mixture except-
Options:
a) Bupivacaine
b) Thiopentone
c) Ropivacaine
d) Thiamylal
-----
",2,0
"-----
Question:
True about EMLA – a) Can be used for intubationb) Mixture of local anesthesiac) Faster actingd) Used in children
Options:
a) c
b) d
c) bd
d) ac
-----
",2,3
"-----
Question:
Spinal anesthesia is given at which of the following levels –
Options:
a) L1–2
b) L2–4
c) Midline of thorax
d) Below L5 (caudal)
-----
",1,1
"-----
Question:
All of the following are true about carcinoid crisis, EXCEPT:
Options:
a) It is life threatening
b) Urinary 5-HIAA levels > 200 mg/d
c) Can be precipitated by anaesthesia
d) It does not occur spontaneously
-----
",3,3
"-----
Question:
Who coined term anaesthesia
Options:
a) Moon
b) Holmes
c) Morgan
d) Priestly
-----
",1,3
"-----
Question:
Most commonly used nerve for neuromuscular monitoring under anesthesia is
Options:
a) Radial
b) Ulnar
c) Glossopharyngeal
d) Vagus
-----
",1,1
"-----
Question:
Side effect of alfentanil:
Options:
a) Chest wall rigidity
b) Hypertension
c) Convulsion
d) Hallucination
-----
",0,2
"-----
Question:
Anaesthesia of choice in renal failure –
Options:
a) Methoxy flurane
b) Isoflurane
c) Enflurane
d) None
-----
",1,1
"-----
Question:
While performing a lumbar puncture, a snap is felt just before entering into the epidural space. This is due to piercing of which structure?
Options:
a) Ligamentum flavum
b) Supraspinous ligament
c) Duramater
d) Posterior longitudinal ligament
-----
",0,0
"-----
Question:
Thiopentone is contraindicated in :
Options:
a) Acute intermitent porphyria
b) Induction of GA.
c) CHF
d) GI disease
-----
",0,0
"-----
Question:
All of the following are true statements regarding drugs to be discontinued before surgery except :
Options:
a) Thyroid medications need not be stopped before surgery
b) NSAIDs should be discontinued 72 hours before surgery
c) Warfarin should be discontinued 4 days before surgery
d) MAO Inhibitors should be discontinued 2 weeks before surgery
-----
",1,1
"-----
Question:
Maternal supine hypotension syndrome can be minimized by
Options:
a) Left-Hip elevation
b) Left-Uterine displacement
c) Regional anaesthesia
d) General anaesthesia
-----
",1,2
"-----
Question:
A 19-year-old man sustains severe lower-extremity trauma, including a femur fracture and a crush injury to his foot. He requires vascular reconstruction of the popliteal aery. On the day after surgery, he becomes dyspneic and hypoxemic and requires intubation and mechanical ventilation. Which of the following is the most likely etiology of his decompensation?
Options:
a) Aspiration
b) Atelectasis
c) Fat embolism syndrome
d) Fluid overload
-----
",2,2
"-----
Question:
Site of Topical block of sphenopalatine ganglion is?
Options:
a) Above the superior turbinate
b) Posterior to Superior turbinate
c) Posterior to middle turbinate
d) Posterior to inferior turbinate
-----
",2,1
