id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quelles sont les deux fins de la responsabilité d'un professionnel de santé?,Sanction et indemnisation,Sanction et responsabilité,Sanction et compensation,Sanction et responsabilité civile,a
OIC-005-01-A-,Quelle est la caractéristique principale de la responsabilité pénale en matière médicale?,Elle est toujours individuelle et appliquée uniquement aux médecins professionnels,Elle est applicable aux établissements de santé en tant que personnes morales,Elle est limitée aux actes de soins dans les cas de non-respect des conditions spécifiques,"Elle est toujours personnelle et appliquée à tous les médecins, y compris les internes",d
OIC-005-02-A,Les médecins salariés d’établissements de santé privés sont-ils responsables civilement personnels pour les dommages causés à un patient?,Oui,Non,Dependant des circonstances,Cela dépend de la mission confiée,b
OIC-005-02-A-,Quelle est la responsabilité engagée devant les juridictions administratives en cas d'acte réalisé par un médecin hospitalier?,La responsabilité du médecin seul,La responsabilité du service public de santé,La responsabilité du patient,La responsabilité du médecin privé,b
OIC-005-03-A,Quelle est la définition d'une faute disciplinaire selon le contenu du texte?,Un manquement à une règle de déontologie médicale,Une violation d'une règle juridique inscrite dans le Code pénal,Un acte de la vie privée pouvant porter atteinte à l'honneur de la profession,Une erreur médicale non liée à l'activité professionnelle,a
OIC-005-03-A-,Quel est le cas où la responsabilité sans faute peut être engagée même si il n'y a pas d'erreur professionnelle?,Un dommage causé par un accident de la route,Un dommage lié à une mauvaise technique chirurgicale,Une infection nosocomiale,Un dommage due à un manque de précaution,c
OIC-005-04-A,Quelle est la définition de la faute selon le texte?,L'atteinte à un droit du patient,La violation d'un devoir d'humanisme,Le défaut d'un produit de santé,L'absence de soins appropriés,b
OIC-005-04-A-,Quel type d'erreur correspond à une action nécessaire non faite?,Omission,Commission,Exécution,Violation,a
OIC-005-05-A,Quel est le définition d'un accident médical?,"Un événement indésirable survenu au cours d'un acte de soin, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé",Un effet secondaire d'un traitement médical,Un malaise causé par une erreur d'un professionnel de santé,Un événement normal dans un établissement de santé,a
OIC-005-05-A-,Quand est-ce qu'une infection est considérée comme nosocomiale selon le texte?,Après 48 heures d'hospitalisation si le patient est malade à l'admission,Après 48 heures d'hospitalisation si le patient est en incubation lors de l'admission,Avant 48 heures d'hospitalisation si le patient est malade à l'admission,Avant 48 heures d'hospitalisation si le patient est en incubation lors de l'admission,b
OIC-005-06-A,Quelle est la définition de l’aléa thérapeutique?,Un événement imprévu causant un dommage ayant un lien de causalité certain avec l’acte médical,Une erreur médicale commise par un professionnel de santé,Un dommage causé par le patient sans responsabilité des professionnels,"Un risque inhérent à l’acte de soin, de diagnostic ou de prévention",a
OIC-005-06-A-,Quel facteur est un des principaux causes de contentieux après un accident médical?,L'état de santé du patient,Les difficultés de communication avec les soignants,La vulnérabilité des populations démunies,La formation continue des équipes,a
OIC-005-07-A,Quel est le facteur humain individuel le plus souvent associé à des erreurs médicales?,Manque de connaissances,Stress,Manque de temps,Culture,a
OIC-005-07-A-,Quel est le type de barrière de sécurité destinée à empêcher l'erreur?,Les barrières de prévention,Les barrières de récupération,Les barrières d’atténuation,Toutes les trois,a
OIC-005-08-A,Quelle est la principale idée de la culture de sécurité du patient?,Le responsable de l'erreur est toujours coupable,Le responsable de l'erreur est toujours innocent,Le responsable de l'erreur est toujours puni,Le responsable de l'erreur est toujours évalué,b
OIC-005-08-A-,Quelle est la fonction principale d'une équipe pluriprofessionnelle?,Une barrière de sécurité contre les événements indésirables,Un facteur de qualité de la prise en charge du patient,Un facteur de santé et de bien-être au travail pour les professionnels,Un moyen de répondre de manière collaborative aux besoins du patient,a
OIC-005-09-A,Quel est le principal dispositif de travail en équipe pluridisciplinaire en ambulatoire?,Le protocole pluriprofessionnel,Les réunions de concertation pluridisciplinaire (RCP),La check-list au bloc opératoire,La réunion de morbi-mortalité (RMM),a
OIC-005-09-A-,Quelle est la définition du parcours de soins?,Le parcours de soins est la suite de soins administrés à un patient sans coordination.,Le parcours de soins est la coordination des compétences professionnelles tout au long de la prise en charge d'un patient.,Le parcours de soins est la liste des médicaments prescrits à un patient.,Le parcours de soins est la durée de traitement d'un patient.,b
OIC-005-10-A,Quel est le principal objectif d'un protocole pluriprofessionnel?,Permettre le transfert de tâche entre les professionnels,Faciliter le travail en équipe dans les structures de soins,Valider l'obligation de développement professionnel continu (DPC),Définir les protocoles de soins pour les maladies aiguës,c
OIC-005-10-A-,Quelle est la condition minimale pour que les réunions de concertation pluridisciplinaire (RCP) soient organisées?,Au moins deux médecins de spécialités différentes,Au moins trois médecins de spécialités différentes,Au moins quatre médecins de spécialités différentes,Aucune condition minimale,b
OIC-005-11-A,Quel est l'objectif principal des check-lists de sécurité du patient au bloc opératoire?,Sécuriser la réalisation d'une intervention chirurgicale,Améliorer la communication entre les professionnels,Réduire le temps d'opération,Prévenir les complications post-opératoires,a
OIC-005-11-A-,Quel est l'objectif principal d'une Réunion de Morbi-Mortalité (RMM)?,Analyser les causes des complications cliniques,Évaluer la qualité des soins sans action corrective,"Mettre en œuvre des actions de prévention, de récupération ou d'atténuation",Préparer les patients pour les soins futurs,c
OIC-005-12-B,Quelle est la mission principale du Samu-Centre 15?,Assurer une écoute médicale permanente 24/7,Gérer les transports des patients vers les établissements de soins,Organiser les formations des acteurs en santé,Préparer les plans de secours pour les urgences,a
OIC-005-12-B-,Quels critères sont interdits de s'appuyer pour traiter différemment les personnes?,"Appartenance ethnique, opinions politiques, identité de genre, orientation sexuelle, nationalité","Appartenance ethnique, opinions politiques, identité de genre, orientation sexuelle, nationalité, capacité à s'exprimer en français","Appartenance ethnique, opinions politiques, identité de genre, orientation sexuelle, nationalité, lieu de résidence","Appartenance ethnique, opinions politiques, identité de genre, orientation sexuelle, nationalité, capacité à s'exprimer en français",a
