Unnamed: 0,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option,content_raw,distractor_quality
0,OIC-005-02-A,Quelle est la définition de la responsabilité pénale selon le texte?,"La responsabilité pénale est personnelle et applicable à tous les médecins, incluant les internes, concernant les infractions liées à l’exercice du soin.",la responsabilité pénale,"Correcte, définie comme la sanction des comportements répréhensibles.",la responsabilité sans faute,"Incorrecte, ne mentionne pas la sanction pénale.",la responsabilité administrative,"Incorrecte, ne mentionne pas la responsabilité pénale.",la faute,"Incorrecte, ne mentionne pas la responsabilité pénale.",a,"{{objectif de connaissance
|Identifiant=OIC-005-02-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité pénale
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=2}}

La responsabilité pénale a une fonction répressive ayant pour vocation de sanctionner des individus dont le comportement est réprouvé dans notre société. Elle est toujours personnelle, concernant à l’identique tous les médecins (y compris les internes), quel que soit le cadre de leur exercice. Elle peut également concerner les établissements de santé, en leur qualité de personnes morales.

Les comportements que la société définit comme répréhensibles sont appelés infractions. Celle-ci sont énumérées dans le Code pénal et classées en trois catégories par ordre de gravité : contraventions, délits, crimes.

'''Infractions'''

En dehors de certaines dispositions particulières liées au non-respect des conditions spécifiques à certaines actions de soins (actes d’assistance médicale à la procréation, activités de recherche biomédicale, etc.), les infractions qui peuvent être reprochées à un médecin peuvent également l’être à tout citoyen. Toutefois, les médecins sont exposés à commettre certaines infractions plus que d’autres. On peut en citer trois grands types du fait de l’exercice de soin : celles qui résultent de la violation d’un devoir d’humanisme, les blessures et l’homicide involontaires et les blessures et l’homicide volontaire.

'''Violation d’un devoir d’humanisme'''

La violation d’un devoir d’humanisme concerne principalement 1/ la rédaction de faux certificats (article 441-7 du Code pénal), 2/ la violation du secret professionnel (article 226-13 du Code pénal) et 3/ la non-assistance à personne en péril (article 226-3 du Code pénal, encadré 5.1). Il faut noter que le défaut d’information au patient ne constitue pas une infraction pénale. Ce défaut est par contre une cause potentielle de responsabilité civile.

'''Homicide et blessures involontaires'''

L’homicide et les blessures involontaires recouvrent la majeure partie des infractions reprochées à un médecin (articles 221-6, 222-19 et 222-20 du Code pénal). La mort d’un patient ou ses blessures sont supposées résulter d’une faute par maladresse, imprudence, inattention, négligence ou manquement à une obligation de sécurité. Le médecin mis en cause n’a potentiellement pas respecté les données acquises de la science ou a commis une faute « banale » dans l’élaboration d’un diagnostic, dans la prescription ou la réalisation d’un traitement. Pour que l’infraction existe, il faut que le dommage et le lien de causalité certain avec la faute soient établis. Le lien de causalité peut être soit direct, soit indirect, à condition que la faute commise soit dite qualifiée, c’est-à-dire ayant créé ou contribué à créer la situation qui a contribué au dommage, ou n’ayant pas pris les mesures nécessaires pour l’éviter. On distingue deux types de fautes qualifiées :

- la faute délibérée : il s’agit d’une violation d’une obligation particulière de prudence ou de sécurité prévue par la loi ou le règlement. Elle nécessite de violer délibérément (donc de façon consciente) une règle de prudence ou de sécurité.

- la faute caractérisée : il s’agit d’une faute d’imprudence, de négligence, un manquement à une obligation de prudence ou de sécurité qui expose le patient à un risque d’une particulière gravité, que le médecin ne peut ignorer.

'''Homicide et blessures volontaires'''

Cela reste des infractions rares en responsabilité médicale. Elle se résument pour l’essentiel à la question de :

- l’euthanasie ;

- l’absence d’obtention d’un consentement d’un patient à un acte médical ;

- le non-respect des conditions de licéité de certains actes médicaux, encadrés par des lois spécifiques : interruption de grossesse, stérilisation à but contraceptif, prélèvements d’organes, expérimentation chez l’homme, etc.

'''Mise en œuvre de la responsabilité pénale'''

'''Poursuites'''

L’initiative des poursuites appartient au procureur de la République, qui décide des suites à donner aux plaintes, dénonciations et enquêtes de police. Il peut classer l’affaire sans suite, renvoyer directement l’auteur devant la juridiction de jugement ou requérir l’ouverture d’une information judiciaire.

Si l’affaire n’est pas classée sans suite, l’étape de l’information judiciaire est la règle en matière médicale, compte tenu de la complexité fréquente des dossiers.

'''Jugement'''

Les contraventions sont jugées par le tribunal de police et passibles d’amendes, les délits par le tribunal correctionnel et passibles de peines d’emprisonnement et les crimes par la cour d’assises et passibles de peines de réclusion criminelle.

Les infractions reprochées aux médecins relèvent habituellement du tribunal correctionnel, constituant pour l’essentiel des délits exposant à des peines d’emprisonnement, pouvant être assorties du sursis, et à des amendes.

Le patient victime peut demander en parallèle de la sanction pénale l’indemnisation de son dommage, au cours du même procès, en se constituant partie civile.

<br />",False
1,OIC-005-03-A,Quelle est la définition de la responsabilité civile selon le texte ?,"La responsabilité civile est définie comme l'engagement des professionnels de santé pour les dommages causés à un patient, à condition qu'ils ne dépassent pas leur mission professionnelle.",La responsabilité sans faute,"Cela correspond à la notion de responsabilité sans faute, qui est applicable pour les cas où le médecin n'engage pas sa propre responsabilité.",La responsabilité civile,"Cela correspond à la définition donnée dans le texte, qui mentionne la responsabilité civile.",La responsabilité administrative,"Cela correspond à la responsabilité administrative, qui est mentionnée dans le texte.",La responsabilité disciplinaire,"Cela correspond à la responsabilité disciplinaire, mentionnée dans le texte.",b,"{{objectif de connaissance
|Identifiant=OIC-005-03-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité civile
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=3}}

Les professionnels exerçant à titre libéral et les établissements de santé privés engagent leur responsabilité civile devant les juridictions de l’ordre judiciaire : tribunal de grande instance, cour d’appel, cour de cassation.

S’agissant des médecins salariés d’établissements, services ou organismes privés, ils n’engagent pas leur responsabilité civile personnelle du fait des dommages causés à un patient dès lors qu’ils n’outrepassent pas la mission qui leur a été confiée par leur employeur. C’est l’application du régime de responsabilité du commettant (l’employeur) du fait de son proposé (le médecin), lequel n’est pas incompatible avec le principe d’indépendance professionnelle du médecin dans l’exercice de son art.

Les praticiens hospitaliers engagent leur responsabilité civile professionnelle à raison des dommages survenus dans le cadre de leur secteur d’activité libérale au sein d’un établissement public de santé.",False
2,OIC-005-05-A,Quelle est la responsabilité directe concernée par les instances de l’Ordre des médecins ?,"La responsabilité disciplinaire est dirigée vers l’Ordre des médecins, sans lien avec d’autres institutions.",Responsabilité pénale,Ces responsabilités sont spécifiques à la sanction pénales.,Responsabilité disciplinaire,Cela correspond à l’action indépendante des institutions du tableau.,Faute,Ces fautes ne sont pas liées aux actions juridiques.,Erreur médicale,Ces erreurs sont liées à l’activité professionnelle.,b,"{{objectif de connaissance
|Identifiant=OIC-005-05-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité disciplinaire
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=5}}

La responsabilité disciplinaire est celle qui est encourue devant les instances de l’Ordre des médecins. L’action disciplinaire est indépendante des autres actions qui peuvent être engagées contre un médecin (civiles ou pénales).

'''Fautes et sanctions disciplinaires'''

'''Fautes disciplinaires'''

Est une faute disciplinaire tout manquement aux règles de déontologie médicale. C’est une violation d’une règle morale plus qu’une règle proprement juridique, qu’elle soit inscrite dans un texte, le Code de la déontologie médicale par exemple, ou non. Ces fautes ont en principe un rapport avec l’activité professionnelle, mais pas exclusivement. Un acte de la vie privée peut porter atteinte à l’honneur ou à la moralité de la profession. Les règles de la déontologie médicale sont rassemblées dans le Code de déontologie médicale (article R.4127-1 à R.4127-112 du Code de la santé publique). Les principes fondamentaux qu’il renferme s’imposent à tous les médecins inscrits au tableau de l’Ordre des médecins, ainsi qu’aux internes en médecine effectuant des remplacements.

Ce Code se différencie du Code pénal qui lui n’énonce pas de principes mais liste des comportements prohibés par notre société (infractions pénales). Il est élaboré par le Conseil national de l’Ordre des médecins, investi à cet effet d’un pouvoir réglementaire soumis au Conseil d’Etat. Il est périodiquement révisé, étant donné qu’il doit être conforme à la loi.

'''Sanctions disciplinaires'''

Les sanctions encourues sont l’avertissement, le blâme, l’interdiction temporaire d’exercer des fonctions rémunérées par l’Etat ou les collectivités publiques, l’interdiction temporaire d’exercice (pour trois ans au maximum) ou la radiation du tableau de l’Ordre.

Les interdictions d’exercice temporaires peuvent être assorties d’un sursis (partiel ou total), révocable en cas de commission d’une nouvelle faute disciplinaire dans les cinq ans qui suivent. En cas de radiation, l’intéressé peut demander son relèvement au bout de trois ans. En cas de refus, il doit attendre trois ans pour en faire éventuellement à nouveau la demande.

'''Mise en œuvre de la responsabilité disciplinaire'''

'''Juridictions'''

Les juridictions compétentes sont la chambre disciplinaire du conseil régional de l’Ordre et la chambre disciplinaire du conseil national de l’Ordre en appel. Un pouvoir en cassation peut être formé devant le Conseil d’Etat.

'''Saisine'''

Peuvent saisir la chambre disciplinaire du conseil régional de l’Ordre pour les médecins libéraux un conseil départemental de l’Ordre, le conseil national de l’Ordre, un médecin, un syndicat de médecins, le directeur de l’Agence régionale de la santé, le préfet, le procureur de la République et le ministre en charge de la santé.

Pour les médecins du secteur public hospitalier, le pouvoir de saisine est limité au conseil départemental de l’Ordre, au conseil national de l’Ordre, au directeur de l’Agence régionale de la santé, au préfet, au procureur de la République et au ministre en charge de la santé.

Une plainte contre un médecin libéral ou hospitalier émanant d’un patient doit être transmise au conseil départemental de l’Ordre, qui a l’obligation de tenter une conciliation.

En cas d’échec, le conseil départemental de l’Ordre a l’obligation de transmettre la plainte à la chambre disciplinaire du conseil régional de l’Ordre.

'''Procédure'''

Le patient est l’une des parties à l’instance, il peut donc exercer des voies de recours (appel, pourvoi en cassation) et peut être accompagné d’un avocat. Le médecin, quant à lui, peut être assisté devant la juridiction par un avocat du barreau ou un confrère. La procédure devant les juridictions de l’Ordre est contradictoire ; l’audience est publique",False
3,OIC-005-09-A,Quelle est la définition de l’affection iatrogène ?,L’affection iatrogène est une conséquence de la prise d’un médicament même si l’indication était correcte et la posologie bonne.,Définition de l’accident médical,L’accident médical est un événement indésirable survenu au cours d’un acte de soin.,Définition de l’affection iatrogène,L’affection iatrogène est une conséquence de la prise d’un médicament même si l’indication était correcte et la posologie bonne.,Définition de l’erreur médicale,L’erreur médicale est une erreur d’un professionnel de santé ou d’un malade.,Définition de l’infection nosocomiale,L’infection nosocomiale est une infection causée par des agents pathogènes dans un environnement sanitaire.,b,"{{objectif de connaissance
|Identifiant=OIC-005-09-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’accident médical et de l’affection iatrogène
|Description=None
|Rubrique=Définition
|Contributeurs=Patrice François
|Ordre=9}}

L’accident médical désigne un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic. Cet accident entraîne un dommage anormal au regard de l’évolution prévisible de l'état de santé. Il peut s’être produit dans n’importe quel lieu de soins : un établissement de santé, public ou privé, un cabinet d’un professionnel de santé exerçant en libéral, un laboratoire d’analyses médicales, de radiologie, une pharmacie, etc. Un accident médical peut être causé par une erreur d’un professionnel de santé ou découler de soins conformes aux bonnes pratiques et s'appelle alors « l’aléa thérapeutique ».

Les affections iatrogènes désignent l’ensemble des effets néfastes qui peuvent être provoqués par un traitement ou un acte médical. On parle d’effets iatrogènes lorsque le traitement déclenche de nouveaux symptômes, distincts de ceux qu’il est censé soigner. L’effet iatrogène peut intervenir avec ou sans mauvais usage du médicament, que ce mauvais usage soit le fait d’un professionnel de santé ou du malade lui-même. Il ne faut donc pas confondre affection iatrogène et erreur médicale. L’affection iatrogène est une conséquence de la prise d’un médicament même si l’indication était correcte et la posologie bonne. Il est donc possible d’être victime d’une affection iatrogène en dehors de toute erreur ou faute du professionnel de santé.",False
4,OIC-005-10-A,Quelle est la définition de l'infection nosocomiale ?,"L'infection nosocomiale est une infection contractée au cours d’un séjour dans un établissement de santé, excluant les infections associées aux soins.",Les infections contractées au cours d’un séjour dans un établissement de santé,Reformule la définition avec synonyme et contexte clinique.,Les infections contractées au cours d’un séjour dans un établissement de santé ou associées aux soins,Intégre le timing (48 heures) et la distinction entre infections associées et non associées.,Les infections contractées au cours d’un séjour dans un établissement de santé ou associées aux soins,"Réutilise le groupe nommaux original, mais avec un contexte plus précis.",Les infections contractées au cours d’un séjour dans un établissement de santé ou associées aux soins,"Réutilise le groupe nommaux original, mais avec un contexte plus précis.",b,"{{objectif de connaissance
|Identifiant=OIC-005-10-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’infection nosocomiale
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=10}}

Les infections nosocomiales sont les infections contractées au cours d’un séjour dans un établissement de santé (hôpital, clinique…). Elle est aussi appelée infection associée aux soins. Ceci veut dire que ces infections sont absentes au moment de l’admission du patient dans l’établissement. Cependant, si l’état infectieux du patient à l’admission est inconnu, l’infection est généralement considérée comme nosocomiale si elle apparaît après 48 heures d’hospitalisation. Si elle apparaît avant un tel délai, on considère en général qu’elle était en incubation lors de l’entrée dans l’établissement.",False
5,OIC-005-12-B,Quel est le principal facteur lié au patient qui influence l'ouverture d'un contentieux à la suite d'un accident médical ?,"La question évalue la compréhension des principaux facteurs liés au patient, en intégrant une typologie de l'erreur humaine.",état de santé,Réponse correcte : Étendue à la vulnérabilité et aux conditions du patient.,tâches à accomplir,Réponse incorrecte : Évite de dépasser les limites de la responsabilité.,équipe,Réponse incorrecte : Évite de dépasser les limites de la responsabilité.,environnement de travail,Réponse incorrecte : Évite de dépasser les limites de la responsabilité.,a,"{{objectif de connaissance
|Identifiant=OIC-005-12-B
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=B
|Intitulé=Identifier les principaux facteurs conduisant à l’ouverture d’un contentieux à la suite d’un accident médical
|Description=None
|Rubrique=Epidémiologie
|Contributeurs=Bastien Boussat
|Ordre=12}}

Les facteurs peuvent être liés :

- au patient : état de santé, gravité des maladies associées, difficultés de communication (langue, conflit avec les soignants, etc.), vulnérabilité de certaines populations de patients (personnes âgées, patients atteints de maladies chroniques, enfants, adolescents, personnes atteintes d’un handicap, démunies, etc.) ;

- aux tâches à accomplir ;

- à l’équipe : communication au sein de l’équipe et avec le patient dans la relation thérapeutique, traçabilité de l’information dans le dossier du patient, encadrement des juniors en cours d’apprentissage ;

- à l’environnement de travail : physique (locaux, matériels, fournitures, etc.) ou organisationnel (disponibilité de ressources humaines qualifiées, organisation du travail, horaires, etc.) ;

- à l’organisation et au management : politiques de remplacement du personnel absent (pas de remplacement, intérim, déplacement), de formation continue, de gestion des équipements ;

- au contexte institutionnel : politiques de santé publique nationale et régionale, systèmes de signalement des événements indésirables",False
6,OIC-005-13-A,Quels sont les principaux facteurs humains collectifs liés à l’organisation de soins ?,"Les facteurs humains collectifs incluent l’équipe, la communication et la gestion de conflits.",les facteurs humains individuels,Ces facteurs concernent les individus et leurs compétences.,les facteurs humains individuels et collectifs,Ces facteurs interviennent à travers l’équipe et l’organisation.,les facteurs humains collectifs,Ces facteurs influencent l’efficacité de l’organisation.,les facteurs humains individuels et collectifs,Ces facteurs interviennent à travers l’équipe et l’organisation.,c,"{{objectif de connaissance
|Identifiant=OIC-005-13-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Facteurs humains : connaître la notion d’erreur humaine (typologie et facteurs favorisants)
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=13}}

L’être humain est faillible et il est dans sa nature de faire des erreurs. Reconnaitre qu’on peut faire des erreurs est un préalable à l’adoption de comportement de prévention des erreurs. Reconnaître qu’on a fait une erreur est une occasion d’apprendre et de progresser. C’est vrai au niveau des individus mais c’est vrai aussi au niveau des organisations. Quand une organisation met en place des dispositifs d’identification, d’analyse et de prévention des erreurs on parle « d’organisation apprenante ».

'''Les facteurs humains individuels''' 

Le manque de connaissances, de compétences, d’expérience peut conduire à des erreurs. Il faut savoir qu’on ne peut pas tout savoir. La capacité de mémorisation est limitée et il faut savoir vérifier ou demander de l’aide.

Le stress, le manque de temps, la fatigue, la maladie sont aussi des circonstances qui réduisent la performance de l’individu.

Certains facteurs linguistiques ou culturels qui peuvent perturber la bonne compréhension d’une situation. Enfin, il faut aussi signaler les facteurs liés au patient dont l’attitude ou le comportement influencent le risque d’erreur.

'''Les facteurs humains collectifs'''

La production de soins, surtout à l’hôpital, est un travail d’équipe. Une mauvaise organisation de l’équipe, un manque de communication voire des conflits nuisent à la bonne coopération des acteurs et accroissent le risque d’erreurs.

Une équipe efficace a d’abord la conscience d’être une équipe avec un leadership identifié. Le rôle de chacun est clairement défini. La communication est organisée avec des briefings avant l’action et des débriefings après.",False
7,OIC-005-14-B,Quelle est la définition de la prévention des erreurs selon le texte ?,La prévention des erreurs implique l'efficacité des barrières de sécurité pour éviter les accidents.,La gestion des erreurs et des plaintes,Cela inclut la mise en place de barrières pour éviter les erreurs.,La définition de la responsabilité pénale,Cela correspond à l'analyse des causes racines.,La définition de l'erreur médicale,Cela inclut la rédaction du rapport d'analyse.,La définition de l'incidence des erreurs,Cela correspond à l'analyse des causes racines.,a,"{{objectif de connaissance
|Identifiant=OIC-005-14-B
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=B
|Intitulé=Prévention : connaître la prévention des erreurs, des EIAS, la notion de barrière de sécurité
|Description=None
|Rubrique=Suivi et/ou pronostic
|Contributeurs=Bastien Boussat
|Ordre=14}}

La gestion des erreurs et des plaintes est un élément essentiel de la prévention des risques associés aux soins. Il s’agit d’une approche des risques a posteriori. Un risque s’est réalisé débouchant sur un dommage touchant un patient. Ce préjudice peut être réel ou perçu par le patient.

L’analyse en profondeur des erreurs et des motifs de plaintes va permettre d’objectiver des pistes pour la prévention de nouvelles erreurs, par la mise en place d’actions d’amélioration.

'''Bases de l’analyse approfondie des causes d’erreur'''

'''Modèle de Reason'''

Le modèle de Reason (ou modèle du fromage Suisse) est le modèle le plus souvent présenté. Il a l’avantage d’attirer l’attention sur les causes latentes d’un accident distinguant des erreurs actives et des erreurs latentes.

Ceci permet de comprendre que l’erreur humaine n’est le plus souvent qu’une conséquence de défauts organisationnels plus profonds. Ce modèle propose une analyse des événements indésirables par séquences se succédant où les différents niveaux de défense existant à chaque étape ont été franchis. Cette conception de barrières se succédant est maintenant remplacée par un modèle systémique, trop complexe pour être détaillé ici.

'''Les barrières de sécurité'''

Les barrières sont des défenses (protections) en profondeur contre le risque d’erreur. On distingue trois types de barrières de sécurité :

- les barrières de prévention ;

- les barrières de récupération ;

- les barrières d’atténuation.

Un système de sécurité efficace doit posséder les trois. Il ne faut négliger ni les barrières de récupération, ni les barrières d’atténuation.

Ces trois types de barrières peuvent être de nature :

- immatérielle : lois et réglementation, consignes, bonnes pratiques de sécurité, recommandations, procédures et protocoles, programmes de formation, organisation du travail, etc. ;

- matérielle : détrompeur physique (exemple : dessin particulier des bagues des prises de gaz médicaux et de vide interdisant toute connexion inappropriée de couleur différente).

'''Les barrières de prévention'''

Elles sont destinées à empêcher la survenue de l’erreur et de l’accident : par exemple, la check-list chirurgicale, barrière immatérielle qui se décompose en trois temps (encadré 5.4), ou la prescription informatisée dans un système prévoyant des alertes en fonction de doses dangereuses, de l’état clinique et biologique du patient, d’interactions médicamenteuses…
{| class=""wikitable""
|'''Encadré  : Check-list du bloc  opératoire adaptée de la grille de check-list de la HAS, version 2011'''
|-
|'''''Avant  induction anesthésique'''''

'''''Temps  de pause avant induction'''''

- Vérification  de :

. identité  du patient

. intervention  et site opératoire (patient, dossier)

. disponibilité  de la documentation clinique et paraclinique

. connaissance  du mode d’installation, cohérent avec le site/intervention, non dangereux  pour le patient

. préparation  cutanée de l’opéré documentée dans la fiche de liaison service/bloc  opératoire

. équipement/matériel  nécessaire pour l’intervention, sans dysfonctionnements

- Vérification  croisée par l’équipe des risques :

. allergique

. d’inhalation

. de  difficulté d’intubation

. de  ventilation

. de  saignement

'''Avant intervention chirurgicale'''

'''Temps de pause avant incision'''

- Vérification  « ultime » croisée au sein de l’équipe, en présence des chirurgien(s),  anesthésiste(s)/IADE, IBODE/IDE :

. identité  du patient

. intervention  prévue

. site  opératoire

. installation  correcte

. disponibilité  des documents nécessaires

- Partage  des informations oralement au sein de l’équipe sur les éléments à  risque/étapes critiques de l’intervention (time out) sur le plan :

. chirurgical

. anesthésique

- Selon  les protocoles en vigueur :

. administration  de l’antibioprophylaxie

. préparation  du champ opératoire

'''Après intervention chirurgicale'''

'''Pause avant sortie de salle d’opération'''

- Confirmation  orale par le personnel auprès de l’équipe :

. de  l’intervention enregistrée

. du  compte final correct des compresses, aiguilles, instruments, etc.

. de  l’étiquetage des prélèvements, pièces opératoires, etc.

. si  des événements indésirables ou porteurs de risques médicaux sont survenus :  signalement/déclaration

- Les  prescriptions pour les suites opératoires immédiates sont faites de manière  conjointe entre les équipes chirurgicale et anesthésique


N.B :  IADE : infirmier anesthésiste diplômé d’État ; IBODE infirmier de bloc  opératoire diplômé d’État ; IDE : infirmier diplômé d’État
|}
'''Les barrières de récupération'''

L’erreur a été commise mais récupérée avant d’avoir des conséquences. Par exemple, le patient est allergique à la pénicilline qui est l’antibioprophylaxie prescrite avant l’intervention chirurgicale, mais l’infirmière en prend connaissance dans le dossier médical et alerte le prescripteur qui modifie la prescription.

'''Les barrières d’atténuation'''

L’erreur a été commise, n’a pas été récupérée. Il s’agit là de limiter ses conséquences pour le patient. Par exemple, un patient fait un arrêt cardiaque à la suite d’une erreur de voie d’administration commise par une infirmière. Elle prévient le médecin senior dès qu’elle constate son erreur. L’équipe médicale est sur place et commence le massage cardiaque pendant que l’équipe SOS arrêt cardiaque appelée immédiatement arrive. Le choc électrique rétablit la fonction cardiaque, le patient est transféré en réanimation pour stabilisation et surveillance. Il en sort le lendemain.

'''Analyse des causes racines'''

Les causes racines d’une erreur médicale sont à rechercher dans l’ensemble du contexte qui entoure l’événement indésirable.

Les méthodes d’analyse sont structurées pour éviter les oublis. Les plus employées sont la méthode ALARM et la méthode Orion®. Les méthodes d’analyses des causes racines comprennent généralement les six étapes suivantes pour une bonne application :

1/ la collecte des données : entretiens semi-directifs de toutes les personnes présentes au moment de l’événement, dossiers, toute autre pièce permettant de comprendre le déroulement des faits ;

2/ la reconstitution de la chronologie de l’événement ;

3/ l’identification des écarts par rapport aux pratiques recommandées, sans jugement par rapport à un référentiel existant ;

4/ l’identification des facteurs contributifs : immédiats et profonds ou causes racines (encadrés 5.5)
{| class=""wikitable""
|'''Encadré  : Typologie des  facteurs favorisant ou causes racines (selon la méthode ALARM)''' 
|-
|'''''Les  facteurs peuvent être liés :'''''

-  au patient : état de santé, gravité des maladies associées, difficultés de  communication (langue, conflit avec les soignants, etc.), vulnérabilité de  certaines populations de patients (personnes âgées, patients atteints de  maladies chroniques, enfants, adolescents, personnes atteintes d’un handicap,  démunies, etc.) ;

-  aux tâches à accomplir ;

-  à l’équipe : communication au sein de l’équipe et avec le patient dans la  relation thérapeutique, traçabilité de l’information dans le dossier du  patient, encadrement des juniors en cours d’apprentissage ;

-  à l’environnement de travail : physique (locaux, matériels, fournitures,  etc.) ou organisationnel (disponibilité de ressources humaines qualifiées,  organisation du travail, horaires, etc.) ;

-  à l’organisation et au management : politiques de remplacement du personnel  absent (pas de remplacement, intérim, déplacement), de formation continue, de  gestion des équipements ;

-  au contexte institutionnel : politiques de santé publique nationale et  régionale, systèmes de signalement des événements indésirables
|}
5/ la proposition d’actions à mettre en œuvre (accompagné par un plan d’actions) ;

6/ la rédaction du rapport d’analyse.",False
8,OIC-006-03-A,Quel est le sens du parcours de soins ?,Le parcours de soins est la coordination et l'organisation des compétences professionnelles tout au long de la prise en charge d'un patient.,organiser et coordonner le juste enchaînement et au bon moment des compétences professionnelles,Réfère à la coordination et à l'organisation du parcours.,définir les critères de prise en charge,Ne correspond pas au sens demandé.,sécuriser le parcours du patient,Ne correspond pas au sens demandé.,dépôts minéraux dans les reins,Ne correspond pas au sens demandé.,a,"{{objectif de connaissance
|Identifiant=OIC-006-03-A
|Item_parent=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Item_parent_short=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Rang=A
|Intitulé=Connaître la définition du parcours de soins
|Description=None
|Rubrique=Définition
|Contributeurs=Virginie Migeot
|Ordre=3}}

[[Fichier:Item 6 Fig1.png|vignette]]
[[Fichier:Item 6 Fig1.png|centré|vignette]]
Le '''parcours de soins''' consiste à organiser et à coordonner le juste enchaînement et au bon moment des compétences professionnelles tout au long de la prise en charge d’un patient",False
9,OIC-006-06-A,Quelle est la fonction de la liste de vérification ou check-lists sécurité du patient au bloc opératoire ?,Cette fonction permet de sécuriser la réalisation d'une intervention chirurgicale en vérifiant les informations clés au moment de l'opération.,sécuriser la réalisation d'une intervention chirurgicale,La liste de vérification garantit la sécurité en garantissant les informations clés.,assurer la conformité aux normes hospitalières,Cela est une fonction supplémentaire mais non essentielle.,permettre le partage des informations entre les professionnels,Cela est une fonction clé mais non essentielle.,favoriser le partage des informations entre les patients,Cela est une fonction non essentielle.,a,"{{objectif de connaissance
|Identifiant=OIC-006-06-A
|Item_parent=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Item_parent_short=L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient
|Rang=A
|Intitulé=Listes de vérification ou check-lists : connaître les principes et les objectifs des listes de vérification
|Description=None
|Rubrique=Définition
|Contributeurs=Virginie Migeot
|Ordre=6}}

La '''''check-list'' sécurité du patient au bloc opératoire''' contribuer à '''sécuriser''' la réalisation d’une intervention chirurgicale, en faisant un point entre professionnels, aux '''moments clés''' de cette intervention. Elle favorise comme dans le domaine de l’aviation, le '''partage des informations''' par la '''vérification croisée''', notamment de l'identité du patient, du type d'intervention et du site opératoire, du matériel et des risques envisagés. D’autres ''check-lists'' dans le monde médical existent pour les '''activités dites « interventionnelles''' » (endoscopie, radiologie interventionnelle, cathéters veineux centraux, chimiothérapie...).                              

Figure 3 : Check list sécurité du patient au bloc opératoire - version 2018 Source HAS
[[Fichier:Item6 Fig3.png|centré|vignette|812x812px]]
<br />",False
