Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
0,OIC-005-01-A,"Selon le texte, quelle est la principale difficulté pour un patient souhaitant engager la responsabilité d'un professionnel de santé?",Prouver l'existence d'un dommage.,Prouver le lien de causalité entre la faute et le dommage.,Prouver l'existence d'un fait générateur de responsabilité.,Prouver que le dommage est actuel et certain.,b,4
1,OIC-005-01-A-,"Selon le texte, quelle est la fonction principale de la responsabilité pénale?",Indemniser les victimes.,Sanctionner les comportements répréhensibles.,Réglementer l'exercice médical.,Protéger les établissements de santé.,b,2
2,OIC-005-02-A,Devant quelles juridictions les professionnels libéraux et établissements privés engagent-ils leur responsabilité civile?,Juridictions administratives,Juridictions de l'ordre judiciaire,Conseil d'État,Tribunaux paritaires,b,3
3,OIC-005-02-A-,"Selon le texte, quelle entité est responsable des actes médicaux commis par un médecin hospitalier?",Le patient,L'établissement public de santé,Le médecin lui-même,L'ordre des médecins,b,4
4,OIC-005-03-A,Quelle est la nature principale de la responsabilité disciplinaire pour un médecin?,Une responsabilité devant les tribunaux pénaux.,Une responsabilité devant les instances de l'Ordre des médecins.,Une responsabilité devant les tribunaux civils.,Une responsabilité devant les instances administratives.,b,4
5,OIC-005-03-A-,Qu'est-ce que la responsabilité sans faute en médecine?,Une responsabilité engagée uniquement en cas d'erreur médicale prouvée.,"Une responsabilité engagée malgré l'absence de faute, d'erreur ou de manquement aux règles professionnelles.",Une responsabilité administrative uniquement.,Une responsabilité disciplinaire uniquement.,b,4
6,OIC-005-04-A,"Selon le texte, quelle est la condition essentielle pour qu'un patient puisse rechercher la responsabilité d'un médecin ou d'un établissement de santé?",Que le patient ait subi un dommage.,Que le patient ait été informé de son état de santé.,Que le patient prouve l'existence d'une faute.,Que le médecin ait violé le secret professionnel.,c,4
7,OIC-005-04-A-,"Selon le texte, qu'est-ce qu'une 'organisation apprenante'?",Une organisation qui ne fait jamais d'erreurs.,Une organisation qui ignore les erreurs.,"Une organisation qui met en place des dispositifs pour identifier, analyser et prévenir les erreurs.",Une organisation qui punit sévèrement les erreurs.,c,4
8,OIC-005-05-A,Quelle est la définition d'un accident médical selon le texte?,Un événement indésirable résultant toujours d'une erreur médicale.,"Un événement indésirable survenu lors d'un acte de soin, entraînant un dommage anormal.","Une affection provoquée par un médicament, même utilisé correctement.",Un événement indésirable survenu uniquement dans les établissements de santé publics.,b,4
9,OIC-005-05-A-,Quelle est la définition principale d'une infection nosocomiale?,Une infection présente à l'admission du patient.,Une infection contractée après le congé de l'hôpital.,Une infection contractée pendant un séjour dans un établissement de santé.,Une infection toujours causée par un aléa thérapeutique.,c,4
10,OIC-005-06-A,Quelle est la principale caractéristique qui distingue l'aléa thérapeutique d'une erreur médicale?,L'aléa thérapeutique implique toujours une faute du professionnel de santé.,"L'aléa thérapeutique est un événement indésirable résultant d'une action de soins conforme, sans erreur.",L'aléa thérapeutique est toujours évitable avec une meilleure formation.,L'aléa thérapeutique est synonyme d'affection iatrogène.,b,4
11,OIC-005-06-A-,"Selon le texte, quels sont les principaux domaines de facteurs pouvant mener à un contentieux suite à un accident médical?",Uniquement les facteurs liés au patient et à l'équipe soignante.,Uniquement les facteurs liés à l'environnement de travail et à l'organisation.,"Les facteurs liés au patient, aux tâches, à l'équipe, à l'environnement, à l'organisation et au contexte institutionnel.",Uniquement les facteurs liés aux tâches à accomplir et au contexte institutionnel.,c,4
12,OIC-005-07-A,"Selon le texte, quelle est la première étape pour prévenir les erreurs humaines?",Mettre en place des dispositifs d'analyse des erreurs.,Reconnaître que l'on peut faire des erreurs.,Améliorer la communication au sein de l'équipe.,Définir clairement le rôle de chacun dans l'équipe.,b,4
13,OIC-005-07-A-,"Selon le texte, quel est le principal avantage du modèle de Reason (fromage suisse) pour l'analyse des erreurs médicales?",Il permet une analyse rapide des événements.,Il se concentre uniquement sur les erreurs actives.,Il met en évidence les causes latentes et organisationnelles des erreurs.,Il est le modèle le plus simple à comprendre.,c,4
14,OIC-005-08-A,Quel est le fondement principal d'une démarche de culture positive de l'erreur dans le domaine de la santé?,La culpabilisation du professionnel de santé responsable.,L'identification du dernier maillon de la chaîne de soins comme responsable.,La non-culpabilisation de la personne ayant commis l'erreur.,L'analyse approfondie des causes individuelles de l'erreur.,c,4
15,OIC-005-08-A-,Quelle est la définition d'une équipe pluriprofessionnelle?,Une équipe composée uniquement de médecins.,Une équipe composée de professionnels ayant des qualifications différentes et complémentaires.,Une équipe composée de professionnels du même domaine.,Une équipe composée de professionnels travaillant de manière indépendante.,b,4
16,OIC-005-09-A,Quels sont les principaux contextes où l'on retrouve des méthodes de travail en équipe pluriprofessionnelle?,Uniquement en milieu hospitalier.,Uniquement en ambulatoire.,En ambulatoire et en milieu hospitalier.,Principalement dans les écoles de médecine.,c,4
17,OIC-005-09-A-,"Qu'est-ce que le parcours de soins, selon la définition fournie?",Une liste de médicaments prescrits.,L'organisation et la coordination des compétences professionnelles pour un patient.,Un ensemble de diagnostics médicaux.,Un plan de financement des soins de santé.,b,4
18,OIC-005-10-A,Qu'est-ce qu'un protocole pluriprofessionnel selon le texte?,Un document individuel pour un seul professionnel.,Un consensus sur la prise en charge d'une maladie par plusieurs professionnels.,Une obligation de développement professionnel continu (DPC).,Uniquement une aide à la prescription.,b,4
19,OIC-005-10-A-,Quel est le principal objectif d'une Réunion de Concertation Pluridisciplinaire (RCP)?,Valider l'obligation de DPC pour les médecins.,"Définir la stratégie diagnostique, thérapeutique et de suivi d'un patient.",Organiser des réunions collégiales avec au moins deux médecins.,Se concentrer uniquement sur la prise en charge des patients atteints de cancer.,b,4
20,OIC-005-11-A,Quel est l'objectif principal d'une check-list de sécurité au bloc opératoire?,Réduire le temps de l'intervention.,Sécuriser la réalisation de l'intervention chirurgicale.,Remplacer la communication entre les professionnels.,Standardiser les compétences de l'équipe chirurgicale.,b,4
21,OIC-005-11-A-,Quel est le principal objectif d'une Réunion de Morbi-Mortalité (RMM)?,Identifier les erreurs individuelles pour sanctionner.,Analyser collectivement les événements indésirables pour améliorer la sécurité.,Remplacer les audits cliniques traditionnels.,Satisfaire les exigences légales en matière de documentation.,b,4
22,OIC-005-12-B,Quel est le rôle principal du Samu-Centre 15?,"Assurer la prise en charge médicale sur place, en dehors de l'hôpital.",Accueillir les patients non programmés dans un établissement de santé.,Assurer une écoute médicale permanente et déclencher la réponse adaptée aux appels d'urgence.,Réaliser des soins d'urgence avant et pendant le transport du patient vers l'hôpital.,c,4
23,OIC-005-12-B-,"Selon le texte, quelle est la définition d'une discrimination?","Un traitement différent basé sur des critères prohibés, entraînant un préjudice.","Un traitement égalitaire de tous les individus, sans tenir compte de leurs différences.",Une sélection de populations basée sur des critères objectifs et justifiés.,Une différence de traitement basée sur la compétence ou l'expérience d'un professionnel.,a,4
