,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-01-A,Quelle est la conséquence d'un défaut d'information sur la part de l'indemnisation accordée à un patient victime d'un acte médical?,"Cette question évalue la compréhension de la distinction entre la perte de chance et le préjudice d'impréparation. Les deux concepts sont souvent confondus, mais ils ont des conséquences différentes sur l'indemnisation.","La perte de chance est nulle, car l'acte médical était indispensable.","Cette option est incorrecte car elle ne prend pas en compte le fait que le défaut d'information peut ouvrir droit à une indemnisation au titre du préjudice d'impréparation, même si l'acte médical était indispensable.","La perte de chance est nulle, car le patient n'aurait pas renoncé à l'acte médical s'il avait été informé du risque.","Cette option est incorrecte car elle ne prend pas en compte le fait que le juge peut admettre qu'un défaut d'information ouvre droit à une indemnisation au titre du préjudice d'impréparation, distinct de la perte de chance.",La perte de chance est proportionnelle à la probabilité qu'il aurait eu de renoncer à l'acte s'il avait été informé du risque.,Cette option est correcte car elle reflète le raisonnement du juge en cas de défaut d'information. Le juge accorde une indemnisation à proportion de la probabilité qu'il aurait eu de renoncer à l'acte s'il avait été informé du risque.,"L'indemnisation est accordée au titre du préjudice d'impréparation, distinct de la perte de chance.","Cette option est correcte car elle reflète le raisonnement du juge en cas de défaut d'information. Le juge peut admettre qu'un défaut d'information ouvre droit à une indemnisation au titre du préjudice d'impréparation, distinct de la perte de chance.",c
1,OIC-005-02-A,Quelle est la définition de la responsabilité pénale en matière médicale?,La question évalue la compréhension de la définition de la responsabilité pénale en matière médicale.,La responsabilité pénale est une fonction répressive visant à sanctionner les médecins pour des actes médicaux non conformes aux données acquises de la science.,"Cette option est incorrecte car elle ne reflète pas la définition de la responsabilité pénale en matière médicale. La responsabilité pénale est une fonction répressive visant à sanctionner des individus dont le comportement est réprouvé dans notre société, et non spécifiquement les médecins pour des actes médicaux.","La responsabilité pénale est une fonction répressive ayant pour vocation de sanctionner des individus dont le comportement est réprouvé dans notre société, concernant à l’identique tous les médecins, quel que soit le cadre de leur exercice.","Cette option est correcte car elle reflète la définition de la responsabilité pénale en matière médicale. La responsabilité pénale est une fonction répressive visant à sanctionner des individus dont le comportement est réprouvé dans notre société, concernant à l’identique tous les médecins, quel que soit le cadre de leur exercice.",La responsabilité pénale est une fonction répressive visant à sanctionner les établissements de santé pour des actes médicaux non conformes aux données acquises de la science.,"Cette option est incorrecte car elle ne reflète pas la définition de la responsabilité pénale en matière médicale. La responsabilité pénale est une fonction répressive visant à sanctionner des individus dont le comportement est réprouvé dans notre société, concernant à l’identique tous les médecins, quel que soit le cadre de leur exercice, et non spécifiquement les établissements de santé.","La responsabilité pénale est une fonction répressive visant à sanctionner les médecins pour des infractions spécifiques liées à l’exercice de soin, telles que la rédaction de faux certificats, la violation du secret professionnel ou la non-assistance à personne en péril.","Cette option est incorrecte car elle ne reflète pas la définition de la responsabilité pénale en matière médicale. La responsabilité pénale est une fonction répressive visant à sanctionner des individus dont le comportement est réprouvé dans notre société, concernant à l’identique tous les médecins, quel que soit le cadre de leur exercice, et non spécifiquement pour des infractions liées à l’exercice de soin.",b
2,OIC-005-03-A,Quel est le régime de responsabilité civile applicable aux médecins salariés d'établissements de santé privés?,Cette question évalue la compréhension des régimes de responsabilité civile en médecine. Elle vise à distinguer entre la responsabilité civile personnelle du médecin et celle du commettant (l'employeur).,Responsabilité civile personnelle du médecin,Cette option est incorrecte car elle ne tient pas compte du régime de responsabilité du commettant (l'employeur) applicable aux médecins salariés d'établissements de santé privés.,Responsabilité civile du commettant (l'employeur),"Cette option est correcte car elle reflète le régime de responsabilité applicable aux médecins salariés d'établissements de santé privés, où l'employeur engage sa responsabilité civile pour les dommages causés par le médecin dans l'exercice de sa mission.",Responsabilité civile professionnelle,Cette option est incorrecte car elle ne correspond pas au régime de responsabilité applicable aux médecins salariés d'établissements de santé privés. La responsabilité civile professionnelle est plutôt applicable aux praticiens hospitaliers dans le cadre de leur activité libérale au sein d'un établissement public de santé.,Responsabilité civile administrative,Cette option est incorrecte car elle ne correspond pas au régime de responsabilité applicable aux médecins salariés d'établissements de santé privés. La responsabilité civile administrative est plutôt applicable aux établissements de santé publics.,b
3,OIC-005-05-A,La responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins. Quelle est la définition de cette responsabilité?,"Cette question évalue la compréhension de la définition de la responsabilité disciplinaire, qui est encourue devant les instances de l’Ordre des médecins.",C'est une responsabilité encourue devant les tribunaux civils.,"Faux. La responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins, et non devant les tribunaux civils.",C'est une responsabilité encourue devant les tribunaux pénaux.,"Faux. La responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins, et non devant les tribunaux pénaux.",C'est une responsabilité encourue devant les instances de l’Ordre des médecins.,"Vrai. La responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins, qui sont indépendantes des autres actions qui peuvent être engagées contre un médecin (civiles ou pénales).",C'est une responsabilité encourue devant les instances de l'État.,"Faux. La responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins, et non devant les instances de l'État.",c
4,OIC-005-06-A,Quelle est la définition de la responsabilité sans faute?,"Cette question évalue la compréhension de la définition de la responsabilité sans faute, un concept clé en droit médical.",La responsabilité sans faute est engagée lorsque le dommage est survenu sans manquement aux règles professionnelles ou scientifiques.,"Cette option est correcte. La responsabilité sans faute est définie comme la responsabilité qui peut être engagée même en l'absence de faute, comme dans le cas d'une infection nosocomiale.",La responsabilité sans faute est engagée lorsque le dommage est survenu en raison d'une erreur médicale.,Cette option est incorrecte. La responsabilité sans faute ne dépend pas de l'existence d'une erreur médicale.,La responsabilité sans faute est engagée lorsque le dommage est survenu en raison d'un manquement aux règles professionnelles ou scientifiques.,Cette option est incorrecte. La responsabilité sans faute est engagée même en l'absence de manquement.,La responsabilité sans faute est engagée lorsque le dommage est survenu en raison d'un aléa thérapeutique.,Cette option est incorrecte. L'aléa thérapeutique est un concept différent de la responsabilité sans faute.,a
5,OIC-005-07-A,Quelle est la définition de la faute en responsabilité médicale?,Cette question évalue la compréhension de la définition de la faute en responsabilité médicale.,Une violation des connaissances médicales avérées ou des données acquises de la science.,Cette option est correcte car la faute technique est définie comme une violation des connaissances médicales avérées ou des données acquises de la science.,Une atteinte au droit à la protection de la santé.,Cette option est incorrecte car la faute en responsabilité médicale ne se limite pas à une atteinte au droit à la protection de la santé.,Une violation du secret professionnel.,"Cette option est incorrecte car la violation du secret professionnel est une forme de faute d’humanisme, et non une faute en soi.",Une atteinte au droit de ne pas subir de discrimination dans l’accès à la prévention ou aux soins.,Cette option est incorrecte car la faute en responsabilité médicale ne se limite pas à une atteinte au droit de ne pas subir de discrimination dans l’accès à la prévention ou aux soins.,a
6,OIC-005-08-A,Quelle est la définition de l'erreur par omission?,Cette question évalue la compréhension des différents types d'erreurs médicales. Les options doivent être plausibles mais incorrectes.,Une action qui a été faite mais qui n'était pas utile.,Cette option est incorrecte car elle décrit l'erreur par commission.,Une action nécessaire qui n'a pas été faite.,Cette option est correcte car elle décrit l'erreur par omission.,Une action mal réalisée.,Cette option est incorrecte car elle décrit l'erreur d'exécution.,Un non-respect d'une recommandation ou d'une règle professionnelle.,Cette option est incorrecte car elle décrit la violation ou la non-conformité.,b
7,OIC-005-09-A,Quelle est la définition de l'accident médical?,"Cette question évalue la compréhension de la définition de l'accident médical, un concept clé en responsabilité médicale.","Un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l’évolution prévisible de l’état de santé.",Cette option est correcte. Elle reprend la définition de l’accident médical telle que donnée dans le contenu éducatif.,Une erreur d’un professionnel de santé entraînant un dommage anormal au regard de l’évolution prévisible de l’état de santé.,"Cette option est incorrecte. Elle réduit la définition de l’accident médical à une erreur d’un professionnel de santé, alors que l’accident médical peut également survenir sans faute ou erreur.","Un effet néfaste d’un traitement ou d’un acte médical, même si l’indication était correcte et la posologie bonne.","Cette option est incorrecte. Elle décrit une affection iatrogène, qui est une conséquence de la prise d’un médicament, même si l’indication était correcte et la posologie bonne. L’affection iatrogène n’est pas un accident médical.","Un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l’évolution prévisible de l’état de santé, mais uniquement dans un établissement de santé.","Cette option est incorrecte. Elle restreint la définition de l’accident médical à un lieu de soins spécifique, alors que l’accident médical peut survenir dans n’importe quel lieu de soins.",a
8,OIC-005-10-A,Quelle est la définition d'une infection nosocomiale?,"Cette question évalue la compréhension de la définition d'une infection nosocomiale, qui est un élément clé dans la gestion des soins et la prévention des infections.",Une infection contractée en dehors d'un établissement de santé.,"Cette option est incorrecte car elle ne correspond pas à la définition d'une infection nosocomiale, qui est contractée au cours d'un séjour dans un établissement de santé.","Une infection contractée au cours d'un séjour dans un établissement de santé, absente au moment de l'admission.",Cette option est correcte car elle correspond à la définition d'une infection nosocomiale. Elle est absente au moment de l'admission et apparaît après 48 heures d'hospitalisation.,"Une infection contractée au cours d'un séjour dans un établissement de santé, présente au moment de l'admission.","Cette option est incorrecte car elle ne correspond pas à la définition d'une infection nosocomiale. Si l'état infectieux du patient à l'admission est inconnu, l'infection est généralement considérée comme nosocomiale si elle apparaît après 48 heures d'hospitalisation.","Une infection contractée en dehors d'un établissement de santé, mais qui a été traitée dans un établissement de santé.","Cette option est incorrecte car elle ne correspond pas à la définition d'une infection nosocomiale. Une infection nosocomiale est contractée au cours d'un séjour dans un établissement de santé, et non pas en dehors.",b
9,OIC-005-11-A,Quelle est la définition de l'aléa thérapeutique?,"Cette question évalue la compréhension de la définition de l'aléa thérapeutique, un concept clé en responsabilité médicale.",Un événement indésirable résultant d'une action de soins conforme et ne comportant pas d'erreur.,C'est la définition correcte. L'aléa thérapeutique est un événement inévitable lié à la réalisation d'un risque inhérent à l'action de soins.,Un accident médical causé par une faute des professionnels de santé.,"Cette option est incorrecte. L'aléa thérapeutique n'est pas causé par une faute, mais par un risque inhérent à l'acte médical.",Un effet secondaire d'un médicament correctement prescrit et administré.,"Cette option est incorrecte. Bien que l'effet secondaire soit un exemple d'aléa thérapeutique, il ne définit pas l'aléa thérapeutique lui-même.",Un événement médical imprévu causant un dommage ayant un lien de causalité certain avec l'acte médical.,"Cette option est incorrecte. L'aléa thérapeutique est défini comme un accident médical, une affection iatrogène ou une infection nosocomiale survenue sans responsabilité des professionnels de santé ou de l'établissement de santé.",a
