,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-03-A,Quelle est la définition de la responsabilité civile?,Cette question évalue la capacité à définir la responsabilité civile.,La responsabilité civile est une obligation de réparer le préjudice causé à autrui.,Cette option est correcte car elle définit correctement la responsabilité civile.,La responsabilité civile est une obligation de payer une amende.,Cette option est incorrecte car elle définit incorrectement la responsabilité civile.,La responsabilité civile est une obligation de réparer le préjudice causé à soi-même.,Cette option est incorrecte car elle définit incorrectement la responsabilité civile.,La responsabilité civile est une obligation de réparer le préjudice causé à un tiers.,Cette option est incorrecte car elle définit incorrectement la responsabilité civile.,a
1,OIC-005-04-A,Connaître la définition de la responsabilité administrative,Cette question évalue la capacité à définir la responsabilité administrative en matière médicale.,La responsabilité administrative est engagée devant les juridictions civiles.,Cette option est incorrecte car la responsabilité administrative est engagée devant les juridictions administratives.,La responsabilité administrative est engagée devant les juridictions pénales.,Cette option est incorrecte car la responsabilité administrative est engagée devant les juridictions administratives.,La responsabilité administrative est engagée devant les juridictions civiles.,Cette option est incorrecte car la responsabilité administrative est engagée devant les juridictions administratives.,La responsabilité administrative est engagée devant les juridictions administratives.,Cette option est correcte car la responsabilité administrative est engagée devant les juridictions administratives.,d
2,OIC-005-05-A,Quelle est la définition de la responsabilité disciplinaire?,La question évalue la capacité à définir la responsabilité disciplinaire.,Connaître la définition de la responsabilité disciplinaire,Cette option est correcte car elle correspond à l'objectif de connaissance.,Connaître la définition de la responsabilité pénale,"Cette option est incorrecte car elle concerne la responsabilité pénale, qui est un autre type de responsabilité.",Connaître la définition de la responsabilité civile,"Cette option est incorrecte car elle concerne la responsabilité civile, qui est un autre type de responsabilité.",Connaître la définition de la responsabilité administrative,"Cette option est incorrecte car elle concerne la responsabilité administrative, qui est un autre type de responsabilité.",a
3,OIC-005-06-A,Quelle est la définition de la responsabilité sans faute?,"Cette question évalue la compréhension de la définition de la responsabilité sans faute, un concept important en droit médical.",La responsabilité sans faute est engagée uniquement en cas de faute prouvée.,Cette option est incorrecte car elle ne correspond pas à la définition donnée.,La responsabilité sans faute est engagée en cas de dommage lié aux soins survenu sans manquement aux règles professionnelles ou scientifiques.,Cette option est correcte car elle correspond à la définition donnée.,La responsabilité sans faute est une notion obsolète en droit médical.,Cette option est incorrecte car elle ne correspond pas à la définition donnée.,La responsabilité sans faute est uniquement liée à la survenue d'une infection nosocomiale.,Cette option est incorrecte car elle ne correspond pas à la définition donnée.,b
4,OIC-005-07-A,Quelle est la définition de la faute en responsabilité médicale?,"Cette question évalue la compréhension de la définition de la faute en responsabilité médicale, qui est un élément clé pour déterminer la responsabilité d'un professionnel de santé.",Une violation des connaissances médicales avérées ou des données acquises de la science.,"Cette option est correcte car elle correspond à la définition de la faute technique, qui est une violation des connaissances médicales avérées ou des données acquises de la science.",Un défaut d'un produit de santé.,Cette option est incorrecte car elle ne correspond pas à la définition de la faute en responsabilité médicale.,Une violation d'un devoir d'humanisme.,Cette option est incorrecte car elle ne correspond pas à la définition de la faute en responsabilité médicale.,Un défaut d'information ne permettant pas un consentement libre et éclairé.,Cette option est incorrecte car elle ne correspond pas à la définition de la faute en responsabilité médicale.,a
5,OIC-005-09-A,Quelle est la définition de l'accident médical?,Cette question évalue la capacité à définir l'accident médical.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé.",Correct. Cette définition correspond à la définition officielle de l'accident médical.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé, mais uniquement dans un établissement de santé public ou privé.",Incorrect. La définition officielle ne limite pas l'accident médical à un lieu de soins spécifique.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé, mais uniquement dans un cabinet d'un professionnel de santé exerçant en libéral.",Incorrect. La définition officielle ne limite pas l'accident médical à un lieu de soins spécifique.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé, mais uniquement dans un laboratoire d'analyses médicales, de radiologie, une pharmacie, etc.",Incorrect. La définition officielle ne limite pas l'accident médical à un lieu de soins spécifique.,a
6,OIC-005-10-A,Quelle est la définition d'une infection nosocomiale?,Cette question évalue la capacité à définir une infection nosocomiale.,Une infection contractée au cours d'un séjour dans un établissement de santé.,Correct. Cette option définit correctement une infection nosocomiale.,"Une infection contractée au cours d'un séjour dans un établissement de santé, mais qui était en incubation lors de l'entrée dans l'établissement.","Incorrect. Cette option est une tentative de piège, mais elle est incorrecte car elle ajoute une condition supplémentaire qui n'est pas nécessaire pour définir une infection nosocomiale.","Une infection contractée au cours d'un séjour dans un établissement de santé, mais qui était déjà présente au moment de l'admission du patient.","Incorrect. Cette option est une tentative de piège, mais elle est incorrecte car elle décrit une situation qui n'est pas une infection nosocomiale.","Une infection contractée au cours d'un séjour dans un établissement de santé, mais qui était déjà présente au moment de l'admission du patient, et qui apparaît avant 48 heures d'hospitalisation.","Incorrect. Cette option est une tentative de piège, mais elle est incorrecte car elle décrit une situation qui n'est pas une infection nosocomiale.",a
7,OIC-005-11-A,Quelle est la définition de l'aléa thérapeutique?,"Cette question évalue la capacité à définir l'aléa thérapeutique, un concept clé en responsabilité médicale.",Un événement indésirable dont la cause est une erreur de soins.,Cette option est incorrecte car elle confond l'aléa thérapeutique avec une erreur de soins.,Un événement imprévu causant un dommage ayant un lien de causalité certain avec l'acte médical.,"Cette option est partiellement correcte car elle décrit un accident médical, mais ne capture pas l'inévitabilité de l'aléa thérapeutique.","Un risque accidentel inhérent à l'acte de soin, de diagnostic ou de prévention qui ne pouvait être maîtrisé.",Cette option est correcte car elle définit précisément l'aléa thérapeutique en termes de risque inhérent et d'inévitabilité.,Un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d'erreur.,"Cette option est correcte car elle décrit l'aléa thérapeutique, mais est trop vague et ne capture pas l'inévitabilité.",c
8,OIC-005-12-B,Quels sont les principaux facteurs conduisant à l'ouverture d'un contentieux à la suite d'un accident médical?,Cette question évalue la capacité à identifier les facteurs qui peuvent conduire à l'ouverture d'un contentieux à la suite d'un accident médical.,Les facteurs liés au patient uniquement,"Cette option est incorrecte car les facteurs peuvent être liés au patient, aux tâches à accomplir, à l'équipe, à l'environnement de travail, à l'organisation et au management, et au contexte institutionnel.",Les facteurs liés uniquement aux tâches à accomplir,"Cette option est incorrecte car les facteurs peuvent être liés à plusieurs aspects, y compris les tâches à accomplir, l'équipe, l'environnement de travail, etc.",Les facteurs liés uniquement à l'équipe,"Cette option est incorrecte car les facteurs peuvent être liés à plusieurs aspects, y compris l'équipe, l'environnement de travail, l'organisation et le management, et au contexte institutionnel.",Les facteurs liés uniquement à l'environnement de travail,"Cette option est incorrecte car les facteurs peuvent être liés à plusieurs aspects, y compris l'environnement de travail, l'organisation et le management, et au contexte institutionnel.",a
9,OIC-005-13-A,Quelle est la définition de la responsabilité sans faute?,"Cette question évalue la compréhension de la notion de responsabilité sans faute, un concept important en droit médical.",La responsabilité sans faute est une responsabilité qui ne nécessite pas de faute pour être engagée.,"Cette option est correcte. La responsabilité sans faute est une responsabilité qui peut être engagée même en l'absence de faute, par exemple en cas d'aléa thérapeutique.",La responsabilité sans faute est une responsabilité qui nécessite une faute pour être engagée.,Cette option est incorrecte. La responsabilité sans faute est une responsabilité qui peut être engagée même en l'absence de faute.,La responsabilité sans faute est une responsabilité qui n'existe pas en droit médical.,Cette option est incorrecte. La responsabilité sans faute est un concept reconnu en droit médical.,La responsabilité sans faute est une responsabilité qui est toujours engagée en cas d'aléa thérapeutique.,"Cette option est incorrecte. La responsabilité sans faute peut être engagée en cas d'aléa thérapeutique, mais ce n'est pas toujours le cas.",a
