Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
0,OIC-005-01-A,Quel type de responsabilité peut être recherchée à l'égard d'un professionnel de santé ou d'un établissement de santé?,La sanction du professionnel ou de l'établissement,L'indemnisation de l'usager victime des conséquences d'un événement indésirable associé aux soins,La sanction de l'usager victime des conséquences d'un événement indésirable associé aux soins,L'indemnisation de l'établissement,b,4
1,OIC-005-02-A,Quels professionnels engagent leur responsabilité civile personnelle devant les juridictions de l’ordre judiciaire?,"Les médecins salariés d’établissements, services ou organismes privés",Les professionnels exerçant à titre libéral et les établissements de santé privés,Les praticiens hospitaliers engagent leur responsabilité civile professionnelle à raison des dommages survenus dans le cadre de leur secteur d’activité libérale au sein d’un établissement public de santé,Aucun des professionnels ci-dessus,b,4
2,OIC-005-03-A-,Qu'est-ce que la responsabilité sans faute dans le contexte des soins médicaux?,Une responsabilité engagée lorsqu'il y a une erreur ou manquement aux règles professionnelles ou scientifiques,Une responsabilité engagée lorsqu'il y a un dommage lié au soins mais survenu sans manquement aux règles professionnelles ou scientifiques,Une responsabilité engagée lorsqu'il y a un dommage lié au soins et que le législateur a reconnu des systèmes d’indemnisation,Une responsabilité engagée lorsqu'il y a une infection nosocomiale,b,4
3,OIC-005-04-A-,Qu'est-ce qu'une erreur par omission?,Une action mal réalisée,Une action qui a été faite mais qui n’était pas utile,Une violation de règles professionnelles,Une action nécessaire qui n'a pas été faite,d,4
4,OIC-005-05-A,Qu'est-ce qu'un accident médical?,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé.","Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui ne provoque pas de dommage anormal au regard de l'évolution prévisible de l'état de santé.","Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui est causé par une erreur d'un professionnel de santé.","Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui est causé par une erreur d'un malade.",a,4
5,OIC-005-05-A-,Qu'est-ce qu'une infection nosocomiale?,Une infection contractée avant l'admission dans un établissement de santé,Une infection contractée après 48 heures d'hospitalisation,Une infection contractée au cours d'un séjour dans un établissement de santé,Une infection contractée avant l'incubation dans un établissement de santé,c,4
6,OIC-005-06-A,Qu'est-ce que l'aléa thérapeutique selon la définition donnée?,Un événement indésirable dont la cause est une action de soins non conforme et comportant une erreur,Un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d'erreur,Un événement indésirable qui peut être maîtrisé par les professionnels de santé,Un événement indésirable qui n'a pas de lien avec les soins médicaux,b,4
7,OIC-005-06-A-,Quels facteurs peuvent conduire à l'ouverture d'un contentieux à la suite d'un accident médical?,Seulement les facteurs liés à l'environnement de travail,Seulement les facteurs liés à l'organisation et au management,"Les facteurs liés au patient, aux tâches à accomplir, à l'équipe, à l'environnement de travail, à l'organisation et au management",Seulement les facteurs liés à l'organisation et au management et aux tâches à accomplir,c,4
8,OIC-005-07-A-,Quel est le modèle le plus souvent présenté pour analyser les causes d'erreur dans le domaine des soins?,Modèle de Reason,Modèle de la Tour Eiffel,Modèle de la Grande Muraille de Chine,Modèle de la Pyramide de Gizeh,a,4
9,OIC-005-08-A,Quel est le but de la démarche de culture positive de l'erreur dans le contexte de la gestion des risques associés aux soins?,Punir la personne responsable de l'erreur,Cacher les erreurs pour éviter des sanctions,Signaler les erreurs et les analyser pour améliorer la sécurité des patients,Ignorer les erreurs pour ne pas les répéter,c,4
