,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-02-A,"Selon le Code pénal, quel type d'infraction un médecin peut-il potentiellement commettre en raison d'une faute dans l'exercice de ses fonctions?",Cette question vise à évaluer la connaissance de la définition de la responsabilité pénale en médecine.,Infractions de négligence délibérée,Incorrecte. Les infractions de négligence délibérée ne sont pas une catégorie juridique reconnue dans le Code pénal.,"Infractions d'imprudence, de négligence ou de manquement à une obligation de sécurité","Correcte. Cela correspond aux homicides et blessures involontaires, qui sont des infractions courantes dans le domaine médical.",Infractions de faute caractérisée,Correcte. Les infractions de faute caractérisée sont reconnues dans le Code pénal et peuvent être commises par un médecin en raison d'une faute d'imprudence ou de négligence grave.,Infractions de faute délibérée,Correcte. Les infractions de faute délibérée sont reconnues dans le Code pénal et peuvent être commises par un médecin en violant délibérément une règle de prudence ou de sécurité.,b
1,OIC-005-03-A,Quelle est la responsabilité civile engagée par les médecins salariés d'établissements privés en cas de dommages causés à un patient?,Cette question évalue la connaissance de la définition de la responsabilité civile dans le contexte de la médecine.,Les médecins salariés engagent leur responsabilité civile personnelle en cas de dommages causés à un patient.,Incorrect. Les médecins salariés n'engagent pas leur responsabilité civile personnelle du fait des dommages causés à un patient s'ils n'outrepassent pas la mission qui leur a été confiée par leur employeur.,Les médecins salariés n'engagent pas leur responsabilité civile personnelle en cas de dommages causés à un patient.,Correct. Les médecins salariés n'engagent pas leur responsabilité civile personnelle du fait des dommages causés à un patient s'ils n'outrepassent pas la mission qui leur a été confiée par leur employeur.,Les médecins salariés engagent la responsabilité civile de leur employeur en cas de dommages causés à un patient.,"Incorrect. Bien que les médecins salariés n'engagent pas leur responsabilité civile personnelle, cela ne signifie pas que leur employeur est automatiquement responsable.",Les médecins salariés et leur employeur engagent leur responsabilité civile en cas de dommages causés à un patient.,Incorrect. Les médecins salariés n'engagent pas leur responsabilité civile personnelle du fait des dommages causés à un patient s'ils n'outrepassent pas la mission qui leur a été confiée par leur employeur.,b
2,OIC-005-04-A,"Selon la jurisprudence administrative, quels sont les types de fautes susceptibles d'engager la responsabilité du service public hospitalier?",Cette question évalue la connaissance de la définition de la responsabilité administrative dans le contexte des établissements de santé.,"Faute de service, faute dans l'organisation et le fonctionnement du service, et faute personnelle ou détachable du service.",Correct. Cette réponse décrit les trois types de fautes susceptibles d'engager la responsabilité du service public hospitalier selon la jurisprudence administrative.,"Faute de service, faute dans l'exécution des tâches, et faute intentionnelle.",Incorrect. Cette réponse ne décrit pas correctement les types de fautes selon la jurisprudence administrative.,"Faute de service, faute dans la gestion des ressources humaines, et faute déontologique.",Incorrect. Cette réponse ne décrit pas correctement les types de fautes selon la jurisprudence administrative.,"Faute de service, faute dans l'organisation et le fonctionnement du service, et faute de collaboration.",Incorrect. Cette réponse ne décrit pas correctement les types de fautes selon la jurisprudence administrative.,a
3,OIC-005-05-A,Quelle est la définition de la responsabilité disciplinaire des médecins?,"Cette question vise à évaluer la connaissance de la définition de la responsabilité disciplinaire des médecins, qui est une forme de responsabilité encourue devant les instances de l'Ordre des médecins.",La responsabilité disciplinaire est une forme de responsabilité encourue devant les tribunaux civils.,Incorrect. La responsabilité disciplinaire n'est pas une forme de responsabilité encourue devant les tribunaux civils.,La responsabilité disciplinaire est une forme de responsabilité encourue devant les instances de l'Ordre des médecins pour tout manquement aux règles de déontologie médicale.,"Correct. La responsabilité disciplinaire est une forme de responsabilité encourue devant les instances de l'Ordre des médecins pour tout manquement aux règles de déontologie médicale, qui sont rassemblées dans le Code de déontologie médicale.",La responsabilité disciplinaire est une forme de responsabilité encourue devant les instances de l'Ordre des médecins pour les infractions pénales commises par les médecins.,Incorrect. La responsabilité disciplinaire n'est pas une forme de responsabilité encourue devant les instances de l'Ordre des médecins pour les infractions pénales commises par les médecins.,La responsabilité disciplinaire est une forme de responsabilité encourue devant les instances de l'Ordre des médecins pour les fautes commises dans la vie privée des médecins.,"Correct. La responsabilité disciplinaire peut être encourue devant les instances de l'Ordre des médecins pour les fautes commises dans la vie privée des médecins, si elles portent atteinte à l'honneur ou à la moralité de la profession.",b
4,OIC-005-06-A,Quelle est la définition de la responsabilité sans faute dans le contexte médical?,Cette question évalue la capacité à connaître et comprendre la définition de la responsabilité sans faute en médecine.,Un dommage lié aux soins survenu avec manquement aux règles professionnelles ou scientifiques,"Incorrecte, car la responsabilité sans faute ne requiert pas de manquement aux règles professionnelles ou scientifiques.","Un dommage lié aux soins survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur","Correcte, car la responsabilité sans faute engage la responsabilité en l'absence de faute prouvée, uniquement sur la base du préjudice subi.",Un dommage lié aux soins survenu à la suite d'une infection nosocomiale,"Incorrecte, car bien que les infections nosocomiales puissent entraîner une responsabilité sans faute, elles ne définissent pas cette dernière.",Un dommage lié aux soins survenu en raison d'une erreur médicale,"Incorrecte, car la responsabilité sans faute ne requiert pas d'erreur médicale.",b
5,OIC-005-07-A,"Selon l'article L.1142-1 du Code de la santé publique, qu'est-ce qui constitue le fondement de la responsabilité médicale?",Cette question évalue la compréhension de la faute médicale en tant que fondement de la responsabilité médicale.,La violation des droits du patient.,"INCORRECT. Bien que la violation des droits du patient puisse être un fait générateur de responsabilité, ce n'est pas le fondement de la responsabilité médicale selon l'article L.1142-1 du Code de la santé publique.",L'absence de preuve de la faute du médecin ou de l'établissement de santé.,INCORRECT. L'absence de preuve de la faute ne signifie pas l'absence de responsabilité médicale.,"Les conséquences dommageables d'actes de prévention, de diagnostic ou de soins sans faute.","INCORRECT. Selon l'article L.1142-1 du Code de la santé publique, les professionnels et établissements de santé ne sont responsables des conséquences dommageables d'actes de prévention, de diagnostic ou de soins qu'en cas de faute.","Les conséquences dommageables d'actes de prévention, de diagnostic ou de soins en cas de faute.",CORRECT. Cela correspond à la définition de la responsabilité médicale selon l'article L.1142-1 du Code de la santé publique.,d
6,OIC-005-08-A,"Selon la source, quel est le terme utilisé pour décrire une action qui n'était pas nécessaire?",Cette question évalue la compréhension de la définition de l'erreur médicale.,Erreur par commission,Cette réponse est incorrecte car elle décrit une action qui a été faite et qui était utile.,Erreur par omission,Cette réponse est incorrecte car elle décrit une action nécessaire qui n'a pas été faite.,Erreur d'exécution,Cette réponse est incorrecte car elle décrit une action mal réalisée.,Erreur par commission inutile,Cette réponse est correcte car elle décrit une action qui a été faite mais qui n'était pas utile.,d
7,OIC-005-09-A,Comment définir l'accident médical et l'affection iatrogène?,Cette question évalue la capacité à définir les termes 'accident médical' et 'affection iatrogène' selon les critères de l'objectif de connaissance.,"Un accident médical est un événement indésirable survenu lors d'un acte de soin, entraînant un dommage anormal, tandis qu'une affection iatrogène est un effet néfaste provoqué par un traitement ou un acte médical. Les deux ne sont pas nécessairement liés à une erreur médicale.",Correct. Cette réponse correspond à la définition de l'accident médical et de l'affection iatrogène.,"Un accident médical est un événement indésirable survenu lors d'un acte de soin, entraînant un dommage anormal, tandis qu'une affection iatrogène est une erreur commise par un professionnel de santé lors de la prescription ou de l'administration d'un traitement.","Incorrect. Cette réponse correspond à la définition de l'accident médical, mais pas à celle de l'affection iatrogène.","Un accident médical est un événement indésirable survenu lors d'un acte de soin, sans dommage anormal, tandis qu'une affection iatrogène est un effet néfaste provoqué par un traitement ou un acte médical. Les deux sont nécessairement liés à une erreur médicale.",Incorrect. Cette réponse ne correspond pas à la définition de l'accident médical ni de l'affection iatrogène.,"Un accident médical est un événement indésirable survenu lors d'un acte de soin, entraînant un dommage normal, tandis qu'une affection iatrogène est un effet bénéfique provoqué par un traitement ou un acte médical. Les deux ne sont pas nécessairement liés à une erreur médicale.",Incorrect. Cette réponse ne correspond pas à la définition de l'accident médical ni de l'affection iatrogène.,a
8,OIC-005-10-A,"Selon la définition, qu'est-ce qu'une infection nosocomiale?",Question isolée évaluant la connaissance de la définition d'une infection nosocomiale.,Une infection contractée dans un établissement de santé après 48h d'hospitalisation.,Correct. Cette définition correspond à l'infection nosocomiale.,Une infection présente à l'admission du patient dans un établissement de santé.,Incorrect. Une infection nosocomiale n'est pas présente à l'admission.,Une infection qui apparaît avant 48h d'hospitalisation dans un établissement de santé.,Incorrect. Une infection nosocomiale n'apparaît généralement pas avant 48h.,Une infection non liée aux soins prodigués dans un établissement de santé.,Incorrect. Le terme « nosocomiale » signifie lié aux soins dans un établissement de santé.,a
9,OIC-005-11-A,Comment est défini l'aléa thérapeutique selon la jurisprudence?,Cette question évalue la capacité à connaître la définition de l'aléa thérapeutique selon la jurisprudence.,Un événement indésirable causé par une action de soins non conforme et comportant une erreur,"Incorrecte, car l'aléa thérapeutique est un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d'erreur.","Un accident médical, une affection iatrogène ou une infection nosocomiale survenus sans responsabilité des professionnels de santé ou de l'établissement de santé","Correcte, car l'aléa thérapeutique est défini comme tel selon la jurisprudence.",Un risque lié à l'absence de soins ou de diagnostic,"Incorrecte, car l'aléa thérapeutique est un risque lié à l'acte de soin, de diagnostic ou de prévention.",Un effet secondaire d'un médicament mal prescrit ou administré,"Incorrecte, car l'aléa thérapeutique est un effet secondaire d'un médicament correctement prescrit et administré.",b
