Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
0,OIC-005-01-A,Quel est l'objectif principal de la responsabilité sanction/indemnisation dans le domaine médical ?,Protéger les professionnels de santé contre les accusations injustifiées.,Assurer la sécurité des patients en imposant des sanctions strictes aux erreurs médicales.,"Responsabiliser les professionnels et les établissements de santé pour leurs actes, que ce soit par une sanction ou une indemnisation.",Encourager l'innovation médicale en limitant les risques financiers pour les professionnels.,c,4
1,OIC-005-01-A-,Laquelle des affirmations suivantes concernant la responsabilité pénale médicale est **fausse** ?,Elle concerne uniquement les médecins et non les établissements de santé.,Les infractions sont définies dans le Code pénal et classées par ordre de gravité.,La violation d'un devoir d'humanisme peut constituer une infraction pénale.,Le procureur de la République décide des suites à donner aux plaintes concernant des infractions médicales.,a,4
2,OIC-005-02-A,Qui est responsable en cas de dommage causé par un médecin salarié d'un établissement privé ?,"Le médecin lui-même, car il agit en tant que professionnel libéral.","L'établissement privé où travaille le médecin, car c'est son employeur.","Le patient lui-même, car il a accepté les soins du médecin salarié.","Aucun des précédents, la responsabilité civile n'existe pas dans ce cas.",b,4
3,OIC-005-02-A-,"Selon le texte, quelle est la responsabilité principale engagée en cas d'acte réalisé par un médecin hospitalier ?",La responsabilité civile personnelle du médecin,La responsabilité pénale du médecin,La responsabilité administrative de l'établissement public de santé,La responsabilité disciplinaire du médecin,c,4
4,OIC-005-03-A,"Quelle est la principale différence entre la responsabilité disciplinaire et les autres responsabilités (civiles, pénales) encourues par un médecin ?",La responsabilité disciplinaire est toujours plus grave que les autres responsabilités.,La responsabilité disciplinaire concerne uniquement les actes commis en dehors de l'exercice professionnel.,La responsabilité disciplinaire est indépendante des actions civiles ou pénales qui peuvent être engagées contre un médecin.,La responsabilité disciplinaire ne peut être encourue que par les médecins ayant commis une infraction pénale.,c,4
5,OIC-005-03-A-,"La responsabilité sans faute s'applique dans les situations où : 
",Il y a eu une erreur médicale avérée.,Le professionnel de santé a agi en violation des règles professionnelles.,Un dommage est survenu malgré l'absence de faute professionnelle ou scientifique.,L'infection nosocomiale était prévisible et évitable.,c,4
6,OIC-005-04-A,"Selon le texte, quel est l'élément essentiel pour qu'une atteinte aux droits du patient puisse entraîner une responsabilité médicale ?",Le médecin doit avoir agi de manière intentionnelle.,L'atteinte doit être prouvée comme étant due à une faute.,Le patient doit démontrer un préjudice financier important.,La loi du 4 mars 2002 doit avoir été modifiée depuis la date de l'acte médical.,b,4
7,OIC-005-04-A-,Quelle est la définition d'une erreur par commission dans le domaine médical ?,Une action nécessaire qui n'a pas été effectuée.,Une action mal réalisée.,Une action inutile qui a été effectuée.,Un non-respect d'une recommandation ou d'une règle professionnelle.,c,4
8,OIC-005-05-A-,Quelle est la définition d'une infection nosocomiale ?,Une infection contractée avant l'admission à un établissement de santé.,Une infection contractée pendant une consultation chez un médecin généraliste.,Une infection contractée au cours d'un séjour dans un établissement de santé.,"Une infection contractée après 48 heures d'hospitalisation, quelle que soit son origine.",c,4
9,OIC-005-06-A,Lequel des énoncés suivants décrit le mieux l'aléa thérapeutique ?,Une erreur médicale causée par la négligence d'un professionnel de santé.,"Un événement indésirable résultant d'une action de soins conforme et sans erreur, lié à un risque inhérent à l'acte médical.",Une infection contractée avant une hospitalisation qui s'aggrave pendant le séjour.,Une complication médicale imprévisible due à une mauvaise communication entre les professionnels de santé.,b,4
10,OIC-005-07-A,Lequel des facteurs suivants n'est PAS considéré comme un facteur humain individuel pouvant contribuer aux erreurs médicales ?,Le manque de sommeil,La mauvaise communication avec les collègues,Le stress lié à une situation urgente,Un niveau insuffisant d'expérience dans un domaine spécifique,b,4
11,OIC-005-07-A-,"Selon le modèle de Reason, quel est l'objectif principal de l'analyse approfondie des causes d'erreur ?",Identifier les erreurs commises par les professionnels de santé.,Déterminer la responsabilité individuelle dans un incident médical.,Mettre en évidence les facteurs organisationnels contribuant aux erreurs.,Améliorer la communication entre les membres de l'équipe médicale.,c,4
12,OIC-005-08-A,"Selon le texte, quelle est la principale raison pour laquelle les erreurs médicales sont souvent cachées ?",Le manque de formation des professionnels de santé sur la gestion des risques.,La peur d'être sanctionné pour avoir commis une erreur.,L'absence de systèmes informatiques permettant le signalement des erreurs.,Le manque de communication entre les différents services hospitaliers.,b,4
13,OIC-005-08-A-,Quel est le principal objectif du travail en équipe pluriprofessionnelle ?,Minimiser les coûts de traitement,Augmenter la compétition entre professionnels,Répondre de manière collaborative aux besoins du patient,Centraliser les décisions dans les mains d'un seul professionnel,c,4
14,OIC-005-09-A,Lequel des dispositifs suivants est spécifiquement utilisé pour les activités interventionnelles comme l'endoscopie ou la radiologie interventionnelle ?,Protocole pluriprofessionnel,Réunion de morbi-mortalité (RMM),Check-list au bloc opératoire,Réunions de concertation pluridisciplinaire (RCP),c,1
15,OIC-005-09-A-,Quel est l'objectif principal du parcours de soins ?,Minimiser les coûts pour le système de santé.,Assurer une communication efficace entre les professionnels de santé.,Organiser et coordonner les interventions médicales au bon moment.,Réduire le temps d'attente des patients dans les hôpitaux.,c,4
16,OIC-005-10-A,Quel est le principal objectif d'un protocole pluriprofessionnel ?,Définir les responsabilités de chaque professionnel,Faciliter la communication entre les patients et les professionnels,Standardiser les soins pour une prise en charge optimale d'une maladie,Remplacer le jugement clinique par des directives précises,c,4
17,OIC-005-10-A-,Quel est l'objectif principal des réunions de concertation pluridisciplinaire (RCP) ?,Organiser des formations continues pour les médecins.,"Définir la stratégie diagnostique, thérapeutique et de suivi d'un patient complexe.",Réduire le nombre de consultations médicales nécessaires.,Faciliter la communication entre les patients et leurs familles.,b,4
18,OIC-005-11-A,Quel est l'objectif principal des listes de vérification (check-lists) en médecine ?,Remplacer les protocoles médicaux existants.,Faciliter la communication entre les professionnels de santé et sécuriser les interventions médicales.,Réduire le temps nécessaire pour réaliser une intervention chirurgicale.,Automatiser certaines tâches médicales complexes.,b,4
19,OIC-005-11-A-,Quel est le principal objectif d'une réunion de morbi-mortalité (RMM) ?,Identifier les erreurs individuelles des professionnels de santé.,Promouvoir la compétition entre les équipes médicales.,Analyser collectivement les événements indésirables liés aux soins et mettre en place des actions préventives.,Rédiger des rapports officiels sur les décès pour les autorités sanitaires.,c,4
20,OIC-005-12-B,Quel est le rôle principal du Samu-Centre 15 ?,Organiser le transport des patients vers les hôpitaux.,Fournir une écoute médicale permanente et déclencher la réponse adaptée aux appels d'urgence.,Effectuer des soins médicaux sur place en cas de détresse.,Former les professionnels de santé aux gestes de premiers secours.,b,4
21,OIC-005-12-B-,"Selon le texte, quel est le principal critère pour identifier une discrimination dans le domaine de la santé ?",Le refus explicite de soins à un patient.,La difficulté à communiquer avec un patient.,L'appréhension de difficultés administratives liées au paiement des soins.,Le traitement différencié d'une personne selon des critères prohibés entraînant un préjudice.,d,4
22,OIC-005-13-A,"Selon le texte, quel est l'impact principal des discriminations sur les inégalités sociales et de santé ?",Elles améliorent l'accès aux soins de santé.,Elles réduisent le stress et l'anxiété.,Elles accentuent les déterminants sociaux de la santé.,Elles favorisent l'intégration socio-économique.,c,4
23,OIC-005-13-A-,"Selon le texte, quel facteur structurel peut contribuer aux discriminations en santé ?",Une meilleure communication entre les soignants,Un rapport de pouvoir asymétrique dans le soin,L'utilisation d'interprètes professionnels pour toutes les consultations,La formation continue des soignants sur les différentes cultures,b,4
24,OIC-005-14-B,Laquelle des affirmations suivantes décrit le mieux l'objectif de l'éthique en médecine ?,Définir un code de conduite strict pour les praticiens médicaux.,Imposer des règles morales universelles à tous les individus.,Fournir un cadre juridique pour réglementer les pratiques médicales.,Encourager une réflexion critique sur les valeurs et les conséquences des actions médicales.,d,4
25,OIC-005-14-B-,Quel est l'objectif principal de la bioéthique selon V.R. Potter ?,Développer des technologies médicales plus avancées.,Promouvoir une alliance entre sciences biologiques et éthique.,Réguler l'accès aux soins de santé pour tous.,Contrôler la croissance démographique mondiale.,b,4
26,OIC-005-15-B,La déontologie médicale se concentre principalement sur :,Les avantages financiers pour les médecins.,Les relations entre les médecins et leurs collègues.,"Les obligations des médecins envers les patients, les autres professionnels et la société.",La promotion de nouvelles technologies médicales.,c,4
27,OIC-005-15-B-,Lequel des principes suivants n'est PAS considéré comme un grand principe de l'éthique médicale selon l'approche par principes de Beauchamp et Childress ?,Bienfaisance,Non-malfaisance,Utilitarisme,Justice,c,4
28,OIC-006-01-A,Lequel des énoncés suivants décrit le mieux le concept d'autonomie en médecine ?,La capacité du patient à choisir ses traitements sans tenir compte des recommandations médicales.,"L'obligation du médecin de respecter les choix du patient, même s'ils sont contre-indiqués.",Le droit du patient à recevoir une information complète et claire sur son état de santé et les options thérapeutiques disponibles afin de prendre des décisions éclairées.,"La décision exclusive du médecin concernant le traitement du patient, basée sur son expertise médicale.",c,4
