mcq,cop,llm_cop
"-----
Question:
A 28-year-old man came for shoulder surgery. The patient had a documented episode of malignant hypehermia in a previous surgery under general anesthesia. Which of the following neuromuscular blockers is contraindicated in this patient
Options:
a) Succinylcholine
b) Pancuronium
c) Rocuronium
d) Vecuronium
-----
",0,0
"-----
Question:
Which anesthetic agent is contraindicated in porphyria:
Options:
a) Propofol
b) Ketamine
c) Thiopentone
d) Etomidate
-----
",2,2
"-----
Question:
A seventy year old patient is posted for a surgery which is likely to last 4–6 hours. The best inhalational agent of choice for maintenance of anaesthesia in such a case is –
Options:
a) Methoxyflurane
b) Ether
c) Trichlorethylene
d) Desflurane
-----
",3,3
"-----
Question:
This is which Endotracheal tube:-
Options:
a) Flexometallic tube
b) Laser tube
c) RAE tube
d) Double lumen tube
-----
",1,2
"-----
Question:
A 65-year-old man who had a 25-lb weight loss over the previous 6 months is diagnosed with adenocarcinoma of the distal esophagus. He undergoes a transhiatal esophagectomy complicated by a cervical leak. He is receiving enteral feeds through a jejunostomy tube. After a week, his physicians wish to assess his nutritional resuscitation. Which of the following is the most accurate measure of adequacy of his nutritional suppo?
Options:
a) Urinary nitrogen excretion level
b) . Total serum protein level
c) Serum albumin level
d) Serum transferrin level
-----
",2,3
"-----
Question:
MAC of halothane is –
Options:
a) 0.75%
b) 1-2%
c) 6%
d) 2%
-----
",0,0
"-----
Question:
Volatile agent which causes most renal toxicity is
Options:
a) Ether
b) Isoflurane
c) Methoxyflurane
d) Sevoflurane
-----
",2,2
"-----
Question:
Side effects of oxygen therapy are all except:
Options:
a) Absorption atelactasis
b) Increased pulmonary compliance
c) Decreased vital capacity
d) Endothelial damage
-----
",1,1
"-----
Question:
Which of the following is the neuromuscular blocking agent with the shoest onset of action?
Options:
a) Mivacurium
b) Atracurium
c) Rapacuronium
d) Succinylcholine
-----
",0,3
"-----
Question:
Type of laser used for iridotomy ?
Options:
a) Excimer
b) Krypton red
c) Nd:YAG
d) Diode
-----
",2,2
"-----
Question:
Crystalloid required for replacement of 300ml of blood loss is:
Options:
a) 300ml
b) 600ml
c) 900ml
d) 1200ml
-----
",2,1
"-----
Question:
A 63-year-old man with a 40-pack per year smoking history undergoes a low anterior resection for rectal cancer and on postoperative day 5 develops a fever, new infiltrate on chest x-ray, and leukocytosis. He is transferred to the ICU for treatment of his pneumonia because of clinical deterioration. Which of the following is a sign of early sepsis?
Options:
a) Respiratory acidosis
b) Decreased cardiac output
c) Hypoglycemia
d) Peripheral vasodilation
-----
",3,3
"-----
Question:
Muscle relaxant contraindicated in Renal failure
Options:
a) Gallamine
b) d-TC
c) Vecuronium
d) Atracurium
-----
",0,0
"-----
Question:
Which is false regarding post dural puncture headache?
Options:
a) Incidence is reduced by pencil point spinal needles
b) Definitive cure is obtained with epidural blood patch
c) Head ache is aggravated by sitting and relieved by lying down
d) Longer the duration anesthesia , greater will be the chance of developing PDPH
-----
",3,3
"-----
Question:
Least MAC is of which inhalational agent
Options:
a) Xeonon
b) Halothane
c) Sevoflurane
d) Isoflurane
-----
",1,0
"-----
Question:
A pregnant woman with placenta pre staed to bleed as she went into labor. Her blood pressure was 80/50 mm Hg. A lower segment caesarean section was planned in view of acute shock. What type of anesthesia will you plan for this patient?
Options:
a) General anesthesia with IV induction by ketamine
b) Spinal anesthesia up to L4 level
c) General anesthesia with IV induction by propofol followed by maintenance with fluranes
d) Sedation and epidural analgesia
-----
",0,2
"-----
Question:
Anesthetic agent contraindicated in acute intermittent porphyria is?
Options:
a) Halothane
b) Isoflurane
c) Propofol
d) Thiopentone
-----
",3,0
"-----
Question:
80-year-old patient is admitted for open reduction and internal fixation of a fracture of the femur . Which one of the following technique is ideal anesthetic technique for this patient?
Options:
a) Regional anesthesia
b) General anesthesia
c) Local infiltration
d) Paracervical block
-----
",0,0
"-----
Question:
Laudanosine is metabolite of which of the following?
Options:
a) Cisatracurium
b) Atracurium
c) Pancuronium
d) Gallamine
-----
",1,1
"-----
Question:
Sequence of CPR is?
Options:
a) Basic CPR, ACLS, Defibrillation
b) Basic CPR, Defibrillation, ACLS
c) ACLS, Basic CPR, Defibrillation
d) Defibrillation, ACLS, Basis CPR
-----
",1,1
"-----
Question:
Depolarising muscle relaxant?
Options:
a) Scoline
b) Atracurium
c) Pancuronium
d) Cisatracurium
-----
",0,0
"-----
Question:
Stage of analgesia in anaesthesia is ?
Options:
a) Stage-1
b) Stage-2
c) Stage-3
d) Stage-4
-----
",0,1
"-----
Question:
The most frequently repoed malfunctions in medical gas pipeline system are:-
Options:
a) Inadequate pressure
b) Cross connection
c) Excessive pressure
d) Alarm dysfunction
-----
",0,1
"-----
Question:
In magil circuit airflow is -
Options:
a) 1/2 of minute volume
b) equal to M.V.
c) 2 X M.V.
d) 3 X M.V.
-----
",1,0
"-----
Question:
Which of the following is the anaesthetic agent of choice in renal failure?
Options:
a) Isoflurane
b) Enflurane
c) Methoxyflurane
d) None of the above
-----
",0,3
"-----
Question:
Partition coefficient of gas – a) Measure of potencyb) Directly proportional to potencyc) Measures solubilityd) All of the above
Options:
a) a
b) bc
c) ac
d) b
-----
",2,2
"-----
Question:
Muscle relaxant contra indicated in Renal faliure is
Options:
a) Gallamine
b) d-TC
c) Vecuronium
d) Atracurium
-----
",0,0
"-----
Question:
In a patient with fixed respiratory obstruction, Helium is used along with Oxygen instead of plain oxygen because:
Options:
a) It provides analgesia
b) It decreases turbulence
c) It decreases oxygenation
d) It decreases the dead space
-----
",1,1
"-----
Question:
Muscle relaxant excreted exclusively by kidney –
Options:
a) Gallamine
b) Atracurium
c) Vercuronium
d) Sch
-----
",0,0
"-----
Question:
Flat capnogram found in A/E
Options:
a) Disconnection of anesthetic tubing
b) Accidental extubation
c) Mechanjca1 ventilation failure
d) Bronchospasm
-----
",3,2
"-----
Question:
Which local anaesthetic does not require adrenaline
Options:
a) Procaine
b) Lignocaine
c) Bupivacaine
d) Cocaine
-----
",3,3
"-----
Question:
Supraglottic airway device is contraindicated for all except:-
Options:
a) Patient with risk of aspiration
b) Patient with poor lung compliance
c) Patient with limited mouth opening
d) Patient under general anesthesia
-----
",3,2
"-----
Question:
Laudanosine is metabolite of aEUR'
Options:
a) >Cisatracurium
b) >Atracurium
c) >Pancuronium
d) >Gallamine
-----
",1,1
"-----
Question:
Hepatotoxic inhalational agent
Options:
a) Halothane
b) Enflurane
c) Desflurane
d) Sevoflurane
-----
",0,0
"-----
Question:
Composition of soda lime includes all except -
Options:
a) NaOH
b) KOH
c) Ca (OH)2
d) Mg (OH)2
-----
",3,3
"-----
Question:
Anesthetic agent of choice as epidural anesthesia in labour is?
Options:
a) Lignocaine
b) Bupivacaine
c) Prilocaine
d) Procaine
-----
",1,1
"-----
Question:
Opioid antagonist that can be given orally –
Options:
a) Naltrexone
b) Naloxone
c) Nalbuphene
d) Pentazocine
-----
",0,0
"-----
Question:
Machine used noninvasively to monitor an external chest compression during cardiopulmonary resuscitation is ?
Options:
a) Zoll AED - plus automatic external defibrillator
b) Zoll depth synchronizer
c) Zoll strength sensor
d) Zoll pA02 monitor
-----
",0,2
"-----
Question:
Most impoant factor determining the affect of anaesthetic agent on fetus ?
Options:
a) Duration of pregnancy
b) MAC
c) Protein binding
d) Route of anaesthetic
-----
",0,0
"-----
Question:
Which one of the following agents sensitizes the myocardium to catecholamines?
Options:
a) Ether
b) Propofol
c) Isoflurane
d) Halothane
-----
",3,3
"-----
Question:
Regarding the Royal College of Anaesthetists 4th National Project , True statement is
Options:
a) Airway complications in intensive care resulted in death or disability in less than 20% of cases
b) End-tidal CO2 monitoring (capnography) is not always necessary for intubation
c) Regular audit of airway complications should occur
d) Transfer of an intubated patient is deemed low risk for airway complications
-----
",2,2
"-----
Question:
EMLA is a mixture of lidocaine and:
Options:
a) Aicaine
b) Prilocaine
c) Bupivacaine
d) None of the above
-----
",1,1
"-----
Question:
When wheezing occurs intra operatively, appropriate measure may include all of the following except:
Options:
a) The intratracheal administration of mucolytic agents
b) Use of a volatile anesthetic agent (e.g. halothane)
c) Rechecking breath sound bilaterally
d) Intravenous hydrocoisone
-----
",0,1
"-----
Question:
Which of the following statements about propofol is not true?
Options:
a) It is contraindicated in porphyria
b) It does not trigger malignant hypehermia
c) Commercial preparations contains egg
d) It is a suitable agent for day care surgery
-----
",0,2
"-----
Question:
Anaesthetic agent associated with hallucination is:
Options:
a) Ketamine
b) Halothane
c) Ether
d) Cyclopropane
-----
",0,0
"-----
Question:
Pulsatile proptosis is a feature of ?
Options:
a) Orbital varix
b) Retinoblastoma
c) Coico-cavernous fistula
d) Covernous sinus thrombosis
-----
",2,2
"-----
Question:
Cobblestone conjunctiva is seen in?
Options:
a) Trachoma
b) Spring catarrah
c) Ophthalmia nodosa
d) Interstial keratitis
-----
",1,0
"-----
Question:
Which is non invasive positive pressure ventilation?
Options:
a) CPAP
b) SLMV
c) CMV
d) IMV
-----
",0,0
"-----
Question:
Arrange following inhalational anesthetic agents according to increasing MAC values i) Isoflurane ii) Desflurane iii) Sevoflurane iv) Halothane
Options:
a) (iv), (i), (iii), (ii)
b) (iv), (iii), (i), (ii)
c) (ii), (iv), (iii), (i)
d) (i), (ii), (iii), (iv)
-----
",0,2
"-----
Question:
In rapid sequence intubation
Options:
a) Non-depolarizing muscle relaxants are used
b) Cricoid pressure of 30N is required
c) Opioids are contraindicated
d) Pre-oxygenation is not mandatory
-----
",1,0
"-----
Question:
Regarding neonatal circumcision, which one of the following is true –
Options:
a) It should be done without anaesthesia, as it is hazardous to give anaesthesia
b) It should be done without anesthesia, as neonates do not perceive pain as adults
c) It should be done under local anaesthesia only
d) General anaesthesia should be given to neonate for circumcision as they also feel pain as adults
-----
",2,3
"-----
Question:
An in-hospital workup of a 78-year-old hypeensive, mildly asthmatic man who is receiving chemotherapy for colon cancer reveals symptomatic gallstones. Preoperative laboratory results are notable for a hematocrit of 24% and urinalysis with 18 to 25 WBCs and gram-negative bacteria. On call to the operating room, the patient receives intravenous penicillin. His abdomen is shaved in the operating room. An open cholecystectomy is performed and, despite a lack of indications, the common bile duct is explored. The wound is closed primarily with a Penrose drain exiting a separate stab wound. On postoperative day 3, the patient develops a wound infection. Which of the following changes in the care of this patient could have decreased the chance of a postoperative wound infection?
Options:
a) Increasing the length of the preoperative hospital stay to prophylactically treat the asthma with steroids
b) Treating the urinary infection prior to surgery
c) Shaving the abdomen the night prior to surgery
d) Continuing the prophylactic antibiotics for 3 postoperative days
-----
",1,1
"-----
Question:
Which of the following drug is used for hypotensive anaesthesia:
Options:
a) Isoflurane
b) Nitroglycerin
c) Both 1 & 2
d) Dantrolene
-----
",2,1
"-----
Question:
For anesthesiology mild Systemic disease Included in ASA grade -
Options:
a) 1
b) 2
c) 3
d) 4
-----
",1,1
"-----
Question:
All of the following drugs are eliminated by kidney except –
Options:
a) Pancuronium bromide
b) Atracurium besylate
c) Vecuronium bromide
d) Pipecuronium
-----
",1,0
"-----
Question:
Maximum dose of lignocaine with adrenaline (in mg/kg) -
Options:
a) 4
b) 5
c) 7
d) 10
-----
",2,1
"-----
Question:
True about EMLA
Options:
a) can be used for intubation
b) Mixture of local anesthesia
c) Faster acting
d) Used in children
-----
",1,1
"-----
Question:
Reason of difficult intubation in an obese patient is?
Options:
a) Difficult visualization
b) Decreased safe apnea time
c) Lower tidal volume
d) All of the above
-----
",3,3
"-----
Question:
A man presented with cut wound over scalp. The best anaesthetic agent for wound repair is:
Options:
a) 1% xylocaine
b) 2% xylocaine
c) Ketamine
d) Xylocaine + adrenaline
-----
",3,3
