Unnamed: 0,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option,content_raw,distractor_quality
0,OIC-005-03-A,Quel est le régime de responsabilité civile applicable aux médecins salariés d’établissements de santé privés ?,La question évalue la compréhension de la définition de la responsabilité civile et de son application aux médecins salariés.,Ils engagent leur responsabilité civile personnelle.,Cette option est incorrecte car elle ne prend pas en compte le régime de responsabilité du commettant (l’employeur) du fait de son proposé (le médecin).,Ils engagent leur responsabilité civile professionnelle.,Cette option est correcte car elle reflète le régime de responsabilité civile professionnelle applicable aux praticiens hospitaliers.,Ils engagent leur responsabilité pénale.,Cette option est incorrecte car elle ne correspond pas au régime de responsabilité civile.,Ils engagent leur responsabilité administrative.,Cette option est incorrecte car elle ne correspond pas au régime de responsabilité civile.,b,"{{objectif de connaissance
|Identifiant=OIC-005-03-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité civile
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=3}}

Les professionnels exerçant à titre libéral et les établissements de santé privés engagent leur responsabilité civile devant les juridictions de l’ordre judiciaire : tribunal de grande instance, cour d’appel, cour de cassation.

S’agissant des médecins salariés d’établissements, services ou organismes privés, ils n’engagent pas leur responsabilité civile personnelle du fait des dommages causés à un patient dès lors qu’ils n’outrepassent pas la mission qui leur a été confiée par leur employeur. C’est l’application du régime de responsabilité du commettant (l’employeur) du fait de son proposé (le médecin), lequel n’est pas incompatible avec le principe d’indépendance professionnelle du médecin dans l’exercice de son art.

Les praticiens hospitaliers engagent leur responsabilité civile professionnelle à raison des dommages survenus dans le cadre de leur secteur d’activité libérale au sein d’un établissement public de santé.",False
1,OIC-005-04-A,La responsabilité administrative d'un médecin hospitalier est engagée devant quelle juridiction ?,La question évalue la compréhension de la responsabilité administrative des médecins hospitaliers.,Tribunal de grande instance,Faux. Le tribunal de grande instance est une juridiction civile.,Tribunal administratif,Correct. La responsabilité administrative d'un médecin hospitalier est engagée devant le tribunal administratif.,Cour d'appel,"Faux. La cour d'appel est une juridiction d'appel, pas une juridiction de première instance.",Conseil d'Etat,"Faux. Le Conseil d'Etat est une juridiction d'appel, pas une juridiction de première instance.",b,"{{objectif de connaissance
|Identifiant=OIC-005-04-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité administrative
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=4}}

Il n’existe pas de relation juridique entre le médecin, agent du service public hospitalier, et son patient. Les deux ne sont en effet liés juridiquement qu’à l’établissement public de santé. S’agissant des actes réalisés par les médecins hospitaliers, c’est la responsabilité de l’établissement public de santé qui est engagée devant les juridictions de l’ordre administratif : tribunal administratif, cour administrative d’appel, Conseil d’Etat.

La jurisprudence administrative a défini une typologie des fautes susceptibles d’engager la responsabilité du service public :

- la faute de service : c’est la faute commise par un agent public dans l’exercice de ses fonctions, c’est-à-dire pendant le service, avec les moyens du service et en dehors de tout intérêt personnel ;

- la faute dans l’organisation et le fonctionnement du service : ont pu être qualifiés ainsi une insuffisance dans la surveillance des patients ou des locaux, le mauvais entretien des locaux et du matériel, la mauvaise coordination entre médecins, etc.

Doit être distinguée la faute personnelle ou détachable du service, qui engage la responsabilité civile personnelle de son auteur. Deux cas de figure peuvent être envisagées :

- soit elle a été commise en dehors du service et n’a aucun lien avec le service (exemple de la faute commise par un médecin dans des soins dispensés dans un cadre privé) ;

- soit elle a été commise dans le service mais elle s’en détache en raison de l’intention de nuire de son auteur ou de son exceptionnelle gravité (exemple du refus du chirurgien de garde de se déplacer pour un blessé par balle alors qu’il avait été averti par l’interne de la gravité de son état).",False
2,OIC-005-05-A,Quelle est la sanction la plus sévère encourue par un médecin en cas de faute disciplinaire ?,La question évalue la compréhension de la définition de la faute disciplinaire et de ses sanctions.,L'avertissement,L'avertissement est la sanction la moins sévère.,Le blâme,Le blâme est une sanction intermédiaire.,L'interdiction temporaire d'exercice,L'interdiction temporaire d'exercice est une sanction plus sévère que le blâme.,La radiation du tableau de l'Ordre,La radiation du tableau de l'Ordre est la sanction la plus sévère.,d,"{{objectif de connaissance
|Identifiant=OIC-005-05-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité disciplinaire
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=5}}

La responsabilité disciplinaire est celle qui est encourue devant les instances de l’Ordre des médecins. L’action disciplinaire est indépendante des autres actions qui peuvent être engagées contre un médecin (civiles ou pénales).

'''Fautes et sanctions disciplinaires'''

'''Fautes disciplinaires'''

Est une faute disciplinaire tout manquement aux règles de déontologie médicale. C’est une violation d’une règle morale plus qu’une règle proprement juridique, qu’elle soit inscrite dans un texte, le Code de la déontologie médicale par exemple, ou non. Ces fautes ont en principe un rapport avec l’activité professionnelle, mais pas exclusivement. Un acte de la vie privée peut porter atteinte à l’honneur ou à la moralité de la profession. Les règles de la déontologie médicale sont rassemblées dans le Code de déontologie médicale (article R.4127-1 à R.4127-112 du Code de la santé publique). Les principes fondamentaux qu’il renferme s’imposent à tous les médecins inscrits au tableau de l’Ordre des médecins, ainsi qu’aux internes en médecine effectuant des remplacements.

Ce Code se différencie du Code pénal qui lui n’énonce pas de principes mais liste des comportements prohibés par notre société (infractions pénales). Il est élaboré par le Conseil national de l’Ordre des médecins, investi à cet effet d’un pouvoir réglementaire soumis au Conseil d’Etat. Il est périodiquement révisé, étant donné qu’il doit être conforme à la loi.

'''Sanctions disciplinaires'''

Les sanctions encourues sont l’avertissement, le blâme, l’interdiction temporaire d’exercer des fonctions rémunérées par l’Etat ou les collectivités publiques, l’interdiction temporaire d’exercice (pour trois ans au maximum) ou la radiation du tableau de l’Ordre.

Les interdictions d’exercice temporaires peuvent être assorties d’un sursis (partiel ou total), révocable en cas de commission d’une nouvelle faute disciplinaire dans les cinq ans qui suivent. En cas de radiation, l’intéressé peut demander son relèvement au bout de trois ans. En cas de refus, il doit attendre trois ans pour en faire éventuellement à nouveau la demande.

'''Mise en œuvre de la responsabilité disciplinaire'''

'''Juridictions'''

Les juridictions compétentes sont la chambre disciplinaire du conseil régional de l’Ordre et la chambre disciplinaire du conseil national de l’Ordre en appel. Un pouvoir en cassation peut être formé devant le Conseil d’Etat.

'''Saisine'''

Peuvent saisir la chambre disciplinaire du conseil régional de l’Ordre pour les médecins libéraux un conseil départemental de l’Ordre, le conseil national de l’Ordre, un médecin, un syndicat de médecins, le directeur de l’Agence régionale de la santé, le préfet, le procureur de la République et le ministre en charge de la santé.

Pour les médecins du secteur public hospitalier, le pouvoir de saisine est limité au conseil départemental de l’Ordre, au conseil national de l’Ordre, au directeur de l’Agence régionale de la santé, au préfet, au procureur de la République et au ministre en charge de la santé.

Une plainte contre un médecin libéral ou hospitalier émanant d’un patient doit être transmise au conseil départemental de l’Ordre, qui a l’obligation de tenter une conciliation.

En cas d’échec, le conseil départemental de l’Ordre a l’obligation de transmettre la plainte à la chambre disciplinaire du conseil régional de l’Ordre.

'''Procédure'''

Le patient est l’une des parties à l’instance, il peut donc exercer des voies de recours (appel, pourvoi en cassation) et peut être accompagné d’un avocat. Le médecin, quant à lui, peut être assisté devant la juridiction par un avocat du barreau ou un confrère. La procédure devant les juridictions de l’Ordre est contradictoire ; l’audience est publique",False
3,OIC-005-06-A,"Dans le cas d'un dommage lié au soins mais survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur, on parle de responsabilité sans faute. Quelle est la principale conséquence de cette situation pour le patient ?",Cette question évalue la compréhension de la définition de la responsabilité sans faute et de ses conséquences pour le patient.,Le patient peut obtenir une indemnisation sans avoir à prouver la faute du soignant.,Cette option est correcte car elle décrit la principale conséquence de la responsabilité sans faute pour le patient : l'obtention d'une indemnisation sans avoir à prouver la faute du soignant.,Le soignant est automatiquement responsable et doit indemniser le patient.,"Cette option est incorrecte car elle suggère que le soignant est automatiquement responsable et doit indemniser le patient, ce qui n'est pas nécessairement le cas en responsabilité sans faute.",Le patient doit prouver la faute du soignant pour obtenir une indemnisation.,"Cette option est incorrecte car elle suggère que le patient doit prouver la faute du soignant pour obtenir une indemnisation, ce qui n'est pas nécessaire en responsabilité sans faute.",Le soignant peut être poursuivi pénalement pour négligence.,"Cette option est incorrecte car elle suggère que le soignant peut être poursuivi pénalement pour négligence, ce qui n'est pas nécessairement le cas en responsabilité sans faute.",a,"{{objectif de connaissance
|Identifiant=OIC-005-06-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité sans faute
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=6}}

Dans le cas d'un dommage lié au soins mais survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur, on parle de responsabilité sans faute.

Le législateur a reconnu des systèmes d’indemnisation pour lesquels la responsabilité peut être engagée à partir d’un autre fait générateur que la faute prouvée. C’est le cas de la survenue d’une infection nosocomiale.",False
4,OIC-005-07-A,Quelle est la définition de la faute dans le contexte de la responsabilité médicale ?,"La faute est un élément clé pour comprendre la responsabilité médicale. Elle peut prendre différentes formes, mais elle doit être prouvée pour engager la responsabilité du professionnel de santé.",La faute est une violation des connaissances médicales avérées ou des données acquises de la science.,Cette définition est correcte. La faute technique consiste en une violation des connaissances médicales avérées ou des données acquises de la science. Le juge se réfère à ces connaissances pour évaluer la responsabilité du professionnel de santé.,La faute est une atteinte au secret professionnel ou un défaut d’information ne permettant pas un consentement libre et éclairé.,"Cette définition est correcte. La faute peut également prendre la forme d’une violation d’un devoir d’humanisme, qui renvoie à la dimension « humaine » de la pratique médicale. Un défaut d’information ne permettant pas un consentement libre et éclairé est un exemple de cette forme de faute.",La faute est un défaut d’un produit de santé considéré comme défectueux.,"Cette définition est incorrecte. La faute peut prendre différentes formes, mais elle ne se limite pas à un défaut d’un produit de santé. Un produit de santé peut être considéré comme défectueux lorsqu’il n’offre pas la sécurité à laquelle on peut légitimement s’attendre, mais cela n’est qu’un exemple de faute.",La faute est une atteinte au droit à la protection de la santé ou au droit au respect de la dignité.,"Cette définition est incorrecte. La faute peut prendre différentes formes, mais elle ne se limite pas à une atteinte au droit à la protection de la santé ou au droit au respect de la dignité. Ces droits sont importants, mais ils ne constituent pas la définition de la faute en elle-même.",a,"{{objectif de connaissance
|Identifiant=OIC-005-07-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la faute
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=7}}

Depuis la loi du 4 mars 2002 ont été substitués aux obligations professionnelles du médecin les droits du patient légalement consacrés. Un patient peut se prévaloir d’une atteinte à l’un de ses droits pour rechercher la responsabilité d’un médecin ou d’un établissement de santé. Il lui incombe cependant de prouver la faute. L’article L.1142-1 du Code de la santé publique stipule que les professionnels et établissements de santé ne sont responsables des conséquences dommageables d’actes de prévention, de prévention ou de soins qu’en cas de faute.

'''Droits du patient'''

L’atteinte de l’un de ces droits peut constituer un fait générateur de responsabilité médicale pour faute :

- droit à la protection de la santé ;

- droit au respect de la dignité ;

- droit à ne pas subir de discrimination dans l’accès à la prévention ou aux soins ;

- droit au respect de la vie privée et au secret des informations ;

- droit de recevoir les traitements et les soins les plus appropriés et de bénéficier des thérapeutiques dont l’efficacité est reconnue et qui garantissent la meilleure sécurité sanitaire et le meilleur apaisement possible de la souffrance au regard des connaissances médicales avérées ;

- droit de ne pas subir des actes témoignant d’une obstination déraisonnable ;

- droit à une sédation profonde et continue provoquant une altération de la conscience maintenue jusqu’au décès ;

- droit de recevoir des traitements et des soins visant à soulager la souffrance ;

- droit d’accéder à des soins palliatifs et à un accompagnement ;

- droit d’être informé sur son état de santé ;

-droit à une information sur les frais auxquels l’usager pourrait être exposé à l’occasion d’activités de prévention, de diagnostic et de soins ;

- droit de refuser ou de ne pas recevoir un traitement


Le fait générateur de responsabilité doit donc être une faute prouvée. Cette faute peut revêtir différentes formes et l’on distingue habituellement :

- la faute technique, qui consiste en une violation des connaissances médicales avérées ou des données acquises de la science. Ces connaissances médicales avérées constituent un standard technique auquel le juge se réfère, et peuvent être définies en référence à la littérature scientifique médicale ainsi qu’aux recommandations de bonnes pratiques. Le juge devra se référer aux connaissances médicales avérées au moment de l’acte médical litigieux ;

- la violation d’un devoir d’humanisme, qui renvoie à la dimension « humaine » de la pratique médicale, et peut notamment résulter de l’atteinte au secret professionnel ou d’un défaut d’information ne permettant pas un consentement libre et éclairé.

Dans certains cas, le fait générateur peut prendre d’autres formes : il peut s’agir du défaut d’un produit de santé, le produit étant considéré comme défectueux lorsqu’il n’offre pas la sécurité à laquelle on peut légitimement s’attendre.",False
5,OIC-005-08-A,Qu'est-ce qui caractérise une erreur médicale ?,La question évalue la compréhension de la définition de l'erreur médicale.,Une action qui a été faite mais qui n'était pas utile.,"Cette option décrit l'erreur par commission, qui est un type d'erreur médicale.",Une action qui n'a pas été faite alors qu'elle était nécessaire.,"Cette option décrit l'erreur par omission, qui est un autre type d'erreur médicale.",Une action mal réalisée.,"Cette option décrit l'erreur d'exécution, qui est un type d'erreur médicale.",Un non-respect d'une recommandation ou d'une règle professionnelle.,"Cette option décrit la violation, qui est un type d'erreur médicale.",b,"{{objectif de connaissance
|Identifiant=OIC-005-08-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’erreur médicale
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=8}}

<br />L’être humain est faillible et il est dans sa nature de faire des erreurs. Reconnaitre qu’on peut faire des erreurs est un préalable à l’adoption de comportement de prévention des erreurs. Reconnaître qu’on a fait une erreur est une occasion d’apprendre et de progresser. C’est vrai au niveau des individus mais c’est vrai aussi au niveau des organisations. Quand une organisation met en place des dispositifs d’identification, d’analyse et de prévention des erreurs on parle « d’organisation apprenante ».

On parle d’erreur par omission quand une action nécessaire n’a pas été faite. L’erreur par commission désigne une action qui a été faite mais qui n’était pas utile. L’erreur d’exécution désigne une action mal réalisée.

On parle de violation (ou de non-conformité) en cas de non-respect d’une recommandation ou d’une règle professionnelle. Ce non-respect peut être routinier (mauvaise habitude), issu d’une priorisation personnelle (pour gagner du temps par exemple) ou induite par le contexte (suractivité, urgence, etc.).

Les erreurs dans le domaine des soins peuvent concerner les actions de prévention, de diagnostic ou de traitement. Elles peuvent ou non avoir entraîné un dommage pour le patient. Elles sont involontaires et évitables. On parle d’événement indésirable grave (EIG) lorsque le dommage est un décès, ou une complication grave ou, au minimum, une prolongation d’hospitalisation d’un jour.

L’être humain est faillible et il est dans sa nature de faire des erreurs. Reconnaitre qu’on peut faire des erreurs est un préalable à l’adoption de comportement de prévention des erreurs. Reconnaître qu’on a fait une erreur est une occasion d’apprendre et de progresser. C’est vrai au niveau des individus mais c’est vrai aussi au niveau des organisations. Quand une organisation met en place des dispositifs d’identification, d’analyse et de prévention des erreurs on parle « d’organisation apprenante ».

'''Les types d’erreur : omission, commission, exécution, violation''' 

On parle d’erreur par omission quand une action nécessaire n’a pas été faite. L’erreur par commission désigne une action qui a été faite mais qui n’était pas utile. L’erreur d’exécution désigne une action mal réalisée.

On parle de violation (ou de non-conformité) en cas de non-respect d’une recommandation ou d’une règle professionnelle. Ce non-respect peut être routinier (mauvaise habitude), issu d’une priorisation personnelle (pour gagner du temps par exemple) ou induite par le contexte (suractivité, urgence, etc.).",True
6,OIC-005-09-A,Qu'est-ce qui caractérise l'accident médical par rapport à l'affection iatrogène ?,La question évalue la compréhension de la différence entre accident médical et affection iatrogène.,"L'accident médical est une conséquence d'une erreur ou d'une faute du professionnel de santé, tandis que l'affection iatrogène est une conséquence d'un traitement conforme aux bonnes pratiques.","Cette option est incorrecte car elle confond accident médical et affection iatrogène. L'accident médical peut être causé par une erreur ou une faute, mais il peut aussi être un événement indésirable survenu dans le cadre de soins conformes aux bonnes pratiques, ce qui est l'aléa thérapeutique.","L'accident médical est un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, tandis que l'affection iatrogène est une conséquence d'un traitement conforme aux bonnes pratiques.","Cette option est correcte car elle définit correctement l'accident médical et l'affection iatrogène. L'accident médical est un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, tandis que l'affection iatrogène est une conséquence d'un traitement conforme aux bonnes pratiques.","L'accident médical est une conséquence d'un traitement conforme aux bonnes pratiques, tandis que l'affection iatrogène est une conséquence d'une erreur ou d'une faute du professionnel de santé.","Cette option est incorrecte car elle confond accident médical et affection iatrogène. L'accident médical peut être causé par une erreur ou une faute, mais il peut aussi être un événement indésirable survenu dans le cadre de soins conformes aux bonnes pratiques, ce qui est l'aléa thérapeutique.","L'accident médical est une conséquence d'un traitement conforme aux bonnes pratiques, tandis que l'affection iatrogène est une conséquence d'un traitement non conforme aux bonnes pratiques.","Cette option est incorrecte car elle confond accident médical et affection iatrogène. L'accident médical peut être causé par une erreur ou une faute, mais il peut aussi être un événement indésirable survenu dans le cadre de soins conformes aux bonnes pratiques, ce qui est l'aléa thérapeutique. L'affection iatrogène est une conséquence d'un traitement conforme aux bonnes pratiques, même si ce traitement déclenche de nouveaux symptômes.",b,"{{objectif de connaissance
|Identifiant=OIC-005-09-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’accident médical et de l’affection iatrogène
|Description=None
|Rubrique=Définition
|Contributeurs=Patrice François
|Ordre=9}}

L’accident médical désigne un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic. Cet accident entraîne un dommage anormal au regard de l’évolution prévisible de l'état de santé. Il peut s’être produit dans n’importe quel lieu de soins : un établissement de santé, public ou privé, un cabinet d’un professionnel de santé exerçant en libéral, un laboratoire d’analyses médicales, de radiologie, une pharmacie, etc. Un accident médical peut être causé par une erreur d’un professionnel de santé ou découler de soins conformes aux bonnes pratiques et s'appelle alors « l’aléa thérapeutique ».

Les affections iatrogènes désignent l’ensemble des effets néfastes qui peuvent être provoqués par un traitement ou un acte médical. On parle d’effets iatrogènes lorsque le traitement déclenche de nouveaux symptômes, distincts de ceux qu’il est censé soigner. L’effet iatrogène peut intervenir avec ou sans mauvais usage du médicament, que ce mauvais usage soit le fait d’un professionnel de santé ou du malade lui-même. Il ne faut donc pas confondre affection iatrogène et erreur médicale. L’affection iatrogène est une conséquence de la prise d’un médicament même si l’indication était correcte et la posologie bonne. Il est donc possible d’être victime d’une affection iatrogène en dehors de toute erreur ou faute du professionnel de santé.",False
7,OIC-005-10-A,Qu'est-ce qui définit une infection nosocomiale ?,Une infection nosocomiale est une infection contractée au cours d'un séjour dans un établissement de santé. Elle est absente au moment de l'admission du patient et apparaît généralement après 48 heures d'hospitalisation.,Une infection contractée avant l'admission dans l'établissement de santé.,"Cette option est incorrecte car une infection nosocomiale est définie comme une infection contractée au cours d'un séjour dans un établissement de santé, donc après l'admission.","Une infection contractée au cours d'un séjour dans un établissement de santé, absente au moment de l'admission et apparaissant généralement après 48 heures d'hospitalisation.",Cette option est correcte car elle définit précisément une infection nosocomiale.,"Une infection contractée au cours d'un séjour dans un établissement de santé, présente au moment de l'admission et apparaissant avant 48 heures d'hospitalisation.","Cette option est incorrecte car une infection nosocomiale est définie comme une infection contractée au cours d'un séjour dans un établissement de santé, donc après l'admission.","Une infection contractée au cours d'un séjour dans un établissement de santé, présente au moment de l'admission et apparaissant après 48 heures d'hospitalisation.","Cette option est incorrecte car une infection nosocomiale est définie comme une infection contractée au cours d'un séjour dans un établissement de santé, donc après l'admission.",b,"{{objectif de connaissance
|Identifiant=OIC-005-10-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’infection nosocomiale
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=10}}

Les infections nosocomiales sont les infections contractées au cours d’un séjour dans un établissement de santé (hôpital, clinique…). Elle est aussi appelée infection associée aux soins. Ceci veut dire que ces infections sont absentes au moment de l’admission du patient dans l’établissement. Cependant, si l’état infectieux du patient à l’admission est inconnu, l’infection est généralement considérée comme nosocomiale si elle apparaît après 48 heures d’hospitalisation. Si elle apparaît avant un tel délai, on considère en général qu’elle était en incubation lors de l’entrée dans l’établissement.",False
8,OIC-005-11-A,Qu'est-ce qui caractérise l'aléa thérapeutique ?,L'aléa thérapeutique est un concept clé en responsabilité médicale. Il se distingue des erreurs par son inévitabilité et son lien avec des risques inhérents à l'acte médical.,C'est un événement indésirable résultant d'une action de soins conforme et ne comportant pas d'erreur.,C'est la définition exacte de l'aléa thérapeutique. Il est inévitable et lié à des risques inhérents à l'acte médical.,C'est un accident médical causé par une faute du praticien.,C'est une erreur courante. L'aléa thérapeutique est défini comme un accident médical sans faute.,C'est un effet secondaire d'un médicament correctement prescrit et administré.,"C'est un exemple d'aléa thérapeutique, mais la question demande ce qui caractérise l'aléa thérapeutique en général.","C'est un événement imprévu causant un dommage ayant un lien de causalité certain avec l'acte médical, mais sans responsabilité des professionnels de santé.","C'est une définition correcte, mais elle ne capture pas l'essence de ce qui caractérise l'aléa thérapeutique. La question demande ce qui le définit, pas ce qu'il est.",a,"{{objectif de connaissance
|Identifiant=OIC-005-11-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’aléa thérapeutique
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=11}}

L’aléa thérapeutique se distingue des erreurs par son inévitabilité. C’est un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d’erreur. Il est lié à la réalisation d’un risque inhérent à l’action de soins. On peut citer comme exemple la survenue d’un effet secondaire d’un médicament correctement prescrit et administré.  L’aléa thérapeutique est défini comme étant un accident médical (événement imprévu causant un dommage ayant un lien de causalité certain avec l’acte médical), une affection iatrogène (les soins délivrés au patient ont causé le dommage) ou une infection nosocomiale (l’infection apparaît après une hospitalisation et était absente le jour de l’admission) qui est survenue sans responsabilité des professionnels de santé ou de l’établissement de santé. D’après la jurisprudence, l’aléa thérapeutique consiste dans « la survenance, en dehors de toute faute du praticien, d’un risque accidentel inhérent à l’acte médical et qui ne pouvait être maîtrisé ».  Tout risque inhérent à l’acte de soin, de diagnostic ou de prévention peut constituer un aléa thérapeutique.",True
9,OIC-005-12-B,Quels sont les principaux facteurs conduisant à l'ouverture d'un contentieux à la suite d'un accident médical ?,Cette question évalue la compréhension des facteurs humains et organisationnels qui peuvent conduire à l'ouverture d'un contentieux à la suite d'un accident médical.,La gravité de la maladie du patient,Cette option est incorrecte car elle ne prend pas en compte les facteurs humains et organisationnels qui peuvent conduire à l'ouverture d'un contentieux.,Les difficultés de communication entre le patient et les soignants,Cette option est correcte car elle met en évidence un facteur humain qui peut conduire à l'ouverture d'un contentieux.,La vulnérabilité de certaines populations de patients,Cette option est correcte car elle met en évidence un facteur humain qui peut conduire à l'ouverture d'un contentieux.,La disponibilité de ressources humaines qualifiées,Cette option est incorrecte car elle ne prend pas en compte les facteurs humains et organisationnels qui peuvent conduire à l'ouverture d'un contentieux.,b,"{{objectif de connaissance
|Identifiant=OIC-005-12-B
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=B
|Intitulé=Identifier les principaux facteurs conduisant à l’ouverture d’un contentieux à la suite d’un accident médical
|Description=None
|Rubrique=Epidémiologie
|Contributeurs=Bastien Boussat
|Ordre=12}}

Les facteurs peuvent être liés :

- au patient : état de santé, gravité des maladies associées, difficultés de communication (langue, conflit avec les soignants, etc.), vulnérabilité de certaines populations de patients (personnes âgées, patients atteints de maladies chroniques, enfants, adolescents, personnes atteintes d’un handicap, démunies, etc.) ;

- aux tâches à accomplir ;

- à l’équipe : communication au sein de l’équipe et avec le patient dans la relation thérapeutique, traçabilité de l’information dans le dossier du patient, encadrement des juniors en cours d’apprentissage ;

- à l’environnement de travail : physique (locaux, matériels, fournitures, etc.) ou organisationnel (disponibilité de ressources humaines qualifiées, organisation du travail, horaires, etc.) ;

- à l’organisation et au management : politiques de remplacement du personnel absent (pas de remplacement, intérim, déplacement), de formation continue, de gestion des équipements ;

- au contexte institutionnel : politiques de santé publique nationale et régionale, systèmes de signalement des événements indésirables",False
