Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
0,OIC-005-01-A,Quel est l'objectif de la responsabilité civile professionnelle des médecins et des établissements de santé?,Assurer la sanction du professionnel ou de l'établissement,Indemniser les victimes d'événements indésirables associés aux soins,Couvrir les coûts des traitements médicaux,Favoriser la transparence dans les soins,b,4
1,OIC-005-01-A-,Quelle est la fonction répressive de la responsabilité pénale ?,Sanctionner les comportements répréhensibles dans notre société.,Protéger les droits des patients.,Favoriser l'exercice de soins de qualité.,Encourager la recherche médicale.,a,4
2,OIC-005-02-A,Quels professionnels exercent leur responsabilité civile devant les juridictions de l'ordre judiciaire ?,"Les médecins salariés d'établissements, services ou organismes privés",Les professionnels libéraux et les établissements de santé privés,Les praticiens hospitaliers uniquement,Aucun des professionnels mentionnés ci-dessus,b,4
3,OIC-005-02-A-,Quelle est la responsabilité engagée devant les juridictions de l'ordre administratif en cas d'actes réalisés par des médecins hospitaliers ?,Responsabilité civile personnelle du médecin,Responsabilité administrative de l'établissement public de santé,Responsabilité pénale du patient,Responsabilité disciplinaire du conseil de l'ordre des médecins,b,4
4,OIC-005-03-A,Quelles sont les instances compétentes pour juger les fautes disciplinaires des médecins ?,Chambre disciplinaire du conseil régional de l'Ordre et la chambre disciplinaire du conseil national de l'Ordre en appel.,"Conseil d'Etat, Cour de cassation et Tribunal administratif.","Cour pénale internationale, Cour européenne des droits de l'homme et Conseil de sécurité des Nations unies.",Chambre civile du conseil régional de l'Ordre et la chambre pénale du conseil national de l'Ordre en appel.,a,4
5,OIC-005-03-A-,"Qu'est-ce qu'on appelle un dommage lié au soins mais survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur ?",Responsabilité avec faute,Responsabilité sans faute,Indemnisation pour les infections nosocomiales,Erreur médicale,b,4
6,OIC-005-04-A,"Quel est l'article du Code de la santé publique qui stipule que les professionnels et établissements de santé ne sont responsables des conséquences dommageables d'actes de prévention, de prévention ou de soins qu'en cas de faute?",L. 1142-0,L. 1142-1,L. 1142-2,L. 1142-3,b,3
7,OIC-005-05-A,Qu'est-ce qu'un accident médical ?,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic.",Un dommage anormal causé par une erreur d'un professionnel de santé.,Un effet néfaste provoqué par un traitement ou un acte médical.,Une conséquence de la prise d'un médicament avec mauvais usage.,a,4
8,OIC-005-05-A-,Qu'est-ce que les infections nosocomiales ?,Infections contractées à l'extérieur d'un établissement de santé,Infections présentes au moment de l'admission du patient dans un établissement de santé,Infections contractées au cours d'un séjour dans un établissement de santé,Infections causées par des bactéries résistantes aux antibiotiques,c,4
9,OIC-005-06-A,Qu'est-ce que l'aléa thérapeutique?,Une erreur médicale causée par la négligence d'un professionnel de santé,Un événement indésirable lié à une action de soins conforme et ne comportant pas d'erreur,Un effet secondaire d'un médicament incorrectement prescrit,Une infection nosocomiale causée par la faute des professionnels de santé,b,4
10,OIC-005-06-A-,Quels sont les principaux facteurs conduisant à l'ouverture d'un contentieux à la suite d'un accident médical ?,seulement le patient,seulement l'équipe,"tous les facteurs mentionnés (patient, tâches, équipe, environnement de travail, organisation et management, contexte institutionnel)",aucun des facteurs mentionnés n'est pertinent,c,4
11,OIC-005-07-A,Quels sont les facteurs humains individuels qui peuvent conduire à des erreurs?,"Le manque de connaissances, la capacité de mémorisation limitée",Les facteurs linguistiques ou culturels,"La fatigue, le stress et le manque de temps",Tous les facteurs ci-dessus,d,4
12,OIC-005-07-A-,Quel est le but de l'analyse approfondie des causes d'erreur dans les soins médicaux?,Identifier les responsables de l'erreur,Prévenir les erreurs et les accidents en mettant en place des actions d'amélioration,Réduire les coûts liés aux soins médicaux,Améliorer la communication entre les équipes de soins,b,4
13,OIC-005-08-A,Quel est le but d'une démarche de culture positive de l'erreur dans un système de gestion des risques associés aux soins?,Culpabiliser les professionnels de santé,Favoriser le signalement et l'analyse des erreurs pour améliorer la sécurité du patient,Réduire les coûts liés à l'analyse des dossiers,Augmenter la confiance dans le système de gestion des risques associés aux soins,b,4
14,OIC-005-08-A-,Quel est le but principal d'un travail en équipe pluriprofessionnelle ?,Améliorer la communication entre les professionnels,Répondre de manière collaborative aux besoins du patient,Augmenter les coûts de la prise en charge du patient,Diminuer l'efficacité des soins,b,4
15,OIC-005-09-A-,Quel est le but du parcours de soins ?,Coordonner les compétences professionnelles pour améliorer la qualité des soins,Réduire les coûts médicaux en limitant les examens,Améliorer la communication entre les professionnels de santé,Simplifier le processus d'admission des patients,a,4
16,OIC-005-10-A,Qu'est-ce qu'un protocole pluriprofessionnel?,Un document créé par un seul professionnel,Une expression de consensus sur la prise en charge d'une maladie par plusieurs professionnels,Un outil de travail individuel,Un guide de soins pour les patients à domicile,b,4
17,OIC-005-10-A-,Quels sont les principes des réunions de concertation pluridisciplinaire (RCP) ?,Des réunions unilatérales entre médecins spécialistes,Des réunions collégiales entre au moins trois médecins de spécialités différentes,Des réunions réservées aux patients atteints de cancer,Des réunions qui ne nécessitent pas l'avis concerté et collégial,b,4
18,OIC-005-11-A,Quel est l'objectif principal d'une check-list de sécurité du patient dans le bloc opératoire?,Simplifier les procédures médicales,Favoriser la communication entre professionnels,Réduire les erreurs médicales,Améliorer la gestion des ressources hospitalières,c,4
19,OIC-005-12-B,Quel est le rôle du Samu-Centre 15 dans la gestion d'un appel d'urgence?,Assurer l'accueil des patients en urgence,Déterminer et déclencher la réponse la plus adaptée à l'appel dans le délai le plus rapide,Organiser les transports de patients,Fournir des soins médicaux directement sur place,b,4
20,OIC-005-12-B-,Quels sont les critères interdits pour faire des différences de traitement en France ?,"Appartenance ethnique, opinions politiques, identité de genre, orientation sexuelle, nationalité","Âge, sexe, lieu de résidence, situation de perte d'autonomie","Capacité à s'exprimer en français, apparence physique, patronyme",Tous les critères sont autorisés,a,4
21,OIC-005-13-A,Quels sont les principaux effets des discriminations sur les inégalités sociales et inégalités de santé?,Les discriminations n'affectent pas la santé,"Les discriminations accentuent le stress, contribuent au non-recours aux soins et aggravent les déterminants sociaux de la santé",Les discriminations améliorent l'état de santé des personnes discriminées,Les discriminations n'ont aucun impact sur la santé,b,4
22,OIC-005-13-A-,Quels sont les facteurs structurels et organisationnels qui contribuent aux discriminations en santé?,Seulement des représentations sociales,"Des dysfonctionnements dans le système de santé, un défaut de prise en charge ou un abaissement de la qualité des soins.",Un manque d'information sur les patients,Une mauvaise volonté des soignants,b,4
23,OIC-005-15-B,Quel est l'objectif principal du Code de déontologie médicale?,Définir les lois régissant la médecine,Favoriser le bon fonctionnement du corps professionnel des médecins,Souscrire à l'administration et au gouvernement,Publier au Journal Officiel sous la signature du Premier ministre,b,4
24,OIC-005-15-B-,Quels sont les quatre grands principes de l'éthique médicale selon Beauchamp et Childress ?,"Bienfaisance, non-malfaisance, autonomie, justice","Justice, autonomie, bienfaisance, non-malfaisance","Non-malfaisance, bienfaisance, autonomie, liberté","Autonomie, justice, liberté, non-malfaisance",a,4
25,OIC-006-01-A,Quel est le principe philosophique qui a influencé l'importance accordée à l'autonomie du patient dans les soins médicaux ?,Le principe de bienfaisance,Le principe d'autonomie individuelle,Le principe de non-malfaisance,Le principe de justice distributive,b,4
26,OIC-006-01-A-,Quel est l'objectif principal du droit à l'information pour un patient ?,Permettre au médecin de prendre une décision sans pression,Donner au patient la possibilité de participer à son parcours de soins et d'organiser sa vie en conséquence,Faire un choix thérapeutique pour le patient,Respecter l'autonomie du médecin dans ses décisions,b,4
27,OIC-006-02-A,Quel est le droit du patient en matière de refus de soins ?,Le médecin a la priorité sur les décisions du patient.,"Le patient a le droit de faire respecter sa volonté en consentant aux investigations et aux soins ou en les refusant, même si cela implique un risque pour sa santé ou sa vie.",Le médecin peut refuser les soins sans consulter le patient.,Le patient ne peut pas refuser les soins s'il est mineur.,b,4
28,OIC-006-02-A-,Qui peut être désigné comme personne de confiance ?,Seul le conjoint ou un parent,"Tout proche majeur, quel que soit son lien avec le patient",Un ami ou un membre d'association,Seul un médecin,b,4
29,OIC-006-03-A,Quelle est l'acception majeure de la vulnérabilité en sciences humaines et sociales ?,"La vulnérabilité comme constitutive de l’existence humaine, universellement partagée.",La vulnérabilité comme dépendante de contextes historiques et sociaux particuliers.,La vulnérabilité comme une condition négative qui empêche l'autonomie.,La vulnérabilité comme un problème à résoudre par la puissance et le contrôle.,a,4
30,OIC-006-03-A-,Quel est l'objectif principal des mesures de protection juridique?,Protéger les intérêts financiers d'une personne,Assurer la sécurité et la dignité d'une personne vulnérable,Favoriser l'autonomie des personnes protégées,Réduire les coûts médicaux pour les patients,b,4
31,OIC-006-04-B,Quelle est la principale différence entre la curatelle et la tutelle?,La curatelle est plus protectrice que la tutelle.,La tutelle est plus protectrice que la curatelle.,"La curatelle est réservée aux mineurs, tandis que la tutelle est réservée aux majeurs.","La curatelle est réservée aux personnes ayant des problèmes de santé mentale, tandis que la tutelle est réservée aux personnes ayant des problèmes physiques.",b,4
32,OIC-006-05-A-,L'interruption médicale de grossesse peut avoir lieu à tout moment d'une grossesse si la poursuite de la grossesse met en péril grave la santé de la femme.,a,b,c,d,a,1
33,OIC-006-06-A,Quel est l'objectif principal du diagnostic prénatal (DPN) selon la loi française ?,Prévenir ou traiter une affection d'une particulière gravité dans l'intérêt de la mère,Prévenir ou traiter une affection d'une particulière gravité dans l'intérêt de l'enfant à naître,Dépister toutes les anomalies fœtales possibles,Fournir des informations aux parents sur la santé de leur enfant avant sa naissance,b,4
34,OIC-006-06-A-,Quel est l'objectif principal du diagnostic préimplantatoire (DPI) ?,Déterminer le sexe de l'enfant,Éviter la transmission d'une maladie génétique présente chez les futurs parents,Choisir un embryon compatible avec une greffe de moelle,Faire un diagnostic prénatal,b,4
35,OIC-006-07-A,Quel est l'enjeu éthique concernant l'information du patient en fin de vie ?,Donner une information honnête et claire pour respecter la dignité de la personne.,Respecter l'autonomie de la personne malade et son droit à être informée de son état de santé.,Soulager les douleurs et souffrances de la personne sans prendre en compte ses besoins émotionnels.,Accélérer le processus du mourir pour éviter les souffrances physiques.,b,4
36,OIC-006-07-A-,Quel est le but principal de la loi Clayes-Léonetti ?,Améliorer les traitements médicaux pour les patients en fin de vie.,Donner un cadre législatif pour répondre à l'obstination déraisonnable et promouvoir l'autonomie du patient.,Réduire les coûts des soins palliatifs.,Augmenter la durée de vie des patients en fin de vie.,b,4
37,OIC-008-01-A-,Quel était le but principal de la loi Huriet-Sérusclat en 1988 ?,Établir un cadre unique pour toutes les recherches impliquant la personne humaine,Protéger les personnes participant à des recherches biomédicales et établir des règles de sécurité juridique,Définir les rôles des acteurs dans une recherche biomédicale,Abroger la loi Jardé en 2012,b,4
38,OIC-008-03-B,Qui peut être donneur vivant selon la loi ?,Seuls les pères et mères des receveurs,Toute personne apportant la preuve d’une vie commune d’au moins deux ans avec le receveur,"Les frères et sœurs, les fils et filles, les grands-parents, les oncles et tantes, les cousins germains et cousines germaines",Seuls les conjoints des receveurs,b,4
39,OIC-009-02-A,Quelle est la différence entre la perception du corps propre et des corps d'autrui?,Nous avons tous la même perception,La perception est identique mais dépend de l'expérience vécue,"Nous avons une perception différente, notamment chez le malade",La perception ne change pas avec les expériences vécues,c,4
40,OIC-009-03-A,Quels sont les quatre logiques de protection sociale ?,"Assurance sociale obligatoire, assistance sociale, protection universelle et prévoyances individuelles.","Assistance sociale, protection universelle, prévoyance collective et assurance privée.","Protection universelle, prévoyance individuelle, assurance sociale et assistance sociale.","Prévoyance collective, assurance obligatoire, protection universelle et assistance sociale.",a,4
41,OIC-009-03-A-,Quels sont les deux types de prestations sociales en France?,en espèces avec des revenus de remplacement ou en nature,en nature uniquement,en espèces uniquement,à des prix réduits uniquement,a,4
42,OIC-009-04-A,Quels sont les deux principaux risques sociaux à l'origine des poids financiers les plus importants dans les dépenses de protection sociale en France ?,Vieillesse et santé,Chômage et invalidité,Santé et accidents du travail,Revenu et emploi,a,4
43,OIC-009-04-A-,Quelles sont les sources de financement de la protection sociale en France?,Seulement les cotisations sociales,"Les cotisations sociales, les impôts et taxes affectés, ainsi que les contributions publiques de l'État","Les impôts et taxes affectés, ainsi que les contributions publiques de l'État",Seulement les impôts et taxes affectés,b,4
44,OIC-009-05-A,Quels sont les groupes de population couverts par le Régime général ?,Seuls les travailleurs salariés du secteur privé,"Les travailleurs salariés du secteur privé, les étudiants et les chômeurs",Tous les groupes de population sans exception,Les agents contractuels de l’État et les indépendants,b,4
45,OIC-009-05-A-,Qui vote la loi de financement de la Sécurité Sociale (LFSS) chaque année?,Le gouvernement,Le Parlement,La Cour des Comptes,Le Conseil d'État,b,3
46,OIC-009-06-A,Quel est l'objectif de l'ONDAM?,Fixer les dépenses de l'assurance maladie,Réguler les dépenses de l'assurance maladie,Déterminer le montant des primes d'assurance maladie,Évaluer la qualité des soins médicaux,b,4
47,OIC-009-07-A,Quels sont les risques gérés par la Caisse nationale d'assurance maladie (CNAM) ?,"maladie, maternité, invalidité et décès",accidents du travail et maladies professionnelles,chômage et retraite,pauvreté et exclusion sociale,a,4
48,OIC-009-07-A-,Quel est l&#39;objectif du ticket modérateur ?,Réguler la consommation de soins en responsabilisant financièrement le patient.,Réduire les coûts des soins pour les patients.,Augmenter les remboursements des soins pour les patients.,Améliorer la qualité des soins pour les patients.,a,4
49,OIC-009-08-A,Qui est le pivot du parcours de soins coordonnés?,Le patient,Le médecin traitant,L'assurance maladie,Le spécialiste,b,4
50,OIC-009-08-A-,Quelles sont les conditions pour bénéficier d'une exonération du ticket modérateur en cas de forme grave ou invalidante d'une maladie non présente sur la liste des 30 ALD?,La durée prévisible du traitement doit être inférieure à six mois,Le traitement doit être particulièrement coûteux et prolongé d’une durée supérieure à six mois,L'assurance maladie prend en charge les frais à 50 %,La thérapeutique doit comporter un traitement médicamenteux,b,4
51,OIC-009-09-B,Quelles sont les prestations en espèces de l'assurance maladie ?,Prestations en nature,Indemnités journalières versées à compter du 4ème jour de l'arrêt de travail,Prise en charge des frais engagés avec application d'un ticket modérateur,"Pension d'invalidité calculée en fonction du revenu, de la capacité résiduelle de travail et du besoin éventuel d'une tierce personne",b,4
52,OIC-009-10-B,Quel est l'objectif principal d'un protocole de recherche en santé?,Décrire la méthodologie de la recherche,Répondre à plusieurs questions/hypothèses,"Aboutir à un résultat principal fiable, valide et pertinent",Calculer le nombre de sujets nécessaire,c,4
53,OIC-009-10-B-,Quels sont les textes de loi qui réglementent la recherche clinique en France?,Loi Jardé et code de la Santé Publique,Loi Jardé et code pénal,Code de la santé publique et loi sur l'environnement,Loi Jardé et loi sur les transports,a,4
54,OIC-009-11-A,Quels arguments utiles à la justification d'une problématique de recherche ?,Les résultats des études précédemment menées,L'analyse de l'état actuel des connaissances et les épidémiologiques,La fréquence du problème de santé étudié,Les hypothèses physiopathologiques plausibles,b,4
55,OIC-009-11-A-,Quel est l'objectif principal d'une recherche ?,Déterminer plusieurs objectifs à la recherche,Formuler des hypothèses de recherche,Hiérarchiser les objectifs en objectif principal et secondaire,Vérifier une hypothèse 'a priori',d,3
56,OIC-009-12-B,Quel est l'objectif principal des études à visée descriptive ?,Identifier les facteurs de risque associés à un phénomène de santé,Décrire la distribution ou l'évolution de la fréquence des événements de santé et de leurs déterminants dans une population,Évaluer les performances d'une méthode diagnostique ou de dépistage,Établir un lien de causalité entre un facteur d'exposition et un phénomène de santé,b,4
57,OIC-009-12-B-,Quelle modalité d'échantillonnage consiste à tirer au sort des individus dans chaque sous-population définie par une variable catégorielle ?,Recrutement exhaustif,Sondage aléatoire simple,Sondage stratifié,Méthode des quotas,c,4
58,OIC-009-13-A,Quelles sont les sources de données issues des systèmes de surveillance épidémiologique ?,Registres de morbidité et déclarations obligatoires,Réseaux sentinelles et statistiques vitales,Système National des Données de Santé (SNDS) et Entrepôts hospitaliers de données de santé (EDS),Toutes les options précédentes,d,4
