,id,question,option_a,option_b,option_c,option_d,correct_option
0,OIC-005-01-A,Quelle est la principale différence entre la sanction et l'indemnisation dans le cadre de la responsabilité des professionnels de santé?,"La sanction est réservée aux professionnels de santé, tandis que l'indemnisation peut être obtenue par les établissements de santé.","La sanction est une mesure pénale, tandis que l'indemnisation est une mesure civile.","La sanction est réservée aux professionnels de santé, tandis que l'indemnisation est réservée aux établissements de santé.","La sanction est une mesure disciplinaire, tandis que l'indemnisation est une mesure pénale.",b
1,OIC-005-01-A-,Quel type de dommage peut être indemnisé en cas de défaut d'information?,Une atteinte à l'intégrité physique uniquement.,Une perte de chance de survie ou de guérison.,Une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé.,Une perte de chance de survie ou de guérison et une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé.,d
2,OIC-005-02-A,Quel type de responsabilité civile engagent les professionnels exerçant à titre libéral et les établissements de santé privés?,Responsabilité civile devant les juridictions de l’ordre judiciaire,Responsabilité civile devant les juridictions de l’ordre administratif,Responsabilité civile devant les juridictions de l’ordre disciplinaire,Responsabilité civile devant les juridictions de l’ordre pénal,a
3,OIC-005-02-A-,"Quel est le régime de responsabilité des médecins salariés d’établissements, services ou organismes privés?",Responsabilité civile personnelle,Responsabilité civile collective,Responsabilité civile du commettant,Responsabilité civile du salarié,c
4,OIC-005-03-A,Quelle est la responsabilité engagée par un médecin hospitalier pour les actes qu'il réalise?,La responsabilité civile personnelle du médecin,La responsabilité pénale du médecin,La responsabilité administrative de l'établissement public de santé,La responsabilité disciplinaire du médecin,c
5,OIC-005-04-A-,Quelles sont les juridictions compétentes pour la mise en œuvre de la responsabilité disciplinaire?,Chambre disciplinaire du conseil régional de l’Ordre et chambre disciplinaire du conseil national de l’Ordre en appel,Chambre disciplinaire du conseil régional de l’Ordre et tribunal correctionnel,Chambre disciplinaire du conseil régional de l’Ordre et tribunal administratif,Chambre disciplinaire du conseil régional de l’Ordre et chambre disciplinaire du conseil national de l’Ordre en appel et pouvoir en cassation devant le Conseil d’Etat,d
6,OIC-005-05-A,Quelle est la définition de la responsabilité sans faute en médecine?,La responsabilité sans faute concerne uniquement les erreurs médicales.,La responsabilité sans faute est engagée lorsque le médecin a commis une faute.,La responsabilité sans faute est applicable lorsque le dommage est lié au soin mais sans manquement aux règles professionnelles ou scientifiques.,La responsabilité sans faute ne peut être engagée que dans les cas de faute prouvée.,c
7,OIC-005-05-A-,Dans quel cas la responsabilité sans faute peut-elle être engagée selon le législateur?,Lorsqu'un médecin commet une erreur médicale.,Lorsqu'un patient développe une infection nosocomiale.,Lorsqu'un médecin ne respecte pas les règles professionnelles.,Lorsqu'un patient est victime d'une faute médicale prouvée.,b
8,OIC-005-06-A,Quel est le droit qui permet à un patient de se prévaloir d’une atteinte pour rechercher la responsabilité d’un médecin ou d’un établissement de santé?,Droit à la protection de la santé,Droit au respect de la dignité,Droit à la confidentialité des informations,Droit à la discrimination dans l’accès aux soins,a
9,OIC-005-06-A-,Quelle est la forme de faute qui consiste en une violation des connaissances médicales avérées ou des données acquises de la science?,Faute technique,Violation d’un devoir d’humanisme,Défaut d’un produit de santé,Délai de prescription,a
10,OIC-005-07-A,Quelle est la définition d'une erreur médicale par omission?,Une action mal réalisée,Une action qui n'était pas utile,Une action nécessaire non faite,Un non-respect d'une recommandation,c
11,OIC-005-07-A-,Quel terme désigne une action mal réalisée dans le domaine des soins?,Erreur par omission,Erreur par commission,Erreur d'exécution,Violation,c
12,OIC-005-08-A,Quelle est la définition d'un accident médical?,"Un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l’évolution prévisible de l'état de santé.","Un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic, sans dommage au regard de l’évolution prévisible de l'état de santé.","Un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic, entraînant un dommage au regard de l’évolution prévisible de l'état de santé.","Un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic, sans dommage au regard de l’évolution prévisible de l'état de santé, mais causé par une erreur d’un professionnel de santé.",a
13,OIC-005-09-A,Quelle est la définition d'une infection nosocomiale?,Infection contractée avant l'admission dans un établissement de santé,Infection contractée pendant un séjour dans un établissement de santé,Infection contractée après un séjour dans un établissement de santé,Infection contractée par un personnel de santé,b
14,OIC-005-09-A-,Quelle est la période minimale après laquelle une infection est généralement considérée comme nosocomiale si elle apparaît après l'admission?,24 heures,36 heures,48 heures,72 heures,c
15,OIC-005-10-A,Quelle est la définition de l'aléa thérapeutique selon la jurisprudence?,Un accident médical causé par une erreur de diagnostic,Un événement imprévu causant un dommage lié à l'acte médical sans faute du praticien,Une infection nosocomiale due à une faute des professionnels de santé,Un effet secondaire d'un médicament administré de manière incorrecte,b
16,OIC-005-10-A-,Quel est un exemple d'aléa thérapeutique selon la définition donnée?,Une erreur de prescription médicamenteuse,Une infection nosocomiale survenue pendant l'hospitalisation,Un effet secondaire d'un médicament correctement prescrit et administré,Une faute de diagnostic par un médecin,c
17,OIC-005-11-A,Quels sont les principaux facteurs conduisant à l’ouverture d’un contentieux à la suite d’un accident médical?,Seulement liés au patient,Seulement liés à l’équipe,"Liés au patient, aux tâches, à l’équipe, à l’environnement de travail, à l’organisation et au management, au contexte institutionnel",Seulement liés à l’environnement de travail,c
18,OIC-005-12-B,Quels sont les facteurs humains individuels qui peuvent conduire à des erreurs?,La fatigue et le stress,La bonne organisation de l'équipe,La communication efficace,La définition claire des rôles,a
19,OIC-005-13-A,Quel est le modèle le plus souvent présenté pour l'analyse approfondie des causes d'erreur?,Modèle de Reason,Modèle de l'arbre des causes,Modèle de la chaîne de défaillance,Modèle de la spirale de la qualité,a
20,OIC-005-13-A-,Quelles sont les trois types de barrières de sécurité?,"Barrières de prévention, barrières de récupération, barrières d'atténuation","Barrières de prévention, barrières de récupération, barrières de contrôle","Barrières de prévention, barrières de récupération, barrières de surveillance","Barrières de prévention, barrières de récupération, barrières de communication",a
21,OIC-005-14-B,Quel est le principal objectif de la démarche de culture positive de l'erreur?,Culpabiliser le personnel pour encourager la responsabilité,Analyser les erreurs pour améliorer la sécurité des patients,Ignorer les erreurs pour éviter les sanctions,Augmenter le nombre de signalements pour obtenir des récompenses,b
22,OIC-005-14-B-,Quel est le rôle de la cellule de gestion des risques dans un établissement de santé?,Évaluer les performances financières de l'établissement,Gérer les ressources humaines et administratives,Analyser les événements indésirables et proposer des actions d'amélioration,Organiser les activités de recherche clinique,c
23,OIC-005-15-B-,...,...,...,...,...,c
24,OIC-006-01-A-,Quel dispositif est spécifiquement utilisé pour les activités interventionnelles telles que l'endoscopie ou la radiologie interventionnelle?,Un protocole pluriprofessionnel,Les réunions de concertation pluridisciplinaire (RCP),La check-list au bloc opératoire,La réunion de morbi-mortalité (RMM),c
25,OIC-006-02-A,Quelle est la définition du parcours de soins selon le contenu éducatif?,Organiser et coordonner le juste enchaînement et au bon moment des compétences professionnelles tout au long de la prise en charge d’un patient,Organiser et coordonner le juste enchaînement et au bon moment des compétences professionnelles tout au long de la prise en charge d’un patient uniquement par les médecins,Organiser et coordonner le juste enchaînement et au bon moment des compétences professionnelles tout au long de la prise en charge d’un patient uniquement par les infirmiers,Organiser et coordonner le juste enchaînement et au bon moment des compétences professionnelles tout au long de la prise en charge d’un patient uniquement par les pharmaciens,a
