,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-01-A,Quelle est la définition de la responsabilité sanction/indemnisation?,"La question évalue la capacité à connaître la définition de la responsabilité sanction/indemnisation, qui est un concept clé dans le contexte de la responsabilité médicale.","La responsabilité d'un professionnel de santé ou d'un établissement de santé peut être recherchée à deux fins : soit la sanction du professionnel ou de l'établissement, soit l'indemnisation de l'usager victime des conséquences d'un événement indésirable associé aux soins.",Cette définition est correcte car elle décrit les deux objectifs de la responsabilité sanction/indemnisation.,La responsabilité sanction/indemnisation est uniquement destinée à sanctionner les professionnels de santé ou les établissements de santé.,Cette définition est incorrecte car elle ne prend pas en compte l'indemnisation de l'usager.,La responsabilité sanction/indemnisation est uniquement destinée à indemniser les usagers victimes des conséquences d'un événement indésirable associé aux soins.,Cette définition est incorrecte car elle ne prend pas en compte la sanction des professionnels de santé ou des établissements de santé.,La responsabilité sanction/indemnisation n'existe pas dans le contexte de la responsabilité médicale.,Cette définition est incorrecte car la responsabilité sanction/indemnisation est bien un concept clé dans le contexte de la responsabilité médicale.,a
1,OIC-005-02-A,Quelle est la définition de la responsabilité pénale?,"La question évalue la définition de la responsabilité pénale, qui est une fonction répressive ayant pour vocation de sanctionner des individus dont le comportement est réprouvé dans notre société.",La responsabilité pénale est une fonction répressive ayant pour vocation de sanctionner des individus dont le comportement est réprouvé dans notre société.,Cette définition est correcte car la responsabilité pénale a pour but de sanctionner les comportements répréhensibles.,La responsabilité pénale est une fonction de protection des droits de l'homme.,Cette définition est incorrecte car la responsabilité pénale n'est pas principalement une fonction de protection des droits de l'homme.,La responsabilité pénale est une fonction de prévention des infractions.,Cette définition est incorrecte car la responsabilité pénale n'est pas principalement une fonction de prévention des infractions.,La responsabilité pénale est une fonction de réparation des dommages.,Cette définition est incorrecte car la responsabilité pénale n'est pas principalement une fonction de réparation des dommages.,a
2,OIC-005-03-A,Quels sont les professionnels qui engagent leur responsabilité civile devant les juridictions de l'ordre judiciaire?,La question évalue la capacité à identifier les professionnels qui sont responsables civilement devant les juridictions de l'ordre judiciaire.,"Les médecins salariés d'établissements, services ou organismes privés",Cette option est incorrecte car les médecins salariés ne sont pas responsables civilement devant les juridictions de l'ordre judiciaire.,Les professionnels exerçant à titre libéral et les établissements de santé privés,Cette option est correcte car les professionnels exerçant à titre libéral et les établissements de santé privés engagent leur responsabilité civile devant les juridictions de l'ordre judiciaire.,Les praticiens hospitaliers,Cette option est incorrecte car les praticiens hospitaliers ne sont pas responsables civilement devant les juridictions de l'ordre judiciaire.,Les médecins libéraux,Cette option est incorrecte car les médecins libéraux ne sont pas les seuls à engager leur responsabilité civile devant les juridictions de l'ordre judiciaire.,b
3,OIC-005-04-A,Quelle est la définition de la responsabilité administrative?,"La question évalue la capacité à connaître la définition de la responsabilité administrative, qui est un concept clé dans le contexte des responsabilités médicales.",La responsabilité administrative est engagée lorsque le médecin commet une faute personnelle ou détachable du service.,"Cette option est incorrecte car la responsabilité administrative est engagée lorsque le service public commet une faute, pas lorsque le médecin commet une faute personnelle.",La responsabilité administrative est engagée lorsque le médecin commet une faute de service.,"Cette option est correcte car la responsabilité administrative est engagée lorsque le service public commet une faute, notamment une faute de service.",La responsabilité administrative est engagée lorsque le patient est satisfait des soins reçus.,"Cette option est incorrecte car la responsabilité administrative n'est pas engagée par la satisfaction du patient, mais par la faute commise par le service public.",La responsabilité administrative est engagée lorsque le médecin est en dehors du service.,"Cette option est incorrecte car la responsabilité administrative est engagée lorsque le service public commet une faute, pas lorsque le médecin est en dehors du service.",b
4,OIC-005-05-A,Quelle est la définition de la responsabilité disciplinaire?,"La question évalue la capacité à connaître la définition de la responsabilité disciplinaire, qui est une faute disciplinaire tout manquement aux règles de déontologie médicale.",La responsabilité disciplinaire est celle qui est encourue devant les instances de l'Ordre des médecins.,"Cette définition est correcte, car la responsabilité disciplinaire est bien celle qui est encourue devant les instances de l'Ordre des médecins.",La responsabilité disciplinaire est celle qui est encourue devant les tribunaux pénaux.,"Cette définition est incorrecte, car la responsabilité disciplinaire n'est pas encourue devant les tribunaux pénaux.",La responsabilité disciplinaire est celle qui est encourue devant les instances civiles.,"Cette définition est incorrecte, car la responsabilité disciplinaire n'est pas encourue devant les instances civiles.",La responsabilité disciplinaire est celle qui est encourue devant les instances administratives.,"Cette définition est incorrecte, car la responsabilité disciplinaire n'est pas encourue devant les instances administratives.",a
5,OIC-005-06-A,Quelle est la définition de la responsabilité sans faute?,"La question évalue la capacité à connaître la définition de la responsabilité sans faute, qui est un concept clé dans le domaine des responsabilités médicales.",La responsabilité sans faute est engagée lorsque le dommage est causé par une faute professionnelle.,Cette option est incorrecte car la responsabilité sans faute est engagée sans faute professionnelle.,La responsabilité sans faute est engagée lorsque le dommage est causé par une infection nosocomiale.,"Cette option est correcte car la responsabilité sans faute peut être engagée à partir d'un autre fait générateur que la faute prouvée, comme la survenue d'une infection nosocomiale.",La responsabilité sans faute est engagée lorsque le dommage est causé par une erreur médicale.,Cette option est incorrecte car la responsabilité sans faute est engagée sans erreur médicale.,La responsabilité sans faute est engagée lorsque le dommage est causé par une faute scientifique.,Cette option est incorrecte car la responsabilité sans faute est engagée sans faute scientifique.,b
6,OIC-005-07-A,Quelle est la définition de la faute en matière de responsabilité médicale?,"La question évalue la capacité à définir la faute en matière de responsabilité médicale, qui est un concept clé dans le Code de la santé publique.",La faute est une violation des connaissances médicales avérées ou des données acquises de la science.,"Cette définition est correcte, car la faute technique consiste en une violation des connaissances médicales avérées ou des données acquises de la science.","La faute est une violation d'un devoir d'humanisme, qui renvoie à la dimension 'humaine' de la pratique médicale.","Cette définition est également correcte, car la violation d'un devoir d'humanisme peut résulter de l'atteinte au secret professionnel ou d'un défaut d'information.",La faute est un défaut d'un produit de santé.,"Cette définition est incorrecte, car le défaut d'un produit de santé est un cas particulier de faute, mais pas la définition générale de la faute.",La faute est une atteinte à l'un des droits du patient.,"Cette définition est incorrecte, car l'atteinte à l'un des droits du patient peut constituer un fait générateur de responsabilité médicale, mais pas la définition de la faute.",a
7,OIC-005-08-A,Quel est le type d'erreur qui désigne une action qui a été faite mais qui n'était pas utile?,"Cette question évalue la capacité à identifier les différents types d'erreurs médicales, en particulier l'erreur par commission.",Erreur par omission,Cette option est incorrecte car l'erreur par omission désigne une action nécessaire qui n'a pas été faite.,Erreur par commission,Cette option est correcte car l'erreur par commission désigne une action qui a été faite mais qui n'était pas utile.,Erreur d'exécution,Cette option est incorrecte car l'erreur d'exécution désigne une action mal réalisée.,Violation,Cette option est incorrecte car la violation désigne un non-respect d'une recommandation ou d'une règle professionnelle.,b
8,OIC-005-09-A,Quelle est la définition de l'accident médical?,"La question évalue la capacité à connaître la définition de l'accident médical, qui est un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic.","Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé.",Cette option est correcte car elle correspond à la définition de l'accident médical donnée dans le contenu source.,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un bénéfice anormal au regard de l'évolution prévisible de l'état de santé.","Cette option est incorrecte car elle décrit un événement qui entraîne un bénéfice, ce qui n'est pas la définition de l'accident médical.","Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un dommage anormal au regard de l'évolution prévisible de l'état de santé, uniquement dans un établissement de santé.","Cette option est incorrecte car elle limite l'accident médical à un établissement de santé, ce qui n'est pas le cas.","Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic, entraînant un bénéfice anormal au regard de l'évolution prévisible de l'état de santé, uniquement dans un cabinet d'un professionnel de santé exerçant en libéral.","Cette option est incorrecte car elle décrit un événement qui entraîne un bénéfice, ce qui n'est pas la définition de l'accident médical, et elle limite l'accident médical à un cabinet d'un professionnel de santé exerçant en libéral, ce qui n'est pas le cas.",a
9,OIC-005-10-A,Quelle est la définition de l'infection nosocomiale?,"La question évalue la connaissance de la définition de l'infection nosocomiale, qui est un concept clé dans le domaine de la responsabilité médicale.",Infection contractée avant l'admission dans un établissement de santé,Cette option est incorrecte car l'infection nosocomiale est contractée au cours d'un séjour dans un établissement de santé.,Infection contractée au cours d'un séjour dans un établissement de santé,Cette option est correcte car elle correspond à la définition de l'infection nosocomiale.,Infection qui n'est pas associée aux soins,Cette option est incorrecte car l'infection nosocomiale est en fait associée aux soins.,Infection qui apparaît avant 48 heures d'hospitalisation,Cette option est incorrecte car l'infection nosocomiale apparaît généralement après 48 heures d'hospitalisation.,b
