,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-03-A,Quel type de responsabilité civile est engagée par un médecin salarié d'un établissement privé lorsqu'il cause des dommages à un patient ?,Cette question évalue la compréhension de la responsabilité civile des médecins salariés d'établissements privés.,Responsabilité civile personnelle,Cette option est incorrecte car les médecins salariés d'établissements privés ne sont pas responsables civilement personnels lorsqu'ils ne dépassent pas leur mission confiée par leur employeur.,Responsabilité du commettant,Cette option est correcte car les médecins salariés d'établissements privés sont responsables civilement du fait de leur employeur (le commettant) lorsqu'ils ne dépassent pas leur mission confiée.,Responsabilité civile professionnelle,Cette option est incorrecte car les médecins salariés d'établissements privés ne sont responsables civilement professionnellement que lorsqu'ils exercent à titre libéral au sein d'un établissement public de santé.,Responsabilité civile collective,Cette option est incorrecte car il n'y a pas de responsabilité civile collective pour les médecins salariés d'établissements privés.,b
1,OIC-005-07-A,Un patient a subi une atteinte à son droit à la protection de la santé. Quel type de faute peut constituer un fait générateur de responsabilité médicale pour faute ?,La question évalue la compréhension de la définition de la faute en lien avec les droits du patient.,Faute technique,Correcte. La faute technique consiste en une violation des connaissances médicales avérées ou des données acquises de la science.,Violation d’un devoir d’humanisme,"Correcte. La violation d’un devoir d’humanisme renvoie à la dimension « humaine » de la pratique médicale, et peut notamment résulter de l’atteinte au secret professionnel ou d’un défaut d’information ne permettant pas un consentement libre et éclairé.",Défaut d’un produit de santé,"Correcte. Dans certains cas, le fait générateur peut prendre d’autres formes, notamment le défaut d’un produit de santé, le produit étant considéré comme défectueux lorsqu’il n’offre pas la sécurité à laquelle on peut légitimement s’attendre.",Faute administrative,Incorrecte. La faute administrative n’est pas un type de faute qui peut constituer un fait générateur de responsabilité médicale pour faute.,a
2,OIC-005-08-A,Un médecin a omis de prescrire un traitement nécessaire à un patient. Quel type d'erreur a-t-il commis?,La question évalue la compréhension de la définition d'erreur par omission.,Erreur par commission,Une action qui a été faite mais qui n’était pas utile.,Erreur d'exécution,Une action mal réalisée.,Erreur par violation,Un non-respect d’une recommandation ou d’une règle professionnelle.,Erreur par omission,Une action nécessaire n’a pas été faite.,d
3,OIC-005-09-A,"Un patient de 65 ans, hospitalisé pour une pneumonie, présente une fièvre persistante malgré antibiotiques efficaces et une augmentation de la fréquence respiratoire. Le médecin décide de commencer une thérapie de corticostéroïdes. Quel type d'événement est-ce?",Cette question évalue la compréhension de l'aléa thérapeutique.,Accident médical,Cette option est incorrecte car l'événement n'est pas indésirable et n'entraîne pas un dommage anormal.,Affection iatrogène,Cette option est correcte car l'événement est provoqué par un traitement médical.,Erreur médicale,Cette option est incorrecte car l'événement n'est pas causé par une erreur du professionnel de santé.,Aléa thérapeutique,"Cette option est incorrecte car l'aléa thérapeutique désigne l'ensemble des effets indésirables potentiels d'un traitement, qui peuvent être liés à l'utilisation correcte du médicament.",b
4,OIC-005-10-A,Qu'est-ce qu'une infection nosocomiale ?,La question évalue la compréhension de la définition de l'infection nosocomiale.,Infection contractée avant l'admission dans un établissement de santé.,Incorrecte. Une infection nosocomiale est contractée au cours d'un séjour dans un établissement de santé.,Infection contractée après 48 heures d'hospitalisation.,Correcte. Une infection nosocomiale est généralement considérée comme telle si elle apparaît après 48 heures d'hospitalisation.,Infection contractée avant 48 heures d'hospitalisation mais en incubation lors de l'entrée dans l'établissement.,"Correcte. Si une infection apparaît avant un tel délai, on considère généralement qu'elle était en incubation lors de l'entrée dans l'établissement.",Infection contractée avant l'admission dans un établissement de santé et en incubation lors de l'entrée dans l'établissement.,Incorrecte. Une infection nosocomiale est contractée au cours d'un séjour dans un établissement de santé.,b
5,OIC-005-15-B,Un patient de 65 ans est hospitalisé pour une infection nosocomiale. Le service hospitalier a organisé une revue de morbidité et de mortalité (RMM). Quelle attitude doit être partagée par le chef du service clinique et la direction de l'hôpital pour favoriser le signalement des erreurs et leur analyse ?,Cette question évalue la compréhension de l'attitude de non-culpabilisation pour la culture positive de l'erreur.,Le chef du service clinique et la direction de l'hôpital doivent considérer que le responsable est le dernier de la chaîne de personnes engagées dans un processus de soins.,Cette option est incorrecte car elle est contraire à l'attitude de non-culpabilisation qui doit être partagée pour favoriser le signalement des erreurs.,"Le chef du service clinique et la direction de l'hôpital doivent considérer que les causes des erreurs sont multiples et souvent latentes, non détectables au premier abord.",Cette option est correcte car elle est en accord avec l'attitude de non-culpabilisation qui doit être partagée pour favoriser le signalement des erreurs.,Le chef du service clinique et la direction de l'hôpital doivent considérer que les erreurs sont cachées et leur absence d’analyse en profondeur conduit à créer des secondes victimes.,Cette option est incorrecte car elle est contraire à l'attitude de non-culpabilisation qui doit être partagée pour favoriser le signalement des erreurs.,Le chef du service clinique et la direction de l'hôpital doivent considérer que les erreurs sont le fait du dernier maillon de la chaîne.,Cette option est incorrecte car elle est contraire à l'attitude de non-culpabilisation qui doit être partagée pour favoriser le signalement des erreurs.,b
6,OIC-006-01-A,"Un patient de 65 ans, présentant une insuffisance rénale chronique, est hospitalisé pour une infection urinaire. Le médecin généraliste a formé une équipe pluriprofessionnelle pour la prise en charge du patient. Quel rôle doit-il adopter pour assurer une prise en charge de qualité ?",La question évalue la compréhension de la définition du travail en équipe pluriprofessionnelle et de son importance pour la prise en charge de qualité du patient.,"Le médecin généraliste doit adopter le rôle de chef d'orchestre, coordonnant les actions des autres professionnels.",Ce rôle est correct car il permet de coordonner les actions des professionnels et de garantir une prise en charge de qualité.,"Le médecin généraliste doit adopter le rôle de décideur unique, prenant toutes les décisions pour le patient.",Ce rôle est incorrect car il ne permet pas de répondre de manière collaborative aux besoins du patient.,"Le médecin généraliste doit adopter le rôle de simple observateur, ne prenant aucune décision.",Ce rôle est incorrect car il ne permet pas de répondre de manière collaborative aux besoins du patient.,"Le médecin généraliste doit adopter le rôle de simple assistant, ne prenant aucune décision.",Ce rôle est incorrect car il ne permet pas de répondre de manière collaborative aux besoins du patient.,a
7,OIC-006-04-B,"Un patient de 65 ans, atteint d'une insuffisance rénale chronique, est hospitalisé pour une infection urinaire. Quel protocole pluriprofessionnel devrait être appliqué pour sa prise en charge ?","La question évalue la compréhension de la définition et des objectifs des protocoles pluriprofessionnels, ainsi que leur utilisation dans le contexte d'une prise en charge de maladie.",Protocole de soins pluriprofessionnel pour la prise en charge de la maladie de Parkinson,Ce protocole n'est pas pertinent pour la prise en charge de l'insuffisance rénale chronique.,Protocole de soins pluriprofessionnel pour la prise en charge de la maladie de Crohn,Ce protocole n'est pas pertinent pour la prise en charge de l'insuffisance rénale chronique.,Protocole de soins pluriprofessionnel pour la prise en charge de la maladie de Charcot,Ce protocole n'est pas pertinent pour la prise en charge de l'insuffisance rénale chronique.,Protocole de soins pluriprofessionnel pour la prise en charge de l'insuffisance rénale chronique,Ce protocole est pertinent pour la prise en charge de l'insuffisance rénale chronique.,d
8,OIC-006-06-A,Un patient de 65 ans est prévu pour une intervention chirurgicale au bloc opératoire. Quelle check-list doit être utilisée pour sécuriser la réalisation de l'intervention ?,La question évalue la compréhension de la check-list de sécurité du patient au bloc opératoire.,Check-list de sécurité pour les activités interventionnelles radiologiques,"Incorrecte, car cette check-list n'est pas utilisée pour les interventions chirurgicales.",Check-list de sécurité pour les activités interventionnelles endoscopiques,"Incorrecte, car cette check-list n'est pas utilisée pour les interventions chirurgicales.",Check-list de sécurité pour les activités interventionnelles de chimiothérapie,"Incorrecte, car cette check-list n'est pas utilisée pour les interventions chirurgicales.",Check-list de sécurité du patient au bloc opératoire,"Correcte, car cette check-list est utilisée pour sécuriser la réalisation des interventions chirurgicales.",d
9,OIC-006-07-A,Un patient de 65 ans est décédé après une chirurgie de l'appendicite. Une réunion de morbi-mortalité (RMM) est organisée pour analyser l'événement. Quelle action de prévention peut être mise en place à la suite de cette RMM?,La question évalue la compréhension des principes et objectifs d'une réunion de morbi-mortalité (RMM).,Rédiger un rapport de la RMM et le distribuer aux membres de l'équipe de soins.,Cette action permet de documenter les résultats de la RMM et de les partager avec l'équipe de soins.,Organiser une formation sur la prévention des complications liées à la chirurgie de l'appendicite.,Cette action permet de sensibiliser l'équipe de soins à la prévention des complications liées à la chirurgie de l'appendicite.,Rédiger un plan d'action pour réduire le risque de décès lié à la chirurgie de l'appendicite.,Cette action permet de mettre en place des mesures concrètes pour réduire le risque de décès lié à la chirurgie de l'appendicite.,Ignorer la RMM et ne pas prendre aucune mesure de prévention.,Cette action est incorrecte car la RMM est organisée pour analyser les événements indésirables associés aux soins et mettre en place des actions de prévention.,c
10,OIC-006-08-A,"Un patient de 65 ans présente une douleur abdominale aiguë, une fièvre de 39°C et une hématurie. Quel service d'urgence doit être contacté en premier pour assurer une écoute médicale permanente et déterminer le besoin de soins et engager les moyens nécessaires ?",Cette question évalue la compréhension de l'organisation des urgences et de la gestion d'un appel d'urgence.,Samu-Centre 15,"Le Samu-Centre 15 est un service hospitalier qui assure une écoute médicale permanente, détermine et déclenche la réponse la plus adaptée à l'appel d'urgence.",Service des urgences (SU),"Le service des urgences (SU) est un service hospitalier qui prend en charge les venues non programmées, mais il n'est pas le premier service à être contacté en cas d'appel d'urgence.",Service mobile d’urgence et de réanimation (Smur),"Le service mobile d’urgence et de réanimation (Smur) est un service hospitalier qui prend en charge, sur place, en dehors de l'hôpital, les détresses médicales, mais il n'est pas le premier service à être contacté en cas d'appel d'urgence.",Centre de réception et de régulation des appels (CRRA),"Le centre de réception et de régulation des appels (CRRA) est un service du Samu-Centre 15 qui assure la régulation des appels d'urgence, mais il n'est pas le premier service à être contacté en cas d'appel d'urgence.",a
11,OIC-008-02-B,"Un patient de 35 ans, de sexe masculin, présente des difficultés d'accès au logement et à l'emploi, un environnement de vie pollué et bruyant, et a été victime de discrimination ethno-raciale. Quel effet peut-il avoir sur sa santé ?",La question évalue la compréhension des effets des discriminations sur la santé.,Il pourrait développer une moins bonne santé cardiovasculaire.,"Cette option est correcte car la discrimination ethno-raciale peut contribuer au stress, qui peut se traduire par une moins bonne santé cardiovasculaire.",Il pourrait développer une meilleure santé cardiovasculaire.,"Cette option est incorrecte car la discrimination ethno-raciale peut contribuer au stress, qui peut se traduire par une moins bonne santé cardiovasculaire.",Il pourrait développer une moins bonne santé mentale.,"Cette option est correcte car la discrimination ethno-raciale peut entraîner une difficulté d'exercer pour les professionnels, notamment du fait de la mise en tension entre et les exigences déontologiques et la réalité de terrain, ce qui peut s'accompagner de symptômes dépressifs, anxieux, psychotiques, mais aussi de conduites suicidaires.",Il pourrait développer une meilleure santé mentale.,"Cette option est incorrecte car la discrimination ethno-raciale peut entraîner une difficulté d'exercer pour les professionnels, notamment du fait de la mise en tension entre et les exigences déontologiques et la réalité de terrain, ce qui peut s'accompagner de symptômes dépressifs, anxieux, psychotiques, mais aussi de conduites suicidaires.",a
12,OIC-009-01-A,"Un patient de 65 ans, atteint d'un cancer du poumon, refuse toute thérapie. Quel est le terme qui décrit cette situation ?",La question évalue la compréhension de la définition de la refus de soin.,Consentement éclairé,C'est le consentement donné par le patient après avoir reçu des informations claires sur les risques et les bénéfices de la thérapie.,Autonomie,C'est la capacité du patient à prendre des décisions concernant sa propre santé.,Refus de soin,C'est la décision du patient de ne pas accepter une thérapie médicale.,Droit à la vie,C'est le droit de tout individu à la vie et à la liberté.,c
13,OIC-009-03-A,Quel document est publié au Journal Officiel sous la signature du Premier ministre et précise des dispositions réglementaires concernant l'exercice professionnel des médecins ?,La question évalue la compréhension de la publication du code de déontologie médicale.,Code de déontologie des médecins,Correcte. Le code de déontologie médicale est publié au Journal Officiel sous la signature du Premier ministre.,Code de déontologie des avocats,Incorrecte. Le code de déontologie des avocats n'est pas publié au Journal Officiel sous la signature du Premier ministre.,Code de déontologie des enseignants,Incorrecte. Le code de déontologie des enseignants n'est pas publié au Journal Officiel sous la signature du Premier ministre.,Code de déontologie des journalistes,Incorrecte. Le code de déontologie des journalistes n'est pas publié au Journal Officiel sous la signature du Premier ministre.,a
14,OIC-009-04-A,"Un patient de 65 ans, atteint d'une maladie rare, est en perte d'autonomie et ne peut plus prendre des décisions pour lui-même. Le médecin doit :",Cette question évalue la compréhension de l'application du principe de respect de l'autonomie dans un contexte de perte d'autonomie du patient.,Ne pas agir sans le consentement du patient,Cette option est incorrecte car elle ne tient pas compte de la perte d'autonomie du patient.,Agir sans le consentement du patient car cela est juste,Cette option est incorrecte car elle transgresse le principe de respect de l'autonomie.,Agir sans le consentement du patient car cela est bienfaisant,Cette option est incorrecte car elle transgresse le principe de respect de l'autonomie.,"Agir en accord avec les préférences éventuelles du patient, exprimées ou non, par cet autrui",Cette option est correcte car elle respecte le principe de respect de l'autonomie.,d
15,OIC-009-07-A,"Un patient de 65 ans, atteint d'une maladie incurable, refuse les traitements proposés par son médecin. Le médecin doit :",Évaluer la compréhension de la tension entre le principe de bienfaisance et le principe d'autonomie dans le refus de soin par le patient.,Continuer à insister pour que le patient accepte les traitements.,Cette option ne respecte pas le principe d'autonomie du patient.,Arrêter de soigner le patient et le laisser mourir.,Cette option ne respecte pas le principe de bienfaisance.,Demander à un proche du patient de convaincre celui-ci de suivre les traitements.,Cette option ne respecte pas le principe d'autonomie du patient.,Informer le patient des conséquences de son refus de soins et respecter sa décision.,Cette option respecte les principes de bienfaisance et d'autonomie.,d
16,OIC-009-08-A,"Un patient de 65 ans, atteint d'une maladie chronique, désire désigner une personne de confiance pour l'accompagner dans ses démarches de soins. Quelle est la procédure à suivre pour désigner une personne de confiance ?",La question évalue la compréhension de la procédure de désignation d'une personne de confiance.,Le patient doit demander à son médecin de désigner une personne de confiance.,Cette option est incorrecte car le patient est le seul à pouvoir désigner une personne de confiance.,Le patient doit écrire une lettre à sa personne de confiance pour la désigner.,Cette option est incorrecte car la désignation doit être faite par écrit et cosignée par la personne désignée.,Le patient doit demander à son médecin de choisir une personne de confiance pour lui.,Cette option est incorrecte car le patient est le seul à pouvoir désigner une personne de confiance.,Le patient doit écrire une lettre à son médecin pour désigner une personne de confiance.,Cette option est incorrecte car la désignation doit être faite par écrit et cosignée par la personne désignée.,b
