id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,"La responsabilité d’un professionnel de santé peut être recherchée à deux fins : la sanction du professionnel ou de l’établissement, ou l’indemnisation de l’usager victime des conséquences d’un événement indésirable associé aux soins. Quelle est la principale différence entre la sanction et l’indemnisation?","La sanction est de nature pénale ou disciplinaire, tandis que l’indemnisation est de nature civile.","La sanction vise à punir le professionnel ou l’établissement, tandis que l’indemnisation vise à réparer le dommage subi par l’usager.","La sanction est obligatoire, tandis que l’indemnisation est facultative.","La sanction est prononcée par un juge pénal, tandis que l’indemnisation est prononcée par un juge civil.",b
OIC-005-01-A-,"La responsabilité pénale d'un médecin est toujours personnelle et concerne à l'identique tous les médecins, quel que soit le cadre de leur exercice. Quelle est la nature de cette responsabilité?",Elle est collective et concerne les établissements de santé.,Elle est personnelle et concerne à l'identique tous les médecins.,Elle est personnelle et concerne les médecins en fonction de leur spécialité.,Elle est collective et concerne les médecins en fonction de leur spécialité.,b
OIC-005-02-A,Les professionnels exerçant à titre libéral engagent leur responsabilité civile devant les juridictions de l’ordre judiciaire :,"tribunal de grande instance, cour d’appel, cour de cassation","tribunal correctionnel, cour d’assises, cour de cassation","tribunal administratif, cour administrative d’appel, cour de cassation","tribunal de commerce, cour d’appel, cour de cassation",a
OIC-005-02-A-,La responsabilité administrative du médecin hospitalier est engagée devant les juridictions de l’ordre administratif lorsque :,Il commet une faute personnelle ou détachable du service.,Il commet une faute de service.,Il commet une faute dans l’organisation et le fonctionnement du service.,Il commet une faute dans l’exercice de ses fonctions.,b
OIC-005-03-A,La responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins. Quelle est la définition de cette responsabilité?,Elle est liée aux violations des règles de déontologie médicale.,Elle est liée aux violations des règles pénales.,Elle est liée aux violations des règles administratives.,Elle est liée aux violations des règles civiles.,a
OIC-005-03-A-,"La responsabilité sans faute est engagée dans le cas d'un dommage lié aux soins survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur. Quelle est la définition de cette responsabilité?",Elle est engagée lorsque le patient a donné son consentement éclairé.,"Elle est engagée lorsque le dommage est survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur.",Elle est engagée lorsque le dommage est survenu en raison d'une faute médicale.,Elle est engagée lorsque le dommage est survenu en raison d'une erreur médicale.,b
OIC-005-04-A,Quelle est la définition de la faute dans le contexte de la responsabilité médicale?,Une violation des connaissances médicales avérées ou des données acquises de la science.,Une atteinte au droit à la protection de la santé.,Une violation du devoir d’humanisme.,Une atteinte au droit au respect de la dignité.,a
OIC-005-04-A-,Qu'est-ce qu'une erreur par omission?,Une action qui a été faite mais qui n'était pas utile.,Une action nécessaire qui n'a pas été faite.,Une action mal réalisée.,Une violation d'une règle professionnelle.,b
OIC-005-05-A,Qu'est-ce qui caractérise un accident médical?,"Un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic.",Un dommage anormal au regard de l’évolution prévisible de l’état de santé.,Un acte de soin conforme aux bonnes pratiques.,Un effet iatrogène.,a
OIC-005-05-A-,Quelle est la définition de l'infection nosocomiale?,Une infection contractée en dehors d'un établissement de santé.,Une infection contractée au cours d'un séjour dans un établissement de santé.,Une infection qui apparaît avant 48 heures d'hospitalisation.,Une infection qui apparaît après 48 heures d'hospitalisation.,b
