Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
0,OIC-005-01-A,"La responsabilité d’un professionnel de santé peut être recherchée à deux fins : la sanction du professionnel ou de l’établissement, ou l’indemnisation de l’usager victime des conséquences d’un événement indésirable associé aux soins. Quelle est la principale différence entre la sanction et l’indemnisation?","La sanction est de nature pénale ou disciplinaire, tandis que l’indemnisation est de nature civile.","La sanction vise à punir le professionnel ou l’établissement, tandis que l’indemnisation vise à réparer le dommage subi par l’usager.","La sanction est obligatoire, tandis que l’indemnisation est facultative.","La sanction est prononcée par un juge pénal, tandis que l’indemnisation est prononcée par un juge civil.",b,4
1,OIC-005-01-A-,"La responsabilité pénale d'un médecin est toujours personnelle et concerne à l'identique tous les médecins, quel que soit le cadre de leur exercice. Quelle est la nature de cette responsabilité?",Elle est collective et concerne les établissements de santé.,Elle est personnelle et concerne à l'identique tous les médecins.,Elle est personnelle et concerne les médecins en fonction de leur spécialité.,Elle est collective et concerne les médecins en fonction de leur spécialité.,b,4
2,OIC-005-02-A,Les professionnels exerçant à titre libéral engagent leur responsabilité civile devant les juridictions de l’ordre judiciaire :,"tribunal de grande instance, cour d’appel, cour de cassation","tribunal correctionnel, cour d’assises, cour de cassation","tribunal administratif, cour administrative d’appel, cour de cassation","tribunal de commerce, cour d’appel, cour de cassation",a,4
3,OIC-005-02-A-,La responsabilité administrative du médecin hospitalier est engagée devant les juridictions de l’ordre administratif lorsque :,Il commet une faute personnelle ou détachable du service.,Il commet une faute de service.,Il commet une faute dans l’organisation et le fonctionnement du service.,Il commet une faute dans l’exercice de ses fonctions.,b,4
4,OIC-005-03-A,La responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins. Quelle est la définition de cette responsabilité?,Elle est liée aux violations des règles de déontologie médicale.,Elle est liée aux violations des règles pénales.,Elle est liée aux violations des règles administratives.,Elle est liée aux violations des règles civiles.,a,4
5,OIC-005-03-A-,"La responsabilité sans faute est engagée dans le cas d'un dommage lié aux soins survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur. Quelle est la définition de cette responsabilité?",Elle est engagée lorsque le patient a donné son consentement éclairé.,"Elle est engagée lorsque le dommage est survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur.",Elle est engagée lorsque le dommage est survenu en raison d'une faute médicale.,Elle est engagée lorsque le dommage est survenu en raison d'une erreur médicale.,b,4
6,OIC-005-04-A,Quelle est la définition de la faute dans le contexte de la responsabilité médicale?,Une violation des connaissances médicales avérées ou des données acquises de la science.,Une atteinte au droit à la protection de la santé.,Une violation du devoir d’humanisme.,Une atteinte au droit au respect de la dignité.,a,4
7,OIC-005-04-A-,Qu'est-ce qu'une erreur par omission?,Une action qui a été faite mais qui n'était pas utile.,Une action nécessaire qui n'a pas été faite.,Une action mal réalisée.,Une violation d'une règle professionnelle.,b,4
8,OIC-005-05-A,Qu'est-ce qui caractérise un accident médical?,"Un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic.",Un dommage anormal au regard de l’évolution prévisible de l’état de santé.,Un acte de soin conforme aux bonnes pratiques.,Un effet iatrogène.,a,4
9,OIC-005-05-A-,Quelle est la définition de l'infection nosocomiale?,Une infection contractée en dehors d'un établissement de santé.,Une infection contractée au cours d'un séjour dans un établissement de santé.,Une infection qui apparaît avant 48 heures d'hospitalisation.,Une infection qui apparaît après 48 heures d'hospitalisation.,b,4
10,OIC-005-06-A,"L’aléa thérapeutique se distingue des erreurs par son inévitabilité. C’est un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d’erreur. Il est lié à la réalisation d’un risque inhérent à l’action de soins. On peut citer comme exemple la survenue d’un effet secondaire d’un médicament correctement prescrit et administré. L’aléa thérapeutique est défini comme étant un accident médical (événement imprévu causant un dommage ayant un lien de causalité certain avec l’acte médical), une affection iatrogène (les soins délivrés au patient ont causé le dommage) ou une infection nosocomiale (l’infection apparaît après une hospitalisation et était absente le jour de l’admission) qui est survenue sans responsabilité des professionnels de santé ou de l’établissement de santé. D’après la jurisprudence, l’aléa thérapeutique consiste dans « la survenance, en dehors de toute faute du praticien, d’un risque accidentel inhérent à l’acte médical et qui ne pouvait être maîtrisé ». Tout risque inhérent à l’acte de soin, de diagnostic ou de prévention peut constituer un aléa thérapeutique.",Il est toujours lié à une faute du praticien.,Il est toujours lié à un acte médical non conforme.,Il est toujours lié à un risque inhérent à l’action de soins.,Il est toujours lié à un effet secondaire d’un médicament mal prescrit.,c,4
11,OIC-005-07-A,Quels sont les facteurs humains individuels qui peuvent conduire à des erreurs?,Le manque de connaissances et de compétences,Le stress et la fatigue,La capacité de mémorisation limitée,La maladie et les conflits,a,4
12,OIC-005-08-A,La démarche de culture positive de l'erreur repose sur quel principe?,La non-culpabilisation de la personne qui a commis l'erreur,La recherche de la responsabilité du dernier maillon de la chaîne de soins,La mise en place de sanctions pour les erreurs,La recherche des causes externes de l'erreur,a,4
13,OIC-005-08-A-,Le travail en équipe pluriprofessionnelle est considéré comme un facteur de santé et de bien-être au travail pour les professionnels. Cette affirmation est liée à l'objectif de connaissance OIC-006-01-A.,Il est une barrière de sécurité contre les événements indésirables.,Il est un facteur de qualité de la prise en charge du patient.,Il est un moyen de répondre de manière collaborative aux besoins du patient.,Il est un facteur de santé et de bien-être au travail pour les professionnels.,d,4
14,OIC-005-09-A-,Le parcours de soins consiste à organiser et à coordonner :,les compétences professionnelles en fonction du moment de la prise en charge,les compétences professionnelles en fonction de l'âge du patient,les compétences professionnelles en fonction de la gravité de la maladie,les compétences professionnelles en fonction de la spécialité médicale,a,4
