,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-02-A,Quelle est la caractéristique principale de la responsabilité pénale dans l'exercice médical?,"La question évalue la définition et les principes fondamentaux de la responsabilité pénale, notamment sa fonction et son application.",Elle a une fonction d'indemnisation du dommage subi,Incorrect. La fonction d'indemnisation relève de la responsabilité civile ou administrative ; la responsabilité pénale a une fonction répressive.,Elle est collective et concerne l'établissement de santé,"Incorrect. La responsabilité pénale est toujours personnelle, même si les établissements de santé peuvent également être concernés en tant que personnes morales.",Elle a une fonction répressive visant à sanctionner un individu,Correct. La responsabilité pénale a pour vocation de sanctionner des individus dont le comportement est réprouvé par la société.,Elle s'applique uniquement aux médecins titulaires,"Incorrect. Elle concerne tous les médecins, quel que soit leur statut, y compris les internes.",c
1,OIC-005-05-A,Quelle est la définition de la responsabilité disciplinaire pour un médecin?,"La question évalue la capacité du candidat à identifier la nature et l'instance de la responsabilité disciplinaire, en la distinguant des responsabilités civile ou pénale.",La responsabilité engagée devant les tribunaux judiciaires pour obtenir l'indemnisation d'un préjudice,Ceci correspond à la définition de la responsabilité civile.,La responsabilité encourue devant les instances de l'Ordre des médecins pour manquement déontologique,C'est la définition exacte : elle concerne les manquements aux règles de déontologie et se traite devant l'Ordre.,La responsabilité sanctionnant la violation d'une loi pénale devant un tribunal correctionnel,Ceci correspond à la définition de la responsabilité pénale.,La responsabilité administrative engagée devant le tribunal administratif pour un défaut de service,Ceci correspond à la définition de la responsabilité administrative.,b
2,OIC-005-07-A,Quelle est la définition d'une faute technique dans le cadre de la responsabilité médicale?,"Cette question évalue la capacité du candidat à distinguer la faute technique de la violation d'un devoir d'humanisme, conformément aux définitions du Code de la santé publique.",Une atteinte au secret professionnel,Il s'agit d'une violation d'un devoir d'humanisme et non d'une faute technique.,Une violation des connaissances médicales avérées,"C'est la définition exacte de la faute technique, basée sur les données acquises de la science au moment de l'acte.",Un défaut d'information du patient,Il s'agit d'une violation d'un devoir d'humanisme empêchant un consentement libre et éclairé.,L'absence de sécurité d'un produit de santé,Ceci correspond à la définition d'un produit défectueux et non à une faute technique du praticien.,b
3,OIC-005-08-A,Quelle est la définition d'une erreur médicale?,"Cette question évalue la capacité à identifier les caractéristiques fondamentales de l'erreur médicale, notamment son caractère involontaire et évitable.",Une action volontaire non conforme aux règles professionnelles,"Ceci correspond à la définition d'une violation ou non-conformité, et non d'une erreur.",Un acte involontaire et évitable dans les soins,C'est la définition exacte de l'erreur médicale selon le contenu source.,Un dommage grave entraînant systématiquement un décès,"Ceci décrit un type d'événement indésirable grave (EIG), mais l'erreur peut exister sans dommage.",Une complication imprévisible et inévitable d'un traitement,"L'erreur médicale est par définition évitable, contrairement à l'aléa thérapeutique.",b
4,OIC-005-09-A,Quelle est la définition d'un accident médical?,"Cette question évalue la capacité du candidat à identifier la définition précise de l'accident médical, en le distinguant de l'affection iatrogène ou de la simple erreur.",Un effet néfaste provoqué par un traitement malgré une indication correcte,Ceci correspond à la définition d'une affection iatrogène.,Un événement indésirable entraînant un dommage anormal lors d'un acte de soin,"C'est la définition exacte de l'accident médical, quel que soit le lieu de soin ou la cause.",Une complication prévisible liée à l'évolution naturelle de l'état de santé,L'accident médical se définit précisément par un dommage anormal au regard de l'évolution prévisible.,Une erreur commise par un professionnel de santé lors d'un diagnostic,"L'erreur médicale peut causer un accident médical, mais l'accident médical peut aussi résulter de soins conformes (aléa).",b
5,OIC-005-10-A,Quelle est la définition d'une infection nosocomiale?,Cette question évalue la capacité du candidat à identifier les critères temporels et contextuels définissant une infection nosocomiale selon le contenu source.,Une infection présente dès l'admission du patient dans l'établissement,"Incorrect. Par définition, l'infection nosocomiale est absente au moment de l'admission.",Une infection contractée lors d'un séjour dans un établissement de santé,"Correct. C'est la définition exacte d'une infection nosocomiale, également appelée infection associée aux soins.",Une infection apparaissant systématiquement avant 48 heures d'hospitalisation,Incorrect. Une infection apparaissant avant 48h est généralement considérée comme étant en incubation lors de l'entrée.,Une infection contractée exclusivement lors d'un acte chirurgical,"Incorrect. L'infection nosocomiale concerne tout séjour dans un établissement de santé, pas seulement les actes chirurgicaux.",b
6,OIC-005-11-A,Quelle est la définition de l'aléa thérapeutique?,Cette question évalue la capacité à distinguer l'aléa thérapeutique de l'erreur médicale en mettant l'accent sur l'absence de faute et le caractère inhérent du risque.,Un événement indésirable résultant d'une erreur dans l'action de soins,Incorrect. L'aléa thérapeutique se distingue précisément de l'erreur par l'absence de faute et la conformité des soins.,Un accident médical survenu sans responsabilité des professionnels de santé,"Correct. L'aléa thérapeutique est un événement indésirable lié à un risque inhérent à l'acte, survenu malgré des soins conformes.",Une complication prévisible et maîtrisable lors d'un acte médical,Incorrect. L'aléa thérapeutique concerne un risque accidentel qui ne pouvait être maîtrisé.,Une infection contractée avant l'admission du patient à l'hôpital,"Incorrect. L'infection nosocomiale, qui peut être un aléa, doit être absente le jour de l'admission.",b
7,OIC-005-12-B,Lequel de ces éléments constitue un facteur lié à l'équipe favorisant l'ouverture d'un contentieux après un accident médical?,"Cette question évalue la capacité à identifier les facteurs contributifs à un contentieux médical, spécifiquement ceux relevant de la dynamique d'équipe et de la communication.",L'absence de ressources humaines qualifiées,Ceci est un facteur lié à l'environnement de travail (organisationnel) et non spécifiquement à l'équipe.,Le défaut de traçabilité dans le dossier patient,La traçabilité de l'information est explicitement classée comme un facteur lié à l'équipe.,La vulnérabilité du patient âgé,Ceci est un facteur lié au patient et non à l'équipe.,L'insuffisance de la formation continue,Ceci est un facteur lié à l'organisation et au management.,b
8,OIC-005-13-A,"Parmi les facteurs humains collectifs, lequel augmente le risque d'erreur lors de la production de soins?","Cette question évalue la connaissance des facteurs humains collectifs favorisant l'erreur médicale, en opposition aux facteurs individuels.",Le manque de connaissances,Il s'agit d'un facteur humain individuel et non collectif.,La fatigue physique,Il s'agit d'un facteur humain individuel et non collectif.,Le défaut de communication,Le manque de communication et la mauvaise organisation de l'équipe sont des facteurs collectifs accroissant le risque d'erreur.,Le stress ponctuel,Il s'agit d'un facteur humain individuel et non collectif.,c
9,OIC-005-14-B,"Parmi les types de barrières de sécurité, laquelle a pour objectif de limiter les conséquences d'une erreur déjà commise et non récupérée?","La question évalue la capacité à distinguer les trois types de barrières de sécurité (prévention, récupération, atténuation) selon leur rôle dans la chaîne de l'événement indésirable.",La barrière de prévention,Incorrect. Les barrières de prévention visent à empêcher la survenue même de l'erreur et de l'accident.,La barrière de récupération,"Incorrect. Les barrières de récupération interviennent quand l'erreur est commise, mais permettent de l'intercepter avant qu'elle n'ait des conséquences.",La barrière d'atténuation,"Correct. Les barrières d'atténuation interviennent après que l'erreur a été commise et non récupérée, afin d'en limiter les dommages pour le patient.",La barrière systémique,"Incorrect. Le modèle systémique est mentionné comme remplaçant la conception séquentielle des barrières, mais n'est pas défini comme un type de barrière spécifique dans le texte.",c
10,OIC-005-15-B,Quel est le fondement principal d'une démarche de culture positive de l'erreur dans le cadre de la sécurité du patient?,"La question évalue la compréhension du concept de culture positive de l'erreur, en insistant sur le passage d'une approche punitive à une approche systémique.",La sanction systématique du dernier maillon de la chaîne de soins,C'est l'inverse de la culture positive ; cette approche conduit à cacher les erreurs et à créer des secondes victimes.,La non-culpabilisation de la personne ayant commis l'erreur,"C'est la définition exacte du fondement de la culture positive de l'erreur, permettant le signalement et l'amélioration des soins.",L'analyse exclusive des dossiers par des programmes informatiques,"L'analyse informatique est un moyen de repérage actif, mais elle ne constitue pas le fondement philosophique de la culture positive de l'erreur.",L'obligation légale de déclaration des événements indésirables,"L'obligation légale est une contrainte réglementaire, tandis que la culture positive repose sur une attitude de confiance et de non-sanction.",b
11,OIC-006-01-A,Quel est l'objectif principal du travail en équipe pluriprofessionnelle?,Cette question évalue la compréhension de la finalité et de la nature collaborative du travail pluriprofessionnel tel que défini dans le texte.,L'unification des compétences vers un but commun,Correct : le texte précise que les professionnels unissent leurs efforts dans un même but.,La hiérarchisation des qualifications médicales,Incorrect : le texte met l'accent sur la complémentarité et non sur une hiérarchie.,La spécialisation isolée de chaque intervenant,Incorrect : le travail en équipe implique une collaboration et non un isolement.,La réduction du nombre de professionnels impliqués,Incorrect : l'équipe pluriprofessionnelle repose sur la diversité des qualifications.,a
12,OIC-006-02-A,Lequel de ces dispositifs est utilisé pour sécuriser les activités interventionnelles en milieu hospitalier?,Cette question évalue la capacité de l'apprenant à identifier l'outil spécifique dédié à la sécurité lors d'actes techniques ou chirurgicaux.,Le protocole pluriprofessionnel,Incorrect. Il s'agit d'un cadre de prise en charge globale et non d'un outil de vérification immédiate pour un acte interventionnel.,La réunion de concertation pluridisciplinaire,"Incorrect. La RCP sert à discuter des stratégies thérapeutiques pour un patient, pas à sécuriser l'exécution d'un acte technique.",La check-list,Correct. La check-list est spécifiquement mentionnée pour le bloc opératoire et les activités interventionnelles.,La réunion de morbi-mortalité,Incorrect. La RMM intervient a posteriori pour analyser des événements indésirables et non pendant l'acte lui-même.,c
13,OIC-006-03-A,Quel est l'objectif principal de la mise en place d'un parcours de soins?,"Cette question évalue la compréhension de la définition du parcours de soins, notamment les notions de coordination et de temporalité.",L'optimisation du coût financier des traitements,Incorrect : le texte ne mentionne pas la dimension économique ou financière.,La coordination temporelle des compétences professionnelles,Correct : le parcours de soins vise l'enchaînement juste et au bon moment des compétences.,La centralisation des soins dans un établissement unique,"Incorrect : le parcours implique une coordination de compétences, pas nécessairement une centralisation géographique.",La réduction du nombre d'intervenants médicaux,"Incorrect : l'objectif est l'organisation des compétences, et non la limitation du nombre de professionnels.",b
14,OIC-006-04-B,Qu'est-ce qu'un protocole pluriprofessionnel dans le cadre de la prise en charge d'un patient?,Cette question évalue la capacité de l'apprenant à identifier la définition fondamentale d'un protocole pluriprofessionnel en tant qu'outil de consensus et de coordination.,Un accord commun sur le soin d'une pathologie,Correct : le protocole est défini comme l'expression d'un consensus pour la prise en charge d'une maladie.,Une directive imposée par une autorité sanitaire,Incorrect : le texte mentionne un consensus entre professionnels et non une imposition hiérarchique.,Un guide de prescription réservé aux médecins,"Incorrect : le protocole est pluriprofessionnel, impliquant plusieurs types de professionnels de santé.",Un document administratif de gestion d'établissement,Incorrect : il s'agit d'un outil clinique centré sur la prise en charge du patient et non de gestion administrative.,a
15,OIC-006-05-A,Quelle condition est indispensable pour qualifier une réunion de concertation pluridisciplinaire (RCP)?,"Cette question évalue la compréhension des critères constitutifs d'une RCP, notamment la composition minimale requise pour garantir le caractère collégial.",La présence d'un seul médecin spécialiste,Incorrect. Une RCP nécessite une approche collégiale impliquant plusieurs spécialistes.,La participation d'au moins trois médecins de spécialités différentes,Correct. Le texte stipule explicitement que la RCP regroupe au moins trois médecins de spécialités différentes.,L'organisation exclusive dans le domaine de la cancérologie,"Incorrect. Bien que systématiques en cancérologie, les RCP peuvent être organisées dans d'autres domaines complexes.",La validation obligatoire du développement professionnel continu,"Incorrect. La RCP permet de valider le DPC, mais ce n'est pas une condition pour qualifier la réunion de RCP.",b
16,OIC-006-06-A,Quel est l'objectif principal de l'utilisation d'une check-list au bloc opératoire?,Cette question évalue la compréhension de la finalité des listes de vérification dans le cadre de la sécurité des soins.,L'automatisation des gestes techniques,"Incorrect. La check-list est un outil de communication et de vérification, pas un moyen d'automatiser la technique chirurgicale.",La sécurisation du parcours opératoire,Correct. La check-list vise à sécuriser l'intervention via le partage d'informations et la vérification croisée aux moments clés.,La réduction du temps d'intervention,"Incorrect. L'objectif est la sécurité et la qualité, et non la rapidité d'exécution de l'acte.",La substitution du dialogue professionnel,"Incorrect. Au contraire, la check-list favorise et structure le point entre les professionnels de santé.",b
17,OIC-006-07-A,Quel est l'objectif principal d'une réunion de morbi-mortalité (RMM)?,"Cette question évalue la compréhension de la finalité d'une RMM, en distinguant l'analyse systémique de la simple recherche de responsabilité.",L'attribution des responsabilités individuelles,"Incorrect. La RMM est une analyse systémique et collective, et non une procédure disciplinaire ou punitive.",La mise en œuvre d'actions de prévention,Correct. L'objectif est d'apprendre collectivement des erreurs pour prévenir la récurrence d'événements indésirables.,La validation exclusive des acquis techniques,"Incorrect. Bien que technique, la RMM intègre aussi des dimensions organisationnelles et humaines.",La documentation administrative des décès,Incorrect. La RMM dépasse le simple archivage pour s'inscrire dans une démarche de retour d'expérience.,b
18,OIC-006-08-A,Quelle est la mission principale du Service Mobile d'Urgence et de Réanimation (SMUR)?,Cette question évalue la capacité de l'apprenant à distinguer le rôle opérationnel du SMUR par rapport aux fonctions de régulation du SAMU ou d'accueil des structures d'urgences.,La régulation médicale des appels,Incorrect. La régulation médicale et la réception des appels sont des missions dévolues au SAMU-Centre 15.,L'accueil des venues non programmées,Incorrect. La prise en charge des venues non programmées est la mission spécifique des structures d'urgences (SU).,L'intervention médicale sur site,"Correct. Le SMUR assure la prise en charge des détresses médicales sur place, en dehors de l'hôpital, avant et pendant le transport.",L'orientation vers une filière de soins,Incorrect. L'orientation et la désignation de l'établissement adapté sont assurées par le médecin régulateur du SAMU.,c
19,OIC-008-01-A,Quelle est la définition d'une discrimination?,"La question évalue la capacité de l'étudiant à identifier les trois éléments constitutifs d'une discrimination selon le contenu source : une différence de traitement, un critère prohibé et un préjudice.",Une opinion préconçue dépréciative à l'égard d'un groupe social,"Ceci correspond à la définition d'un préjugé, et non d'une discrimination.",Une représentation simplificatrice et rigide attribuée à un groupe,"Ceci correspond à la définition d'un stéréotype, et non d'une discrimination.",Une différence de traitement basée sur un critère prohibé entraînant un préjudice,C'est la définition exacte fournie dans le texte : différence de traitement + critère prohibé + préjudice.,Toute sélection de population spécifique dans le cadre d'une politique de santé,"Le texte précise explicitement que toute sélection de populations n'est pas pour autant une discrimination, notamment si elle est proportionnée aux enjeux de santé publique.",c
20,OIC-008-02-B,Quel mécanisme explique l'influence directe des discriminations sur le renoncement aux soins?,"Cette question évalue la compréhension du concept de non-recours aux soins induit par les discriminations, en distinguant les barrières sociales générales des barrières psychologiques liées à l'expérience discriminatoire.",L'éloignement géographique des centres de santé,"L'éloignement géographique est un facteur de non-recours, mais il ne relève pas d'un mécanisme de discrimination.",L'anticipation de propos stigmatisants,C'est l'option correcte : la crainte d'un rejet ou de propos stigmatisants conduit les personnes vulnérables à renoncer aux soins.,Une littératie en santé insuffisante,"L'inégale littératie en santé est un facteur contributif au non-recours, mais elle est distincte du mécanisme de discrimination.",L'absence de couverture sociale,"Le non-recours concerne précisément les services auxquels les individus ont droit, donc l'absence de couverture n'est pas le mécanisme visé ici.",b
21,OIC-008-03-B,Lequel des facteurs suivants constitue un mécanisme structurel ou organisationnel favorisant les discriminations dans le système de santé?,"Cette question évalue la connaissance des mécanismes systémiques (structurels et organisationnels) qui génèrent des discriminations, au-delà des simples préjugés individuels.",L'absence de formation continue des patients,Le contenu source ne mentionne pas la formation des patients comme un facteur structurel de discrimination.,Le recours insuffisant à l'interprétariat professionnel,C'est un facteur organisationnel identifié qui crée une barrière aux soins et favorise les discriminations.,La préférence personnelle du patient pour un soignant,Les préférences des patients ne sont pas listées comme un mécanisme structurel ou organisationnel causant des discriminations.,L'augmentation globale du budget de santé publique,L'augmentation budgétaire n'est pas citée comme un facteur favorisant les discriminations ; c'est plutôt la logique de rentabilité qui est pointée.,b
22,OIC-009-01-A,Quelle est la définition de l'éthique dans le contexte de la pratique médicale?,La question évalue la capacité à distinguer l'éthique (démarche réflexive) de la morale (normative) et de la déontologie (règles professionnelles).,Un ensemble de règles de bonnes pratiques professionnelles balisant la relation soignant-soigné,"Ceci correspond à la définition de la déontologie, et non de l'éthique.",Une démarche de réflexion et d'analyse permettant une aide à la décision,"L'éthique est définie comme une capacité réflexive et une démarche d'analyse pour arbitrer des choix complexes, notamment quand les règles ne suffisent pas.",Un système normatif qui détermine le bien et sanctionne les comportements,"Ceci correspond à la définition de la morale, qui est prescriptive et normative.",L'ensemble des règles législatives régissant les obligations et devoirs de chacun,"Ceci correspond à la définition du droit (ou droit de la santé), dont l'application relève de la justice.",b
23,OIC-009-02-A,Quelle est la définition de la bioéthique?,Cette question évalue la capacité de l'étudiant à identifier la définition précise de la bioéthique en tant que domaine interdisciplinaire lié aux sciences de la vie et de la santé.,L'ensemble des règles professionnelles régissant l'exercice de la médecine,"Ceci correspond à la définition de la déontologie, et non de la bioéthique.",L'étude philosophique des valeurs morales universelles appliquées à tout être humain,"Ceci correspond à une définition générale de l'éthique, sans la spécificité liée aux sciences de la vie.",Le domaine des recherches et règles juridiques concernant l'usage des techniques en sciences de la vie et santé,"C'est la définition exacte : elle englobe la recherche, les débats publics et le cadre juridique des pratiques biomédicales.",Le recueil des directives anticipées concernant la fin de vie et le refus de soins,"Ceci représente des applications concrètes de l'éthique médicale, mais ne définit pas la bioéthique dans son ensemble.",c
24,OIC-009-03-A,Quelle est la définition de la déontologie médicale?,Cette question évalue la capacité de l'étudiant à définir la déontologie médicale et à identifier sa finalité principale selon le contenu source.,L'ensemble des réflexions philosophiques sur les valeurs morales,Ceci correspond davantage à une définition générale de l'éthique qu'à celle de la déontologie.,Le recueil des devoirs des médecins envers les patients et la société,"C'est la définition exacte : la déontologie rassemble le discours sur les devoirs des médecins envers les patients, les confrères et la société.",L'application stricte des lois constitutionnelles à la pratique médicale,"Bien que la déontologie doive être compatible avec la Constitution, elle constitue un ensemble de règles propres à la profession.",Le règlement intérieur exclusif des instances de l'Ordre des médecins,"Le code de déontologie sert de référence aux instances de l'Ordre, mais il est avant tout un guide pour la pratique quotidienne des médecins.",b
