mcq,cop,llm_cop
"-----
Question:
What is the critical temperature of N2O
Options:
a) 118 degrees
b) -88 degrees
c) 26 degrees
d) 36.5 degrees
-----
",3,2
"-----
Question:
Malignant hyperthermia is caused due to which of the following mechanism?
Options:
a) Increased intracellular Na
b) Decreased intracellular chlorine
c) Increased intracellular Ca
d) Increased serum K
-----
",2,3
"-----
Question:
Which of the following anaesthetic agents causes a rise in the Intracranial pressure:
Options:
a) Sevoflurane.
b) Thiopentone sodium.
c) Lignocaine.
d) Propofol.
-----
",0,1
"-----
Question:
Local anesthesia acts by blockage of -
Options:
a) Na+ channel
b) Ca++ channel]
c) K+ channel
d) Mg++ channel
-----
",0,1
"-----
Question:
Xylocaine heavy in subarachnoid space has concentration of
Options:
a) 1%
b) 2%
c) 3%
d) 5%
-----
",3,2
"-----
Question:
A patient in ICU was on invasive monitoring with intra aerial canulation through right radial aery for last 3 days. Later he developed swelling and discolouration of right hand. The next line of management is
Options:
a) Stellate ganglion block
b) Brachial Block
c) Radial Nerve block
d) Celiac plexus block
-----
",0,1
"-----
Question:
There is an increased incidence of emergence delirium with ketamine in all of the following condition except:-
Options:
a) Age >15 years
b) Female gender
c) Dose of ketamine < 1mg/kg
d) A history of personality disorders
-----
",2,3
"-----
Question:
True about malignant hypehermia is all except
Options:
a) Most common cause is Sch
b) Dantrolene is the drug of choice
c) End tidal CO, is increased
d) Bradycardia occurs
-----
",3,4
"-----
Question:
Which of the following is not an amide:
Options:
a) Lidocaine
b) Procaine
c) Prilocaine
d) Etidocaine
-----
",1,2
"-----
Question:
The regional anaesthesia technique that would not be expected to provide appropriate analgesic benefit during the first stage of labor is
Options:
a) Lumbar epidural
b) Pudendal nerve block
c) Lumbar sympathetic block
d) Paracervical block
-----
",1,2
"-----
Question:
Percentage of Halothane metabolized ?
Options:
a) 1%
b) 5%
c) 10%
d) 20%
-----
",3,2
"-----
Question:
IV administration of which anesthetic drug is most painful among the following?
Options:
a) Methohexital
b) Ketamine
c) Propofol
d) Etomidate
-----
",2,2
"-----
Question:
Which of the following i.v anaesthetic agent suppresses cortisol synthesis
Options:
a) Propofol
b) Ketamine
c) Etomidate
d) Thiopentone
-----
",2,3
"-----
Question:
Effect of Propofol on coagulation is?
Options:
a) Inhibits coagulation cascade
b) Inhibits platelet function
c) Activates coagulation cascade
d) No effect
-----
",3,1
"-----
Question:
Which of the following is the most common method used to know depth of anaesthesia?
Options:
a) BIS
b) Oesophageal contractility
c) Depressed responses
d) Hypotension
-----
",0,1
"-----
Question:
Allergic reactions occur with amino ester local anesthetics due to its metabolite:
Options:
a) P Aminobenzoic acid
b) Nitrosoamine
c) Both of the above
d) None of the above
-----
",0,3
"-----
Question:
Which of the following anaesthetic agents have good analgesic property ?a) Ketamineb) Nitrous oxidec) Thiopentoned) Propofole) Midazolam
Options:
a) ab
b) a
c) ad
d) bc
-----
",0,1
"-----
Question:
Hallucinations are commonly seen with:
Options:
a) Ketamine
b) Halothane
c) Ether
d) Cyclopropane
-----
",0,1
"-----
Question:
Postpartum lady after 48 hours of cesarean section, suffering from headache and signs of meningism. Headache gets relieved on lying down. Immediate treatment would be:
Options:
a) Epidural blood patch
b) Do lumbar puncture
c) Foot end elevation
d) Sumatriptan
-----
",0,3
"-----
Question:
Which ester local anesthetic undergoes significant liver metabolism -
Options:
a) Tetracaine
b) Cocaine
c) Procaine
d) Chloroprocaine
-----
",1,4
"-----
Question:
Ketamine is safe in
Options:
a) Raised ICT
b) Open eye injury
c) Ischemic hea disease
d) Severe shock
-----
",3,1
"-----
Question:
Muscle relaxant contraindicated in Renal failure
Options:
a) Gallamine
b) d-TC
c) Vecuronium
d) Atracurium
-----
",0,1
"-----
Question:
Allergy in immediate perioperative period is due to:
Options:
a) Opioids
b) LA agents
c) Induction agents
d) Neuromuscular blockers
-----
",3,3
"-----
Question:
A 30 yr old man with paraplegia, the muscle relaxant should be avoided for tracheal intubation will be
Options:
a) Suxamethonium
b) Vecuronium
c) Rocuronium
d) Mivacurium
-----
",0,1
"-----
Question:
All decrease CO2 absorption in circuit except
Options:
a) Resistance in circuit
b) Flow
c) Dead Space
d) Tidal Volume
-----
",0,4
"-----
Question:
Which one of the following is the description used for the term allodynia during pain management?
Options:
a) Absence of pain perception
b) Complete lack of pain sensation
c) Unpleasant sensation with or without a stimulus
d) Perception of an ordinarily nonnoxious sitmulus as severe pain.
-----
",3,4
"-----
Question:
Longest acting local anaesthetic drug is?
Options:
a) Procaine
b) Prilocaine
c) Lignocaine
d) Bupivacaine
-----
",3,4
"-----
Question:
A patient is undergoing MRND for laryngeal malignancy; while dissecting the venous tributaries the surgeon elevated the internal jugular vein for ligation. Suddenly the patients EtCO2 dropped from 3g mmHg to 12 mmHg and the patient developed hypotension along with cardiac arrhythmia. Which of the following is most likely cause??
Options:
a) Sympathetic overactivity
b) Vagal stimulation
c) Venous air embolism
d) Carotid body stimulation
-----
",2,3
"-----
Question:
All are constituents of soda-lime except
Options:
a) Ca(OH)2
b) Ba(OH)2
c) Silica
d) Moisture
-----
",1,2
"-----
Question:
All of the following are used for intravenous induction except: March 2005
Options:
a) Bupivacaine
b) Thiopentone
c) Ketamine
d) Etomidate
-----
",0,1
"-----
Question:
Bradycardia is common after injection of –
Options:
a) Midazolam
b) Succinyl choline
c) Dopamine
d) Isoprenaline
-----
",1,1
"-----
Question:
Atropine as preanesthesia has all effects except –
Options:
a) Decrease secretion
b) Bronchoconstriction
c) Prevent bradycardia
d) Prevent hypotension
-----
",1,2
"-----
Question:
All of the following are Nondepolarising muscular blockers except -
Options:
a) Pancuranium
b) Dexacurium
c) D-Tubocurarine
d) Succinylcholine
-----
",3,4
"-----
Question:
Which of the following is not a sign of successful stellate ganglion block?
Options:
a) Nasal stuffiness
b) Guttmansign
c) Horner's syndrome
d) Bradycardia
-----
",3,4
"-----
Question:
While performing a lumbar puncture, a snap is felt just before entering into the epidural space. This is due to piercing of which structure?
Options:
a) Ligamentum flavum
b) Supraspinous ligament
c) Duramater
d) Posterior longitudinal ligament
-----
",0,1
"-----
Question:
All except one are risk factors for obstructive sleep apnea
Options:
a) BMI > 30.3
b) Feeling tired during daytime
c) Being treated for hypertension
d) Neck circumference >40cm
-----
",0,3
"-----
Question:
The most common pathogen in ventilation associated pneumonia:
Options:
a) Staphylococcus Aureus
b) Pseudomonas
c) Enterococci
d) Streptococcus
-----
",1,2
"-----
Question:
Dissociative anesthetic agent?
Options:
a) Propofol
b) Ketamine
c) Thiopental
d) Halothane
-----
",1,2
"-----
Question:
Most impoant factor determining the affect of anaesthetic agent on fetus ?
Options:
a) Duration of pregnancy
b) MAC
c) Protein binding
d) Route of anaesthetic
-----
",0,1
"-----
Question:
A 65 year old male patient with history of coronary aery disease was diagnosed with hemorroides. The anaesthesia modality of choice for haemorrhoidectomy
Options:
a) Spinal anaesthesia
b) General anaesthesia
c) Saddle anaesthesia
d) Caudal anaesthesia
-----
",2,2
"-----
Question:
Best anaesthesia for status Asthmaticus is :
Options:
a) Thiopentone
b) Ether
c) Ketamine
d) N2O
-----
",2,3
"-----
Question:
Which of the following does not represent a significant anaesthetic problem in the morbidly obese patient?
Options:
a) Difficulties in endotracheal intubation
b) Suboptimal aerial oxygen tension
c) Increased metabolism of volatile agents
d) Decreased cardiac output relative to total body mass
-----
",3,4
"-----
Question:
What is present day application of oxygen concentrators include:-
Options:
a) Domicillary use
b) Supplying ambulance
c) Supplying anesthesia medicine
d) All of the above
-----
",3,4
"-----
Question:
Which of the following has antiemetic action?
Options:
a) Propofol
b) Thiopentone
c) Ether
d) Nitrous oxide
-----
",0,1
"-----
Question:
A 48 yrs old male with triple vessel disease and longstanding diabetes had gangrene developed in left lower foot. Which is best mode of anesthetics:-
Options:
a) Popliteal block
b) Sciatic block
c) Femoral block
d) Saphenous nerve block
-----
",0,1
"-----
Question:
The most appropriate circuit for ventilating a spontaneously breathing infant –
Options:
a) Jackson Rees modification of Ayre's T peiece
b) Mapleson A or Magill's circuit
c) Mapleson C or water's to & fro canister
d) Bain's circuit
-----
",0,1
"-----
Question:
The local anaesthetic toxicity is maximally seen with?
Options:
a) Epidural
b) Intercostal space
c) Caudal space
d) Sciatico-femoral nerve block
-----
",1,1
"-----
Question:
In which plane of anaesthesia, movement of eyeball is lost –
Options:
a) Stage 3, Plane 1
b) Stage 1, Plane 3
c) Stage 2, Plane 3
d) Stage 4
-----
",0,1
"-----
Question:
Most common cause of maternal moality in spinal anesthesia is ?
Options:
a) Allergy to local anesthesia
b) Nerve injury
c) High block
d) Hypotension
-----
",-1,4
"-----
Question:
The use of succinylcholine is not contraindicated in:
Options:
a) Tetanus
b) Closed head injury
c) Cerebral stroke
d) Hepatic failure
-----
",2,1
"-----
Question:
Trendelenberg position produces decrease in all of the following except –
Options:
a) Vital capacity
b) Functional residual capacity
c) Compliance
d) Respiratory rate
-----
",3,3
"-----
Question:
Best uterine relaxation is seen with ?
Options:
a) Chloroform
b) Nitrous oxide
c) Ether
d) Halothane
-----
",3,4
"-----
Question:
Which of the following in anesthesia will produce decreased EEG activities
Options:
a) Hypothermia
b) Early Hypoxia
c) Ketamine
d) N20
-----
",0,1
"-----
Question:
All are constituents of soda lime except
Options:
a) Ca(OH)2
b) Ba(OH)2
c) Silica
d) Moisture
-----
",1,4
"-----
Question:
The sensitivity of Mammography is low in young females because?
Options:
a) Less glandular tissue and more fat
b) Young females are less cooperative
c) Young breast have dense tissue
d) Because of less fat content
-----
",2,1
"-----
Question:
The first sign of intrathecal injection following placement of caudal epidural with 0.25% bupivacaine in a 1 year old child would be
Options:
a) Hypotension
b) Bradycardia
c) Falling oxygen saturation
d) Tachycardia
-----
",2,2
"-----
Question:
Among the local anaesthetics, the one that is associated with vasoconstriction is lidocaine which is used with Adrenaline in a concentration of :
Options:
a) 1:20
b) 0.180555556
c) 1.430555556
d) 1:200000
-----
",3,1
"-----
Question:
Ketamine NOT used in:
Options:
a) Full stomach
b) Increased ICT
c) Pediatric patient
d) Asthma patient
-----
",1,1
"-----
Question:
All of the following are pharmacological effects of ketamine, EXCEPT
Options:
a) It causes profound analgesia
b) It causes severe fall in blood pressure
c) It causes amnesia
d) It increases cerebral blood flow
-----
",1,2
"-----
Question:
Diffusion hypoxia is seen during –
Options:
a) Induction of anaesthesia
b) Recovering anaesthesia
c) Preoperatively
d) Postoperatively
-----
",1,2
"-----
Question:
A 20 year old patient presented with early pregnancy for Medical termination of Pregnancy (MTP) in day care facility. What will be the anaesthetic induction agent of choice ?
Options:
a) Thiopentone
b) Ketamine
c) Propofol
d) Diazepam
-----
",2,3
"-----
Question:
Which of the following drug causes pain on injection:-
Options:
a) Rocuronium
b) Vacuronium
c) Rapocuronium
d) Atracurium
-----
",0,4
"-----
Question:
Maximum uterine relaxation
Options:
a) Ether
b) N20
c) Halothane
d) Chloroform
-----
",2,1
"-----
Question:
Which of the following inhalational general anaesthetic can cause laryngospasm:
Options:
a) Halothane
b) Nitrous oxide
c) Desflurane
d) Enflurane
-----
",2,3
"-----
Question:
Most cardiotoxic local anaesthetic:
Options:
a) Dibucaine
b) Bupivacaine
c) Lignocaine
d) Chlorprocaine
-----
",1,2
