mcq,cop,llm_cop
"-----
Question:
Hypersecretory glaucoma is seen in -
Options:
a) Epidemic dropsy
b) Marfan's syndrome
c) Hypeension
d) Diabetes
-----
",0,1
"-----
Question:
Endometrial biopsy in infertility"" is done at
Options:
a) 3-6 days of menstrual cycle
b) 5-7 days of menstrual cycle
c) 21 - 23rd day of the menstrual cycle
d) 24 - 26th days of the menstrual cycle
-----
",2,2
"-----
Question:
Which of the following is the least effective barrier?
Options:
a) Deep dentin
b) Superficial dentin
c) Enamel
d) Cementum
-----
",0,2
"-----
Question:
Refraction in eye not affected by:
Options:
a) Removal of vitreous
b) Lens thickened
c) Anterior chamber depth increased
d) Axial length changed
-----
",2,3
"-----
Question:
Which of the following measures The amount of fetal blood entering maternal circulation:
Options:
a) Kleihauer - Betke test
b) Singers test
c) APT test
d) Benedict test
-----
",0,0
"-----
Question:
Nosocomial infections are diagnosed after how many hours of hospitalization / admission?
Options:
a) 24 hours
b) 48 hours
c) 72 hours
d) 96 hours
-----
",1,2
"-----
Question:
Anagen phase of the hair indicates:
Options:
a) The phase of activity and growth
b) The phase of transition
c) The phase of resting
d) The phase of degeneration
-----
",0,0
"-----
Question:
Which of the following biomarkers is released from ventricular myocytes:
Options:
a) Brain Natriuretic Peptide (BNP)
b) Atrial Natriuretic Peptide (ANP)
c) Endothelin 1
d) Endothelin 2
-----
",0,0
"-----
Question:
Epidermal Bullosa Acquisita is characterized by
Options:
a) Immunoglobulins against collagen 7
b) IgA against BP2
c) Immunoglobulins against BP2
d) Immunoglobulins against Dsg-1
-----
",0,3
"-----
Question:
Proximal tubule proteinuria and painful bone lesions are seen in overdose of
Options:
a) Cadmium
b) Lead
c) Mercury
d) Phenol
-----
",0,1
"-----
Question:
Anesthetic of choice for status asthmaticus is?
Options:
a) Ketamine
b) Thiopentone
c) Ether
d) N2O
-----
",0,1
"-----
Question:
45-year-old policeman comes from duty with complain of pain in right leg. On examination, pulse in right popliteal fossa was absent and pain in right buttock, where as in left side it was normal. The block is at which level?
Options:
a) Femoral
b) Iliac
c) Aooiliac
d) Popliteal
-----
",1,0
"-----
Question:
Which of the following is not assessed in FAST?
Options:
a) Right upper quadrant
b) Left upper quadrant
c) Hypogastrium
d) Sub-xiphoid area
-----
",2,0
"-----
Question:
Tolvaptan is used for:-
Options:
a) SIADH
b) Central DI
c) Von Wilebrand disease
d) Catecholamine resistant Shock
-----
",0,0
"-----
Question:
Foaming liver is seen in
Options:
a) Actinomycosis
b) Gas gangrene
c) Organophosphorus poisoning
d) Sepsis
-----
",1,1
"-----
Question:
Ingestion of arsenic causes :
Options:
a) Hepatic carcinoma
b) Hepatic adenoma
c) Non cirrhotic poal fibrosis
d) Hepatic cirrhosis
-----
",2,0
"-----
Question:
Horizontal semicircular canal is
Options:
a) Anterior
b) Superior
c) Posterior
d) Lateral
-----
",3,3
"-----
Question:
Vitamin which is excreted in urine is
Options:
a) Vitamin A
b) Vitamin C
c) Vitamin D
d) Vitamin K
-----
",1,1
"-----
Question:
Denominator in dependency ratio -
Options:
a) 0-5 years
b) 5-14 years
c) > 65 years
d) 15-65 years
-----
",3,2
"-----
Question:
Nevirapine is
Options:
a) Nonnucleoside reverse transcriptase inhibitor (NNI)
b) Nucleoside reverse transcriptase inhibitor (NIs)
c) Protease inhibitor (PI)
d) Fusion inhibitor
-----
",0,0
"-----
Question:
Emporiatrics is study of
Options:
a) Bioterrorism agents
b) Tropical diseases
c) Health of International travelers
d) International health agencies
-----
",2,2
