id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quel type de responsabilité peut être recherchée à l'égard d'un professionnel de santé ou d'un établissement de santé?,La sanction du professionnel ou de l'établissement,L'indemnisation de l'usager victime des conséquences d'un événement indésirable associé aux soins,La sanction de l'usager victime des conséquences d'un événement indésirable associé aux soins,L'indemnisation de l'établissement,b
OIC-005-01-A-,Quelle est la définition de la responsabilité pénale dans le contexte médical?,Une responsabilité pénale est une obligation de respecter les lois et règlements médicaux.,"Une responsabilité pénale est une obligation de respecter les lois et règlements généraux, applicable à tous les citoyens.","Une responsabilité pénale est une obligation de respecter les lois et règlements généraux, applicable uniquement aux médecins.","Une responsabilité pénale est une obligation de respecter les lois et règlements médicaux, applicable uniquement aux établissements de santé.",c
OIC-005-02-A,Quels professionnels engagent leur responsabilité civile personnelle devant les juridictions de l’ordre judiciaire?,"Les médecins salariés d’établissements, services ou organismes privés",Les professionnels exerçant à titre libéral et les établissements de santé privés,Les praticiens hospitaliers engagent leur responsabilité civile professionnelle à raison des dommages survenus dans le cadre de leur secteur d’activité libérale au sein d’un établissement public de santé,Aucun des professionnels ci-dessus,b
OIC-005-02-A-,Quel est le lien juridique entre le médecin et son patient?,Le médecin et son patient sont liés juridiquement en dehors de l'établissement public de santé.,Le médecin et son patient sont liés juridiquement uniquement à l'établissement public de santé.,Le médecin et son patient sont liés juridiquement entre eux et l'établissement public de santé.,Le médecin et son patient n'ont aucun lien juridique.,b
OIC-005-03-A,Qu'est-ce qui est une faute disciplinaire selon le Code de déontologie médicale?,Un acte de la vie privée qui porterait atteinte à l’honneur ou à la moralité de la profession.,Une infraction pénale listée dans le Code pénal.,Un manquement aux règles de déontologie médicale.,Un acte de la vie professionnelle qui ne porterait pas atteinte à l’honneur ou à la moralité de la profession.,c
OIC-005-03-A-,Qu'est-ce que la responsabilité sans faute dans le contexte des soins médicaux?,Une responsabilité engagée lorsqu'il y a une erreur ou manquement aux règles professionnelles ou scientifiques,Une responsabilité engagée lorsqu'il y a un dommage lié au soins mais survenu sans manquement aux règles professionnelles ou scientifiques,Une responsabilité engagée lorsqu'il y a un dommage lié au soins et que le législateur a reconnu des systèmes d’indemnisation,Une responsabilité engagée lorsqu'il y a une infection nosocomiale,b
OIC-005-04-A,Quel droit du patient peut constituer un fait générateur de responsabilité médicale pour faute?,Droit à la protection de la vie,Droit au respect de la dignité,Droit à ne pas subir de discrimination dans l’accès à la prévention ou aux soins,"Droit à une information sur les frais auxquels l’usager pourrait être exposé à l’occasion d’activités de prévention, de diagnostic et de soins",b
OIC-005-04-A-,Qu'est-ce qu'une erreur par omission?,Une action mal réalisée,Une action qui a été faite mais qui n’était pas utile,Une violation de règles professionnelles,Une action nécessaire qui n'a pas été faite,d
OIC-005-05-A,Qu'est-ce qu'un accident médical?,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé.","Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui ne provoque pas de dommage anormal au regard de l'évolution prévisible de l'état de santé.","Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui est causé par une erreur d'un professionnel de santé.","Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui est causé par une erreur d'un malade.",a
OIC-005-05-A-,Qu'est-ce qu'une infection nosocomiale?,Une infection contractée avant l'admission dans un établissement de santé,Une infection contractée après 48 heures d'hospitalisation,Une infection contractée au cours d'un séjour dans un établissement de santé,Une infection contractée avant l'incubation dans un établissement de santé,c
OIC-005-06-A,Qu'est-ce que l'aléa thérapeutique selon la définition donnée?,Un événement indésirable dont la cause est une action de soins non conforme et comportant une erreur,Un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d'erreur,Un événement indésirable qui peut être maîtrisé par les professionnels de santé,Un événement indésirable qui n'a pas de lien avec les soins médicaux,b
OIC-005-06-A-,Quels facteurs peuvent conduire à l'ouverture d'un contentieux à la suite d'un accident médical?,Seulement les facteurs liés à l'environnement de travail,Seulement les facteurs liés à l'organisation et au management,"Les facteurs liés au patient, aux tâches à accomplir, à l'équipe, à l'environnement de travail, à l'organisation et au management",Seulement les facteurs liés à l'organisation et au management et aux tâches à accomplir,c
OIC-005-07-A,Quels sont les facteurs humains individuels qui peuvent conduire à des erreurs?,"Le stress, le manque de temps, la fatigue, la maladie","Le manque de connaissances, de compétences, d’expérience",Les facteurs linguistiques ou culturels qui peuvent perturber la bonne compréhension d’une situation,L'attitude ou le comportement du patient,b
OIC-005-07-A-,Quel est le modèle le plus souvent présenté pour analyser les causes d'erreur dans le domaine des soins?,Modèle de Reason,Modèle de la Tour Eiffel,Modèle de la Grande Muraille de Chine,Modèle de la Pyramide de Gizeh,a
OIC-005-08-A,Quel est le but de la démarche de culture positive de l'erreur dans le contexte de la gestion des risques associés aux soins?,Punir la personne responsable de l'erreur,Cacher les erreurs pour éviter des sanctions,Signaler les erreurs et les analyser pour améliorer la sécurité des patients,Ignorer les erreurs pour ne pas les répéter,c
OIC-005-08-A-,Qu'est-ce que le travail en équipe pluriprofessionnelle?,Un moyen de répondre de manière collaborative aux besoins du patient.,Une barrière de sécurité contre les événements indésirables.,Un facteur de qualité de la prise en charge du patient.,Un facteur de santé et de bien-être au travail pour les professionnels.,a
OIC-005-09-A,"Quel dispositif est utilisé pour les activités dites 'interventionnelles' telles que l'endoscopie, la radiologie interventionnelle, les cathéters veineux centraux et la chimiothérapie?",Protocole pluriprofessionnel,Réunion de morbi-mortalité,Check-list,Réunions de concertation pluridisciplinaire,c
OIC-005-09-A-,Qu'est-ce que le parcours de soins?,Le parcours de soins est l'organisation et la coordination du juste enchaînement et du bon moment des compétences professionnelles tout au long de la prise en charge d'un patient.,Le parcours de soins est l'organisation et la coordination du juste enchaînement et du bon moment des compétences professionnelles tout au long de la prise en charge d'un animal.,Le parcours de soins est l'organisation et la coordination du juste enchaînement et du bon moment des compétences professionnelles tout au long de la prise en charge d'un véhicule.,Le parcours de soins est l'organisation et la coordination du juste enchaînement et du bon moment des compétences professionnelles tout au long de la prise en charge d'un bâtiment.,a
OIC-005-10-A,Qu'est-ce que l'on appelle un protocole pluriprofessionnel?,Un protocole de soins unique pour un professionnel,Un consensus concernant la prise en charge d'une maladie aigue ou chronique par plusieurs professionnels,Un document de politique de santé publique,Un protocole de travail en équipe pour une entreprise,b
OIC-005-10-A-,Quelle est la définition des réunions de concertation pluridisciplinaire (RCP)?,Réunions qui regroupent au moins trois médecins de spécialités différentes pour prendre une décision sur la meilleure prise en charge d’un patient et en fonction de l'état de la science du moment.,Réunions qui regroupent au moins trois médecins de spécialités différentes pour discuter de la prise en charge d’un patient mais sans prendre de décision.,Réunions qui regroupent au moins trois médecins de spécialités différentes pour discuter de la prise en charge d’un patient et en fonction de l'état de la science du moment et prendre une décision.,Réunions qui regroupent au moins trois médecins de spécialités différentes pour discuter de la prise en charge d’un patient mais sans prendre de décision et en fonction de l'état de la science du moment.,a
OIC-005-11-A,Qu'est-ce que la check-list sécurité du patient au bloc opératoire?,Un outil de vérification utilisé pour sécuriser la réalisation d'une intervention chirurgicale,Un outil de vérification utilisé pour sécuriser la réalisation d'une intervention radiologique,Un outil de vérification utilisé pour sécuriser la réalisation d'une intervention endoscopique,Un outil de vérification utilisé pour sécuriser la réalisation d'une intervention chimiothérapeutique,a
OIC-005-11-A-,Qu'est-ce que la réunion de morbi-mortalité (RMM)?,"Une réunion d'analyse collective, prospective et systémique","Une réunion d'analyse collective, rétrospective et non systémique","Une réunion d'analyse individuelle, rétrospective et systémique","Une réunion d'analyse collective, prospective et non systémique",a
OIC-005-12-B,Quel service hospitalier a pour mission de répondre aux situations d'urgence et assure une écoute médicale permanente?,Les Services Mobiles d’Urgence et de Réanimation (SMUR),Les Structures des urgences (SU),Les Samu-Centre 15,Les centres d’enseignement des soins d’urgence (CESU),c
OIC-005-12-B-,Quels critères sont interdits d'utilisation pour traiter différemment des personnes selon les Conventions internationales?,"Appartenance ethnique, opinions politiques, identité de genre, orientation sexuelle, nationalité","Appartenance ethnique, opinions politiques, identité de genre, orientation sexuelle, religion","Appartenance ethnique, opinions politiques, identité de genre, orientation sexuelle, nationalité, religion","Appartenance ethnique, opinions politiques, identité de genre, orientation sexuelle, nationalité, religion, handicap",c
OIC-005-13-A,Quel est l'un des effets des discriminations sur les inégalités sociales de santé?,Elles améliorent la santé,Ils ne font pas de différence sur la santé,Ils aggravent les inégalités sociales de santé,Ils améliorent les inégalités sociales de santé,c
OIC-005-13-A-,Quel facteur structurel et organisationnel est lié à un refus de soin non équitablement réparti dans une situation de désertification de l'offre de soin ou de pénurie?,Rapport de pouvoir asymétrique dans le soin,Hétérogénéité de pratiques,Inégalités territoriales de l'offre de soin,Manque de coordination,c
OIC-005-14-B,Qu'est-ce qui est la compétence des individus à réfléchir de façon critique sur la dimension morale de leurs actions et pratiques individuelles et collectives?,La morale,La déontologie,L'éthique,Le droit,c
OIC-005-14-B-,Quel est le domaine principal de la bioéthique selon V.R. Potter?,Une éthique globale pour la survie de l’être humain et de la planète,Un sous-ensemble de l’éthique en santé,Un cadre réglementaire pour les progrès scientifiques,Un domaine de recherches philosophiques et de débats publics,a
OIC-005-15-B,Quand le mot 'déontologie' a-t-il été utilisé pour la première fois en langue française?,En 1800,En 1820,En 1825,En 1830,c
OIC-005-15-B-,Quel principe de l'approche par principes de l'éthique médicale est directement issu de la tradition médicale?,La bienfaisance,La non-malfaisance,L'autonomie,La justice,a
OIC-006-01-A,Quel principe philosophique a-t-on retrouvé à la base de l'autonomie du patient dans le domaine du soin?,Le principe de l'autorité du corps sur l'esprit,Le principe de la souveraineté de l'esprit sur le corps,Le principe de la subordination de l'esprit au corps,Le principe de la subordination du corps à l'esprit,b
