lisa_id,content_raw,question,option_a,option_b,option_c,option_d,correct_option,manual_score_b,manual_score_c,manual_score_d,manual_notes,gpt4o_scores,gpt4o_avg,gpt4o_pass,gpt4o_justifs
OIC-001-01-A,"{{objectif de connaissance
|Identifiant=OIC-001-01-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître la définition de la relation médecin-malade
|Description=Principales caractéristiques de la relation médecin-malade. Ex. Modèle paternaliste/centré sur l'auto-détermination/patient partenaire de soins
|Rubrique=Définition
|Contributeurs=
|Ordre=1}}

Rencontre entre un soignant et une personne soignée :

-       Approche antérieurement surtout paternaliste et biomédicale.

-       Dorénavant globale c’est-à-dire bio-médico-psychosociale, centrée sur le patient et non sa/ses maladies(s).

Le patient est un partenaire du soin : son expérience et son vécu sont intégrés à la démarche du soignant.<br />",Quelle est la caractéristique principale de la relation médecin-malade actuelle ?,Biomédicale,Centrée sur le patient et non sur sa maladie,Centrée sur la maladie,Paternaliste,b,,,,,"[2, 1, 2]",1.6666666666666667,False,"[""The term 'biomedical' is outdated in the context of modern patient-centered care, making it easy to eliminate."", 'This option directly contradicts the current understanding of patient-centered care, making it implausible.', ""While 'paternalistic' reflects a historical approach, it is clearly not aligned with the modern patient-centered model.""]"
OIC-001-02-A,"{{objectif de connaissance
|Identifiant=OIC-001-02-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître les principaux déterminants de la relation médecin-malade
|Description=Déterminants psychologiques, éthiques, sociaux, etc.
|Rubrique=Définition
|Contributeurs=
|Ordre=2}}
L’acte médical est le moment de convergence de 3 finalités : celle du patient, celle du médecin, celle de la société. Ces finalités induisent des interactions entre différents déterminants de la relation qui relèvent des domaines :

-       éthique : le respect, la dignité et la liberté de l'individu lui-même, dans son groupe et dans la collectivité

-       sociaux : les difficultés linguistiques, les éléments culturels, voire religieux, le niveau éducatif, les déficits sensoriels

psychologiques : les perspectives du patient et du médecin au moment de la consultation, la mise à distance des événements de vie.<br />",Quels sont les principaux domaines des déterminants de la relation médecin-malade ?,"Éthique, sociaux, culturels","Éthique, sociaux, psychologiques","Éthique, économiques, psychologiques","Sociaux, psychologiques, culturels",b,,,,,"[3, 1, 2]",2.0,False,"[""This distractor is somewhat plausible as 'culturels' could be mistakenly seen as a separate domain, but it is actually a subset of 'sociaux'."", ""This distractor is implausible because 'économiques' is not mentioned as a domain in the context provided."", ""This distractor is easy to eliminate because it omits 'éthique', which is a key domain mentioned in the context.""]"
OIC-001-03-A,"{{objectif de connaissance
|Identifiant=OIC-001-03-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître les principaux corrélats cliniques de la relation médecin-malade
|Description=Ex. Performance dans la démarche diagnostique, amélioration des indicateurs de santé, etc.
|Rubrique=Définition
|Contributeurs=
|Ordre=3}}
La qualité de la relation médecin-patient a démontré son importance sur différents indicateurs de santé :

-       performance dans la démarche diagnostique

-       amélioration et stabilisation de paramètres biocliniques de suivi des maladies chroniques<br />",Quels sont les impacts de la qualité de la relation médecin-patient ?,Augmentation de la durée des hospitalisations,Réduction des coûts des soins,Amélioration de la performance diagnostique et des indicateurs biocliniques,Diminution de la compliance des patients aux traitements,c,,,,,"[2, 4, 1]",2.3333333333333335,False,"['This option is easy to eliminate as it contradicts the positive impacts typically associated with a good doctor-patient relationship.', 'This option is plausible as a good doctor-patient relationship can lead to more efficient care, potentially reducing costs.', 'This option is implausible as a good doctor-patient relationship generally increases patient compliance, not decreases it.']"
OIC-001-04-A,"{{objectif de connaissance
|Identifiant=OIC-001-04-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître les principes de « l’approche centrée sur le patient »
|Description=relation de partenariat basée sur la complémentarité entre l’expertise des professionnels et l’expérience des patients, entraînant une personnalisation des soins (écoute, dialogue, adaptation), le développement de compétences, et la continuité des soins (HAS)
|Rubrique=Définition
|Contributeurs=
|Ordre=4}}
L’approche centrée sur le patient (ACP) est une relation de partenariat basée sur la complémentarité entre l’expertise des professionnels et l’expérience des patients, entraînant une personnalisation des soins (écoute, dialogue, adaptation), le développement de compétences, et la continuité des soins.

L’ACP associe les perspectives :

-       du médecin : démarche biomédicale, raisonnement clinique, diagnostic, thérapeutique

-       du patient : expérience vécue de la maladie

La démarche clinique ACP comprend 4 dimensions :

•              Explorer la maladie et l’expérience qu’elle fait vivre au patient

•              Comprendre la personne dans sa globalité biomédicale, psychosociale et son contexte

•              Trouver un terrain d’entente, une compréhension commune sur le problème de santé et les solutions afin d’aboutir à une décision partagée

•              Développer une alliance avec le patient (alliance thérapeutique)<br />",Quelle est la base de l'approche centrée sur le patient (ACP) ?,Une relation de partenariat basée sur la complémentarité entre l’expertise des professionnels et l’expérience des patients,Une relation où le patient prend toutes les décisions sans tenir compte de l’avis du médecin,"Une relation où le médecin et le patient ont un rapport de force égal, sans complémentarité",Une relation où le médecin prend toutes les décisions sans tenir compte de l’opinion du patient,a,,,,,"[2, 3, 2]",2.3333333333333335,False,"['This option is easy to eliminate as it contradicts the core principle of ACP, which involves collaboration and shared decision-making.', 'This option is somewhat plausible as it suggests equality, but it lacks the essential element of complementarity and shared decision-making.', 'This option is easy to eliminate as it directly opposes the patient-centered approach by excluding patient input.']"
OIC-001-05-A,"{{objectif de connaissance
|Identifiant=OIC-001-05-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître la notion de représentation de la maladie
|Description=Savoir que celles du patient peuvent différer de celles du médecin
|Rubrique=Définition
|Contributeurs=
|Ordre=5}}
La rencontre entre le soignant et le soigné concernant une maladie correspond à la rencontre des représentations c’est-à-dire l’image que chacun se fait de cette maladie. Les représentations du médecin et du patient peuvent différer du fait de leurs expériences personnelles positives ou négatives vécues. Les représentations de la maladie ont des conséquences biomédicales ou psychosociales, l’impact ou la vision de l’entourage du patient, etc.",Quelle est la particularité des représentations de la maladie entre le médecin et le patient ?,Elles peuvent différer en raison des expériences personnelles.,Elles sont toujours identiques.,Elles sont uniquement basées sur des faits biomédicaux.,Elles n'ont pas d'impact sur la prise en charge.,a,,,,,"[1, 3, 2]",2.0,False,"['The idea that representations are always identical is implausible given the context of differing personal experiences.', 'This option is somewhat plausible as it might reflect a misunderstanding that medical knowledge is purely objective, ignoring personal experiences.', 'This option is easy to eliminate as it contradicts the notion that representations influence medical care, but it may reflect a misunderstanding of their importance.']"
OIC-001-06-A,"{{objectif de connaissance
|Identifiant=OIC-001-06-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître les facteurs influençant l’information délivrée au patient
|Description=None
|Rubrique=Définition
|Contributeurs=
|Ordre=6}}
L’information du patient fait partie de la qualité de la relation. La compétence de communication du soignant sert la mise en forme de l’information au service de cette relation.

Les facteurs liés à la communication verbale, non verbale et les facteurs contextuels (lieu, temporalité, interférences…) influencent l’information délivrée.

Une relation complémentaire nécessite que les 2 interlocuteurs se placent dans un processus constructif de collaboration : les rétroactions influencent la qualité de l’information échangée.<br />",Quels sont les facteurs influençant l'information délivrée au patient ?,Les facteurs contextuels uniquement.,"La communication verbale et non verbale, ainsi que les facteurs contextuels.",La communication non verbale uniquement.,La communication verbale uniquement.,b,,,,,"[2, 5, 2]",3.0,False,"['This option is easy to eliminate as it ignores the role of communication, which is a key aspect of the information delivery process.', 'This option is highly plausible as it includes all relevant factors mentioned in the context, making it a subtle misconception if chosen.', 'This option is easy to eliminate because it overlooks the importance of verbal communication and context, which are crucial in the information delivery process.']"
OIC-001-07-A,"{{objectif de connaissance
|Identifiant=OIC-001-07-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître la notion d’ajustement au stress
|Description=Notamment facteurs sociaux (p. ex. position sociale perçue du patient)
|Rubrique=Définition
|Contributeurs=
|Ordre=7}}


L'adaptation joue un rôle central dans la gestion du stress. En sus des manifestations biologiques et physiologiques de la réaction au stress, l’individu dispose de moyens complémentaires nommés stratégies d’adaptation, stratégies d’ajustement, regroupées sous le nom de ''coping''. Ce terme regroupe l’ensemble des procédures et des processus qu'un individu peut imaginer et installer entre lui et un événement jugé inquiétant ou dangereux, afin d'en maîtriser les conséquences potentielles sur son bien-être physique et psychique.

<br />",Qu'est-ce que le 'coping' dans le contexte de la gestion du stress ?,Une réaction biologique et physiologique au stress.,Une maladie grave ou létale associée aux soins.,L'ensemble des procédures et processus pour maîtriser les conséquences d'un événement stressant.,Un facteur social influençant la perception du stress.,c,,,,,"[3, 1, 2]",2.0,False,"['This distractor is somewhat plausible as it relates to stress, but it is clearly flawed because it describes a reaction rather than a strategy for managing stress.', 'This distractor is implausible and unrelated to the concept of coping, as it describes a disease rather than a stress management strategy.', 'This distractor is weakly plausible as it mentions a factor influencing stress perception, but it does not align with the definition of coping as a strategy or process.']"
OIC-001-08-A,"{{objectif de connaissance
|Identifiant=OIC-001-08-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître les principaux mécanismes de défense observés chez les patients / leurs proches / les professionnels de santé dans le cadre de l’annonce d’une mauvaise nouvelle en santé
|Description=
|Rubrique=Définition
|Contributeurs=
|Ordre=8}}Lorsqu’il est confronté à une souffrance psychique la personne peut être en difficulté pour y faire face et se « défendre » : elle adopte alors de façon plus ou moins consciente une attitude qui lui permet vivre moins douloureusement la situation. C’est une forme d’adaptation aux angoisses. Il n’existe pas de liste consensuelle des mécanismes de défenses, la personne pourra par exemple tenter de distancier les cognitions pénibles ou menaçantes de ses sentiment (Isolation), déplacer sur des symptômes physiques sa souffrance mentale (Déplacement), projeter de manière inconsciente ses propres sentiment en les attribuant à autrui (Projection), régresser vers un stage de développement antérieur (Régression) ou encore être dans le Déni (en refusant de façon inconsciente de reconnaitre la réalité traumatisante).",Quel est un mécanisme de défense où la personne refuse de façon inconsciente de reconnaître la réalité traumatisante ?,Projection,Isolation,Déplacement,Déni,d,,,,,"[3, 2, 2]",2.3333333333333335,False,"['Projection is somewhat plausible as it involves unconscious processes, but it does not involve refusing to recognize reality.', 'Isolation is less plausible as it involves separating emotions from thoughts, not refusing to recognize reality.', 'Déplacement is weakly plausible as it involves shifting emotions, not refusing to recognize reality.']"
OIC-001-09-A,"{{objectif de connaissance
|Identifiant=OIC-001-09-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître la notion d’empathie clinique
|Description=
|Rubrique=Définition
|Contributeurs=
|Ordre=9}}
<br />L’empathie sert à apprécier et accepter l’état émotionnel d’autrui afin de mieux le comprendre.

Le médecin met de côté son propre schéma de pensée sur la situation vécue par le patient (compréhension) sans pour autant vivre la situation à la place du patient.

<br />",Qu'est-ce que l'empathie clinique implique pour le médecin ?,Vivre la situation du patient,Ignorer les émotions du patient,Comprendre et accepter l'état émotionnel du patient sans se substituer à lui,Donner des conseils médicaux sans tenir compte des émotions du patient,c,,,,,"[3, 1, 2]",2.0,False,"[""This distractor is somewhat plausible as it reflects a misunderstanding of empathy, confusing it with sympathy, but it is clearly flawed as empathy does not mean living the patient's situation."", 'This distractor is implausible as it directly contradicts the concept of empathy, which involves acknowledging and understanding emotions.', 'This distractor is easy to eliminate because it ignores the emotional aspect, which is central to empathy, making it weakly plausible.']"
OIC-001-10-A,"{{objectif de connaissance
|Identifiant=OIC-001-10-A
|Item_parent=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.
|Item_parent_short=La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un ...
|Rang=A
|Intitulé=Connaître la notion d’alliance thérapeutique
|Description=None
|Rubrique=Définition
|Contributeurs=
|Ordre=10}}
L’alliance avec le patient, dite aussi alliance thérapeutique, est le résultat de la mise en pratique de l’ACP au cours des consultations successives. L’ensemble de la relation au cours du temps devient thérapeutique en amenant le patient à être un véritable acteur de sa santé. La posture du médecin est facilitatrice et propose aux patients de réfléchir à de nouvelles informations pour l’amener au changement.",Qu'est-ce que l'alliance thérapeutique dans la relation médecin-malade ?,Une relation où le médecin transmet uniquement des informations techniques au patient.,Une relation où la communication est limitée pour éviter les malentendus.,Une relation où le médecin prend toutes les décisions sans l'avis du patient.,Une relation où le patient est un acteur de sa santé et le médecin facilite ce processus.,d,,,,,"[2, 1, 2]",1.6666666666666667,False,"['This option is easy to eliminate as it contradicts the concept of an alliance, which involves collaboration rather than one-way communication.', 'This option is implausible as it suggests limiting communication, which is contrary to the principles of building an alliance.', 'This option is easy to eliminate because it describes a paternalistic approach, which is the opposite of an alliance where the patient is involved in decision-making.']"
