id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quel est l'objectif de la responsabilité civile professionnelle des médecins et des établissements de santé?,Assurer la sanction du professionnel ou de l'établissement,Indemniser les victimes d'événements indésirables associés aux soins,Couvrir les coûts des traitements médicaux,Favoriser la transparence dans les soins,b
OIC-005-01-A-,Quelle est la fonction répressive de la responsabilité pénale ?,Sanctionner les comportements répréhensibles dans notre société.,Protéger les droits des patients.,Favoriser l'exercice de soins de qualité.,Encourager la recherche médicale.,a
OIC-005-02-A,Quels professionnels exercent leur responsabilité civile devant les juridictions de l'ordre judiciaire ?,"Les médecins salariés d'établissements, services ou organismes privés",Les professionnels libéraux et les établissements de santé privés,Les praticiens hospitaliers uniquement,Aucun des professionnels mentionnés ci-dessus,b
OIC-005-02-A-,Quelle est la responsabilité engagée devant les juridictions de l'ordre administratif en cas d'actes réalisés par des médecins hospitaliers ?,Responsabilité civile personnelle du médecin,Responsabilité administrative de l'établissement public de santé,Responsabilité pénale du patient,Responsabilité disciplinaire du conseil de l'ordre des médecins,b
OIC-005-03-A,Quelles sont les instances compétentes pour juger les fautes disciplinaires des médecins ?,Chambre disciplinaire du conseil régional de l'Ordre et la chambre disciplinaire du conseil national de l'Ordre en appel.,"Conseil d'Etat, Cour de cassation et Tribunal administratif.","Cour pénale internationale, Cour européenne des droits de l'homme et Conseil de sécurité des Nations unies.",Chambre civile du conseil régional de l'Ordre et la chambre pénale du conseil national de l'Ordre en appel.,a
OIC-005-03-A-,"Qu'est-ce qu'on appelle un dommage lié au soins mais survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur ?",Responsabilité avec faute,Responsabilité sans faute,Indemnisation pour les infections nosocomiales,Erreur médicale,b
OIC-005-04-A,"Quel est l'article du Code de la santé publique qui stipule que les professionnels et établissements de santé ne sont responsables des conséquences dommageables d'actes de prévention, de prévention ou de soins qu'en cas de faute?",L. 1142-0,L. 1142-1,L. 1142-2,L. 1142-3,b
OIC-005-04-A-,Quels sont les types d'erreurs médicales ?,Omission et commission,Exécution et violation,"Omission, exécution et violation","Commission, exécution et omission",b
OIC-005-05-A,Qu'est-ce qu'un accident médical ?,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic.",Un dommage anormal causé par une erreur d'un professionnel de santé.,Un effet néfaste provoqué par un traitement ou un acte médical.,Une conséquence de la prise d'un médicament avec mauvais usage.,a
OIC-005-05-A-,Qu'est-ce que les infections nosocomiales ?,Infections contractées à l'extérieur d'un établissement de santé,Infections présentes au moment de l'admission du patient dans un établissement de santé,Infections contractées au cours d'un séjour dans un établissement de santé,Infections causées par des bactéries résistantes aux antibiotiques,c
OIC-005-06-A,Qu'est-ce que l'aléa thérapeutique?,Une erreur médicale causée par la négligence d'un professionnel de santé,Un événement indésirable lié à une action de soins conforme et ne comportant pas d'erreur,Un effet secondaire d'un médicament incorrectement prescrit,Une infection nosocomiale causée par la faute des professionnels de santé,b
OIC-005-06-A-,Quels sont les principaux facteurs conduisant à l'ouverture d'un contentieux à la suite d'un accident médical ?,seulement le patient,seulement l'équipe,"tous les facteurs mentionnés (patient, tâches, équipe, environnement de travail, organisation et management, contexte institutionnel)",aucun des facteurs mentionnés n'est pertinent,c
OIC-005-07-A,Quels sont les facteurs humains individuels qui peuvent conduire à des erreurs?,"Le manque de connaissances, la capacité de mémorisation limitée",Les facteurs linguistiques ou culturels,"La fatigue, le stress et le manque de temps",Tous les facteurs ci-dessus,d
OIC-005-07-A-,Quel est le but de l'analyse approfondie des causes d'erreur dans les soins médicaux?,Identifier les responsables de l'erreur,Prévenir les erreurs et les accidents en mettant en place des actions d'amélioration,Réduire les coûts liés aux soins médicaux,Améliorer la communication entre les équipes de soins,b
OIC-005-08-A,Quel est le but d'une démarche de culture positive de l'erreur dans un système de gestion des risques associés aux soins?,Culpabiliser les professionnels de santé,Favoriser le signalement et l'analyse des erreurs pour améliorer la sécurité du patient,Réduire les coûts liés à l'analyse des dossiers,Augmenter la confiance dans le système de gestion des risques associés aux soins,b
OIC-005-08-A-,Quel est le but principal d'un travail en équipe pluriprofessionnelle ?,Améliorer la communication entre les professionnels,Répondre de manière collaborative aux besoins du patient,Augmenter les coûts de la prise en charge du patient,Diminuer l'efficacité des soins,b
OIC-005-09-A,Quels sont les principaux dispositifs du travail en équipe pluridisciplinaire ?,"Protocole, RCP et check-list","Réunion de morbi-mortalité (RMM), protocole et RCP","Check-list, réunion de morbi-mortalité (RMM) et protocole","Protocole, RCP et réunion de morbi-mortalité (RMM)",a
OIC-005-09-A-,Quel est le but du parcours de soins ?,Coordonner les compétences professionnelles pour améliorer la qualité des soins,Réduire les coûts médicaux en limitant les examens,Améliorer la communication entre les professionnels de santé,Simplifier le processus d'admission des patients,a
OIC-005-10-A,Qu'est-ce qu'un protocole pluriprofessionnel?,Un document créé par un seul professionnel,Une expression de consensus sur la prise en charge d'une maladie par plusieurs professionnels,Un outil de travail individuel,Un guide de soins pour les patients à domicile,b
OIC-005-10-A-,Quels sont les principes des réunions de concertation pluridisciplinaire (RCP) ?,Des réunions unilatérales entre médecins spécialistes,Des réunions collégiales entre au moins trois médecins de spécialités différentes,Des réunions réservées aux patients atteints de cancer,Des réunions qui ne nécessitent pas l'avis concerté et collégial,b
OIC-005-11-A,Quel est l'objectif principal d'une check-list de sécurité du patient dans le bloc opératoire?,Simplifier les procédures médicales,Favoriser la communication entre professionnels,Réduire les erreurs médicales,Améliorer la gestion des ressources hospitalières,c
OIC-005-11-A-,Quel est l'objectif principal d'une réunion de morbi-mortalité (RMM) ?,Analyser les causes d'un événement indésirable associé aux soins,"Mettre en œuvre des actions de prévention, de récupération ou d'atténuation",Valider l'obligation de développement professionnel continu (DPC),Évaluer la qualité et sécurité des soins,b
OIC-005-12-B,Quel est le rôle du Samu-Centre 15 dans la gestion d'un appel d'urgence?,Assurer l'accueil des patients en urgence,Déterminer et déclencher la réponse la plus adaptée à l'appel dans le délai le plus rapide,Organiser les transports de patients,Fournir des soins médicaux directement sur place,b
OIC-005-12-B-,Quels sont les critères interdits pour faire des différences de traitement en France ?,"Appartenance ethnique, opinions politiques, identité de genre, orientation sexuelle, nationalité","Âge, sexe, lieu de résidence, situation de perte d'autonomie","Capacité à s'exprimer en français, apparence physique, patronyme",Tous les critères sont autorisés,a
OIC-005-13-A,Quels sont les principaux effets des discriminations sur les inégalités sociales et inégalités de santé?,Les discriminations n'affectent pas la santé,"Les discriminations accentuent le stress, contribuent au non-recours aux soins et aggravent les déterminants sociaux de la santé",Les discriminations améliorent l'état de santé des personnes discriminées,Les discriminations n'ont aucun impact sur la santé,b
OIC-005-13-A-,Quels sont les facteurs structurels et organisationnels qui contribuent aux discriminations en santé?,Seulement des représentations sociales,"Des dysfonctionnements dans le système de santé, un défaut de prise en charge ou un abaissement de la qualité des soins.",Un manque d'information sur les patients,Une mauvaise volonté des soignants,b
OIC-005-14-B,Quelle est la différence entre l'éthique et la morale ?,"L'éthique est une science, tandis que la morale est un dogme.","La morale reflète l'état de pensée d'une société, tandis que l'éthique permet de questionner les valeurs et normes.",L'éthique est une compétence qui permet de réfléchir de façon critique sur la dimension morale des actions.,"La morale est une règle de bonnes pratiques professionnelles, tandis que l'éthique est un code de droit.",c
OIC-005-14-B-,Quel a été le but de la création du 'Kennedy Institute of Ethics' en 1971?,Développer les progrès scientifiques,Restreindre la bioéthique au domaine médical,Promouvoir l'équité dans les soins de santé,Favoriser le développement des nouvelles biotechnologies,b
OIC-005-15-B,Quel est l'objectif principal du Code de déontologie médicale?,Définir les lois régissant la médecine,Favoriser le bon fonctionnement du corps professionnel des médecins,Souscrire à l'administration et au gouvernement,Publier au Journal Officiel sous la signature du Premier ministre,b
OIC-005-15-B-,Quels sont les quatre grands principes de l'éthique médicale selon Beauchamp et Childress ?,"Bienfaisance, non-malfaisance, autonomie, justice","Justice, autonomie, bienfaisance, non-malfaisance","Non-malfaisance, bienfaisance, autonomie, liberté","Autonomie, justice, liberté, non-malfaisance",a
OIC-006-01-A,Quel est le principe philosophique qui a influencé l'importance accordée à l'autonomie du patient dans les soins médicaux ?,Le principe de bienfaisance,Le principe d'autonomie individuelle,Le principe de non-malfaisance,Le principe de justice distributive,b
OIC-006-01-A-,Quel est l'objectif principal du droit à l'information pour un patient ?,Permettre au médecin de prendre une décision sans pression,Donner au patient la possibilité de participer à son parcours de soins et d'organiser sa vie en conséquence,Faire un choix thérapeutique pour le patient,Respecter l'autonomie du médecin dans ses décisions,b
OIC-006-02-A,Quel est le droit du patient en matière de refus de soins ?,Le médecin a la priorité sur les décisions du patient.,"Le patient a le droit de faire respecter sa volonté en consentant aux investigations et aux soins ou en les refusant, même si cela implique un risque pour sa santé ou sa vie.",Le médecin peut refuser les soins sans consulter le patient.,Le patient ne peut pas refuser les soins s'il est mineur.,b
OIC-006-02-A-,Qui peut être désigné comme personne de confiance ?,Seul le conjoint ou un parent,"Tout proche majeur, quel que soit son lien avec le patient",Un ami ou un membre d'association,Seul un médecin,b
OIC-006-03-A,Quelle est l'acception majeure de la vulnérabilité en sciences humaines et sociales ?,"La vulnérabilité comme constitutive de l’existence humaine, universellement partagée.",La vulnérabilité comme dépendante de contextes historiques et sociaux particuliers.,La vulnérabilité comme une condition négative qui empêche l'autonomie.,La vulnérabilité comme un problème à résoudre par la puissance et le contrôle.,a
OIC-006-03-A-,Quel est l'objectif principal des mesures de protection juridique?,Protéger les intérêts financiers d'une personne,Assurer la sécurité et la dignité d'une personne vulnérable,Favoriser l'autonomie des personnes protégées,Réduire les coûts médicaux pour les patients,b
OIC-006-04-B,Quelle est la principale différence entre la curatelle et la tutelle?,La curatelle est plus protectrice que la tutelle.,La tutelle est plus protectrice que la curatelle.,"La curatelle est réservée aux mineurs, tandis que la tutelle est réservée aux majeurs.","La curatelle est réservée aux personnes ayant des problèmes de santé mentale, tandis que la tutelle est réservée aux personnes ayant des problèmes physiques.",b
OIC-006-04-B-,Qui peut déposer une demande d'ouverture d'une mesure de protection ?,Seul le majeur concerné,Le conjoint ou un parent du majeur,"Tout tiers, y compris le médecin traitant",Seul le procureur de la République,d
OIC-006-05-A,Quel est le principal objectif de la loi Veil de 1975 concernant l'interruption volontaire de grossesse ?,Encadrer médicalement une pratique qui était à la fois fréquente et risquée,Permettre aux femmes d'avoir accès à des informations fiables sur l'IVG,Garantir un accès égal et sécurisé à cette intervention,Répondre aux convictions morales concernant la valeur de la vie du fœtus,c
OIC-006-05-A-,L'interruption médicale de grossesse peut avoir lieu à tout moment d'une grossesse si la poursuite de la grossesse met en péril grave la santé de la femme.,a,b,c,d,a
OIC-006-06-A,Quel est l'objectif principal du diagnostic prénatal (DPN) selon la loi française ?,Prévenir ou traiter une affection d'une particulière gravité dans l'intérêt de la mère,Prévenir ou traiter une affection d'une particulière gravité dans l'intérêt de l'enfant à naître,Dépister toutes les anomalies fœtales possibles,Fournir des informations aux parents sur la santé de leur enfant avant sa naissance,b
OIC-006-06-A-,Quel est l'objectif principal du diagnostic préimplantatoire (DPI) ?,Déterminer le sexe de l'enfant,Éviter la transmission d'une maladie génétique présente chez les futurs parents,Choisir un embryon compatible avec une greffe de moelle,Faire un diagnostic prénatal,b
OIC-006-07-A,Quel est l'enjeu éthique concernant l'information du patient en fin de vie ?,Donner une information honnête et claire pour respecter la dignité de la personne.,Respecter l'autonomie de la personne malade et son droit à être informée de son état de santé.,Soulager les douleurs et souffrances de la personne sans prendre en compte ses besoins émotionnels.,Accélérer le processus du mourir pour éviter les souffrances physiques.,b
OIC-006-07-A-,Quel est le but principal de la loi Clayes-Léonetti ?,Améliorer les traitements médicaux pour les patients en fin de vie.,Donner un cadre législatif pour répondre à l'obstination déraisonnable et promouvoir l'autonomie du patient.,Réduire les coûts des soins palliatifs.,Augmenter la durée de vie des patients en fin de vie.,b
OIC-006-08-A,"Qui décide finalement de poursuivre, limiter ou arrêter les traitements lorsqu'une personne ne peut s'exprimer ?",La famille et les proches,Le médecin en charge du patient,L'équipe médicale,La personne de confiance,b
OIC-006-08-A-,Quelle loi a instauré la possibilité du refus de soins en fin de vie ?,Loi Laroque,Loi Kouchner,Loi Claeys-Léonetti,Loi Léonetti,d
OIC-008-01-A,Quels sont les principes éthiques fondamentaux dans le domaine de la recherche ?,"Bienfaisance, non-malfaisance, autonomie et justice","Justice, bienfaisance, non-malfaisance et respect des personnes","Non-malfaisance, bienfaisance, autonomie et équité","Autonomie, bienfaisance, non-malfaisance et justice",a
OIC-008-01-A-,Quel était le but principal de la loi Huriet-Sérusclat en 1988 ?,Établir un cadre unique pour toutes les recherches impliquant la personne humaine,Protéger les personnes participant à des recherches biomédicales et établir des règles de sécurité juridique,Définir les rôles des acteurs dans une recherche biomédicale,Abroger la loi Jardé en 2012,b
OIC-008-02-B,Quels sont les principes éthiques et légaux du don d'organes en France ?,Prélèvement à des fins scientifiques ou thérapeutiques,"Respect du corps humain : inviolable, ne peut faire l’objet d’un droit patrimonial",Règles de consentement,Gratuité du don,d
OIC-008-02-B-,Quelle est la définition officielle de la mort encéphalique ?,La mort par arrêt cardio-circulatoire,La mort encéphalique définie en 1959 par Mollaret et Goulon,La mort par arrêt cardio-circulatoire avec mise en œuvre d'un massage cardiaque,La mort encéphalique reconnue officiellement en 1968 dans la circulaire légalisant le prélèvement d'organes,d
OIC-008-03-B,Qui peut être donneur vivant selon la loi ?,Seuls les pères et mères des receveurs,Toute personne apportant la preuve d’une vie commune d’au moins deux ans avec le receveur,"Les frères et sœurs, les fils et filles, les grands-parents, les oncles et tantes, les cousins germains et cousines germaines",Seuls les conjoints des receveurs,b
OIC-008-03-B-,Quels sont les principes qui gouvernent l'utilisation et la conservation des éléments et produits du corps humain?,"La non-patrimonialité, le consentement éclairé de la personne et l'anonymat","Le libre-échange, la propriété privée et la commercialisation","La sacralisation du corps humain, la protection des données de santé et la valorisation scientifique","Les principes de l'anonymat, de la non-patrimonialité et de la gratuité",a
OIC-009-01-A,Quels sont les trois cadres dans lesquels l'identification d'une personne par ses empreintes génétiques est possible en France?,"Mesures d'enquête ou d'instruction, tests de paternité et recherche d'identité de personnes décédées.","Tests de paternité, recherche d'identité de personnes décédées et identification par empreintes génétiques pour des raisons de sécurité nationale.","Mesures d'enquête ou d'instruction, tests de paternité et recherche d'identité de personnes décédées dans le cadre de la défense nationale.","Tests de paternité, recherche d'identité de personnes décédées et identification par empreintes génétiques pour des raisons médicales ou scientifiques.",c
OIC-009-01-A-,Quelles sont les principales dimensions humaines du corps selon le texte?,"Alimentation, activité physique, genre, procréation","Genre, identité de genre, filiation et parentalité","Normes esthétiques, alimentation, activité physique","Activité physique, alimentation, normes esthétiques, procréation",a
OIC-009-02-A,Quelle est la différence entre la perception du corps propre et des corps d'autrui?,Nous avons tous la même perception,La perception est identique mais dépend de l'expérience vécue,"Nous avons une perception différente, notamment chez le malade",La perception ne change pas avec les expériences vécues,c
OIC-009-02-A-,Quelle est la principale différence entre le corps-objet et le corps-sujet?,"Le corps-objet est un simple corps parmi les corps, impersonnel, tandis que le corps-sujet est un corps subjectif.","Le corps-objet est régi par des lois naturelles, tandis que le corps-sujet est dépourvu de caractéristiques spécifiquement humaines.","Le corps-objet est objet d'action ou de contemplation, tandis que le corps-sujet est un substrat psychophysiologique de l'expérience individuelle du corps.","Le corps-objet est dépourvu de caractéristiques spécifiquement humaines, tandis que le corps-sujet est impersonnel.",c
OIC-009-03-A,Quels sont les quatre logiques de protection sociale ?,"Assurance sociale obligatoire, assistance sociale, protection universelle et prévoyances individuelles.","Assistance sociale, protection universelle, prévoyance collective et assurance privée.","Protection universelle, prévoyance individuelle, assurance sociale et assistance sociale.","Prévoyance collective, assurance obligatoire, protection universelle et assistance sociale.",a
OIC-009-03-A-,Quels sont les deux types de prestations sociales en France?,en espèces avec des revenus de remplacement ou en nature,en nature uniquement,en espèces uniquement,à des prix réduits uniquement,a
OIC-009-04-A,Quels sont les deux principaux risques sociaux à l'origine des poids financiers les plus importants dans les dépenses de protection sociale en France ?,Vieillesse et santé,Chômage et invalidité,Santé et accidents du travail,Revenu et emploi,a
