id,completion,label,source
OIC-100-03-A,"Question: Quelles sont les principales causes de céphalée aiguë et leurs caractéristiques cliniques propres à chacune?
a) Hémorragie sous-arachnoïdienne
b) Syndrome de vasoconstriction cérébrale réversible
c) Hémorragie intracérébrale
d) Dissection des artères cervicales",False,openbiollm_8b
OIC-225-01-A,"Question: Quelle est la définition de l'artériopathie oblitérante des membres inférieurs (AOMI) ?
a) Présence d'une plaque dans une artère du membre inférieur
b) Présence de lésions d'athérosclérose au niveau de l'aorte et des artères sous-jacentes perfusant les membres inférieurs
c) Obstruction complète d'une artère du membre inférieur
d) Problème de circulation sanguine dans le membre supérieur",True,llama3_1_8b
OIC-227-08-A,"Question: Quelles sont les caractéristiques principales d'un ulcère veineux?
a) Le siège péri malléolaire
b) L’aspect superficiel non creusant
c) Ulcère exsudatif et fibrineux
d) La grande taille",False,openbiollm_8b
OIC-157-15-B,"Question: Quels sont les cas nécessitant un contrôle chirurgical ou radio-interventionnel de la source infectieuse ?
a) Tous les cas
b) Les seuls cas d'urgence abdominale
c) Les cas d'endocardite compliquée
d) Les cas de pyélonéphrite aigue bloquée",False,llama3_1_8b
OIC-198-11-A,"Question: Quels sont les signes qui doivent être pris en compte pour exclure une infection articulaire ?
a) Fievre, douleur articulaire, gonflement
b) Hyperleucocytose, élévation de la CRP, frissons
c) Douleur abdominale, nausées, vomissements
d) Toux, fièvre, fatigue",False,llama3_1_8b
OIC-260-12-A,"Question: Quels sont les signes de gravité d'une hématurie macroscopique caillotante ?
a) Une anémie chronique
b) Un globe vésical et/ou une colique néphrétique
c) Une tachycardie et une hypotension artérielle
d) Tous les signes de gravité mentionnés ci-dessus",True,llama3_1_8b
OIC-020-17-A,"Question: Quelle est la population cible dans le cadre de l'étude ? 
a) Les patients atteints d'une maladie particulière
b) Tous les habitants d'un village
c) Seuls les adultes âgés de plus de 65 ans
d) Toutes les femmes enceintes dans une clinique",False,openbiollm_8b
OIC-027-26-B,"Question: Quelle est la première cause d'anémie fœtale ?
a) L'allo-immunisation anti-D (Rh1)
b) L'allo-immunisation c (Rh4) ou Kell
c) L'allo-immunisation anti-E
d) L'allo-immunisation anti-K",True,llama3_1_8b
OIC-030-02-B,"Question: Quels sont les signes d'une détresse respiratoire chez le nouveau-né?
a) Tachypnée
b) Battement des ailes du nez
c) Balancement thoraco-abdominal
d) Tirage intercostal",False,openbiollm_8b
OIC-124-05-A,"Question: Quels sont les principaux symptômes du syndrome climatérique?
a) Troubles vasomotrices et troubles du sommeil
b) Humeur triste/douleur morale, arthralgies de type inflammatoire associées à un dérouillage matinal
c) Sécheresse vulvo-vaginale, prise de poids, perte d'attention/perte de mémoire
d) Asthénie, insomnies, sueurs nocturnes",True,openbiollm_8b
OIC-223-07-A,"Question: Quelles sont les principales causes d'hyperlipidémies secondaires?
a) Endocrinopathies
b) Maladies rénales
c) Atteintes hépatiques
d) Médicaments",False,openbiollm_8b
OIC-310-04-B,"Question: Quel est le principal site de métastase non ganglionnaire du cancer de la prostate ?
a) Le poumon
b) L'os
c) Le foie
d) La rate",True,llama3_1_8b
OIC-247-27-B,"Question: Quel est l'objectif en matière d'équilibre glycémique pour les patients atteints de rétinopathie diabétique ?
a) HbA1c < 6 %
b) HbA1c < 7 %
c) HbA1c < 8 %
d) HbA1c < 9 %",True,llama3_1_8b
OIC-024-14-B,"Question: Quels sont les éléments de surveillance pour une femme enceinte avec HTA ?
a) Une consultation tous les 10 jours et un bilan biologique régulier
b) Un carnet de suivi « Grossesse et HTA » et des échographies mensuelles
c) Un déclenchement artificiel du travail au 9e mois
d) Une surveillance renforcée avec autosurveillance tensionnelle, consultation tous les 10 jours environ, bilan biologique régulier et échographie mensuelle",True,llama3_1_8b
OIC-048-01-A,"Question: Quelle est l’indication des laits hypoallergéniques (HA) ?
a) Prévention des manifestations allergiques chez les enfants à risque
b) Traitement des diarrhées aigues sévères nécessitant une hospitalisation
c) Traitement des régurgitations
d) Traitement des allergies aux protéines du lait de vache",True,llama3_1_8b
OIC-124-06-B,"Question: Savoir distinguer des bouffées de chaleur typiques et atypiques
a) Les bouffées vaso-motrices typiques surviennent au moment de la péri- ménopause ou de la ménopause, sont essentiellement nocturnes mais peuvent aussi être diurnes, ne cèdent pas avec l'utilisation d'un traitement hormonal de ménopause adapté et ne sont pas associées à d'autres signes fonctionnels.
b) Les bouffées vaso- motrices atypiques surviennent ou réapparaissent à distance de la ménopause, présentent des modifications des BVM habituelles ou sont associées à d'autres signes fonctionnels tels que céphalées, palpitations, malaises, diarrhées, poussées hypertensives.
c) Les bouffées vaso- motrices typiques et atypiques peuvent être diagnostiquées par un interrogatoire sémiologique, l'examen clinique et des examens complémentaires en fonction des données de l'examen clinique.
d) Les bouffées vaso- motrices typiques sont caractérisées par une sensation soudaine de chaleur accompagnée de sueurs, entravant le sommeil, pouvant aller jusqu'à la bouffée vasomotrice invalidante. L'expression, la durée, la date d'apparition et l'intensité des bouffées de chaleur sont très variables d'une femme à l'autre.",False,openbiollm_8b
OIC-039-11-B,"Question: Quels sont les tests de sécurité sanitaires inclus dans l'exploration clinico-biologique avant le recours à l'Assistance Médicale à la Procréation (AMP) ?
a) Sérologies VHB, VHC, VIH et Syphilis uniquement pour les femmes non mariées.
b) Sérologies VHB, VHC, VIH, Syphilis et contrôle sérologique de l'hépatite B chez les personnes vaccinées.
c) Sérologies VHB, VHC, VIH, Syphilis et dosage de la TSH uniquement pour les hommes.
d) Sérologies VHB, VHC, VIH, Syphilis, contrôle sérologique de l'hépatite B chez les personnes vaccinées et exploration du métabolisme si besoin.",True,llama3_1_8b
OIC-005-02-A,"Question: La responsabilité pénale a une fonction répressive ayant pour vocation de sanctionner des individus dont le comportement est réprouvé dans notre société. Elle est toujours personnelle, concernant à l’identique tous les médecins (y compris les internes), quel que soit le cadre de leur exercice. Elle peut également concerner les établissements de santé, en leur qualité de personnes morales.
a) La responsabilité pénale vise à réprimer le comportement réprouvé par la société.
b) La responsabilité pénale est toujours personnelle et s'applique à tous les médecins, y compris les internes, quel que soit leur cadre d'exercice.
c) La responsabilité pénale peut également concerner les établissements de santé en tant que personnes morales.
d) La responsabilité pénale vise à réprimer le comportement réprouvé par la société et s'applique à tous les médecins, y compris les internes, quel que soit leur cadre d'exercice. Elle peut également concerner les établissements de santé en tant que personnes morales.",False,openbiollm_8b
OIC-217-02-B,"Question: Quelles sont les caractéristiques du frottis sanguin dans le syndrome mononucléosique?
a) Cellules mononucléées activées avec un cytoplasme hyperbasophile
b) Cellules polymorphes atypiques et lymphocytes T activés
c) Absence de cellules blastiques et lignées hématopoïétiques normales
d) Toutes les réponses précédentes",False,openbiollm_8b
OIC-074-04-B,"Question: Quels sont les principaux groupes de patients chez qui l'utilisation des antipsychotiques est indiquée?
a) Tous les groupes de patients
b) Seuls les adultes
c) Les enfants et adolescents
d) Les patients âgés",False,openbiollm_8b
OIC-024-22-A,"Question: Quelles sont les mesures de prévention de la menace d’accouchement prématuré?
a) Prévention primaire et secondaire
b) Cerclage préventif obligatoire pour tout patient ayant eu un accouchement prématuré
c) Pas de cerclage préventif pour les patients ayant eu une conisation, une malformation utérine ou un accouchement gémellaire isolé
d) Cerclage préventif obligatoire pour tout patient ayant eu un accouchement prématuré et conisation",False,openbiollm_8b
OIC-245-17-B,"Question: Quand le diagnostic d'insuffisance surrénale est connu, quelle action doit-on prendre ?
a) Commencer les tests de dépistage
b) Aucune mesure particulière n'est nécessaire
c) Attendre les résultats des tests avant de traiter
d) Effectuer un nouveau dosage du cortisol sanguin",False,llama3_1_8b
OIC-019-06-B,"Question: Quel est le rôle de la loi de financement de la Sécurité Sociale (LFSS) ?
a) Elle fixe les recettes et les dépenses de la sécurité sociale.
b) Elle détermine les conditions nécessaires à l’équilibre financier de la sécurité sociale et fixe les objectifs de dépenses en fonction des prévisions de recettes.
c) Elle autorise la perception des recettes de la sécurité sociale.
d) Elle limite les dépenses de la sécurité sociale.",True,llama3_1_8b
OIC-315-02-A,"Question: Quelles sont les deux grandes catégories de leucémies aiguës ?
a) Leucémies aiguës myéloblastiques ou myéloïdes et leucémies aiguës lymphoblastiques ou lymphoïdes
b) Leucémies aiguës myéloblastiques ou myéloïdes, leucémies chroniques et leucémies lymphoïdes
c) Leucémies aiguës lymphoblastiques ou lymphoïdes et leucémies aiguës myéloblastiques ou myéloïdes avec une sous-catégorie des LAL-B et LAL-T
d) Leucémies aiguës myéloblastiques ou myéloïdes, leucémies chroniques et leucémies lymphoïdes avec deux sous-catégories des LAL-B et LAL-T",True,llama3_1_8b
OIC-047-37-B,"Question: Quels sont les trois certificats médicaux obligatoires pour le suivi d'un nourrisson ?
a) Certificat de naissance, certificat de vaccination et certificat de mortalité
b) Certificat de 8ème jour, certificat de 9ème mois et certificat de 24ème mois
c) Certificat de santé scolaire, certificat de dépistage des anomalies et certificat de vaccination
d) Certificat d'hospitalisation, certificat de consultation et certificat de suivi médical",True,llama3_1_8b
OIC-162-01-A,"Question: Quelles sont les causes des infections sexuellement transmissibles (IST) selon leur expression clinique?
a) Gonococcie
b) Chlamydiose
c) Syphilis
d) Infection à HPV",False,openbiollm_8b
OIC-302-10-B,"Question: Quel est le risque de transformation d'un naevus congénital de petite taille en mélanome ?
a) Le risque est très élevé, comparable à celui des nævus communs.
b) Le risque est faible et comparable à celui des nævus communs.
c) Le risque dépend de la taille du naevus, mais il n'y a pas d'augmentation significative par rapport aux nævus communs.
d) Le risque est inexistant.",True,llama3_1_8b
OIC-227-10-B,"Question: Quels sont les principes de prise en charge thérapeutiques de l’insuffisance veineuse chronique (IVC) ?
a) La compression élastique est le seul traitement efficace pour l'IVC.
b) Les modifications du mode de vie, la compression élastique et les traitements médicamenteux sont utilisés en fonction des stades de l’insuffisance veineuse.
c) La chirurgie est le premier traitement à envisager pour l'IVC.
d) Les traitements thermiques endoveineuses ne sont pas indiqués dans les formes étendues et tortueuses de l’insuffisance veineuse.",True,llama3_1_8b
OIC-179-10-B,"Question: Quels sont les premiers pas à suivre lors d'une suspicion de Toxi-infections alimentaires (TIAC) dans un établissement de soins ?
a) Effectuer immédiatement des prélèvements de selles et vomissements chez les malades.
b) Prévenir le médecin responsable/équipe opérationnelle d'hygiène de l'établissement, identifier les malades ayant des signes cliniques, établir une liste des symptômes et des repas des trois derniers jours.
c) Effectuer un signalement de la suspicion de TIAC au médecin inspecteur de l’ARS sans prendre d’autres mesures préliminaires.
d) Conserver les restes des matières premières et des denrées servies à la collectivité au cours des 3 derniers jours sans établir une liste des symptômes.",True,llama3_1_8b
