id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quelle est la principale condition pour qu'un usager soit indemnisé pour un dommage subi lors d'un acte médical?,"La preuve d'un dommage, d'un fait générateur et d'un lien de causalité",La preuve d'une faute du médecin et d'un risque connu,La preuve d'un acte médical inutile et d'un défaut d'information,La preuve d'une perte de chance de survie uniquement,a
OIC-005-01-A-,Quelle est la fonction principale de la responsabilité pénale dans la société?,Sanctionner les comportements répréhensibles par des mesures correctives,Protéger les patients en cas d'erreurs médicales,Assurer la réparation des dommages causés par des erreurs médicales,Évaluer la performance des médecins dans leurs pratiques,a
OIC-005-02-A,Quel est le régime de responsabilité civile des médecins salariés d'établissements privés lorsqu'ils ne dépassent pas leur mission confiée?,Ils engagent leur responsabilité civile personnelle à tout moment.,Ils ne sont pas tenus de déclarer les erreurs à l'employeur.,Ils n'engagent pas leur responsabilité civile personnelle du fait des dommages causés à un patient.,Ils sont tenus de payer les frais de traitement des patients en cas d'erreur.,c
OIC-005-02-A-,Quelle est la responsabilité engagée par un médecin hospitalier en cas d'acte réalisé dans le cadre de son service?,La responsabilité civile personnelle du médecin,La responsabilité pénale du médecin,La responsabilité de l'établissement public de santé devant les juridictions administratives,La responsabilité du patient,c
OIC-005-03-A,Quelle est la nature de la faute disciplinaire selon le texte?,Une violation d'une règle juridique inscrite dans le Code pénal,Une infraction pénalement sanctionnée par le Code de la santé publique,Un manquement aux règles de déontologie médicale,Une violation d'une loi civile concernant l'assurance,c
OIC-005-03-A-,Quelle est la définition de la responsabilité sans faute dans le contexte médical?,La responsabilité engagée en cas de manquement aux règles professionnelles ou scientifiques,La responsabilité liée à une erreur commise par le professionnel de santé,La responsabilité engagée lors d'un dommage lié aux soins sans manquement aux règles professionnelles ou scientifiques,La responsabilité basée sur une faute prouvée par le patient,c
OIC-005-04-A,Quelle est la condition nécessaire pour que le patient puisse rechercher la responsabilité médicale?,Le patient doit prouver l'existence d'une faute,Le patient doit être victime d'un acte de prévention,Le patient doit avoir subi un traitement inefficace,Le patient doit avoir reçu un traitement contre son gré,a
OIC-005-04-A-,Quelle est la définition d'une erreur par omission?,Une action mal réalisée qui n'était pas nécessaire,Une action inutile effectuée par erreur,Une action nécessaire qui n'a pas été faite,Un non-respect d'une règle professionnelle,c
OIC-005-05-A,Quelle est la définition principale d'un accident médical?,Un événement indésirable causé par un mauvais usage d'un médicament,Un dommage résultant d'un traitement mal indiqué par un professionnel de santé,Un événement indésirable survenu lors d'un acte de soin avec un dommage anormal par rapport à l'évolution prévisible,Un symptôme qui apparaît après la prise d'un médicament même s'il est correctement prescrit,c
OIC-005-05-A-,Quelle est la définition d'une infection nosocomiale?,Infection acquise avant l'admission dans un établissement de santé,Infection apparue après 48 heures d'hospitalisation et non présente à l'admission,Infection causée par un médicament administré au patient,Infection transmise par un autre patient dans le même lit,b
