Unnamed: 0,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option,content_raw,distractor_quality
0,OIC-005-01-A,Quelle est la définition de la responsabilité sanction/indemnisation?,"La question évalue la capacité à définir la responsabilité sanction/indemnisation, qui est un concept clé en matière de responsabilité médicale.","La responsabilité d'un professionnel de santé ou d'un établissement de santé peut être recherchée à deux fins : soit la sanction du professionnel ou de l'établissement, soit l'indemnisation de l'usager victime des conséquences d'un événement indésirable associé aux soins.",Cette définition est correcte car elle décrit les deux objectifs de la responsabilité sanction/indemnisation.,La responsabilité sanction/indemnisation est uniquement destinée à sanctionner les professionnels de santé ou les établissements de santé.,Cette définition est incorrecte car elle ne prend pas en compte l'indemnisation de l'usager.,La responsabilité sanction/indemnisation est uniquement destinée à indemniser les usagers victimes des conséquences d'un événement indésirable associé aux soins.,Cette définition est incorrecte car elle ne prend pas en compte la sanction des professionnels de santé ou des établissements de santé.,La responsabilité sanction/indemnisation est un concept qui n'existe pas en matière de responsabilité médicale.,Cette définition est incorrecte car elle nie l'existence du concept de responsabilité sanction/indemnisation.,a,"{{objectif de connaissance
|Identifiant=OIC-005-01-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité sanction/indemnisation
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=1}}

La responsabilité d’un professionnel de santé ou d’un établissement de santé peut être recherchée à deux fins : soit la sanction du professionnel ou de l’établissement, soit l’indemnisation de l’usager victime des conséquences d’un événement indésirable associé aux soins. La sanction peut être de nature pénale ou disciplinaire. L’indemnisation incombe au responsable (exercice libéral) ou à son employeur s’il est salarié (public ou privé). Elle peut également être obtenue via la procédure amiable devant les commissions de conciliation et d’indemnisation. L’indemnisation des victimes est assurée par l’obligation de souscription pour les médecins et les établissements de santé (public ou privé) d’une assurance de responsabilité civile professionnelle. En plus d’assurer l’indemnisation des victimes, cette assurance permet de couvrir les médecins salariés lorsque la faute est détachable du service ou lorsque la mission qui leur a été confiée est outrepassée.

L’indemnisation de l’usager s’estimant victime des conséquences dommageables d’un acte médical suppose qu’il apporte la preuve d’un dommage, d’un fait générateur de responsabilité et d’un lien de causalité entre le fait générateur et le dommage.

En matière de responsabilité des professionnels et des établissements de santé, le dommage peut prendre plusieurs formes. Il peut s’agir :

- d’une atteinte à l’intégrité physique ou psychique ;

- d’une perte de chance de survie ou de guérison ;

- d’une perte de chance d’avoir échappé à un risque qui s’est finalement réalisé (en cas de défaut d’information).

Le dommage doit être actuel et certain. Il peut être futur dès lors qu’il est certain (par exemple, la stérilité d’une enfant du fait d’une irradiation fautive).

Le lien de causalité entre le fait générateur de responsabilité (en règle générale, la faute) et le dommage doit être certain. Il n’a pas à être direct ni exclusif.

Parmi les éléments du triptyque fondant l’engagement de la responsabilité, le lien de causalité est habituellement le plus difficile à prouver par le patient. En effet, il est souvent complexe de distinguer les conséquences de la faute de celles de l’évolution spontanée de l’état de santé pathologique. Le juge admet que l’on puisse indemniser la perte de chance de survie ou de guérison. Dans ce cas, l’indemnisation est accordée à proportion de la probabilité de survie ou de guérison perdue du fait de la faute.

Le même raisonnement est appliqué en cas de défaut d’information. Dans cette hypothèse, le patient a perdu une chance de s’échapper au risque qui s’est finalement réalisé. En d’autres termes, s’il avait été informé du risque, il aurait pu choisir de le courir ou de renoncer à l’acte médical. L’indemnisation est accordée à proportion de la probabilité qu’il aurait eu de renoncer à l’acte s’il avait été informé du risque. Il en résulte que si l’acte était indispensable, le juge en déduit que même informé du risque, le patient n’aurait pas renoncé à l’acte. La perte de chance est donc nulle.

Le juge judiciaire comme le juge administratif admettent également qu’un défaut d’information ouvre droit à une indemnisation au titre du préjudice d’impréparation, distinct de la perte de chance. Cette indemnisation répare, lorsque le risque dont le patient n’a pas été informé s’est réalisé, les troubles qu’il a pu subir du fait qu’il n’a pas pu se préparer à cette éventualité, notamment en prenant certaines dispositions personnelles.",True
1,OIC-005-04-A,Quelle est la définition de la responsabilité administrative?,"La question évalue la capacité à connaître la définition de la responsabilité administrative, qui est un concept clé dans le contexte des responsabilités médicales.",La responsabilité administrative est engagée lorsque le médecin commet une faute personnelle ou détachable du service.,"Cette option est incorrecte car la responsabilité administrative est engagée lorsque le service public commet une faute, pas lorsque le médecin commet une faute personnelle.",La responsabilité administrative est engagée lorsque le médecin commet une faute de service.,"Cette option est correcte car la responsabilité administrative est engagée lorsque le service public commet une faute, et une faute de service est une faute commise par un agent public dans l'exercice de ses fonctions.",La responsabilité administrative est engagée lorsque le patient commet une faute.,"Cette option est incorrecte car la responsabilité administrative est engagée lorsque le service public commet une faute, pas lorsque le patient commet une faute.",La responsabilité administrative est engagée lorsque le médecin est en dehors du service.,"Cette option est incorrecte car la responsabilité administrative est engagée lorsque le service public commet une faute, pas lorsque le médecin est en dehors du service.",b,"{{objectif de connaissance
|Identifiant=OIC-005-04-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité administrative
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=4}}

Il n’existe pas de relation juridique entre le médecin, agent du service public hospitalier, et son patient. Les deux ne sont en effet liés juridiquement qu’à l’établissement public de santé. S’agissant des actes réalisés par les médecins hospitaliers, c’est la responsabilité de l’établissement public de santé qui est engagée devant les juridictions de l’ordre administratif : tribunal administratif, cour administrative d’appel, Conseil d’Etat.

La jurisprudence administrative a défini une typologie des fautes susceptibles d’engager la responsabilité du service public :

- la faute de service : c’est la faute commise par un agent public dans l’exercice de ses fonctions, c’est-à-dire pendant le service, avec les moyens du service et en dehors de tout intérêt personnel ;

- la faute dans l’organisation et le fonctionnement du service : ont pu être qualifiés ainsi une insuffisance dans la surveillance des patients ou des locaux, le mauvais entretien des locaux et du matériel, la mauvaise coordination entre médecins, etc.

Doit être distinguée la faute personnelle ou détachable du service, qui engage la responsabilité civile personnelle de son auteur. Deux cas de figure peuvent être envisagées :

- soit elle a été commise en dehors du service et n’a aucun lien avec le service (exemple de la faute commise par un médecin dans des soins dispensés dans un cadre privé) ;

- soit elle a été commise dans le service mais elle s’en détache en raison de l’intention de nuire de son auteur ou de son exceptionnelle gravité (exemple du refus du chirurgien de garde de se déplacer pour un blessé par balle alors qu’il avait été averti par l’interne de la gravité de son état).",False
2,OIC-005-05-A,Quelle est la juridiction compétente pour les médecins libéraux en cas de faute disciplinaire?,Cette question évalue la compréhension de la procédure disciplinaire pour les médecins libéraux.,La chambre disciplinaire du conseil national de l'Ordre,Cette option est incorrecte car la chambre disciplinaire du conseil national de l'Ordre est compétente en appel.,La chambre disciplinaire du conseil régional de l'Ordre,Cette option est correcte car la chambre disciplinaire du conseil régional de l'Ordre est compétente pour les médecins libéraux.,Le Conseil d'Etat,"Cette option est incorrecte car le Conseil d'Etat est compétent en cassation, non en première instance.",Le conseil départemental de l'Ordre,"Cette option est incorrecte car le conseil départemental de l'Ordre a un rôle de saisine, non de juridiction compétente.",b,"{{objectif de connaissance
|Identifiant=OIC-005-05-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité disciplinaire
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=5}}

La responsabilité disciplinaire est celle qui est encourue devant les instances de l’Ordre des médecins. L’action disciplinaire est indépendante des autres actions qui peuvent être engagées contre un médecin (civiles ou pénales).

'''Fautes et sanctions disciplinaires'''

'''Fautes disciplinaires'''

Est une faute disciplinaire tout manquement aux règles de déontologie médicale. C’est une violation d’une règle morale plus qu’une règle proprement juridique, qu’elle soit inscrite dans un texte, le Code de la déontologie médicale par exemple, ou non. Ces fautes ont en principe un rapport avec l’activité professionnelle, mais pas exclusivement. Un acte de la vie privée peut porter atteinte à l’honneur ou à la moralité de la profession. Les règles de la déontologie médicale sont rassemblées dans le Code de déontologie médicale (article R.4127-1 à R.4127-112 du Code de la santé publique). Les principes fondamentaux qu’il renferme s’imposent à tous les médecins inscrits au tableau de l’Ordre des médecins, ainsi qu’aux internes en médecine effectuant des remplacements.

Ce Code se différencie du Code pénal qui lui n’énonce pas de principes mais liste des comportements prohibés par notre société (infractions pénales). Il est élaboré par le Conseil national de l’Ordre des médecins, investi à cet effet d’un pouvoir réglementaire soumis au Conseil d’Etat. Il est périodiquement révisé, étant donné qu’il doit être conforme à la loi.

'''Sanctions disciplinaires'''

Les sanctions encourues sont l’avertissement, le blâme, l’interdiction temporaire d’exercer des fonctions rémunérées par l’Etat ou les collectivités publiques, l’interdiction temporaire d’exercice (pour trois ans au maximum) ou la radiation du tableau de l’Ordre.

Les interdictions d’exercice temporaires peuvent être assorties d’un sursis (partiel ou total), révocable en cas de commission d’une nouvelle faute disciplinaire dans les cinq ans qui suivent. En cas de radiation, l’intéressé peut demander son relèvement au bout de trois ans. En cas de refus, il doit attendre trois ans pour en faire éventuellement à nouveau la demande.

'''Mise en œuvre de la responsabilité disciplinaire'''

'''Juridictions'''

Les juridictions compétentes sont la chambre disciplinaire du conseil régional de l’Ordre et la chambre disciplinaire du conseil national de l’Ordre en appel. Un pouvoir en cassation peut être formé devant le Conseil d’Etat.

'''Saisine'''

Peuvent saisir la chambre disciplinaire du conseil régional de l’Ordre pour les médecins libéraux un conseil départemental de l’Ordre, le conseil national de l’Ordre, un médecin, un syndicat de médecins, le directeur de l’Agence régionale de la santé, le préfet, le procureur de la République et le ministre en charge de la santé.

Pour les médecins du secteur public hospitalier, le pouvoir de saisine est limité au conseil départemental de l’Ordre, au conseil national de l’Ordre, au directeur de l’Agence régionale de la santé, au préfet, au procureur de la République et au ministre en charge de la santé.

Une plainte contre un médecin libéral ou hospitalier émanant d’un patient doit être transmise au conseil départemental de l’Ordre, qui a l’obligation de tenter une conciliation.

En cas d’échec, le conseil départemental de l’Ordre a l’obligation de transmettre la plainte à la chambre disciplinaire du conseil régional de l’Ordre.

'''Procédure'''

Le patient est l’une des parties à l’instance, il peut donc exercer des voies de recours (appel, pourvoi en cassation) et peut être accompagné d’un avocat. Le médecin, quant à lui, peut être assisté devant la juridiction par un avocat du barreau ou un confrère. La procédure devant les juridictions de l’Ordre est contradictoire ; l’audience est publique",False
3,OIC-005-06-A,Quelle est la définition de la responsabilité sans faute?,"La question évalue la capacité à connaître la définition de la responsabilité sans faute, qui est un concept clé dans le contexte de la responsabilité médicale.",La responsabilité sans faute est engagée lorsque la victime a contribué à son propre dommage.,Cette option est incorrecte car la responsabilité sans faute n'est pas liée à la contribution de la victime à son propre dommage.,"La responsabilité sans faute est engagée lorsque le dommage est survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur.",Cette option est correcte car elle correspond à la définition de la responsabilité sans faute.,La responsabilité sans faute est engagée lorsque la victime a été indemnisée par un système d'indemnisation.,Cette option est incorrecte car la responsabilité sans faute n'est pas liée à l'indemnisation de la victime.,La responsabilité sans faute est engagée lorsque le dommage est survenu en raison d'un accident médical.,Cette option est incorrecte car la responsabilité sans faute n'est pas liée à la survenue d'un accident médical.,b,"{{objectif de connaissance
|Identifiant=OIC-005-06-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la responsabilité sans faute
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=6}}

Dans le cas d'un dommage lié au soins mais survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur, on parle de responsabilité sans faute.

Le législateur a reconnu des systèmes d’indemnisation pour lesquels la responsabilité peut être engagée à partir d’un autre fait générateur que la faute prouvée. C’est le cas de la survenue d’une infection nosocomiale.",True
4,OIC-005-07-A,"Quelle est la condition pour que les professionnels et établissements de santé soient responsables des conséquences dommageables d'actes de prévention, de prévention ou de soins?",Cette question évalue la compréhension de la définition de la faute et de ses formes dans le contexte de la responsabilité médicale.,En cas de faute,"Cette option est correcte car l'article L.1142-1 du Code de la santé publique stipule que les professionnels et établissements de santé ne sont responsables des conséquences dommageables d'actes de prévention, de prévention ou de soins qu'en cas de faute.",En cas de négligence,Cette option est incorrecte car la négligence n'est pas mentionnée comme condition de responsabilité dans l'article L.1142-1.,En cas de maladie,Cette option est incorrecte car la maladie n'est pas mentionnée comme condition de responsabilité dans l'article L.1142-1.,En cas de décès,Cette option est incorrecte car le décès n'est pas mentionné comme condition de responsabilité dans l'article L.1142-1.,a,"{{objectif de connaissance
|Identifiant=OIC-005-07-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de la faute
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=7}}

Depuis la loi du 4 mars 2002 ont été substitués aux obligations professionnelles du médecin les droits du patient légalement consacrés. Un patient peut se prévaloir d’une atteinte à l’un de ses droits pour rechercher la responsabilité d’un médecin ou d’un établissement de santé. Il lui incombe cependant de prouver la faute. L’article L.1142-1 du Code de la santé publique stipule que les professionnels et établissements de santé ne sont responsables des conséquences dommageables d’actes de prévention, de prévention ou de soins qu’en cas de faute.

'''Droits du patient'''

L’atteinte de l’un de ces droits peut constituer un fait générateur de responsabilité médicale pour faute :

- droit à la protection de la santé ;

- droit au respect de la dignité ;

- droit à ne pas subir de discrimination dans l’accès à la prévention ou aux soins ;

- droit au respect de la vie privée et au secret des informations ;

- droit de recevoir les traitements et les soins les plus appropriés et de bénéficier des thérapeutiques dont l’efficacité est reconnue et qui garantissent la meilleure sécurité sanitaire et le meilleur apaisement possible de la souffrance au regard des connaissances médicales avérées ;

- droit de ne pas subir des actes témoignant d’une obstination déraisonnable ;

- droit à une sédation profonde et continue provoquant une altération de la conscience maintenue jusqu’au décès ;

- droit de recevoir des traitements et des soins visant à soulager la souffrance ;

- droit d’accéder à des soins palliatifs et à un accompagnement ;

- droit d’être informé sur son état de santé ;

-droit à une information sur les frais auxquels l’usager pourrait être exposé à l’occasion d’activités de prévention, de diagnostic et de soins ;

- droit de refuser ou de ne pas recevoir un traitement


Le fait générateur de responsabilité doit donc être une faute prouvée. Cette faute peut revêtir différentes formes et l’on distingue habituellement :

- la faute technique, qui consiste en une violation des connaissances médicales avérées ou des données acquises de la science. Ces connaissances médicales avérées constituent un standard technique auquel le juge se réfère, et peuvent être définies en référence à la littérature scientifique médicale ainsi qu’aux recommandations de bonnes pratiques. Le juge devra se référer aux connaissances médicales avérées au moment de l’acte médical litigieux ;

- la violation d’un devoir d’humanisme, qui renvoie à la dimension « humaine » de la pratique médicale, et peut notamment résulter de l’atteinte au secret professionnel ou d’un défaut d’information ne permettant pas un consentement libre et éclairé.

Dans certains cas, le fait générateur peut prendre d’autres formes : il peut s’agir du défaut d’un produit de santé, le produit étant considéré comme défectueux lorsqu’il n’offre pas la sécurité à laquelle on peut légitimement s’attendre.",False
5,OIC-005-08-A,Quels sont les types d'erreurs médicales?,"Cette question évalue la compréhension des différents types d'erreurs médicales, qui sont essentiels pour reconnaître et prévenir les erreurs dans le domaine des soins.","Omission, commission, exécution et violation",Cette option est correcte car elle recense les quatre types d'erreurs médicales mentionnés dans le texte.,"Omission, commission et violation",Cette option est incorrecte car elle ne mentionne pas l'erreur d'exécution.,"Omission, exécution et non-conformité",Cette option est incorrecte car elle ne mentionne pas l'erreur de commission et la violation.,"Commission, exécution et non-respect",Cette option est incorrecte car elle ne mentionne pas l'erreur d'omission et la violation.,a,"{{objectif de connaissance
|Identifiant=OIC-005-08-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’erreur médicale
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=8}}

<br />L’être humain est faillible et il est dans sa nature de faire des erreurs. Reconnaitre qu’on peut faire des erreurs est un préalable à l’adoption de comportement de prévention des erreurs. Reconnaître qu’on a fait une erreur est une occasion d’apprendre et de progresser. C’est vrai au niveau des individus mais c’est vrai aussi au niveau des organisations. Quand une organisation met en place des dispositifs d’identification, d’analyse et de prévention des erreurs on parle « d’organisation apprenante ».

On parle d’erreur par omission quand une action nécessaire n’a pas été faite. L’erreur par commission désigne une action qui a été faite mais qui n’était pas utile. L’erreur d’exécution désigne une action mal réalisée.

On parle de violation (ou de non-conformité) en cas de non-respect d’une recommandation ou d’une règle professionnelle. Ce non-respect peut être routinier (mauvaise habitude), issu d’une priorisation personnelle (pour gagner du temps par exemple) ou induite par le contexte (suractivité, urgence, etc.).

Les erreurs dans le domaine des soins peuvent concerner les actions de prévention, de diagnostic ou de traitement. Elles peuvent ou non avoir entraîné un dommage pour le patient. Elles sont involontaires et évitables. On parle d’événement indésirable grave (EIG) lorsque le dommage est un décès, ou une complication grave ou, au minimum, une prolongation d’hospitalisation d’un jour.

L’être humain est faillible et il est dans sa nature de faire des erreurs. Reconnaitre qu’on peut faire des erreurs est un préalable à l’adoption de comportement de prévention des erreurs. Reconnaître qu’on a fait une erreur est une occasion d’apprendre et de progresser. C’est vrai au niveau des individus mais c’est vrai aussi au niveau des organisations. Quand une organisation met en place des dispositifs d’identification, d’analyse et de prévention des erreurs on parle « d’organisation apprenante ».

'''Les types d’erreur : omission, commission, exécution, violation''' 

On parle d’erreur par omission quand une action nécessaire n’a pas été faite. L’erreur par commission désigne une action qui a été faite mais qui n’était pas utile. L’erreur d’exécution désigne une action mal réalisée.

On parle de violation (ou de non-conformité) en cas de non-respect d’une recommandation ou d’une règle professionnelle. Ce non-respect peut être routinier (mauvaise habitude), issu d’une priorisation personnelle (pour gagner du temps par exemple) ou induite par le contexte (suractivité, urgence, etc.).",False
6,OIC-005-09-A,Quel est l'objectif de connaissance le plus pertinent au regard du contenu fourni?,La question évalue la capacité à identifier l'objectif de connaissance le plus pertinent en fonction du contenu fourni.,Connaître les éléments constitutifs d'une maladie professionnelle et notion de présomption d'origine,Cette option est correcte car elle est directement liée au contenu fourni qui décrit les éléments constitutifs d'une maladie professionnelle et la notion de présomption d'origine.,Connaître le rôle du médecin du travail et les modalités de communication avec le médecin du travail,Cette option est incorrecte car elle est liée au contenu fourni mais pas directement au sujet des maladies professionnelles.,Connaître la définition de l'accident médical et de l'affection iatrogène,Cette option est incorrecte car elle est liée à un autre sujet et pas directement au contenu fourni.,Connaître l'organisation du régime accidents du travail (AT)/ maladies professionnelles (MP) dans le régime général de la sécurité sociale,Cette option est incorrecte car elle est liée à un autre sujet et pas directement au contenu fourni.,a,"{{objectif de connaissance
|Identifiant=OIC-005-09-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’accident médical et de l’affection iatrogène
|Description=None
|Rubrique=Définition
|Contributeurs=Patrice François
|Ordre=9}}

L’accident médical désigne un événement indésirable survenu au cours d’un acte de soin, de prévention ou de diagnostic. Cet accident entraîne un dommage anormal au regard de l’évolution prévisible de l'état de santé. Il peut s’être produit dans n’importe quel lieu de soins : un établissement de santé, public ou privé, un cabinet d’un professionnel de santé exerçant en libéral, un laboratoire d’analyses médicales, de radiologie, une pharmacie, etc. Un accident médical peut être causé par une erreur d’un professionnel de santé ou découler de soins conformes aux bonnes pratiques et s'appelle alors « l’aléa thérapeutique ».

Les affections iatrogènes désignent l’ensemble des effets néfastes qui peuvent être provoqués par un traitement ou un acte médical. On parle d’effets iatrogènes lorsque le traitement déclenche de nouveaux symptômes, distincts de ceux qu’il est censé soigner. L’effet iatrogène peut intervenir avec ou sans mauvais usage du médicament, que ce mauvais usage soit le fait d’un professionnel de santé ou du malade lui-même. Il ne faut donc pas confondre affection iatrogène et erreur médicale. L’affection iatrogène est une conséquence de la prise d’un médicament même si l’indication était correcte et la posologie bonne. Il est donc possible d’être victime d’une affection iatrogène en dehors de toute erreur ou faute du professionnel de santé.",False
7,OIC-005-10-A,Quelle est la définition des infections nosocomiales?,"Cette question évalue la compréhension de la définition des infections nosocomiales, un concept clé en responsabilités médicales.",Infections contractées avant l'admission dans un établissement de santé,Cette option est incorrecte car les infections nosocomiales sont contractées au cours d'un séjour dans un établissement de santé.,Infections contractées au cours d'un séjour dans un établissement de santé,Cette option est correcte car elle correspond à la définition des infections nosocomiales.,Infections qui apparaissent avant 48 heures d'hospitalisation,Cette option est incorrecte car les infections qui apparaissent avant 48 heures d'hospitalisation sont généralement considérées comme présentes à l'admission.,Infections qui ne sont pas liées aux soins,Cette option est incorrecte car les infections nosocomiales sont liées aux soins.,b,"{{objectif de connaissance
|Identifiant=OIC-005-10-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’infection nosocomiale
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=10}}

Les infections nosocomiales sont les infections contractées au cours d’un séjour dans un établissement de santé (hôpital, clinique…). Elle est aussi appelée infection associée aux soins. Ceci veut dire que ces infections sont absentes au moment de l’admission du patient dans l’établissement. Cependant, si l’état infectieux du patient à l’admission est inconnu, l’infection est généralement considérée comme nosocomiale si elle apparaît après 48 heures d’hospitalisation. Si elle apparaît avant un tel délai, on considère en général qu’elle était en incubation lors de l’entrée dans l’établissement.",False
8,OIC-005-11-A,Quel est le caractère principal qui distingue l'aléa thérapeutique des erreurs médicales?,Cette question évalue la compréhension de la définition de l'aléa thérapeutique et sa distinction avec les erreurs médicales.,L'aléa thérapeutique est lié à la responsabilité des professionnels de santé ou de l'établissement de santé.,Cette option est incorrecte car l'aléa thérapeutique est défini comme un événement indésirable sans responsabilité des professionnels de santé ou de l'établissement de santé.,L'aléa thérapeutique est inévitable.,Cette option est correcte car l'aléa thérapeutique se distingue des erreurs par son inévitabilité.,L'aléa thérapeutique est lié à une faute du praticien.,Cette option est incorrecte car l'aléa thérapeutique est défini comme un événement indésirable sans responsabilité des professionnels de santé ou de l'établissement de santé.,L'aléa thérapeutique est lié à une infection nosocomiale.,"Cette option est incorrecte car l'aléa thérapeutique peut être un accident médical, une affection iatrogène ou une infection nosocomiale, mais ce n'est pas le seul caractère qui le définit.",b,"{{objectif de connaissance
|Identifiant=OIC-005-11-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Connaître la définition de l’aléa thérapeutique
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=11}}

L’aléa thérapeutique se distingue des erreurs par son inévitabilité. C’est un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d’erreur. Il est lié à la réalisation d’un risque inhérent à l’action de soins. On peut citer comme exemple la survenue d’un effet secondaire d’un médicament correctement prescrit et administré.  L’aléa thérapeutique est défini comme étant un accident médical (événement imprévu causant un dommage ayant un lien de causalité certain avec l’acte médical), une affection iatrogène (les soins délivrés au patient ont causé le dommage) ou une infection nosocomiale (l’infection apparaît après une hospitalisation et était absente le jour de l’admission) qui est survenue sans responsabilité des professionnels de santé ou de l’établissement de santé. D’après la jurisprudence, l’aléa thérapeutique consiste dans « la survenance, en dehors de toute faute du praticien, d’un risque accidentel inhérent à l’acte médical et qui ne pouvait être maîtrisé ».  Tout risque inhérent à l’acte de soin, de diagnostic ou de prévention peut constituer un aléa thérapeutique.",False
9,OIC-005-13-A,Quel est l'objectif de Rang A le plus pertinent au regard du contenu fourni sur la prématurité et le retard de croissance intra-utérin?,Cette question évalue la capacité à identifier l'objectif le plus pertinent dans le contexte de la prématurité et du retard de croissance intra-utérin.,Connaître les signes d'une détresse respiratoire,Cette option est incorrecte car elle n'est pas directement liée à la prématurité et au retard de croissance intra-utérin.,Connaître la définition et les facteurs de risque de la prématurité,Cette option est correcte car elle est directement liée à l'objectif de Rang A du contenu fourni.,Connaître la définition et les facteurs de risque du retard de croissance intra-utérin,Cette option est correcte car elle est également directement liée à l'objectif de Rang A du contenu fourni.,Connaître les facteurs humains qui contribuent aux erreurs médicales,Cette option est incorrecte car elle n'est pas directement liée à la prématurité et au retard de croissance intra-utérin.,b,"{{objectif de connaissance
|Identifiant=OIC-005-13-A
|Item_parent=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Item_parent_short=Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique
|Rang=A
|Intitulé=Facteurs humains : connaître la notion d’erreur humaine (typologie et facteurs favorisants)
|Description=None
|Rubrique=Définition
|Contributeurs=Bastien Boussat
|Ordre=13}}

L’être humain est faillible et il est dans sa nature de faire des erreurs. Reconnaitre qu’on peut faire des erreurs est un préalable à l’adoption de comportement de prévention des erreurs. Reconnaître qu’on a fait une erreur est une occasion d’apprendre et de progresser. C’est vrai au niveau des individus mais c’est vrai aussi au niveau des organisations. Quand une organisation met en place des dispositifs d’identification, d’analyse et de prévention des erreurs on parle « d’organisation apprenante ».

'''Les facteurs humains individuels''' 

Le manque de connaissances, de compétences, d’expérience peut conduire à des erreurs. Il faut savoir qu’on ne peut pas tout savoir. La capacité de mémorisation est limitée et il faut savoir vérifier ou demander de l’aide.

Le stress, le manque de temps, la fatigue, la maladie sont aussi des circonstances qui réduisent la performance de l’individu.

Certains facteurs linguistiques ou culturels qui peuvent perturber la bonne compréhension d’une situation. Enfin, il faut aussi signaler les facteurs liés au patient dont l’attitude ou le comportement influencent le risque d’erreur.

'''Les facteurs humains collectifs'''

La production de soins, surtout à l’hôpital, est un travail d’équipe. Une mauvaise organisation de l’équipe, un manque de communication voire des conflits nuisent à la bonne coopération des acteurs et accroissent le risque d’erreurs.

Une équipe efficace a d’abord la conscience d’être une équipe avec un leadership identifié. Le rôle de chacun est clairement défini. La communication est organisée avec des briefings avant l’action et des débriefings après.",False
