,id,question,option_a,option_b,option_c,option_d,correct_option
0,OIC-005-01-A,"Selon le texte, la responsabilité d'un professionnel de santé peut être recherchée à quelles fins principales ?",Uniquement pour sanctionner le professionnel.,Uniquement pour indemniser la victime.,"Soit pour sanctionner le professionnel, soit pour indemniser la victime.",Pour sanctionner l'établissement de santé et indemniser le professionnel.,c
1,OIC-005-01-A-,"Selon le texte, quelle est la principale fonction de la responsabilité pénale ?",D'indemniser les victimes.,De sanctionner les comportements répréhensibles.,De protéger les patients contre les erreurs médicales.,De réguler l'exercice de la médecine.,b
2,OIC-005-02-A,"Selon le texte, comment un médecin salarié d'un établissement privé engage-t-il sa responsabilité civile en cas de dommage à un patient ?",Il engage sa responsabilité personnelle si le dommage est lié à sa mission.,Il n'engage pas sa responsabilité personnelle tant qu'il agit dans le cadre de sa mission.,"Il engage sa responsabilité personnelle, indépendamment de sa mission.",Il engage sa responsabilité civile devant les juridictions administratives.,b
3,OIC-005-02-A-,"Selon le texte, quelle entité est juridiquement responsable des actes médicaux commis par un médecin hospitalier ?",Le patient,Le médecin lui-même,L'établissement public de santé,L'assurance personnelle du médecin,c
4,OIC-005-03-A,"Selon le texte, quelle est la nature principale des fautes disciplinaires pour un médecin ?",Violation de règles pénales.,Manquement aux règles de déontologie médicale.,Non-respect des règles administratives.,Infraction aux règles de procédure civile.,b
5,OIC-005-03-A-,"Selon le texte, qu'est-ce qui caractérise la responsabilité sans faute en médecine ?",Une responsabilité engagée uniquement en cas de faute prouvée.,Une responsabilité liée à un dommage survenu malgré le respect des règles professionnelles et scientifiques.,Une responsabilité qui n'existe pas en cas de dommage lié aux soins.,Une responsabilité qui n'est applicable qu'aux infections nosocomiales.,b
6,OIC-005-04-A-,"Selon le texte, quelle est la définition d'une erreur par commission ?",Une action nécessaire qui n'a pas été faite.,Une action mal réalisée.,Une action faite mais inutile.,Un non-respect d'une règle professionnelle.,c
7,OIC-005-05-A,"Selon le texte, quelle est la principale différence entre un accident médical et une affection iatrogène ?","Un accident médical est toujours dû à une erreur, tandis qu'une affection iatrogène peut survenir même sans erreur.","Une affection iatrogène est un événement indésirable survenu lors d'un acte de soin, tandis qu'un accident médical est une conséquence d'un traitement.","Un accident médical implique un dommage anormal par rapport à l'évolution prévisible, tandis qu'une affection iatrogène est un effet néfaste provoqué par un traitement.",Les deux termes sont synonymes et désignent un dommage causé par des soins médicaux.,c
8,OIC-005-05-A-,"Selon la définition donnée, une infection nosocomiale est contractée :",Avant l'admission du patient.,Pendant le séjour du patient dans un établissement de santé.,Après le départ du patient de l'établissement de santé.,Uniquement dans les hôpitaux publics.,b
9,OIC-005-06-A,"Selon le texte, quelle est la principale distinction entre l'aléa thérapeutique et une erreur médicale ?","L'aléa thérapeutique est toujours évitable, contrairement à une erreur.","L'aléa thérapeutique résulte d'une action de soins conforme, tandis qu'une erreur implique une faute.",L'aléa thérapeutique est toujours lié à une infection nosocomiale.,L'aléa thérapeutique est toujours intentionnel.,b
10,OIC-005-06-A-,"Selon le texte, quels sont les principaux domaines de facteurs pouvant mener à un contentieux suite à un accident médical ?",Uniquement les erreurs médicales directes et la négligence du personnel.,"Les facteurs liés au patient, aux tâches, à l'équipe, à l'environnement de travail, à l'organisation/management et au contexte institutionnel.","Principalement les problèmes liés à l'environnement physique de travail (locaux, matériels).",Seulement les facteurs liés à l'organisation et au management de l'établissement.,b
