,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-03-A,Quelle est la définition de la responsabilité civile pour les professionnels de santé?,La question évalue la définition de la responsabilité civile pour les professionnels de santé.,"Les professionnels exerçant à titre libéral et les établissements de santé privés engagent leur responsabilité civile devant les juridictions de l’ordre judiciaire : tribunal de grande instance, cour d’appel, cour de cassation.",Correcte. Cette proposition explique que les professionnels exerçant à titre libéral et les établissements de santé privés engagent leur responsabilité civile devant les juridictions de l’ordre judiciaire.,"S’agissant des médecins salariés d’établissements, services ou organismes privés, ils n’engagent pas leur responsabilité civile personnelle du fait des dommages causés à un patient dès lors qu’ils n’outrepassent pas la mission qui leur a été confiée par leur employeur.","Correcte. Cette proposition explique que les médecins salariés d’établissements, services ou organismes privés n’engagent pas leur responsabilité civile personnelle du fait des dommages causés à un patient dès lors qu’ils n’outrepassent pas la mission qui leur a été confiée par leur employeur.",Les praticiens hospitaliers engagent leur responsabilité civile professionnelle à raison des dommages survenus dans le cadre de leur secteur d’activité libérale au sein d’un établissement public de santé.,Correcte. Cette proposition explique que les praticiens hospitaliers engagent leur responsabilité civile professionnelle à raison des dommages survenus dans le cadre de leur secteur d’activité libérale au sein d’un établissement public de santé.,Les professionnels de santé ne peuvent être tenus responsables civilement pour les dommages causés à un patient.,Incorrecte. Cette proposition est incorrecte car les professionnels de santé peuvent être tenus responsables civilement pour les dommages causés à un patient.,a
1,OIC-005-04-A,Quelle est la définition de la responsabilité administrative en matière de soins médicaux dispensés dans un établissement public de santé?,La question évalue la définition de la responsabilité administrative en matière de soins médicaux dispensés dans un établissement public de santé.,"La responsabilité administrative est la responsabilité de l'établissement public de santé qui est engagée devant les juridictions de l’ordre administratif : tribunal administratif, cour administrative d’appel, Conseil d’Etat.",Cette proposition est correcte car elle décrit la responsabilité administrative en matière de soins médicaux dispensés dans un établissement public de santé.,"La responsabilité administrative est la responsabilité de l'agent du service public hospitalier qui est engagée devant les juridictions de l’ordre administratif : tribunal administratif, cour administrative d’appel, Conseil d’Etat.",Cette proposition est incorrecte car elle est fausse.,"La responsabilité administrative est la responsabilité de l'établissement public de santé qui est engagée devant les juridictions de l’ordre civil : tribunal civil, cour d’appel, Cour de cassation.",Cette proposition est incorrecte car elle est fausse.,"La responsabilité administrative est la responsabilité de l'agent du service public hospitalier qui est engagée devant les juridictions de l’ordre civil : tribunal civil, cour d’appel, Cour de cassation.",Cette proposition est incorrecte car elle est fausse.,a
2,OIC-005-06-A,Quelle est la définition de la responsabilité sans faute?,La question évalue la définition de la responsabilité sans faute.,"La responsabilité sans faute est la responsabilité engagée lorsqu'un dommage lié au soins survient sans manquement aux règles professionnelles ou scientifiques, ni erreur.",Cette proposition est correcte car elle correspond à la définition fournie.,La responsabilité sans faute est la responsabilité engagée lorsqu'un dommage lié au soins survient en raison d'une faute prouvée.,Cette proposition est incorrecte car elle est le contraire de la définition fournie.,La responsabilité sans faute est la responsabilité engagée lorsqu'un dommage lié au soins survient en raison d'une erreur.,Cette proposition est incorrecte car elle est un élément de la définition fournie.,La responsabilité sans faute est la responsabilité engagée lorsqu'un dommage lié au soins survient en raison d'une infection nosocomiale.,"Cette proposition est incorrecte car elle est un cas particulier de responsabilité sans faute, mais ne définit pas la responsabilité sans faute elle-même.",a
3,OIC-005-07-A,Quelle est la définition de la faute dans le contexte de la responsabilité médicale?,La question évalue la définition de la faute dans le contexte de la responsabilité médicale.,La faute est une violation des connaissances médicales avérées ou des données acquises de la science.,"Cette proposition est correcte car elle décrit la faute technique, qui consiste en une violation des connaissances médicales avérées ou des données acquises de la science.","La faute est un défaut d’un produit de santé, le produit étant considéré comme défectueux lorsqu’il n’offre pas la sécurité à laquelle on peut légitimement s’attendre.","Cette proposition est incorrecte car elle ne décrit pas la faute dans le contexte de la responsabilité médicale, mais plutôt un défaut de produit.",La faute est un acte témoignant d’une obstination déraisonnable.,"Cette proposition est incorrecte car elle ne décrit pas la faute dans le contexte de la responsabilité médicale, mais plutôt un acte déraisonnable.",La faute est un défaut d’information ne permettant pas un consentement libre et éclairé.,"Cette proposition est incorrecte car elle ne décrit pas la faute dans le contexte de la responsabilité médicale, mais plutôt un défaut d’information.",a
4,OIC-005-09-A,Qu'est-ce que l'accident médical et l'affection iatrogène?,La question évalue la définition de l'accident médical et de l'affection iatrogène.,"L'accident médical est un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé. L'affection iatrogène désigne l'ensemble des effets néfastes qui peuvent être provoqués par un traitement ou un acte médical. Il ne faut donc pas confondre affection iatrogène et erreur médicale.",Cette proposition est correcte car elle donne la définition exacte de l'accident médical et de l'affection iatrogène.,"L'accident médical est un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé. L'affection iatrogène est une conséquence de la prise d'un médicament même si l'indication était incorrecte et la posologie mauvaise.",Cette proposition est incorrecte car elle confond l'affection iatrogène et l'erreur médicale.,"L'accident médical est un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé. L'affection iatrogène est une conséquence de la prise d'un médicament même si l'indication était correcte et la posologie bonne, mais seulement si le professionnel de santé a commis une erreur.",Cette proposition est incorrecte car elle ne donne pas la définition exacte de l'affection iatrogène.,"L'accident médical est un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé. L'affection iatrogène est une conséquence de la prise d'un médicament même si l'indication était incorrecte et la posologie bonne, mais seulement si le malade a commis une erreur.",Cette proposition est incorrecte car elle confond le malade et le professionnel de santé.,a
5,OIC-005-10-A,Qu'est-ce qu'une infection nosocomiale?,La question évalue la définition de l'infection nosocomiale.,Une infection contractée au cours d'un séjour dans un établissement de santé qui était présente au moment de l'admission du patient.,"Incorrecte. Une infection nosocomiale est contractée au cours d'un séjour dans un établissement de santé, mais elle est absente au moment de l'admission du patient.",Une infection contractée au cours d'un séjour dans un établissement de santé qui apparaît avant 48 heures d'hospitalisation.,Incorrecte. Une infection nosocomiale apparaît après 48 heures d'hospitalisation.,Une infection contractée au cours d'un séjour dans un établissement de santé qui apparaît après 48 heures d'hospitalisation.,Correcte. Une infection nosocomiale est une infection contractée au cours d'un séjour dans un établissement de santé qui apparaît après 48 heures d'hospitalisation.,Une infection contractée au cours d'un séjour dans un établissement de santé qui était présente après 48 heures d'hospitalisation.,"Incorrecte. Une infection nosocomiale est contractée au cours d'un séjour dans un établissement de santé, mais elle est absente au moment de l'admission du patient.",c
6,OIC-005-12-B,Quel est le facteur lié à l'équipe qui peut conduire à l'ouverture d'un contentieux à la suite d'un accident médical?,La question évalue la définition de l'un des facteurs conduisant à l'ouverture d'un contentieux à la suite d'un accident médical.,État de santé du patient,Ce facteur est lié au patient.,Communication au sein de l'équipe et avec le patient dans la relation thérapeutique,Ce facteur est lié à l'équipe.,Physique des locaux,Ce facteur est lié à l'environnement de travail.,Politiques de santé publique nationale et régionale,Ce facteur est lié à l'organisation et au management.,b
7,OIC-005-14-B,Qu'est-ce que les barrières de prévention dans le contexte de la gestion des erreurs médicales?,La question évalue la définition de la notion de barrières de prévention dans le contexte de la gestion des erreurs médicales.,Les barrières de récupération sont des défenses en profondeur contre le risque d’erreur.,Cette proposition est incorrecte car les barrières de récupération sont destinées à récupérer une erreur avant qu’elle n’ait des conséquences.,Les barrières de prévention sont des défenses matérielles contre le risque d’erreur.,"Cette proposition est incorrecte car les barrières de prévention peuvent être de nature immatérielle (lois et réglementation, consignes, bonnes pratiques de sécurité, etc.) ou matérielle (détrompeur physique).",Les barrières de prévention sont des défenses immatérielles contre le risque d’erreur.,"Cette proposition est incorrecte car les barrières de prévention peuvent être de nature matérielle (détrompeur physique) ou immatérielle (lois et réglementation, consignes, bonnes pratiques de sécurité, etc.).",Les barrières de prévention sont des défenses destinées à empêcher la survenue de l’erreur et de l’accident.,Cette proposition est correcte car les barrières de prévention sont destinées à empêcher la survenue de l’erreur et de l’accident.,d
8,OIC-005-15-B,Qu'est-ce que la démarche de culture positive de l'erreur?,La question évalue la définition de la démarche de culture positive de l'erreur.,"La démarche de culture positive de l'erreur est une approche systémique qui vise à favoriser le signalement des erreurs, leur analyse et la mise en place d'actions d'amélioration prévenant la répétition de telles erreurs.","Correcte. La démarche de culture positive de l'erreur est une approche systémique qui vise à favoriser le signalement des erreurs, leur analyse et la mise en place d'actions d'amélioration prévenant la répétition de telles erreurs.",La démarche de culture positive de l'erreur est une méthode de gestion des risques qui vise à réduire les erreurs médicales.,"Incorrecte. La démarche de culture positive de l'erreur est une approche systémique qui vise à favoriser le signalement des erreurs, leur analyse et la mise en place d'actions d'amélioration prévenant la répétition de telles erreurs, et non une méthode de gestion des risques.",La démarche de culture positive de l'erreur est une méthode de gestion des risques qui vise à réduire les accidents médicaux.,"Incorrecte. La démarche de culture positive de l'erreur est une approche systémique qui vise à favoriser le signalement des erreurs, leur analyse et la mise en place d'actions d'amélioration prévenant la répétition de telles erreurs, et non une méthode de gestion des risques.",La démarche de culture positive de l'erreur est une méthode de gestion des risques qui vise à réduire les infections nosocomiales.,"Incorrecte. La démarche de culture positive de l'erreur est une approche systémique qui vise à favoriser le signalement des erreurs, leur analyse et la mise en place d'actions d'amélioration prévenant la répétition de telles erreurs, et non une méthode de gestion des risques.",a
9,OIC-006-01-A,Quel est le but principal du travail en équipe pluriprofessionnelle pour les femmes enceintes?,La question évalue la connaissance de la démarche générale de prévention des risques professionnels pour les femmes enceintes.,Une barrière de sécurité contre les événements indésirables,Cette proposition est incorrecte car elle ne concerne pas le but principal du travail en équipe pluriprofessionnelle pour les femmes enceintes.,Un facteur de qualité de la prise en charge du patient,Cette proposition est incorrecte car elle ne concerne pas le but principal du travail en équipe pluriprofessionnelle pour les femmes enceintes.,Un facteur de santé et de bien-être au travail pour les professionnels,Cette proposition est incorrecte car elle ne concerne pas le but principal du travail en équipe pluriprofessionnelle pour les femmes enceintes.,Un moyen de répondre de manière collaborative aux besoins du patient,Cette proposition est correcte car elle concerne le but principal du travail en équipe pluriprofessionnelle pour les femmes enceintes.,d
