id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quel est l'objectif principal de la responsabilité sanction/indemnisation dans le domaine médical ?,Sanctionner les professionnels de santé pour leurs erreurs.,Indemniser les victimes d'événements indésirables liés aux soins.,Assurer l'accès aux soins pour tous les patients.,Promouvoir la recherche médicale et l'innovation thérapeutique.,b
OIC-005-02-A,Laquelle des affirmations suivantes concernant la responsabilité pénale médicale est **fausse** ?,Elle concerne uniquement les médecins et non les établissements de santé.,"Les infractions médicales sont classées en trois catégories : contraventions, délits et crimes.",Le défaut d'information au patient peut constituer une cause potentielle de responsabilité civile.,L'initiative des poursuites pénales appartient au procureur de la République.,a
OIC-005-03-A,"En cas de dommage causé à un patient, qui assume la responsabilité civile pour un médecin salarié d'un établissement privé ?",Le médecin lui-même,L'établissement où travaille le médecin,Le tribunal compétent,L'assurance maladie du patient,b
OIC-005-04-A,"En cas d'erreur médicale dans un service public hospitalier, qui est responsable devant les juridictions administratives ?",Le médecin,L'établissement public de santé,Le patient,Le conseil de l'ordre des médecins,b
OIC-005-05-A,Quelle est la principale différence entre la responsabilité disciplinaire et les autres responsabilités encourues par un médecin (civiles ou pénales) ?,La responsabilité disciplinaire concerne uniquement les actes commis en dehors de l'exercice professionnel.,La responsabilité disciplinaire est indépendante des autres actions qui peuvent être engagées contre un médecin.,La responsabilité disciplinaire ne peut être appliquée qu'en cas de faute pénale avérée.,La responsabilité disciplinaire est uniquement gérée par les instances judiciaires civiles.,b
OIC-005-06-A,La responsabilité sans faute s'applique dans quel contexte médical ?,Lorsqu'un médecin commet une erreur médicale flagrante.,Lorsque le patient ne respecte pas les recommandations du médecin.,En cas de dommage lié aux soins malgré l'absence de faute professionnelle ou scientifique.,Lorsqu'un médicament provoque des effets secondaires imprévus et connus.,c
OIC-005-07-A,"Selon le texte, quel élément est nécessaire pour qu'une atteinte aux droits du patient puisse entraîner une responsabilité médicale ?",La preuve d'un préjudice financier,L'existence d'une faute prouvée,Le consentement éclairé du patient,Une plainte déposée auprès de l'Ordre des médecins,b
OIC-005-08-A,Quelle est la définition d'une erreur par commission dans le domaine médical ?,Une action nécessaire qui n'a pas été effectuée.,Une action mal réalisée.,Une action inutile qui a été effectuée.,Un non-respect d'une recommandation ou d'une règle professionnelle.,c
OIC-005-09-A,Quelle est la différence principale entre un accident médical et une affection iatrogène ?,"Un accident médical est toujours causé par une erreur médicale, tandis qu'une affection iatrogène peut survenir même sans erreur.","Une affection iatrogène est un dommage anormal qui survient pendant un acte de soin, tandis qu'un accident médical est un effet secondaire d'un traitement.","Un accident médical se produit dans un établissement de santé, tandis qu'une affection iatrogène peut survenir à la maison.","Une affection iatrogène est une conséquence inattendue d'un traitement, tandis qu'un accident médical est un événement indésirable qui peut ou non entraîner un dommage.",d
OIC-005-10-A,Quelle est la définition d'une infection nosocomiale ?,Une infection contractée avant l'admission à un établissement de santé.,Une infection qui apparaît après 48 heures d'hospitalisation et n'était pas présente à l'admission.,"Toute infection contractée dans un environnement hospitalier, quelle que soit la durée du séjour.",Une infection causée par des bactéries résistantes aux antibiotiques acquises en milieu hospitalier.,b
OIC-005-11-A,Lequel des énoncés suivants décrit le mieux l'aléa thérapeutique ?,Une erreur médicale causée par la négligence d'un professionnel de santé.,Un effet secondaire indésirable d'un médicament prescrit et administré correctement.,Une infection contractée avant l'hospitalisation qui s'aggrave pendant le séjour.,Une faute professionnelle entraînant un dommage au patient.,b
OIC-005-12-B,Quel facteur parmi les suivants est le **MOINS** susceptible d'être à l'origine d'un contentieux médical ?,La communication claire et efficace entre les membres de l'équipe soignante.,L'état de santé précaire du patient et ses maladies associées.,Le manque de formation continue pour le personnel médical.,Une politique institutionnelle favorisant la signalisation des événements indésirables.,a
OIC-005-13-A,Quel facteur humain individuel peut contribuer à l'augmentation du risque d'erreur médicale ?,Une bonne organisation de l'équipe,Le manque de communication entre les membres de l'équipe,La fatigue et le stress,Un leadership clair et défini dans l'équipe,c
OIC-005-14-B,"Selon le modèle de Reason, quel est l'objectif principal de l'analyse approfondie des causes d'erreur médicale ?",Identifier les erreurs actives commises par les professionnels de santé.,Déterminer la responsabilité individuelle dans un incident médical.,Mettre en évidence les défauts organisationnels contribuant aux erreurs.,Améliorer la communication entre les différents membres de l'équipe médicale.,c
OIC-005-15-B,Quel est l'objectif principal d'une démarche de culture positive de l'erreur dans un établissement de santé ?,Punir les professionnels de santé responsables des erreurs.,Cacher les erreurs pour éviter les poursuites judiciaires.,Favoriser le signalement des erreurs et améliorer la sécurité des patients.,Attribuer la responsabilité des erreurs au dernier maillon de la chaîne de soins.,c
OIC-006-01-A,Quel est l'objectif principal du travail en équipe pluriprofessionnelle ?,Réduire les coûts des soins,Améliorer la communication entre professionnels,Répondre de manière collaborative aux besoins du patient,Simplifier les procédures administratives,c
OIC-006-02-A,Lequel des éléments suivants **N'EST PAS** un dispositif de travail en équipe pluridisciplinaire ?,Protocole pluriprofessionnel,Réunion de morbi-mortalité (RMM),Consultation individuelle avec le patient,Réunions de concertation pluridisciplinaire (RCP),c
OIC-006-03-A,Qu'est-ce qu'un parcours de soins ?,Un document médical détaillant l'historique du patient.,Une série d'examens médicaux effectués en une seule séance.,L'organisation et la coordination des interventions professionnelles au cours de la prise en charge d'un patient.,Un système informatique permettant de gérer les dossiers patients.,c
OIC-006-04-B,Quel est le principal objectif d'un protocole pluriprofessionnel ?,Remplacer les consultations individuelles entre patients et professionnels.,Faciliter la communication entre les différents services hospitaliers.,Définir un consensus sur la prise en charge de certaines maladies par plusieurs professionnels.,Automatiser les tâches administratives des professionnels de santé.,c
