lisa_id,scores_pass1,scores_pass2,avg_pass1,avg_pass2,pass_pass1,pass_pass2,per_distractor_abs_diff,mean_abs_diff
OIC-001-02-A,"[3, 1, 2]","[3, 1, 2]",2.0,2.0,False,False,"[0, 0, 0]",0.0
OIC-001-03-A,"[2, 4, 2]","[2, 4, 1]",2.6666666666666665,2.3333333333333335,False,False,"[0, 0, 1]",0.3333333333333333
OIC-001-04-A,"[3, 1, 2]","[3, 1, 2]",2.0,2.0,False,False,"[0, 0, 0]",0.0
OIC-001-05-A,"[1, 1, 2]","[1, 1, 2]",1.3333333333333333,1.3333333333333333,False,False,"[0, 0, 0]",0.0
OIC-001-06-A,"[3, 1, 2]","[3, 1, 2]",2.0,2.0,False,False,"[0, 0, 0]",0.0
OIC-001-07-A,"[1, 1, 2]","[2, 1, 2]",1.3333333333333333,1.6666666666666667,False,False,"[1, 0, 0]",0.3333333333333333
OIC-001-08-A,"[3, 3, 2]","[2, 2, 3]",2.6666666666666665,2.3333333333333335,True,False,"[1, 1, 1]",1.0
OIC-001-09-A,"[2, 1, 1]","[2, 3, 1]",1.3333333333333333,2.0,False,False,"[0, 2, 0]",0.6666666666666666
OIC-001-10-A,"[1, 2, 1]","[1, 2, 1]",1.3333333333333333,1.3333333333333333,False,False,"[0, 0, 0]",0.0
OIC-001-11-A,"[2, 3, 2]","[3, 2, 1]",2.3333333333333335,2.0,False,False,"[1, 1, 1]",1.0
OIC-001-12-A,"[2, 3, 4]","[2, 3, 4]",3.0,3.0,True,True,"[0, 0, 0]",0.0
OIC-001-13-A,"[3, 1, 1]","[3, 2, 1]",1.6666666666666667,2.0,False,False,"[0, 1, 0]",0.3333333333333333
OIC-001-14-A,"[2, 1, 1]","[2, 1, 1]",1.3333333333333333,1.3333333333333333,False,False,"[0, 0, 0]",0.0
OIC-002-01-A,"[1, 1, 1]","[1, 2, 1]",1.0,1.3333333333333333,False,False,"[0, 1, 0]",0.3333333333333333
OIC-002-02-A,"[2, 1, 2]","[2, 1, 2]",1.6666666666666667,1.6666666666666667,False,False,"[0, 0, 0]",0.0
OIC-002-03-A,"[3, 1, 2]","[2, 4, 3]",2.0,3.0,False,True,"[1, 3, 1]",1.6666666666666667
OIC-002-04-A,"[1, 3, 2]","[1, 3, 2]",2.0,2.0,False,False,"[0, 0, 0]",0.0
OIC-002-05-A,"[1, 2, 4]","[1, 2, 4]",2.3333333333333335,2.3333333333333335,False,False,"[0, 0, 0]",0.0
