id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quel est l'objectif de l'assurance de responsabilité civile professionnelle pour les médecins et les établissements de santé?,Assurer la responsabilité pénale des professionnels de santé,Indemniser les victimes des conséquences d'un événement indésirable associé aux soins,Couvrir les coûts de la formation continue des professionnels de santé,Financer les recherches médicales,b
OIC-005-01-A-,Quel est le type de dommage qui peut être indemnisé en cas de défaut d'information?,Dommage physique,Dommage psychique,Perte de chance de survie ou de guérison,Perte de chance d'avoir échappé à un risque qui s'est finalement réalisé,c
OIC-005-02-A,Quelle est la fonction de la responsabilité pénale?,Sanctionner les individus pour des comportements répréhensibles,Protéger les droits des patients,Gérer les erreurs médicales,Fournir des soins de qualité,a
OIC-005-02-A-,Qui décide des suites à donner aux plaintes en matière de responsabilité pénale?,Le juge,Le procureur de la République,Le patient victime,Le médecin concerné,b
OIC-005-03-A,Quels professionnels engagent leur responsabilité civile devant les juridictions de l'ordre judiciaire?,"Les médecins salariés d'établissements, services ou organismes privés",Les professionnels exerçant à titre libéral et les établissements de santé privés,Les praticiens hospitaliers,Les professionnels exerçant à titre libéral et les médecins salariés,b
OIC-005-03-A-,"Quel régime de responsabilité s'applique aux médecins salariés d'établissements, services ou organismes privés?",Régime de responsabilité personnelle,Régime de responsabilité du commettant (l'employeur) du fait de son proposé (le médecin),Régime de responsabilité civile professionnelle,Régime de responsabilité administrative,b
OIC-005-04-A,Quelle est la responsabilité engagée devant les juridictions de l'ordre administratif pour les actes réalisés par les médecins hospitaliers?,Responsabilité personnelle du médecin,Responsabilité de l'établissement public de santé,Responsabilité du patient,Responsabilité de l'assureur,b
OIC-005-04-A-,Quelle est la faute qui engage la responsabilité civile personnelle de son auteur?,Faute de service,Faute dans l'organisation et le fonctionnement du service,Faute personnelle ou détachable du service,Faute de coordination entre médecins,c
OIC-005-05-A,Quelle est la définition de la responsabilité disciplinaire?,C'est la responsabilité encourue devant les instances de l'Ordre des médecins,C'est la responsabilité encourue devant les tribunaux pénaux,C'est la responsabilité encourue devant les instances civiles,C'est la responsabilité encourue devant les instances administratives,a
OIC-005-05-A-,Qui peut saisir la chambre disciplinaire du conseil régional de l'Ordre pour les médecins libéraux?,Le patient,Le conseil national de l'Ordre,"Un conseil départemental de l'Ordre, le conseil national de l'Ordre, un médecin, un syndicat de médecins, le directeur de l'Agence régionale de la santé, le préfet, le procureur de la République et le ministre en charge de la santé",Le directeur de l'Agence régionale de la santé,c
OIC-005-06-A,Quelle est la définition de la responsabilité sans faute?,C'est une responsabilité engagée en cas de faute prouvée,C'est une responsabilité engagée en cas de manquement aux règles professionnelles ou scientifiques,C'est une responsabilité engagée sans faute prouvée,C'est une responsabilité engagée en cas d'erreur médicale,c
OIC-005-06-A-,Quel est l'exemple de système d'indemnisation pour lequel la responsabilité peut être engagée sans faute prouvée?,La responsabilité civile en cas de faute prouvée,La responsabilité pénale en cas de manquement aux règles professionnelles,La survenue d'une infection nosocomiale,La responsabilité administrative en cas d'erreur médicale,c
OIC-005-07-A,Quel est le critère pour déterminer la responsabilité médicale d'un médecin ou d'un établissement de santé?,La violation d'un devoir d'humanisme,La faute prouvée,La violation des connaissances médicales avérées,La discrimination dans l'accès aux soins,b
OIC-005-07-A-,Quelle est la forme de faute qui consiste en une violation des connaissances médicales avérées?,La faute administrative,La faute civile,La faute technique,La faute pénale,c
OIC-005-08-A,Quels sont les types d'erreurs médicales?,"Omission, commission, exécution, violation","Omission, commission, violation, non-conformité","Exécution, violation, non-conformité, omission","Commission, exécution, omission, non-conformité",a
OIC-005-08-A-,Qu'est-ce qu'une violation médicale?,Une action nécessaire qui n'a pas été faite,Une action qui a été faite mais qui n'était pas utile,Un non-respect d'une recommandation ou d'une règle professionnelle,Une action mal réalisée,c
OIC-005-09-A,Quel est l'événement indésirable qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé?,Une erreur d'un professionnel de santé,Un accident médical,Un effet secondaire d'un médicament,Un problème de santé préexistant,b
OIC-005-09-A-,Qu'est-ce que l'on appelle les effets néfastes qui peuvent être provoqués par un traitement ou un acte médical?,Les erreurs médicales,Les affections iatrogènes,Les effets thérapeutiques,Les complications médicales,b
OIC-005-10-A,Qu'est-ce qu'une infection nosocomiale?,Une infection contractée à l'extérieur de l'établissement de santé,Une infection contractée au cours d'un séjour dans un établissement de santé,Une infection qui apparaît avant 48 heures d'hospitalisation,Une infection qui n'est pas liée aux soins médicaux,b
OIC-005-10-A-,Quelle est la période généralement considérée pour déterminer si une infection est nosocomiale?,Avant 24 heures d'hospitalisation,Entre 24 et 48 heures d'hospitalisation,Après 48 heures d'hospitalisation,Après 72 heures d'hospitalisation,c
OIC-005-11-A,Qu'est-ce qui distingue l'aléa thérapeutique des erreurs médicales?,Sa gravité,Son inévitabilité,Sa cause,Son impact sur la santé,b
OIC-005-11-A-,Quel est l'exemple d'un aléa thérapeutique selon la description donnée?,Une erreur de dosage d'un médicament,Une infection nosocomiale causée par une faute des professionnels de santé,La survenue d'un effet secondaire d'un médicament correctement prescrit et administré,Une affection iatrogène causée par une action de soins incorrecte,c
OIC-005-12-B,Quels sont les principaux facteurs conduisant à l'ouverture d'un contentieux à la suite d'un accident médical?,Seulement les facteurs liés au patient,"Les facteurs liés au patient, à l'équipe et à l'environnement de travail","Tous les facteurs mentionnés (patient, tâches, équipe, environnement de travail, organisation et management, contexte institutionnel)",Seulement les facteurs liés à l'équipe et à l'environnement de travail,c
