,id,question,option_a,option_b,option_c,option_d,correct_option
0,OIC-005-01-A,Quel est le but de l'indemnisation des victimes dans le cadre de la responsabilité médicale ?,Sanctionner les professionnels ou les établissements de santé,Indemniser les victimes des conséquences d'un événement indésirable associé aux soins,Couvrir les coûts médicaux des patients,Réparer les dommages causés par les actes médicaux,b
1,OIC-005-01-A-,Quel est le type d'infraction qui concerne principalement la rédaction de faux certificats ?,Homicide et blessures involontaires,Violation d'un devoir d'humanisme,Homicide et blessures volontaires,Blessures et l'homicide involontaire,b
2,OIC-005-02-A,Quels sont les professionnels qui engagent leur responsabilité civile devant les juridictions de l'ordre judiciaire ?,"Les médecins salariés d'établissements, services ou organismes privés.",Les praticiens hospitaliers au sein d'un établissement public de santé.,Les professionnels exerçant à titre libéral et les établissements de santé privés.,Seuls les médecins salariés engagent leur responsabilité civile.,c
3,OIC-005-02-A-,Quelle est la responsabilité engagée devant les juridictions de l'ordre administratif en cas d'actes réalisés par des médecins hospitaliers ?,Responsabilité personnelle du médecin,Responsabilité civile personnelle du médecin,Responsabilité de l'établissement public de santé,Aucune responsabilité engagée,c
4,OIC-005-03-A-,Quelle est la définition de la responsabilité sans faute ?,C'est une responsabilité engagée suite à un manquement aux règles professionnelles ou scientifiques.,C'est une responsabilité qui peut être engagée même si il n'y a pas d'erreur ou de faute prouvée.,C'est une responsabilité limitée aux dommages causés par les soins médicaux.,C'est une responsabilité réservée aux seuls médecins généralistes.,b
5,OIC-005-04-A,Quel est le critère pour établir la responsabilité médicale en cas de faute ?,La violation d'un droit du patient,L'atteinte à l'intégrité physique ou psychique du patient,La preuve de la faute,Le défaut d'un produit de santé,c
6,OIC-005-04-A-,Quel est le type d'erreur qui se produit lorsque une action nécessaire n'a pas été faite ?,Erreur de commission,Erreur d'exécution,Erreur par omission,Violation,c
7,OIC-005-05-A,Quel est le résultat d'un accident médical ?,Un dommage anormal au regard de l'évolution prévisible de l'état de santé.,Une erreur d'un professionnel de santé.,Un effet iatrogène.,Un traitement inapproprié.,a
8,OIC-005-05-A-,Quelle est la définition des infections nosocomiales ?,Infections contractées à l'extérieur d'un établissement de santé,Infections présentes au moment de l'admission du patient dans un établissement de santé,Infections contractées au cours d'un séjour dans un établissement de santé,Infections dues à une mauvaise gestion des soins par les professionnels de la santé,c
9,OIC-005-06-A,Quel est le caractère principal qui distingue l'aléa thérapeutique des erreurs médicales ?,La gravité du dommage causé,L'inévitabilité de son occurrence,La responsabilité des professionnels de santé,La nécessité d'une action corrective,b
10,OIC-005-06-A-,Quels sont les principaux facteurs qui conduisent à l'ouverture d'un contentieux à la suite d'un accident médical ?,Seulement le patient,"Tous les facteurs mentionnés (patient, tâches, équipe, environnement de travail, organisation et management, contexte institutionnel)",Les seuls facteurs liés à l'équipe,Seulement le contexte institutionnel,b
11,OIC-005-07-A,Quels sont les facteurs humains individuels qui peuvent conduire à des erreurs ?,"Le stress, le manque de temps, la fatigue, la maladie","Le manque de connaissances, de compétences, d’expérience",Les facteurs liés au patient dont l’attitude ou le comportement influencent le risque d’erreur,Toutes les options sont correctes,D
12,OIC-005-07-A-,Quel est le but de l'analyse approfondie des causes d'erreur dans les soins médicaux ?,Identifier les responsables de l'erreur,Mettre en place des actions pour prévenir de nouvelles erreurs,Améliorer la communication entre les équipes médicales,Réduire le temps d'intervention chirurgicale,b
