id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quel est l'objectif principal de la responsabilité sanction/indemnisation dans le domaine de la santé?,Sanctionner les professionnels de santé pour leurs erreurs.,Indemniser les victimes d'événements indésirables liés aux soins.,Améliorer la qualité des soins dispensés.,Réduire le nombre d'erreurs médicales.,b
OIC-005-01-A-,Laquelle des infractions suivantes n'est PAS considérée comme une violation d'un devoir d'humanisme selon le texte?,La rédaction de faux certificats,La violation du secret professionnel,Le défaut d'information au patient,La non-assistance à personne en péril,c
OIC-005-02-A,Qui est responsable en responsabilité civile des dommages causés à un patient par un médecin salarié d'un établissement privé?,Le médecin salarié,L'établissement privé,Le tribunal de grande instance,Le patient,b
OIC-005-02-A-,"En cas d'acte réalisé par un médecin hospitalier, qui est responsable devant les juridictions de l'ordre administratif?",Le médecin lui-même,Le patient,L'établissement public de santé,Le conseil de l'ordre des médecins,c
OIC-005-03-A,Quelle est la principale différence entre le Code de déontologie médicale et le Code pénal?,"Le Code de déontologie médicale liste des comportements prohibés, tandis que le Code pénal en décrit les principes.","Le Code de déontologie médicale s'applique uniquement aux médecins, tandis que le Code pénal s'applique à tous les citoyens.","Le Code de déontologie médicale est élaboré par le Conseil national de l'Ordre des médecins, tandis que le Code pénal est élaboré par le Parlement.","Le Code de déontologie médicale se concentre sur les principes moraux, tandis que le Code pénal se concentre sur les règles juridiques.",d
OIC-005-03-A-,La responsabilité sans faute se déclenche lorsque :,Il y a un manquement aux règles professionnelles.,Il y a une erreur médicale prouvée.,Un dommage survient malgré l'absence de faute.,Le patient consent à un risque thérapeutique.,c
OIC-005-04-A,"Selon le texte, quel est l'élément essentiel pour qu'un patient puisse rechercher la responsabilité d'un médecin ou d'un établissement de santé?",L'atteinte à un droit du patient,La présence d'une faute prouvée,Le montant des dommages subis,La consultation d'un avocat spécialisé,b
OIC-005-04-A-,Quel type d'erreur médicale est caractérisée par une action qui a été effectuée mais qui n'était pas nécessaire?,Erreur par omission,Erreur d'exécution,Violation,Erreur par commission,d
OIC-005-05-A,Qu'est-ce qu'un accident médical selon la définition donnée?,Une affection causée par un traitement médical.,Un événement indésirable entraînant un dommage anormal au cours d'un acte de soin.,Une erreur de diagnostic commise par un professionnel de santé.,Un effet secondaire inattendu d'un médicament.,b
OIC-005-05-A-,Quelle est la définition d'une infection nosocomiale ?,Une infection présente au moment de l'admission d'un patient dans un établissement de santé.,Une infection contractée en dehors d'un établissement de santé.,Une infection contractée pendant un séjour dans un établissement de santé.,"Une infection qui apparaît après 48 heures d'hospitalisation, quelle que soit sa présence à l'admission.",c
OIC-005-06-A,Quel est le principal élément qui distingue l'aléa thérapeutique d'une erreur médicale?,La gravité des conséquences,La présence d'une faute professionnelle,Le caractère imprévisible de l'événement,Le lien avec un acte de soin non conforme,b
OIC-005-06-A-,Quels facteurs peuvent contribuer à l'ouverture d'un contentieux suite à un accident médical?,Seulement les erreurs médicales directes,Uniquement les problèmes liés à l'environnement de travail,"Les facteurs liés au patient, aux tâches, à l'équipe, à l'environnement et à l'organisation",Excluant les facteurs liés au contexte institutionnel,c
OIC-005-07-A,Quel est l'un des facteurs humains individuels qui peut conduire à des erreurs?,Le leadership d'une équipe,Le manque de communication,Le stress,La bonne organisation d'une équipe,c
OIC-005-07-A-,Quel est l'objectif principal de l'analyse approfondie des causes d'erreur dans le contexte des soins médicaux?,Identifier les erreurs individuelles des professionnels de santé.,Déterminer les responsabilités pénales des acteurs impliqués dans l'erreur.,Améliorer la sécurité des patients en identifiant les causes profondes des erreurs.,Créer un système de sanctions pour les professionnels de santé impliqués dans des erreurs.,c
OIC-005-08-A,Quel est l'objectif principal d'une démarche de culture positive de l'erreur en milieu hospitalier?,Culpabiliser les professionnels de santé impliqués dans l'erreur.,Masquer les erreurs pour éviter les sanctions.,Favoriser le signalement des erreurs et l'amélioration des pratiques.,Limiter les responsabilités des établissements de santé.,c
OIC-005-08-A-,Quelle est la définition du travail en équipe pluriprofessionnelle ?,Un groupe de professionnels ayant des qualifications identiques travaillant ensemble.,Un groupe de professionnels travaillant dans le même lieu.,Un groupe de professionnels ayant des qualifications différentes et complémentaires travaillant ensemble.,Un groupe de professionnels ayant des objectifs différents.,c
OIC-005-09-A,Quel est un exemple de dispositif de travail en équipe pluridisciplinaire utilisé en milieu hospitalier?,La check-list au bloc opératoire,Les réunions de concertation pluridisciplinaire,Le travail en équipe en ambulatoire,Le suivi des patients à domicile,a
OIC-005-09-A-,Quel est le but principal d'un parcours de soins ?,Maximiser les profits de l'hôpital.,Simplifier les tâches administratives pour les professionnels de santé.,Organiser et coordonner les interventions médicales d'un patient.,Réduire le nombre de consultations médicales.,c
OIC-005-10-A,Quel est l'objectif principal d'un protocole pluriprofessionnel?,Faciliter la communication entre les patients et les professionnels de santé.,Définir les tâches spécifiques de chaque professionnel de santé.,Standardiser la prise en charge d'une maladie en fonction des connaissances scientifiques.,Remplacer le jugement clinique par des algorithmes prédictifs.,c
OIC-005-10-A-,Quel est le minimum de médecins de spécialités différentes requis pour une réunion de concertation pluridisciplinaire (RCP)?,Un,Deux,Trois,Quatre,c
OIC-005-11-A,Quel est l'objectif principal des listes de vérification (check-lists) en médecine?,Améliorer la communication entre les professionnels de santé.,Remplacer les protocoles médicaux existants.,Automatiser les tâches administratives du bloc opératoire.,Réduire le nombre d'interventions chirurgicales.,a
OIC-005-11-A-,Quelle est la caractéristique principale des réunions de morbi-mortalité (RMM)?,Réunions individuelles pour analyser les erreurs.,Analyse prospective des situations cliniques.,Réunions d'analyse collective et rétrospective des événements indésirables.,Réunions pour sanctionner les professionnels impliqués dans les erreurs.,c
OIC-005-12-B,Quel est le rôle principal du Samu-Centre 15?,Organiser le transport des patients vers les hôpitaux.,Fournir une écoute médicale permanente et déclencher la réponse adaptée aux appels d'urgence.,Effectuer des soins d'urgence sur place en dehors de l'hôpital.,Former les acteurs en santé au sein des centres d’enseignement des soins d’urgence (CESU).,b
OIC-005-12-B-,"Selon le texte, quelle est la définition d'une discrimination?",Faire une différence de traitement basée sur des critères arbitraires.,"Faire une différence de traitement basée sur des critères prohibés, entraînant un préjudice.",Faire une différence de traitement basée sur des critères médicaux.,Faire une différence de traitement basée sur des critères de compétence.,b
OIC-005-13-A,"Selon le texte, quel est l'un des principaux effets des discriminations sur la santé?",Amélioration de l'accès aux soins de santé,Réduction du stress et de l'anxiété,Aggravation des inégalités sociales et de santé,Augmentation de la littératie en santé,c
OIC-005-13-A-,Quelles sont les causes structurelles et organisationnelles des discriminations en santé selon la publication de Migration Santé Alsace?,Des représentations sociales négatives envers certains groupes.,Un manque de formation des soignants sur les discriminations.,Des dysfonctionnements dans le système de santé et un défaut de prise en charge.,Un manque de volonté politique de lutter contre les discriminations.,c
