id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quelle est la principale raison pour laquelle un professionnel de santé ou un établissement de santé peut être tenu responsable ?,Pour obtenir une sanction pénale.,Pour indemniser l'usager victime des conséquences d'un événement indésirable.,Pour obtenir une indemnisation administrative.,Pour obtenir une sanction disciplinaire.,b
OIC-005-01-A-,Quelle est la fonction principale de la responsabilité pénale ?,Sanctionner les individus dont le comportement est réprouvé dans notre société.,Garantir la sécurité des patients.,Assurer la confidentialité des informations médicales.,Réduire les coûts des soins de santé.,a
OIC-005-02-A,"Selon le texte, quel type de juridiction est compétente pour la responsabilité civile des professionnels exerçant à titre libéral ?",Tribunal de proximité,Tribunal de grande instance,Cour d'appel,Cour de cassation,b
OIC-005-02-A-,"Selon le texte, quel type de responsabilité est engagée devant les juridictions de l'ordre administratif en cas d'actes réalisés par les médecins hospitaliers ?",Responsabilité civile personnelle,Responsabilité pénale,Responsabilité administrative,Responsabilité disciplinaire,c
OIC-005-03-A,Quelle est la principale différence entre le Code de déontologie médicale et le Code pénal ?,"Le Code pénal énonce des principes fondamentaux, tandis que le Code de déontologie médicale liste des comportements prohibés par la société.","Le Code pénal est élaboré par le Conseil national de l’Ordre, tandis que le Code de déontologie médicale est élaboré par le Conseil d’Etat.","Le Code pénal est un texte juridique, tandis que le Code de déontologie médicale est un texte moral.",Le Code pénal est un texte plus ancien que le Code de déontologie médicale.,a1
OIC-005-03-A-,Qu'est-ce que la responsabilité sans faute ?,La responsabilité engagée uniquement en cas de faute prouvée.,"La responsabilité engagée en cas de dommage lié aux soins survenu sans manquement aux règles professionnelles ou scientifiques, ni erreur.",La responsabilité engagée uniquement en cas de faute prouvée.,La responsabilité engagée uniquement en cas de faute prouvée.,b1
OIC-005-04-A,"Selon le texte, quel est le principal élément à prouver pour qu'une faute médicale soit établie ?

(A) Que le patient a subi un préjudice.
(B) Que le médecin a commis une erreur.
(C) Que le médecin a violé un devoir d'humanisme.
(D) Que le médecin a violé les connaissances médicales avérées.",Que le patient a subi un préjudice.,Que le médecin a commis une erreur.,Que le médecin a violé un devoir d'humanisme.,Que le médecin a violé les connaissances médicales avérées.,D
OIC-005-04-A-,"Selon le texte, quelle est la principale conséquence de la reconnaissance d'une erreur ?",L'incitation à la culpabilité et à la punition.,L'opportunité d'apprendre et de progresser.,L'isolement social et la stigmatisation.,La justification de la faute et l'absence de remède.,b
OIC-005-05-A,"Selon le texte, quelle est la principale différence entre un accident médical et une affection iatrogène ?","Un accident médical est toujours causé par une erreur du professionnel de santé, tandis qu'une affection iatrogène peut être causée par un traitement correct.","Un accident médical est un événement indésirable, tandis qu'une affection iatrogène est une conséquence d'un traitement correct.","Un accident médical est un événement indésirable, tandis qu'une affection iatrogène est une conséquence d'un traitement ou d'un acte médical.","Un accident médical est toujours causé par une erreur du professionnel de santé, tandis qu'une affection iatrogène peut être causée par un traitement correct.",c1
OIC-005-05-A-,Qu'est-ce qu'une infection nosocomiale ?,Une infection contractée en dehors de l'établissement de santé.,Une infection contractée au cours d'un séjour dans un établissement de santé.,Une infection qui disparaît après 48 heures d'hospitalisation.,Une infection qui est toujours présente au moment de l'admission du patient.,b1
OIC-005-06-A,"Selon le contenu éducatif, quelle est la principale caractéristique qui distingue l'aléa thérapeutique des erreurs ?",L'aléa thérapeutique est toujours causé par une faute du praticien.,L'aléa thérapeutique est un événement imprévu causant un dommage ayant un lien de causalité certain avec l'acte médical.,L'aléa thérapeutique est un événement indésirable dont la cause est une action de soins conforme et ne comportant pas d’erreur.,"L'aléa thérapeutique est un événement imprévu causant un dommage ayant un lien de causalité certain avec l'acte médical, une affection iatrogène ou une infection nosocomiale qui est survenue sans responsabilité des professionnels de santé ou de l’établissement de santé.",c1
OIC-005-06-A-,Quel facteur est le plus susceptible d'entraîner un contentieux suite à un accident médical ?,L'état de santé du patient.,La disponibilité de ressources humaines qualifiées.,La politique de remplacement du personnel absent.,La politique de santé publique nationale et régionale.,option_c1
OIC-005-07-A,Qu'est-ce qui est essentiel pour adopter un comportement de prévention des erreurs ?,Ignorer les erreurs passées.,Reconnaître qu'on peut faire des erreurs.,Blâmer toujours les autres pour les erreurs.,Se croire infaillible et ne jamais faire d'erreurs.,b
OIC-005-07-A-,Quelle est la principale fonction des barrières de sécurité dans les soins médicaux ?,Réduire les risques de complications pour les patients.,Minimiser les coûts des soins.,Prévenir les erreurs et les accidents.,Faciliter la communication entre les professionnels de santé.,c
OIC-005-08-A,Le repérage des événements indésirables graves dans les hôpitaux se fait principalement à partir de systèmes :,Le volontariat des médecins et autres professionnels de santé.,La volonté des patients ou de leur famille ou proches d’expliquer les dysfonctionnements qu’ils ont rencontrés ou d’obtenir un dédommagement du préjudice qu’ils estiment avoir subi.,Des systèmes actifs fondés sur l’analyse de dossiers ou de traces électroniques.,Des systèmes passifs reposant sur la volonté des patients ou de leur famille ou proches d’expliquer les dysfonctionnements qu’ils ont rencontrés ou d’obtenir un dédommagement du préjudice qu’ils estiment avoir subi.,d
OIC-005-08-A-,"Selon le texte, quel est le principal avantage du travail en équipe pluriprofessionnelle ?",Réduire les coûts de santé.,Améliorer la communication entre les professionnels de santé.,Créer une barrière de sécurité contre les événements indésirables.,Augmenter la satisfaction des patients.,c
OIC-005-09-A,Quel est l'objectif principal d'une réunion de concertation pluridisciplinaire (RCP) ?,Déterminer le diagnostic final du patient.,Identifier les ressources nécessaires pour le traitement du patient.,Établir un plan de traitement personnalisé et coordonné.,Documenter les observations cliniques du patient.,c
OIC-005-09-A-,"Selon le contenu éducatif, quel est le principal objectif de l'organisation du parcours de soins ?",Assurer la sécurité du patient.,Minimiser les coûts des soins.,Organiser et coordonner le juste enchaînement des compétences professionnelles tout au long de la prise en charge d'un patient.,Simplifier les procédures administratives pour le personnel médical.,c
OIC-005-10-A,Qu'est-ce qu'un protocole pluriprofessionnel ?,Un document qui détaille les tâches spécifiques à effectuer par chaque professionnel de santé.,"Un ensemble de recommandations et de procédures standardisées pour la prise en charge d'une maladie, élaboré par plusieurs professionnels de santé.",Un outil de gestion des patients qui permet de suivre l'évolution de leur état de santé.,Un système de notation qui évalue la qualité des soins prodigués.,b
OIC-005-10-A-,Quels sont les principaux objectifs des réunions de concertation pluridisciplinaire (RCP) ?,Définir les règles de sécurité pour les patients.,Valider l'obligation de développement professionnel continu (DPC).,Définir les règles de sécurité pour les patients et valider l'obligation de développement professionnel continu (DPC).,Se concentrer uniquement sur les aspects techniques de la prise en charge.,c
OIC-005-11-A,Qu'est-ce que la check-list sécurité du patient au bloc opératoire sert principalement à faire ?,Assurer la confidentialité des informations du patient.,Identifier les erreurs médicales pendant l'intervention.,Faciliter la communication et le partage d'informations entre les professionnels de santé.,Réduire les coûts de l'intervention chirurgicale.,c1
OIC-005-11-A-,Quelle est la principale fonction d'une Réunion de Morbi-Mortalité (RMM) ?,Identifier les causes directes des décès.,Analyser collectivement les événements indésirables associés aux soins pour améliorer la sécurité du patient.,Attribuer des responsabilités individuelles aux membres de l'équipe soignante.,Documenter les procédures de soins standardisées.,b
OIC-005-12-B,Quel est le rôle principal du Samu-Centre 15 ?,Assurer le transport du patient vers l'hôpital.,Organiser les plans de secours et la formation des acteurs en santé.,Assurer une écoute médicale permanente et déterminer la réponse la plus adaptée à l'appel.,Gérer les appels en urgence et diriger le patient vers la bonne filière de soins.,c
OIC-005-12-B-,"Selon le texte, quel est un critère interdit pour traiter différemment des personnes ?",L'appartenance à une religion déterminée.,L'origine ethnique.,L'orientation sexuelle.,La nationalité.,b
OIC-005-13-A,"Selon le contenu éducatif, quel est un effet des discriminations sur les inégalités sociales et inégalités de santé ?",Amélioration de l'accès aux soins de santé.,Diminution du stress et des problèmes de santé mentale.,Accentuation des déterminants sociaux de la santé et aggravation des inégalités.,Augmentation de l'inclusion sociale et de l'égalité des chances.,c1
OIC-005-13-A-,"Selon le contenu éducatif, quel facteur structurel contribue aux discriminations en santé ?",Le manque de représentation des minorités dans les équipes soignantes.,Le rapport de pouvoir asymétrique entre le soignant et le patient.,L'augmentation du nombre de patients dans les hôpitaux.,L'amélioration de la communication entre les soignants et les patients.,b
