,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-01-A,Quelles sont les trois conditions cumulatives nécessaires pour obtenir l'indemnisation d'un dommage lié à un acte médical?,Cette question évalue la compréhension du triptyque juridique fondamental requis pour engager la responsabilité civile ou administrative d'un professionnel de santé.,"Faute, sanction et dommage","Incorrect. La sanction est une finalité de la responsabilité, pas une condition pour obtenir l'indemnisation.","Dommage, fait générateur et lien de causalité","Correct. L'indemnisation suppose la preuve d'un dommage, d'un fait générateur (souvent une faute) et d'un lien de causalité entre les deux.","Assurance, dommage et preuve","Incorrect. L'assurance est le moyen de paiement de l'indemnité, mais n'est pas une condition juridique pour établir la responsabilité.","Perte de chance, faute et sanction","Incorrect. La perte de chance est une forme de dommage, et la sanction est distincte de la procédure d'indemnisation.",b
1,OIC-005-03-A,Dans quel cas un médecin salarié d'un établissement privé engage-t-il sa responsabilité civile personnelle?,Cette question évalue la compréhension du régime de responsabilité du commettant et l'exception liée à l'outrepassement de mission.,Lorsqu'il exerce son art indépendamment,Incorrect. L'indépendance professionnelle est compatible avec le régime de responsabilité de l'employeur.,S'il outrepasse sa mission confiée,Correct. Le médecin salarié n'est protégé par la responsabilité de l'employeur que s'il ne dépasse pas le cadre de sa mission.,Systématiquement pour tout dommage,Incorrect. C'est l'employeur (le commettant) qui est responsable des dommages causés par son salarié.,Uniquement en cas d'erreur médicale,Incorrect. L'erreur médicale classique dans le cadre de la mission relève de la responsabilité de l'employeur.,b
2,OIC-005-04-A,"Dans le cadre d'un établissement public de santé, quelle situation engage la responsabilité administrative de l'établissement?",Cette question évalue la capacité à distinguer la faute de service (responsabilité administrative) de la faute personnelle (responsabilité civile).,Une faute commise en dehors du service,Incorrect. Une faute sans lien avec le service engage la responsabilité civile personnelle du médecin.,Une faute commise avec intention de nuire,"Incorrect. L'intention de nuire rend la faute détachable du service, engageant la responsabilité civile personnelle.",Une faute commise dans l'exercice des fonctions,"Correct. La faute de service, commise pendant le service et sans intérêt personnel, engage la responsabilité de l'établissement.",Une faute d'une gravité exceptionnelle,Incorrect. Une gravité exceptionnelle peut détacher la faute du service et engager la responsabilité civile personnelle.,c
3,OIC-005-05-A,Qu'est-ce qui caractérise principalement la responsabilité disciplinaire du médecin?,"Cette question évalue la compréhension de la nature et de l'instance de la responsabilité disciplinaire, en la distinguant des autres formes de responsabilités.",Une sanction pénale pour infraction,Incorrect. La responsabilité pénale concerne les infractions à la loi et non les manquements déontologiques devant l'Ordre.,Un manquement aux règles de déontologie,Correct. La responsabilité disciplinaire est engagée en cas de violation des règles morales et déontologiques devant les instances de l'Ordre.,Une action civile pour réparation,"Incorrect. La responsabilité civile vise la réparation d'un préjudice, tandis que la disciplinaire vise la sanction d'un comportement professionnel.",Une faute exclusive à la vie professionnelle,Incorrect. Un acte de la vie privée peut également constituer une faute disciplinaire s'il porte atteinte à l'honneur de la profession.,b
4,OIC-005-06-A,Qu'est-ce que la responsabilité sans faute dans le cadre des soins médicaux?,Cette question évalue la capacité de l'apprenant à distinguer la responsabilité sans faute d'une responsabilité basée sur une erreur ou un manquement professionnel.,Une erreur médicale grave,"Incorrect : une erreur constitue une faute, ce qui est l'opposé de la responsabilité sans faute.",Un dommage sans manquement,Correct : elle s'applique quand un dommage survient sans erreur ni manquement aux règles professionnelles.,Une négligence scientifique,Incorrect : la négligence est une forme de faute engageant la responsabilité classique.,L'absence totale de dommage,"Incorrect : pour qu'il y ait responsabilité (avec ou sans faute), la survenue d'un dommage est indispensable.",b
5,OIC-005-08-A,Comment définit-on une erreur par commission dans le domaine des soins?,"Cette question évalue la capacité de l'apprenant à distinguer les différents types d'erreurs médicales (omission, commission, exécution).",Une action nécessaire non faite,Incorrect. Ceci correspond à la définition d'une erreur par omission.,Une action faite mais inutile,Correct. L'erreur par commission est définie comme une action réalisée qui n'était pas utile.,Une action mal réalisée,Incorrect. Ceci correspond à la définition d'une erreur d'exécution.,Le non-respect d'une règle,Incorrect. Ceci correspond à la définition d'une violation ou non-conformité.,b
6,OIC-005-09-A,Quelle affirmation définit correctement l'affection iatrogène?,"Cette question évalue la capacité à distinguer l'affection iatrogène de l'erreur médicale, un point central du texte.",Elle résulte obligatoirement d'une erreur médicale.,Incorrect. Le texte précise qu'il ne faut pas confondre affection iatrogène et erreur médicale.,Elle est provoquée par un traitement ou un acte médical.,Correct. C'est la définition exacte donnée : l'ensemble des effets néfastes provoqués par un traitement ou un acte.,Elle survient uniquement en cas de mauvais usage du médicament.,Incorrect. Elle peut intervenir avec ou sans mauvais usage du médicament.,Elle désigne un dommage anormal lors d'un acte de diagnostic.,Incorrect. Cette description correspond davantage à la définition de l'accident médical.,b
7,OIC-005-10-A,À partir de quel délai une infection est-elle généralement considérée comme nosocomiale si l'état infectieux à l'admission était inconnu?,Cette question évalue la capacité de l'apprenant à identifier le seuil temporel standard utilisé pour définir une infection associée aux soins.,Dès l'admission,"Incorrect. Par définition, une infection nosocomiale est absente au moment de l'admission.",Après 24 heures,Incorrect. Ce délai est insuffisant selon les critères définis dans le texte.,Après 48 heures,Correct. C'est le délai standard au-delà duquel l'infection est présumée contractée dans l'établissement.,Après 72 heures,Incorrect. Le texte spécifie explicitement un délai de 48 heures.,c
8,OIC-005-11-A,Quelle est la caractéristique principale qui définit l'aléa thérapeutique?,Cette question évalue la capacité de l'apprenant à distinguer l'aléa thérapeutique d'une erreur médicale en se basant sur la notion de responsabilité et de conformité des soins.,Une erreur de prescription,Incorrect. L'aléa thérapeutique se distingue précisément des erreurs par l'absence de faute.,L'absence de faute,"Correct. L'aléa thérapeutique survient lors d'une action de soins conforme, sans responsabilité du professionnel.",Un manque de maîtrise,Incorrect. L'aléa concerne un risque qui ne pouvait être maîtrisé malgré une pratique correcte.,Une négligence médicale,"Incorrect. La négligence implique une faute, ce qui exclut la définition de l'aléa thérapeutique.",b
9,OIC-005-12-B,Lequel des éléments suivants est considéré comme un facteur lié à l'équipe pouvant conduire à l'ouverture d'un contentieux après un accident médical?,"Cette question évalue la capacité de l'apprenant à distinguer les différents types de facteurs contributifs (patient, équipe, environnement, organisation) dans le cadre d'un litige médical.",L'état de santé du patient,Incorrect. Il s'agit d'un facteur lié au patient et non à l'équipe.,La traçabilité du dossier,Correct. La traçabilité de l'information dans le dossier patient est explicitement citée comme un facteur lié à l'équipe.,Le manque de matériel,Incorrect. Les locaux et le matériel sont des facteurs liés à l'environnement de travail physique.,La politique de remplacement,Incorrect. La gestion du personnel absent relève des facteurs d'organisation et de management.,b
