id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quelle est la nature de l'indemnisation des victimes en cas de faute de professionnel de santé ou d'établissement de santé?,a,b,c,d,c
OIC-005-01-A-,Quelle est la responsabilité pénale concernant les médecins dans le cadre de leur profession?,a,b,c,d,c
OIC-005-02-A,Quelle est la responsabilité civile des médecins salariés d’établissements privés?,a,b,c,d,c
OIC-005-02-A-,Quelle est la responsabilité administrative?,a,b,c,d,c
OIC-005-03-A,Quelle est la définition de la responsabilité disciplinaire selon le contenu éducatif?,Une faute disciplinaire est encourue devant les instances de l’Ordre des médecins.,Une faute disciplinaire est une violation juridique.,Une faute disciplinaire est une violation morale.,Une faute disciplinaire est une violation des règles de la déontologie médicale.,a
OIC-005-03-A-,Quelle est la définition de la responsabilité sans faute?,a,b,c,d,a
OIC-005-04-A,Quelle option correspond à une faute technique qui entraîne une responsabilité médicale?,droit à la protection de la santé,droit au respect de la dignité,droit à un produit de santé,droit à la vie privée et au secret des informations,c
OIC-005-04-A-,Quelle est la définition de l’erreur médicale selon le contenu éducatif?,a,b,c,d,a
OIC-005-05-A,Quel est le sens de l’accident médical?,Un événement indésirable survenu au cours d’un acte de soin,Un dommage anormal au regard de l’évolution prévisible de l’état de santé,Un événement causé par une erreur d’un professionnel de santé,Un effet néfaste provoqué par un traitement,a
OIC-005-05-A-,Quelle est la définition de l’infection nosocomiale selon le contenu éducatif?,L’infection est absente au moment de l’admission.,L’infection est généralement considérée comme nosocomiale si elle apparaît avant 48 heures d’hospitalisation.,L’infection est considérée comme nosocomiale si elle apparaît après 48 heures d’hospitalisation.,L’infection est absente au moment de l’admission et est considérée comme nosocomiale.,c
OIC-005-06-A,Quel est le principal différence entre les erreurs et l’aléa thérapeutique?,L’aléa thérapeutique est inévitable,L’aléa thérapeutique est causé par une action médicale,L’aléa thérapeutique est lié à un risque inhérent à l’acte médical,L’aléa thérapeutique est survenu sans cause malveillante,c
OIC-005-06-A-,Quelle est une des principales causes liées au patient?,état de santé,gravité des maladies associées,communication au sein de l’équipe,environnement de travail,a
OIC-005-07-A,Quelle des options suivantes est un facteur humain individuel qui affecte la performance d'un individu?,La capacité de mémorisation,La fatigue,Le stress,La maladie,a
OIC-005-07-A-,Quel est l'objectif principal de la gestion des erreurs et des plaintes selon le contenu?,Évaluer les risques à l'avance,Identifier les causes des erreurs,Prendre des mesures pour réduire les risques,Analyser les erreurs à l'avenir,c
OIC-005-08-A,Quelle est la fonction principale des systèmes passifs de repérage des erreurs dans les hôpitaux?,L’analyse rétrospective des dossiers,La gestion des erreurs et des plaintes,Le signalement des erreurs,La recherche de mots clés,c
OIC-005-08-A-,Quelle est la définition du travail en équipe pluriprofessionnelle selon le texte?,une barrière de sécurité contre les événements indésirables,un facteur de qualité de la prise en charge du patient,un facteur de santé et de bien-être au travail pour les professionnels,un moyen de répondre de manière collaborative aux besoins du patient,b
OIC-005-09-A,Quelle méthode est principalement utilisée dans le milieu hospitalier pour sécuriser le parcours du patient?,Le protocole pluriprofessionnel,Les réunions de concertation pluridisciplinaire (RCP),La réunion de morbi-mortalité (RMM),La check-list au bloc opératoire,c
OIC-005-09-A-,Quelle est la définition principale du parcours de soins?,L’organisation des compétences professionnelles,La coordination des soins,Le justificatif des soins,Le temps de prise en charge,c
OIC-005-10-A,Quel est le rôle principal d'un protocole pluriprofessionnel?,Valider l'obligation de développement professionnel continu (DPC),Assurer la sécurité du patient,Permettre le travail en équipe,Créer des aides à la prescription,a
OIC-005-10-A-,Quelle est la structure principale des RCPs?,une réunion collégiale,une réunion de plusieurs médecins,une réunion de trois médecins,une réunion de quatre médecins,a
OIC-005-11-A,Quel est le but principal des listes de vérification ou check-lists dans le contexte de la sécurité du patient?,sécuriser,sécuriser les interventions,sécuriser les risques,sécuriser les informations,a
OIC-005-11-A-,Quelle est la fonction principale de la réunion de morbi-mortalité (RMM)?,Valider les obligations de développement professionnel continu (DPC),Gérer les risques des soins,Valider les pratiques professionnelles,Analyser les événements indésirables associés aux soins,a
OIC-005-12-B,Quelle est la mission principale du Samu-Centre 15?,assurer une écoute médicale permanente,organiser le transport du patient,déterminer le besoin de soins,organiser le suivi du patient,a
OIC-005-12-B-,Quelle est la définition de la discrimination selon le contenu éducatif?,"Une discrimination consiste à faire une différence de traitement, selon des critères prohibés, et entraînant un préjudice pour la personne.",Une discrimination est une situation de refus de soin.,Une discrimination est un phénomène de stéréotype.,Une discrimination est un acte de refus de soin.,a
OIC-005-13-A,Quelle est l'impact de la discrimination sur la santé des personnes vulnérables?,Elles ont un statut de santé plus élevé,Elles ont un statut de santé plus faible,Elles ont un stress plus élevé,Elles ont un accès aux services plus facile,b
OIC-005-13-A-,Quelle est une cause principale des discriminations en santé selon la description?,a,b,c,d,a
OIC-005-14-B,Quelle est la nature de la démarche éthique en médecine?,Un jugement de valeur,Un code de bonnes pratiques,Une réflexion pluridisciplinaire,Un jugement strict,c
OIC-005-14-B-,Quelle est la personne qui inventa le terme 'bioéthique' au début des années 70?,V.R. Potter,R. Fox,Kennedy Institute,Aucune,a
OIC-005-15-B,Quelle est la date première mention du mot 'déontologie' en langue française?,a,b,c,d,a
OIC-005-15-B-,Quelle des options suivantes reflète le principe de justice en pratique?,La bienfaisance,Le respect de l’autonomie,La responsabilité professionnelle,La justice redistributive,c
OIC-006-01-A,Quelle est la principale obligation éthique liée au respect de l'autonomie du patient?,L'information préalable au consentement,Le respect des principes de transparence et d'intégrité,La reconnaissance de l'autonomie du patient,Le respect des valeurs de la société,c
OIC-006-01-A-,Quel est le type de situation qui implique une information d’ordre médical et social?,a) Risques graves,b) Risques fréquents,c) Alternatives diagnostiques,d) Risques exceptionnels,b
