id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quels sont les deux principaux objectifs de la responsabilité d'un professionnel de santé ou d'un établissement de santé?,Sanctionner le professionnel et indemniser l'usager.,Indemniser l'usager et sanctionner l'établissement.,Sanctionner l'établissement et indemniser le professionnel.,Indemniser le professionnel et sanctionner l'usager.,a
OIC-005-01-A-,Quelle est la fonction principale de la responsabilité pénale?,Sanctionner les individus dont le comportement est réprouvé dans la société.,Protéger les patients contre les erreurs médicales.,Assurer la sécurité des établissements de santé.,Encourager la recherche biomédicale.,a
OIC-005-02-A,"Selon le texte, quel type de juridiction est compétente pour les poursuites en responsabilité civile contre les professionnels exerçant à titre libéral?",Tribunal de proximité,Tribunal de grande instance,Cour d’appel,Cour de cassation,b
OIC-005-02-A-,"Selon le texte, quelle est la conséquence principale de la responsabilité administrative d'un médecin hospitalier?",Une condamnation pénale.,Une action en justice devant le Conseil d'État.,Une action en justice devant le tribunal administratif.,Une sanction disciplinaire.,c
OIC-005-03-A,Quelle est la principale différence entre le Code de déontologie médicale et le Code pénal?,"Le Code de déontologie médicale énonce des principes généraux, tandis que le Code pénal liste des comportements prohibés par la société.","Le Code de déontologie médicale est élaboré par le Conseil national de l’Ordre, tandis que le Code pénal est élaboré par le Conseil d’Etat.",Le Code de déontologie médicale est plus strict que le Code pénal.,Le Code de déontologie médicale est uniquement applicable aux médecins inscrits au tableau de l’Ordre des médecins.,a
OIC-005-03-A-,Qu'est-ce que la responsabilité sans faute?,Une responsabilité engagée uniquement en cas de faute prouvée.,Une responsabilité engagée en cas de manquement aux règles professionnelles ou scientifiques.,Une responsabilité engagée en cas de dommage lié aux soins survenu sans manquement aux règles professionnelles ou scientifiques.,Une responsabilité engagée uniquement en cas d'erreur.,c
OIC-005-04-A,"Selon le texte, quel est le principal élément que le patient doit prouver pour engager la responsabilité d'un médecin?",La présence d'une atteinte à son droit à la protection de la santé.,La faute du médecin.,L'atteinte à l'un de ses droits.,L'existence d'un acte de prévention ou de soins.,b
OIC-005-04-A-,Qu'est-ce qu'une erreur par omission?,Une action qui a été faite mais qui n'était pas utile.,Une action mal réalisée.,Une action nécessaire qui n'a pas été faite.,Un non-respect d'une recommandation ou d'une règle professionnelle.,c
OIC-005-05-A,Quelles sont les formes de dommage qui peuvent être indemnisées?,Seule l'atteinte physique.,Seule l'atteinte psychique.,"Attaques à l'intégrité physique ou psychique, perte de chance de survie ou de guérison, perte de chance d'avoir échappé à un risque qui s'est finalement réalisé.",Seule la perte de chance d'avoir échappé à un risque.,c
OIC-005-05-A-,Quel est le rôle principal du procureur de la République?,Juger les médecins coupables d'infractions.,Décider des suites à donner aux plaintes et enquêtes.,Assurer la sécurité des patients.,Encourager la recherche biomédicale.,b
OIC-005-06-A,Dans quel contexte les praticiens hospitaliers engagent-ils leur responsabilité civile professionnelle?,Dans le cadre de leur activité libérale,Dans le cadre de leur activité hospitalière,Dans le cadre de leur activité administrative,Dans le cadre de leur activité pénale,b
OIC-005-06-A-,Qu'est-ce qui distingue la faute personnelle du service de la faute de service?,La faute personnelle est toujours commise dans le cadre du service.,La faute personnelle est toujours commise en dehors du service.,La faute personnelle est toujours intentionnelle.,La faute personnelle est toujours liée à l'intérêt personnel.,b
OIC-005-07-A,Quelle est la conséquence d'une radiation du tableau de l'Ordre des médecins?,Le médecin peut immédiatement reprendre son activité professionnelle.,Le médecin peut demander son relèvement au bout de trois ans.,Le médecin est définitivement interdit d'exercer.,Le médecin peut demander un sursis à la radiation.,b
OIC-005-07-A-,Quel est un exemple de système d'indemnisation où la responsabilité peut être engagée sans faute?,La responsabilité civile.,La responsabilité pénale.,La survenue d'une infection nosocomiale.,La responsabilité administrative.,c
OIC-005-08-A,"Qu'est-ce qui constitue un fait générateur de responsabilité médicale pour faute, selon le texte?",La violation d'un devoir d'humanisme.,La présence d'un produit de santé défectueux.,L'atteinte à l'un de ses droits.,La violation des connaissances médicales avérées.,d
OIC-005-08-A-,Qu'est-ce qu'un événement indésirable grave (EIG)?,Une action qui a été faite mais qui n'était pas utile.,Une action mal réalisée.,"Un dommage entraînant un décès, une complication grave ou une prolongation d'hospitalisation d'un jour.",Un non-respect d'une recommandation ou d'une règle professionnelle.,c
