id,chosen,rejected,chosen_source,rejected_source
OIC-198-15-A-,"Question: Quel indicateur est mentionné comme étant mesurable en relation avec l'interprétation d'une courbe de croissance?
a) La température corporelle
b) Le taux de cholestérol
c) L'IMC (Indice de Masse Corporelle)
d) La fréquence respiratoire","Question: Quelle est la méthode pour mesurer l'IMC (Indice de Masse Corporelle) d'un enfant ?
a) En divisant le poids en kilos par la hauteur en centimètres
b) En multipliant le poids en kilos par la hauteur en mètres
c) En soustrayant le poids en kilos de l'âge en mois et en divisant le résultat par la hauteur en centimètres
d) En ajoutant les kilos gagnés chaque année au poids actuel",medGemma_27b,openbiollm_8b
OIC-198-15-A-,"Question: Laquelle des mesures suivantes est généralement utilisée pour évaluer la composition corporelle d'un individu?
a) La taille
b) Le poids
c) L'IMC
d) La circonférence du bras","Question: Quelle est la méthode pour mesurer l'IMC (Indice de Masse Corporelle) d'un enfant ?
a) En divisant le poids en kilos par la hauteur en centimètres
b) En multipliant le poids en kilos par la hauteur en mètres
c) En soustrayant le poids en kilos de l'âge en mois et en divisant le résultat par la hauteur en centimètres
d) En ajoutant les kilos gagnés chaque année au poids actuel",gemma2_9b,openbiollm_8b
OIC-164-09-A-,"Question: Quel est l'objectif principal du parcours de soins?
a) Réduire les coûts des soins.
b) Simplifier les tâches administratives.
c) Assurer le juste enchaînement et le bon moment des compétences professionnelles.
d) Augmenter le nombre de patients vus.","Question: Selon le texte, qui est responsable de l'organisation d'un parcours de soins ?
a) Le patient lui-même.
b) Les pharmaciens.
c) Les professionnels de santé.
d) Les assureurs maladie.",medGemma_27b,gemma2_9b
OIC-164-09-A-,"Question: Quel est l'objectif du parcours de soins ?
a) Assurer une prise en charge rapide et efficace
b) Améliorer la qualité des soins
c) Réduire les erreurs médicales
d) Faciliter le travail des professionnels de santé","Question: Selon le texte, qui est responsable de l'organisation d'un parcours de soins ?
a) Le patient lui-même.
b) Les pharmaciens.
c) Les professionnels de santé.
d) Les assureurs maladie.",openbiollm_8b,gemma2_9b
OIC-190-07-B-,"Question: Chez l'homme adulte pubère, quelle intervention peut entraîner une altération de la fertilité?
a) Une fracture du tibia
b) Une intervention chirurgicale sur le genou
c) Une prostatectomie radicale
d) Une opération de la cataracte","Question: Chez quel groupe d'âge la préservation de la fertilité masculine est-elle indiquée en cas de chirurgie des voies excrétrices spermatiques?
a) Garçon pré-pubère
b) Enfant
c) Adolescent et homme adulte pubère
d) Femme adulte",gemma2_9b,medGemma_27b
OIC-190-07-B-,"Question: Chez l'homme adulte pubère, quelle intervention peut entraîner une altération de la fertilité?
a) Une fracture du tibia
b) Une intervention chirurgicale sur le genou
c) Une prostatectomie radicale
d) Une opération de la cataracte","Question: Les principales indications médicales de préservation de la fertilité masculine sont les traitements gonadotoxiques utilisés dans le traitement du cancer, notamment pour les pathologies hématologiques et les anomalies congénitales du testicule. La bonne réponse est :
a) a
b) b
c) c
d) d",gemma2_9b,openbiollm_8b
OIC-050-01-A,"Question: Quel est le concept qui désigne la capacité d'une personne de se gouverner elle-même et de prendre des décisions ?
a) Autonomie
b) Dépendance
c) Démence
d) Perte d'autonomie","Question: Selon le texte, quelle est la définition principale de l'autonomie?
a) L'incapacité d'effectuer des tâches quotidiennes.
b) La capacité de se gouverner soi-même et d'établir ses propres lois.
c) La nécessité d'une aide constante pour les activités de base.
d) L'absence de capacités intellectuelles ou cognitives.",openbiollm_8b,medGemma_27b
OIC-050-01-A,"Question: Laquelle des affirmations suivantes décrit le mieux le concept d'autonomie?
a) La capacité à effectuer les activités de la vie quotidienne sans aide.
b) L'impossibilité de prendre des décisions et d'agir en fonction de son jugement.
c) La dépendance totale envers les autres pour les soins et les activités quotidiennes.
d) La liberté de choisir, de juger et d'agir en fonction de ses propres décisions.","Question: Selon le texte, quelle est la définition principale de l'autonomie?
a) L'incapacité d'effectuer des tâches quotidiennes.
b) La capacité de se gouverner soi-même et d'établir ses propres lois.
c) La nécessité d'une aide constante pour les activités de base.
d) L'absence de capacités intellectuelles ou cognitives.",gemma2_9b,medGemma_27b
OIC-132-06-A,"Question: Quel est le traitement principal du SNLGM idiopathique?
a) Traitement symptomatique uniquement.
b) Dialyse.
c) Corticothérapie orale à forte dose et prolongée.
d) Transplantation rénale.","Question: Quel est le principal traitement du SNLGM idiopathique?
a) Traitement symptomatique du syndrome néphrotique
b) Chirurgie de la glande thyroïde
c) Antibiothérapie à large spectre
d) Radiothérapie ciblée",medGemma_27b,gemma2_9b
OIC-132-06-A,"Question: Quel est le traitement de choix pour un SNLGM idiopathique ?
a) Traitement symptomatique du syndrome néphrotique.
b) Corticothérapie orale à forte dose et prolongée.
c) Traitement par dialyse.
d) Traitement chirurgical.","Question: Quel est le principal traitement du SNLGM idiopathique?
a) Traitement symptomatique du syndrome néphrotique
b) Chirurgie de la glande thyroïde
c) Antibiothérapie à large spectre
d) Radiothérapie ciblée",openbiollm_8b,gemma2_9b
OIC-233-04-A,"Question: Où peut-on trouver des vidéos pour illustrer l'item OIC-109-11-B?
a) Dans un manuel de neurologie imprimé.
b) Sur le site web du CEN (Centre d'Études Neurologiques).
c) Dans une bibliothèque médicale.
d) Sur une chaîne de télévision scientifique.","Question: Où peut-on trouver des vidéos pour aider à la compréhension des troubles de la marche?
a) Sur le site de l'OMS.
b) Dans les manuels de neurologie.
c) Sur le site du CEN.
d) Dans des articles scientifiques.",medGemma_27b,gemma2_9b
OIC-233-04-A,"Question: Quel est le trouble de la marche qui se caractérise par une difficulté à coordonner les mouvements des membres lors de la marche?
a) Ataxie
b) Hypertonie
c) Astasie
d) Dysmétrie","Question: Où peut-on trouver des vidéos pour aider à la compréhension des troubles de la marche?
a) Sur le site de l'OMS.
b) Dans les manuels de neurologie.
c) Sur le site du CEN.
d) Dans des articles scientifiques.",openbiollm_8b,gemma2_9b
OIC-024-04-A,"Question: Quelle est la fréquence approximative des consultations pour infertilité en France?
a) 1 couple sur 10
b) 1 couple sur 2
c) 1 couple sur 4 à 6
d) 1 couple sur 8","Question: Quel est le pourcentage de couples qui consultent pour infertilité en France aujourd’hui ?
a) 20%
b) 40%
c) 60%
d) 80%",medGemma_27b,openbiollm_8b
OIC-024-04-A,"Question: Quel pourcentage des naissances en France sont le résultat d'une AMP?
a) 1,7%
b) 2,7%
c) 3,7%
d) 4,7%","Question: Quel est le pourcentage de couples qui consultent pour infertilité en France aujourd’hui ?
a) 20%
b) 40%
c) 60%
d) 80%",gemma2_9b,openbiollm_8b
OIC-342-06-A-,"Question: Quelle est la nouvelle règlementation européenne qui vise à uniformiser la mise sur le marché et la mise en service des dispositifs médicaux ?
a) Règlement UE 2017/745
b) Règlement UE 2021/746
c) Règlement UE 2019/743
d) Règlement UE 2020/747","Question: Quel est l'objectif principal du règlement européen UE 2017/745 concernant les dispositifs médicaux?
a) Réglementer les prix et les remboursements.
b) Interdire l'utilisation de logiciels comme dispositifs médicaux.
c) Uniformiser la mise sur le marché et la mise en service des dispositifs médicaux au sein de l'UE.
d) Remplacer la définition de l'ANSM.",openbiollm_8b,medGemma_27b
OIC-342-06-A-,"Question: Quel est l'objectif principal du règlement UE 2017/745 concernant les dispositifs médicaux?
a) Réguler les prix et les remboursements des dispositifs médicaux
b) Interdire la vente de dispositifs médicaux non conformes
c) Uniformiser la mise sur le marché des dispositifs médicaux dans l'UE
d) Définir une nouvelle classification des dispositifs médicaux","Question: Quel est l'objectif principal du règlement européen UE 2017/745 concernant les dispositifs médicaux?
a) Réglementer les prix et les remboursements.
b) Interdire l'utilisation de logiciels comme dispositifs médicaux.
c) Uniformiser la mise sur le marché et la mise en service des dispositifs médicaux au sein de l'UE.
d) Remplacer la définition de l'ANSM.",gemma2_9b,medGemma_27b
OIC-056-08-B,"Question: Quelle est l'indication principale de la ponction articulaire en cas d'arthrite aiguë ?
a) Établir le diagnostic microbiologique
b) Orienter vers un traitement antibiotique
c) Évaluer les lésions articulaires
d) Prévenir une possible infection cutanée","Question: Quelle est l'indication principale de la ponction articulaire en urgence?
a) Pour traiter une arthrite chronique.
b) Avant de commencer une antibiothérapie pour une arthrite aiguë.
c) Pour diagnostiquer une fracture osseuse.
d) Pour évaluer la densité minérale osseuse.",openbiollm_8b,medGemma_27b
OIC-056-08-B,"Question: En urgence, devant une arthrite aiguë, quel examen est essentiel à réaliser avant toute antibiothérapie?
a) Radiographie de l'articulation
b) Ponction articulaire
c) Echographie de l'articulation
d) Analyse sanguine complète","Question: Quelle est l'indication principale de la ponction articulaire en urgence?
a) Pour traiter une arthrite chronique.
b) Avant de commencer une antibiothérapie pour une arthrite aiguë.
c) Pour diagnostiquer une fracture osseuse.
d) Pour évaluer la densité minérale osseuse.",gemma2_9b,medGemma_27b
OIC-075-19-A-,"Question: Quels sont les outils du médecin du travail?
a) Suivi de santé et actions sur le terrain
b) Seul suivi de santé
c) Seules actions sur le terrain
d) Aucun outil","Question: Quel est l'un des principaux domaines d'action des outils du médecin du travail?
a) Gestion administrative du personnel
b) Suivi de santé des salariés
c) Développement de nouveaux produits
d) Planification stratégique de l'entreprise",openbiollm_8b,medGemma_27b
