Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
0,OIC-005-01-A,Quel est l'objectif principal de la responsabilité sanction/indemnisation dans le domaine de la santé?,Sanctionner les professionnels de santé pour leurs erreurs.,Indemniser les victimes d'événements indésirables liés aux soins.,Améliorer la qualité des soins dispensés.,Réduire le nombre d'erreurs médicales.,b,4
1,OIC-005-01-A-,Laquelle des infractions suivantes n'est PAS considérée comme une violation d'un devoir d'humanisme selon le texte?,La rédaction de faux certificats,La violation du secret professionnel,Le défaut d'information au patient,La non-assistance à personne en péril,c,4
2,OIC-005-02-A,Qui est responsable en responsabilité civile des dommages causés à un patient par un médecin salarié d'un établissement privé?,Le médecin salarié,L'établissement privé,Le tribunal de grande instance,Le patient,b,4
3,OIC-005-02-A-,"En cas d'acte réalisé par un médecin hospitalier, qui est responsable devant les juridictions de l'ordre administratif?",Le médecin lui-même,Le patient,L'établissement public de santé,Le conseil de l'ordre des médecins,c,4
4,OIC-005-03-A-,La responsabilité sans faute se déclenche lorsque :,Il y a un manquement aux règles professionnelles.,Il y a une erreur médicale prouvée.,Un dommage survient malgré l'absence de faute.,Le patient consent à un risque thérapeutique.,c,4
5,OIC-005-04-A,"Selon le texte, quel est l'élément essentiel pour qu'un patient puisse rechercher la responsabilité d'un médecin ou d'un établissement de santé?",L'atteinte à un droit du patient,La présence d'une faute prouvée,Le montant des dommages subis,La consultation d'un avocat spécialisé,b,4
6,OIC-005-04-A-,Quel type d'erreur médicale est caractérisée par une action qui a été effectuée mais qui n'était pas nécessaire?,Erreur par omission,Erreur d'exécution,Violation,Erreur par commission,d,4
7,OIC-005-05-A,Qu'est-ce qu'un accident médical selon la définition donnée?,Une affection causée par un traitement médical.,Un événement indésirable entraînant un dommage anormal au cours d'un acte de soin.,Une erreur de diagnostic commise par un professionnel de santé.,Un effet secondaire inattendu d'un médicament.,b,4
8,OIC-005-05-A-,Quelle est la définition d'une infection nosocomiale ?,Une infection présente au moment de l'admission d'un patient dans un établissement de santé.,Une infection contractée en dehors d'un établissement de santé.,Une infection contractée pendant un séjour dans un établissement de santé.,"Une infection qui apparaît après 48 heures d'hospitalisation, quelle que soit sa présence à l'admission.",c,4
9,OIC-005-06-A-,Quels facteurs peuvent contribuer à l'ouverture d'un contentieux suite à un accident médical?,Seulement les erreurs médicales directes,Uniquement les problèmes liés à l'environnement de travail,"Les facteurs liés au patient, aux tâches, à l'équipe, à l'environnement et à l'organisation",Excluant les facteurs liés au contexte institutionnel,c,4
10,OIC-005-07-A,Quel est l'un des facteurs humains individuels qui peut conduire à des erreurs?,Le leadership d'une équipe,Le manque de communication,Le stress,La bonne organisation d'une équipe,c,4
11,OIC-005-07-A-,Quel est l'objectif principal de l'analyse approfondie des causes d'erreur dans le contexte des soins médicaux?,Identifier les erreurs individuelles des professionnels de santé.,Déterminer les responsabilités pénales des acteurs impliqués dans l'erreur.,Améliorer la sécurité des patients en identifiant les causes profondes des erreurs.,Créer un système de sanctions pour les professionnels de santé impliqués dans des erreurs.,c,4
12,OIC-005-08-A,Quel est l'objectif principal d'une démarche de culture positive de l'erreur en milieu hospitalier?,Culpabiliser les professionnels de santé impliqués dans l'erreur.,Masquer les erreurs pour éviter les sanctions.,Favoriser le signalement des erreurs et l'amélioration des pratiques.,Limiter les responsabilités des établissements de santé.,c,4
13,OIC-005-08-A-,Quelle est la définition du travail en équipe pluriprofessionnelle ?,Un groupe de professionnels ayant des qualifications identiques travaillant ensemble.,Un groupe de professionnels travaillant dans le même lieu.,Un groupe de professionnels ayant des qualifications différentes et complémentaires travaillant ensemble.,Un groupe de professionnels ayant des objectifs différents.,c,4
