id,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-01-A,Quelle est la principale forme de dommage reconnue en responsabilité médicale?,Atteinte à l'intégrité physique,Perte de chance de survie ou de guérison,Perte de chance d'avoir échappé à un risque,Toutes les réponses ci-dessus,d
OIC-005-01-A-,Quel est le critère essentiel pour l'indemnisation d'un dommage en responsabilité médicale?,Le dommage doit être futur,Le dommage doit être actuel et certain,Le dommage doit être direct,Le dommage doit être exclusif,b
OIC-005-02-A,Quelle est la principale fonction de la responsabilité pénale en médecine?,Sanctionner les erreurs médicales,Indemniser les patients,Réprimer les comportements répréhensibles,Gérer les plaintes des patients,c
OIC-005-02-A-,Quelle infraction est fréquemment reprochée à un médecin en responsabilité pénale?,Non-assistance à personne en péril,Euthanasie,Homicide involontaire,Violation du secret professionnel,c
OIC-005-03-A,Quelle est la juridiction devant laquelle les professionnels exerçant à titre libéral engagent leur responsabilité civile?,Tribunal administratif,Cour d'appel,Tribunal de grande instance,Cour de cassation,c
OIC-005-03-A-,Dans quel cas un médecin salarié d'un établissement privé n'engage pas sa responsabilité civile personnelle?,Lorsqu'il exerce en dehors de son secteur d'activité,Lorsqu'il outrepasse la mission confiée par son employeur,Lorsqu'il exerce en dehors de son secteur d'activité et qu'il outrepasse la mission confiée par son employeur,Lorsqu'il exerce en dehors de son secteur d'activité ou qu'il outrepasse la mission confiée par son employeur,d
OIC-005-04-A,Quelle est la responsabilité engagée devant les juridictions administratives pour les actes réalisés par les médecins hospitaliers?,Responsabilité pénale,Responsabilité civile,Responsabilité administrative,Responsabilité disciplinaire,c
OIC-005-04-A-,Quelle est la faute qui engage la responsabilité civile personnelle du médecin?,Faute de service,Faute dans l'organisation et le fonctionnement du service,Faute personnelle ou détachable du service,Faute de négligence,c
OIC-005-05-A,Quelle est la principale différence entre la responsabilité disciplinaire et la responsabilité pénale?,La responsabilité disciplinaire est indépendante des autres actions qui peuvent être engagées contre un médecin,La responsabilité pénale est indépendante des autres actions qui peuvent être engagées contre un médecin,La responsabilité disciplinaire est encourue devant les instances de l’Ordre des médecins,La responsabilité pénale est encourue devant les instances de l’Ordre des médecins,a
OIC-005-05-A-,Quelles sont les sanctions disciplinaires possibles pour un médecin?,"Avertissement, blâme, interdiction temporaire d’exercice, radiation du tableau de l’Ordre","Avertissement, blâme, interdiction temporaire d’exercice, radiation du tableau de l’Ordre, interdiction temporaire d’exercer des fonctions rémunérées par l’Etat ou les collectivités publiques","Avertissement, blâme, interdiction temporaire d’exercice, radiation du tableau de l’Ordre, interdiction temporaire d’exercer des fonctions rémunérées par l’Etat ou les collectivités publiques, sursis","Avertissement, blâme, interdiction temporaire d’exercice, radiation du tableau de l’Ordre, interdiction temporaire d’exercer des fonctions rémunérées par l’Etat ou les collectivités publiques, sursis, relèvement",c
